tweet,id,date,time,username,replies_count,retweets_count,likes_count
"I'm heading to the southern border this week to investigate the impact of our nation's #immigration system. 

I'll see first-hand the conditions at migrants shelters and processing facilities being used to detain immigrants and people seeking asylum. https://twitter.com/CNNPolitics/status/1156032932433154049 …",1156644346927689729,2019-07-31,19:14:36,repbera,12,1,27
"""Hope starts with someone saying: ‘I care and I’m going to give you some options,'""

Inspiring story of an #ElkGrove family opening a senior care business for Sacramento County's elderly. You make us all proud to call #CA07 home! https://bit.ly/310CKWu ",1156576935142678530,2019-07-31,14:46:44,repbera,0,1,11
"54 years ago, #Medicare and #Medicaid were signed into law.  

As a doctor, I’ve cared for some of the 130 million patients who rely on these landmark programs to afford their health care. We must continue to fight to protect and strengthen both. #ProtectOurCare pic.twitter.com/2oAe9efH4T",1156375112045748224,2019-07-31,01:24:45,repbera,2,7,18
"I joined @RepSpeier and colleagues in sending this letter to the Trump Administration urging them to reverse its decision to defund @UNFPA, which works in over 150 countries to prevent maternal deaths, provide voluntary family planning, and combat gender-based violence. pic.twitter.com/rq860oMWVt",1156243290473336832,2019-07-30,16:40:57,repbera,4,10,36
"#ICYMI: I voted to help pass the #StopBadRobocalls Act to stop the onslaught of robocalls once and for all.

Robocalls are not only annoying - they are often attempts to defraud our #seniors & hardworking Americans. This bill helps protect Americans from dangerous scammers. pic.twitter.com/a7rIU94Uxu",1155911963509178371,2019-07-29,18:44:22,repbera,8,4,20
"#OTD in 1958, President Eisenhower signed legislation creating @NASA, one of our nation’s greatest symbols of American excellence and ingenuity.

As a kid who grew up during the space race dreaming of what lay beyond us, it's an honor to serve as Vice Chair of @HouseScience. pic.twitter.com/2UbJLvVdZQ",1155873072886554624,2019-07-29,16:09:50,repbera,1,7,20
"I’m heartbroken over the horrific shooting at the Gilroy Garlic Festival. My heart is with the victims, their families, and the entire community of Gilroy. 

Thank you to our law enforcement and first responders. #GilroyShooting https://cbsn.ws/2YnFLi0 ",1155849539426955264,2019-07-29,14:36:19,repbera,0,4,11
"#CA07: This weekend will be HOT.☀️

Here are some tips from @sacbee_news on where you can go to escape the heat. ➡️ https://www.sacbee.com/news/weather-news/article233165996.html … https://twitter.com/NWSSacramento/status/1154734010565824513 …",1154810384961953797,2019-07-26,17:47:05,repbera,5,3,7
"This is a big win for #California, our economy, and the environment. As the President tries to roll back auto emission standards, our state continues to lead the nation in bold environmental policies that keep our communities safe and healthy. https://lat.ms/2JPUPRw ",1154765500561403904,2019-07-26,14:48:44,repbera,4,6,24
"Happy #NationalInternDay to our hardworking and talented interns in DC and Sacramento! Thank you for helping me better serve the people of #CA07. 

You are the future leaders of our country! pic.twitter.com/pTiza4w50b",1154471147829899265,2019-07-25,19:19:05,repbera,2,2,26
"Bravo to our courageous service members from the Army National Guard in Mather who located and rescued a missing hiker in Lake Alpine.

You make #CA07 proud! https://bit.ly/30TyWpX ",1154445956420534273,2019-07-25,17:38:59,repbera,1,1,15
"I joined my @NewDemCoalition colleagues in urging the President to recommit to working with Congress on #bipartisan legislation to fix America’s aging #infrastructure. 

America's roads and bridges are in dire need of improvement.

Read our letter ⬇️ http://bit.ly/2K8gQtQ ",1154406775191457792,2019-07-25,15:03:17,repbera,7,7,22
Proud to vote for this important legislation. Older Americans should not live in fear that their hard-earned retirement savings will collapse. #ButchLewisAct https://twitter.com/WaysMeansCmte/status/1154189858644156417 …,1154395963898941443,2019-07-25,14:20:20,repbera,4,8,11
"#OTD in 2009, the last federal minimum wage increase was made to $7.25. In 2019, the minimum wage remains the same. 

It's time for the Senate to pass the #RaiseTheWage Act, which will help lift 1.3 million people out of poverty. pic.twitter.com/jGNW9FBJpB",1154139990881964034,2019-07-24,21:23:11,repbera,6,2,8
"I'm glad the Senate passed the 9/11 Victim Compensation Fund. 

We must never forget our brave and courageous first responders. https://twitter.com/NBCNews/status/1153753241362018305 …",1153762780912263174,2019-07-23,20:24:17,repbera,1,3,22
"The @USWNT represents the best of America 🇺🇸 - strength, unity, and determination. They made us proud on the world stage. They deserve #EqualPay.

I'm proud to co-sponsor the GOALS Act, which ensures that the #USWNT receives equitable pay. ⚽️ https://bit.ly/2SzlG6Z ",1153710444424695809,2019-07-23,16:56:19,repbera,2,1,6
"#ICYMI

I voted yesterday to help pass the #RaiseTheWage Act, which would gradually increase the federal minimum wage and increase pay for up to 33 million American workers. A big win for American families! 🙌 #ForThePeople https://twitter.com/RepBera/status/1151889813328605185 …",1152241125157146624,2019-07-19,15:37:46,repbera,3,6,18
"Families nationwide are struggling with high deductibles and gaps in coverage, including #seniors. I’m proud to have introduced this bipartisan, commonsense fix to an unnecessary restriction on our seniors.

See my full statement here: https://bera.house.gov/media-center/press-releases/reps-bera-smith-introduce-bill-to-expand-health-savings-accounts-to …",1151922018595561473,2019-07-18,18:29:45,repbera,2,1,4
"Health Savings Accounts would particularly help #seniors pay for services such as dental and vision care that is currently not covered under #Medicare, leading to a healthier and happier life, and a more dignified retirement",1151920767547904000,2019-07-18,18:24:47,repbera,2,1,2
"HSAs are a critical tool that many use before they are on #Medicare. 

Individuals can set aside pre-tax money to pay for out-of-pocket medical expenses such as copayments, deductibles, and also glasses, hearing aids, first aid supplies, and prescription drugs.",1151920272137752586,2019-07-18,18:22:49,repbera,3,0,1
"I just introduced bipartisan legislation along with @RepJasonSmith that would allow seniors covered under #Medicare to continue using or create new Health Savings Accounts, which is prohibited under current law. pic.twitter.com/50E7bJ4AfK",1151919856381566976,2019-07-18,18:21:10,repbera,2,5,7
"Proud to vote for the #RaiseTheWage Act, which would help lift 1.3 million workers out of poverty.

American workers, the backbone of our economy, are working longer hours and still struggling to make ends meet. This is a long overdue raise for American families! https://twitter.com/politico/status/1151886515678666753 …",1151889813328605185,2019-07-18,16:21:47,repbera,5,3,18
Thank you for having me!,1151599715110281222,2019-07-17,21:09:02,repbera,0,0,2
".@WHO declaring #Ebola a public health emergency is a major development. The US, in concert with the international community, should do more to ensure that this historic outbreak does not spread out of control. Congress stands ready to help. https://twitter.com/WHO/status/1151548791021015040 …",1151564558710054913,2019-07-17,18:49:20,repbera,3,0,7
Happy #NationalHotDogDay! 🌭 pic.twitter.com/qHPVSWj2lp,1151534091726180354,2019-07-17,16:48:16,repbera,4,1,9
"#Apollo11 is a reminder of what's possible with American ingenuity, innovation, and inspiration. 🚀🌖

Listen to my remarks at today's @HouseScience hearing on the legacy of #Apollo50. https://bit.ly/2Lo6B7I ",1151181034593181696,2019-07-16,17:25:21,repbera,3,3,8
Enjoyed speaking with @MSHHealthImpact about the threat of infectious diseases and how we can better strengthen health systems to keep our communities safe. pic.twitter.com/To4aArQ1K9 – at United States Capitol,1151158346281553927,2019-07-16,15:55:11,repbera,2,4,4
"50 years ago at approximately 9:32 am EST, the #Apollo11 crew of Neil Armstrong, Michael Collins, and Buzz Aldrin launched from Kennedy Space Center and headed to the #moon.

Today, we celebrate this amazing achievement of American ingenuity & set our sights on the next frontier. pic.twitter.com/tObKuZ4f8b",1151121629348601857,2019-07-16,13:29:17,repbera,5,10,23
Tune in to @cspan at 8am EST as I join @cspanwj to discuss the 50th anniversary of #Apollo11 and the future of space exploration. 🚀 💫 https://twitter.com/cspanwj/status/1151091297693982720 …,1151098887962288128,2019-07-16,11:58:55,repbera,2,4,7
"Great turnout at our #TownHall in Sacramento County! Thank you for joining and sharing your thoughts and feedback with me. 

I always enjoy being back home in #CA07 listening to our community. pic.twitter.com/7CYcgyd2GU",1150206973427814401,2019-07-14,00:54:46,repbera,10,1,13
I spoke with @cnni and @HalaGorani yesterday about ongoing #Iran tensions and the upcoming #ICE raids this weekend. pic.twitter.com/NBEA7isGZ0,1150060719909613569,2019-07-13,15:13:37,repbera,5,1,8
America’s #veterans have made the ultimate sacrifice to protect and defend our country and we have a solemn duty to fulfill our promises to them.,1149801385376014338,2019-07-12,22:03:07,repbera,1,1,4
"I am also glad that the #NDAA bill featured six of my amendments, including one that explores best practices for providing financial literacy education to separating servicemembers and #veterans.",1149799510987694081,2019-07-12,21:55:40,repbera,1,1,3
"This bill strengthens our abilities to respond to the most urgent international issues: 

➡️ Thwarting Russian aggression & interference
➡️ Increasing our abilities to plan & adapt to the effects of climate change
➡️ Working with our allies to contain the N. Korean nuclear threat",1149793195917807618,2019-07-12,21:30:34,repbera,1,4,5
"PASSED! 

I am proud to have voted today for the National Defense Authorization Act #NDAA, which provides a much-needed pay increase (3.1%) to our brave service men and women while funding a strong and smart #NationalSecurity strategy. https://bit.ly/2XEQhWB ",1149792251352178694,2019-07-12,21:26:49,repbera,4,3,10
"2/2 I was proud to vote today to renew the 9/11 Victim’s Compensation Fund, which ensures that our heroes receive the support they deserve. 

We will never forget our heroes and their acts of bravery. #Renew911VCF pic.twitter.com/fQF8CPa4Qs",1149755859225833472,2019-07-12,19:02:12,repbera,0,1,19
"1/2 On September 11, 2001, our nation suffered an unimaginable tragedy. Thousands of heroic first responders put their lives on the line and responded to the call to protect others. Their courage and heroism inspired us all.",1149755139332308992,2019-07-12,18:59:21,repbera,1,0,5
It was great to speak at @TheWLP first all-female class of interns. Thank you for all your public service this summer and special thank you to Fatima for her hard work in my D.C. office. #WLP2019 https://twitter.com/TheWLP/status/1149449188943339520 …,1149684378018041856,2019-07-12,14:18:10,repbera,3,3,19
"📺TUNE IN

I'm chairing a @HouseForeign Oversight & Investigations hearing on @StateDept and @USAID. It's important that we provide these agencies w/ the resources necessary to meet the challenges of the 21st century.

Watch LIVE: https://foreignaffairs.house.gov/hearings?ID=1D5C71F8-28A9-4A27-AA13-E5A0C641BF79 …",1149406082168737795,2019-07-11,19:52:19,repbera,1,3,8
"REMINDER: I'm hosting a #TownHall this Saturday in Sacramento County. I'd love for you to join me to discuss the issues that matter most to #CA07.

Details below ⬇️ https://twitter.com/ElkGroveNews/status/1148699811576606720 …",1149369417735835651,2019-07-11,17:26:38,repbera,5,1,2
No child should go hungry while at school and the same applies for summer break. https://twitter.com/NBCNews/status/1149042235050250240 …,1149060626431565824,2019-07-10,20:59:36,repbera,0,5,11
