tweet,id,date,time,username,replies_count,retweets_count,likes_count,tdatetime
"After such a tragedy, I’m heartened to see Sacramento County come together and help our fellow Californians. Thank you to all who continue to help with the recovery efforts. https://www.sacbee.com/news/local/education/article222339960.html …",1068262066312626182,2018-11-29,21:54:58,repbera,2,3,14,2018-11-29 21:54:58
"Congratulations to @NASA for the successful InSight landing! As Ranking Member on the Space Subcommittee, I’m thrilled America is continuing to explore Mars and our solar system! https://www.cnn.com/2018/11/26/world/nasa-insight-mars-landing-today/index.html …",1067247646560133121,2018-11-27,02:44:02,repbera,0,2,14,2018-11-27 02:44:02
It’s Small Business Saturday! Remember to support small businesses and shop locally! #SmallBizSaturday #ShopSmall pic.twitter.com/UqLSmxoJBc,1066392276119707648,2018-11-24,18:05:05,repbera,0,2,4,2018-11-24 18:05:05
Staying in touch is a core part of my job. Join my email updates for the latest news and local events to help you and your family:  https://bera.house.gov/signup  pic.twitter.com/d1XDqQyKdj,1066046252603899904,2018-11-23,19:10:07,repbera,3,0,1,2018-11-23 19:10:07
Happy Thanksgiving! pic.twitter.com/XPJiQTzH1T,1065652424021602305,2018-11-22,17:05:11,repbera,1,1,4,2018-11-22 17:05:11
I’m heartbroken by the wildfires raging through our state. My website has resources that may be able to help you or someone you know. Please feel free to share this information with anyone who may need it: https://bera.house.gov/wildfires ,1065009350593454080,2018-11-20,22:29:50,repbera,2,4,6,2018-11-20 22:29:50
I’m heartbroken by the wildfires raging through our state. Please see my website for more information on resources that can help:  https://bera.house.gov/wildfires  pic.twitter.com/DkrMMv1Xq7,1064644357368754181,2018-11-19,22:19:29,repbera,1,5,7,2018-11-19 22:19:29
Thanks to everyone who attended my office’s tax workshop! My office is here to help you however we can! pic.twitter.com/rWTMIolsGL,1063971987209494529,2018-11-18,01:47:44,repbera,0,0,4,2018-11-18 01:47:44
"As a doctor, I’m very concerned about the ongoing poor air quality in our region. Please take care and limit your outdoor activity when possible. https://www.sacbee.com/news/state/california/fires/article221761760.html …",1063556112467861509,2018-11-16,22:15:11,repbera,1,3,8,2018-11-16 22:15:11
"My heart goes out to everyone who has been impacted by the wildfires raging in our state. If you or someone you know needs help, click here to learn about resources that may be available — including air quality information: https://bit.ly/2w9dDTK ",1062885165460910080,2018-11-15,01:49:05,repbera,0,3,8,2018-11-15 01:49:05
"To all of Sacramento County’s veterans, thank you. #VeteransDay pic.twitter.com/zIYxrJnBBL",1061667386309386241,2018-11-11,17:10:04,repbera,0,7,24,2018-11-11 17:10:04
"This weekend we come together to celebrate Veterans Day. To all of our veterans – thank you for your service. If you or someone you know is a veteran who needs help with benefits or health care, please call us at (916) 635-0505 or visit  http://bera.house.gov/helpforvets  to learn more. pic.twitter.com/55cCrxQw1Y",1061409192672747527,2018-11-11,00:04:06,repbera,0,5,17,2018-11-11 00:04:06
"My thoughts are with the firefighters, first responders, and the people of Paradise today who have been impacted by the Camp fire. Please stay safe and be mindful of the air quality, especially if you have a respiratory condition. https://www.sacbee.com/news/state/california/fires/article221407060.html …",1061023933456138240,2018-11-09,22:33:13,repbera,0,6,14,2018-11-09 22:33:13
"My office is committed to Making Government Work for Sacramento County. If you need help with the federal government, call us at (916) 635-0505 or visit  http://bera.house.gov/gethelp  pic.twitter.com/fPyYjBfEzW",1059905828189298688,2018-11-06,20:30:16,repbera,3,1,7,2018-11-06 20:30:16
Today is Election Day! Regardless of how you to vote – this is your opportunity to make sure government represents you. Learn more here:  http://www.elections.saccounty.net  pic.twitter.com/AV7W48LtHs,1059841617656463361,2018-11-06,16:15:07,repbera,0,3,9,2018-11-06 16:15:07
"Instead of gutting the Affordable Care Act and protections for those with pre-existing conditions, we should fix what isn’t working and make it better. See my Prescription to Protect our Care:  http://bit.ly/RxtoProtectOurCare … pic.twitter.com/KdxLdL1p2A",1059551209151971328,2018-11-05,21:01:08,repbera,0,3,5,2018-11-05 21:01:08
"Tomorrow is Election Day! Regardless of how you choose to vote, this is your opportunity to make your voice heard. Learn more at  http://www.elections.saccounty.net  pic.twitter.com/3MCRjggWBI",1059498178616221699,2018-11-05,17:30:24,repbera,0,2,7,2018-11-05 17:30:24
"My job is to serve you, regardless of the politics, to make a positive impact in our community. Here’s how my office has delivered for local families:  https://bit.ly/2OceTwg  pic.twitter.com/N51IjMI8Gw",1059245177431298050,2018-11-05,00:45:04,repbera,4,2,15,2018-11-05 00:45:04
Kicking millions off their insurance is not an option. We need bipartisan solutions to fix what isn’t working and make it better. Read my Prescription to #ProtectOurCare:  http://bit.ly/RxtoProtectOurCare … pic.twitter.com/xFohrILzeR,1059192330266259456,2018-11-04,21:15:05,repbera,3,4,7,2018-11-04 21:15:05
"As a doctor, I know firsthand that health care shouldn’t be about politics – it should be about putting patients first. pic.twitter.com/8UDp2z9STn",1059150931022016512,2018-11-04,18:30:34,repbera,5,8,21,2018-11-04 18:30:34
Making Government Work for Sacramento County means making a positive impact in people’s lives. Here’s how my office has helped local families:  http://bit.ly/2QeKlfd  pic.twitter.com/zYdUFt01yS,1058901688571101185,2018-11-04,02:00:10,repbera,2,0,3,2018-11-04 02:00:10
I am proud to stand with Planned Parenthood. A woman’s health care decisions belong between her and her doctor. pic.twitter.com/TL3cqHhsYl,1058877815968415744,2018-11-04,00:25:18,repbera,30,17,85,2018-11-04 00:25:18
