tweet,id,date,time,username,replies_count,retweets_count,likes_count
Thank you for stopping by! I appreciate your commitment to Ohio’s rural communities. https://twitter.com/OHElectricCoops/status/1123294786239201280 …,1123307936074407938,2019-04-30,19:27:36,repbobgibbs,0,2,6
"Today the @HouseDemocrats have a hearing on what they call #MedicareForAll which eliminates private insurance, raises taxes on American families, and will lead to rural communities with fewer care options as hospitals are forced to close. pic.twitter.com/dR93aQWVB8",1123241141938348032,2019-04-30,15:02:11,repbobgibbs,9,3,2
"@HouseDemocrats are having their first hearing on the government takeover of healthcare today. Their plan will eliminate employer-sponsored insurance, cost $32 trillion, and lead to longer lines and rationed care. https://youtu.be/o3HIQmJUjho ",1123239545565265921,2019-04-30,14:55:51,repbobgibbs,3,0,0
Very proud of Katie & KaraBeth! The Congressional App Challenge is a great opportunity to showcase their incredible skill and keen interest in computer science and coding. https://twitter.com/mrschamcham/status/1121045259738337280 …,1121051421615509505,2019-04-24,14:01:01,repbobgibbs,2,2,4
"I’ll be on @EveningEdit w Liz McDonald on @FoxBusiness around 6:30 tonight to talk #MuellerReport, the Democrats’ reactions to it and why it’s time to move on.",1119358303690272771,2019-04-19,21:53:10,repbobgibbs,11,1,1
"However, there are two outstanding questions: A - Was the FISA process corrupted by political bureaucrats for electoral advantage? And B - At what point in his 22-month investigation did Mueller know there was no collusion between Russia and the Trump campaign?",1118982629959831555,2019-04-18,21:00:23,repbobgibbs,13,39,68
"After 22 months, millions of taxpayer dollars, and thousands of subpoenas, their narratives have been shattered and they are moving the goalposts to avoid looking foolish.",1118982628672180225,2019-04-18,21:00:23,repbobgibbs,9,37,55
No collusion. No obstruction. Democrats and the mainstream media simply cannot accept reality. They were disappointed with the conclusions of the Mueller report and now they feign outrage over the Attorney General’s efforts in making the report public.,1118982627283877888,2019-04-18,21:00:22,repbobgibbs,36,63,168
Opportunity Zones are crucial tools to help invest in communities. #TaxReformWorks https://twitter.com/WhiteHouse/status/1118561064608776205 …,1118593000798552064,2019-04-17,19:12:08,repbobgibbs,2,1,1
"Experiential learning is often the best way to learn. I encourage parents, teachers, & school board members to incorporate more hands-on programming into the curriculums. https://www.times-gazette.com/opinion/20190413/letter-congressman-hails-hands-on-learning-at-ashland-christian …",1118164532076122113,2019-04-16,14:49:33,repbobgibbs,3,2,1
Yesterday millions of Americans filed their taxes. Since GOP passed the #TaxCutsAndJobsAct liberals have been lying to you. Most Americans actually got a tax cut. #YouKeepMore #GOPTaxCuts https://www.nytimes.com/2019/04/14/business/economy/income-tax-cut.html …,1118156009170722816,2019-04-16,14:15:41,repbobgibbs,5,5,6
"“To a large degree, the gap between perception and reality on the tax cuts appears to flow from a sustained — and misleading — effort by liberal opponents of the law to brand it as a broad middle-class tax increase.” #YouKeepMore #TaxCutsAndJobsAct  https://www.nytimes.com/2019/04/14/business/economy/income-tax-cut.html …",1118153889243697152,2019-04-16,14:07:16,repbobgibbs,61,19,24
"What we have is a crisis at the border, with @CBP & @ICEgov overwhelmed by the largest monthly number of apprehensions in over a decade. What we need are solutions, what Democrats want are campaign issues. https://twitter.com/TaylorPopielarz/status/1116527484424601601 …",1116721462856114179,2019-04-12,15:15:19,repbobgibbs,6,4,3
"Even Obama Admin DHS Secretary Jen Johnson said it is a crisis. @ICEgov and @CBP are stretched to the breaking point, detention centers are beyond capacity. Democrats’ ideas to solve it?🤷‍♂️",1115709770705657856,2019-04-09,20:15:12,repbobgibbs,6,2,3
@HouseDemocrats this isn’t a crisis? https://twitter.com/NBCNews/status/1115704747162468354 …,1115707713537871880,2019-04-09,20:07:02,repbobgibbs,7,6,7
"Democrats want to turn over control of the internet to 5 unelected bureaucrats in Washington. It doesn't protect privacy, protect speech, or protect rural communities. pic.twitter.com/NrMe59nkl2",1115687630388252677,2019-04-09,18:47:14,repbobgibbs,21,31,61
Here at @GOPoversight Dems are holding a hearing on what they say is their most important issue: climate change. Yet just a few minutes ago there were only 4 Democrats in attendance. They can’t even stick around for the entire hearing on their top issue? pic.twitter.com/SogalhFtzY,1115661337391173632,2019-04-09,17:02:45,repbobgibbs,3,6,7
We must also investigate the potential abuse of FISA surveillance by the Obama Admin. The American people shouldn’t have to worry about whether govt officials using their authority to tip the scales of an election.,1114207126073872384,2019-04-05,16:44:14,repbobgibbs,4,1,3
My conclusions after AG Barr released his summary: it’s clear Intel Chairman Adam Schiff’s credibility has been irreparably damaged and he should step down as Intel Committee Chair https://thehill.com/blogs/congress-blog/politics/437406-after-mueller-report-investigate-fisa-abuse …,1114207122974224385,2019-04-05,16:44:13,repbobgibbs,6,2,5
"After Mueller report, investigate FISA abuse | TheHill - check out my latest op-ed in ⁦@thehill⁩   https://thehill.com/blogs/congress-blog/politics/437406-after-mueller-report-investigate-fisa-abuse …",1113899591265603590,2019-04-04,20:22:12,repbobgibbs,14,31,57
Happy to have my Canton office participate in the Greater Stark County HS Career Expo earlier today! There are many career and education opportunities available to those about to graduate from high school. pic.twitter.com/RvwBRBWzTX,1113537664706404352,2019-04-03,20:24:02,repbobgibbs,0,1,3
Stood with my colleagues this afternoon to sign the discharge petition to bring the #BornAliveAct to the House floor for a vote. Thank you to ⁦@RepAnnWagner⁩ & ⁦@SteveScalise⁩ for leading the fight to #EndInfanticide pic.twitter.com/VRFNvWHDWM,1113164656552620032,2019-04-02,19:41:50,repbobgibbs,15,72,227
Proud to support this effort for a vote on the House floor to #EndInfantcide after being denied by @HouseDemocrats 25 times. https://twitter.com/SteveScalise/status/1113129353456435200 …,1113140708846731275,2019-04-02,18:06:40,repbobgibbs,18,59,224
This year @RepAnnWagner introduced the #BornAliveBill to protect babies who survive an abortion attempt. @SpeakerPelosi & @HouseDemocrats have blocked it 25 times. Today I’m signing the discharge petition so the House can vote on the bill & #EndInfanticide pic.twitter.com/YzracBV2Z2,1113108132178341888,2019-04-02,15:57:13,repbobgibbs,11,16,17
Congratulations to @PioneerCTC which celebrated 50 years of career tech education last week! They’re helping create the workforce needed for our changing economy. pic.twitter.com/Zj4tTFbr6W,1113072411136704512,2019-04-02,13:35:17,repbobgibbs,0,3,3
