tweet,id,date,time,username,replies_count,retweets_count,likes_count
I will continue to do all I can to hold Wheeler accountable and provide oversight of the Trump administration’s repeated efforts to undermine protections for public health and our planet.,1101200492301041664,2019-02-28,19:20:31,repbonamici,2,1,12
"He continues to put our communities and our planet at risk by dismissing scientists, defending polluters, and ignoring scientific evidence on climate change.",1101200450118995973,2019-02-28,19:20:21,repbonamici,3,1,9
"Wheeler’s actions as Acting Administrator demonstrate that he is not committed to protecting public health and the environment, and show that he is willing to act counter to the mission of the Agency he is now confirmed to lead.",1101200371962253317,2019-02-28,19:20:02,repbonamici,1,0,5
The Senate’s confirmation of Andrew Wheeler as Administrator of the EPA is deeply disappointing. It is unacceptable that a former coal lobbyist who ignores science was approved to lead the EPA. https://bonamici.house.gov/media/press-releases/bonamici-statement-confirmation-andrew-wheeler-epa-administrator …,1101200313820811264,2019-02-28,19:19:48,repbonamici,3,9,35
Your advocacy helped make this possible. Thank you for all of your work. https://twitter.com/HilaryUhlig1/status/1101162131376943105 …,1101196850743463936,2019-02-28,19:06:03,repbonamici,5,13,51
We held a hearing on my bipartisan COAST Research Act to improve research so coastal communities can better prepare for & mitigate the effects of climate change. I look forward to working with my colleagues on @HouseScience to pass this legislation quickly https://bonamici.house.gov/media/press-releases/environment-subcommittee-holds-hearing-bonamici-bill-address-health-oceans-and …,1101157662996217857,2019-02-28,16:30:20,repbonamici,2,2,9
Oregon’s #shellfish industry and researchers at @OregonState have collaborated on mitigation strategies that are helping the shellfish industry survive. Their research shows what is possible when we invest in science to help coastal communities adapt to climate change.,1100956014613094401,2019-02-28,03:09:03,repbonamici,3,2,41
"The economic vitality of coastal states like Oregon depends on the health of our oceans, but #GHG emissions and #ClimateChange are causing ocean chemistry to change. Acidic waters make it difficult for shellfish and marine life to build their shells and skeletal structures.",1100955895763226624,2019-02-28,03:08:34,repbonamici,3,6,50
"Just before #HR8 was passed today, I met with Hunter Yuille, who tragically lost his mom in the Clackamas Town Center Shooting when he was only 13, and @lanemurdock2002, who organized the National School Walkout. I will continue to do all I can to #EndGunViolence. pic.twitter.com/vWuVdUk1fi",1100860625402630151,2019-02-27,20:50:00,repbonamici,4,10,78
"Evidence shows that Oregon and other states that have already passed comprehensive background checks have 35% fewer gun deaths, and 47% fewer women shot by their intimate partners. Congress is finally doing more than offering thoughts and prayers.  https://bonamici.house.gov/media/press-releases/bonamici-local-advocates-celebrate-passage-historic-gun-violence-prevention …",1100860472348368896,2019-02-27,20:49:24,repbonamici,3,10,36
"By passing #HR8, we are heeding the call of the hundreds of thousands of students who marched for their lives. This bill will save lives because it requires a background check for nearly all firearm sales and transfers. #EndGunViolence pic.twitter.com/LZX3teTxAO",1100860156605353985,2019-02-27,20:48:08,repbonamici,12,10,71
