tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Today and every day we #StandWithSaudiFeminists, and we demand that Saudi officials #FreeLoujain. Read more about Loujain’s story here: https://www.theguardian.com/world/2019/jul/14/loujain-al-hathloul-family-imprisoned-saudi-activist …",1156580050952736768,2019-07-31,14:59:07,repbonamici,4,26,61
"With my support, the House recently passed H.Res. 129 to condemn the continued detention of these women’s rights advocates and reaffirm U.S. commitment to promoting human rights, particularly the empowerment of women and girls.",1156579962348036096,2019-07-31,14:58:45,repbonamici,1,8,34
"For three months, her Saudi captors tortured her and did not let her contact her family. Her story, along with those of many other Saudi female activists, are clear signs of the cruel human rights violations occurring in Saudi Arabia.",1156579807624384516,2019-07-31,14:58:09,repbonamici,1,7,20
"Saudi Arabian women’s rights activist Loujain al-Hathloul turns 30 today - behind bars in a Saudi prison. Loujain has been imprisoned for nearly 450 days, 10 months of which she was held without charges or a trial.",1156579696378818561,2019-07-31,14:57:42,repbonamici,6,67,105
"54 yrs ago today, Pres. Johnson signed Medicare & Medicaid into law. Since then these 2 monumental programs have provided essential care to families & individuals in Oregon & across our nation. I'll continue to do all I can to strengthen these programs & expand health care access pic.twitter.com/60dvpXKhNT",1156279737821618177,2019-07-30,19:05:46,repbonamici,1,6,28
"We must immediately improve conditions for migrants, end family separation, and hold the administration accountable for their violations of law and human rights.",1155940096878632960,2019-07-29,20:36:10,repbonamici,3,5,24
"And at our Southern border, thousands of children and teenagers were forcibly separated from their parents or family member by the Trump administration. The physical, psychological, and emotional damage from forced separation may last a lifetime.",1155940053077524483,2019-07-29,20:35:59,repbonamici,3,3,10
"Here in Oregon, Morrison is working diligently to care for the young people in their custody, and to find them safe homes. My visit reinforces my commitment to working for a humane immigration and refugee policy that keeps families together.",1155940014175338497,2019-07-29,20:35:50,repbonamici,1,0,6
Congress must be allowed to exercise its oversight role by visiting people—including children—held in federally-funded facilities.,1155939952753967104,2019-07-29,20:35:35,repbonamici,1,2,7
"This weekend I toured Morrison Child & Family Services with @SenJeffMerkley, @RepPeterDeFazio, & @repblumenauer. As a mother, it’s heartbreaking to visit detained migrant children and teenagers. https://www.opb.org/news/article/oregon-portland-shelters-unaccompanied-migrants-congress-delegation/ …",1155939856712777728,2019-07-29,20:35:12,repbonamici,5,9,35
