tweet,id,date,time,username,replies_count,retweets_count,likes_count
The desire of Trump and his Administration to lock up desperate people fleeing violence is so strong he will put people in the path of a hurricane at risk. That's a level of moral corruption that defies understanding. #HurricaneDorian2019 #BorderCrisis https://twitter.com/HomelandDems/status/1167137803794296834 …,1167441448213602307,2019-08-30,14:18:25,repbonnie,2,1,12
"July was Earth's hottest month, yet @OSHA_DOL does not require protections from deadly heat. The Asuncion Valdivia Heat Illness & Fatality Prevention Act would change that! #ClimateCrisis #beattheheat  https://bit.ly/34gqhAC  pic.twitter.com/WysPflNn5P",1167156284292063233,2019-08-29,19:25:17,repbonnie,2,2,6
The current procedure has been in place for 15 years. It has helped service members abroad and was not a major source of complaint. This move is needlessly complicating a system designed to help military families. It's shameful. https://twitter.com/RepDonBeyer/status/1166788933675565057 …,1167155104899899392,2019-08-29,19:20:36,repbonnie,3,14,64
The @EPA is run by former energy company lobbyists. Is it any wonder the EPA is now loosening regulations on the release of methane - a greenhouse gas 80X more powerful than CO2? #draintheswamp huh? https://www.nytimes.com/2019/08/29/climate/epa-methane-greenhouse-gas.html …,1167072934671896577,2019-08-29,13:54:05,repbonnie,1,14,20
This is a declaration of a terrible set of priorities. With Hurricane Season heating up and a tropical storm bearing down on Puerto Rico and the mainland Trump is diverting funds AWAY from FEMA to expand his disastrous detention centers. #HurricaneDorian https://thehill.com/latino/459015-trump-administration-pulling-millions-from-fema-other-agencies-to-send-to-border …,1166471405128626176,2019-08-27,22:03:49,repbonnie,8,31,46
I'm going to advise you against your instinct for a preemptive strike. https://twitter.com/realDonaldTrump/status/1166382203808440320 …,1166422677676052484,2019-08-27,18:50:12,repbonnie,4,8,51
We need to talk about this issue. Tonight (8/27) at Woolsey Park in Hopewell there will be an important event as a part of International #OverdoseAwarenessDay with information and resources and a vigil for those we've lost.,1166419393036902400,2019-08-27,18:37:08,repbonnie,1,2,7
With this in mind New Jersey passed the Overdose Prevention Act in 2012. If you witness an overdose and call 9-1-1 you wont be prosecuted for use or simple possession. It's about saving lives.,1166419392256716802,2019-08-27,18:37:08,repbonnie,1,2,12
"For too long, our society treated drug addiction as an individual failure instead of a health crisis. The stigma must come off if we are going to end the scourge of overdoses that has plagued our communities. #OverdoseAwarenessDay",1166419391422091264,2019-08-27,18:37:08,repbonnie,1,4,13
It's time for AT&T to respect the National Labor Relations Act and their workers.  Come to the table and negotiate in good faith.  #CWAstrong,1166088644211478536,2019-08-26,20:42:52,repbonnie,2,21,62
