tweet,id,date,time,username,replies_count,retweets_count,likes_count
"This graphic is alarming – the numbers don’t lie. Both #HR2203 and #HR3525, passed in the House this week, do NOTHING to end the border crisis nor prevent another in the future. @HouseDemocrats continue to place ILLEGAL ALIENS over American citizens and veterans. pic.twitter.com/3h81qrw7AH",1177342060304711681,2019-09-26,21:59:55,repbrianbabin,18,42,41
"While House D's were pushing a farce of an impeachment inquiry, @POTUS was delivering one of the strongest, pro-American speeches I've ever heard a President make – detailing what it truly means to place our nation and its people FIRST. #UNGeneralAssembly https://politi.co/2mCY5qg ",1176986544625897475,2019-09-25,22:27:14,repbrianbabin,15,17,46
"Question:Should Hunter Biden have done billions of $ of business with shady characters in Ukraine while VP @JoeBiden was serving as Obama’s designated ""anti-corruption crime fighter"" in Ukraine? 

Genuinely interested to see if anyone can explain how that was somehow a good idea.",1176956528286425088,2019-09-25,20:27:57,repbrianbabin,21,7,25
"Today’s call for an impeachment inquiry is based on secondhand knowledge from an unknown whistleblower who wasn’t even on the phone call. Yes, you read that right. The vendetta against @realDonaldTrump continues - and the only real losers are the American people. @FoxBusiness pic.twitter.com/5FaOeiW44I",1176634188163878912,2019-09-24,23:07:05,repbrianbabin,33,16,42
"What you meant to say was: ""Every American is presumed innocent until proven guilty beyond a reasonable doubt"" - right @RepSlotkin? https://twitter.com/TheLeadCNN/status/1176614662688968704 …",1176621981690662912,2019-09-24,22:18:35,repbrianbabin,8,1,16
"I joined city officials & incredible volunteers – many having lost their own homes & belongings – over the weekend to deliver supplies to several communities in Chambers Co. Texans are resilient, and together, we will get through this hardship.#TexasStrong https://bit.ly/2kV3KaG ",1176546387544236033,2019-09-24,17:18:12,repbrianbabin,2,3,11
Honored to attend last night’s event in Houston w/ @POTUS @realDonaldTrump welcoming Indian PM @narendramodi to TX! America’s bond w/ India was made even stronger by yesterday’s historic event. Thousands filled NRG Stadium to show their support for this great alliance.#HowdyModi pic.twitter.com/c7K1Sd02UE,1176251885390630914,2019-09-23,21:47:57,repbrianbabin,4,22,96
Post offices in the areas impacted by Imelda have reopened with the following exceptions: pic.twitter.com/LtO9LPcydr,1175498550979039233,2019-09-21,19:54:28,repbrianbabin,2,1,7
"...and have access to the resources they need during and after this storm is my top priority at this time. I pray that everyone remains safe, and please know that my office and I will continue assisting in every way we can.",1174801945703440392,2019-09-19,21:46:25,repbrianbabin,3,1,8
I joined @TXRandy14 in sending a letter to @realDonaldTrump requesting he act swiftly to deliver a Federal Disaster Declaration to the regions of SE Texas impacted by Imelda once @GovAbbott makes such a request. Ensuring that the folks of #TX36 are safe... https://bit.ly/2m4pIYJ ,1174801944512274438,2019-09-19,21:46:24,repbrianbabin,2,2,14
Americans see through these sham proceedings that will lead NOWHERE. Even left-leaning media networks know these hearings are pointless. House D's have squandered time & resources – supplied by YOUR tax dollars – instead of passing meaningful legislation. https://fxn.ws/2lTtvYZ ,1174420173727522816,2019-09-18,20:29:23,repbrianbabin,7,6,21
"Happy 72nd Birthday, @usairforce! Thank you to our courageous airmen – past and present – for your dedicated service to our nation. I'm proud to have had the opportunity to serve. Thought I'd share a photo me as a young captain (circa 1976). #AimHigh #FlyFightWin pic.twitter.com/E8YpsJRr81",1174368326073626630,2019-09-18,17:03:22,repbrianbabin,5,4,20
"As Tropical System Imelda continues to make landfall, I hope everyone stays tuned into their local officials and weather stations to receive the latest updates. For more hurricane and emergency resources, please click here →  https://bit.ly/2kRpLqO . #TX36 https://wxch.nl/2kHBZ5p ",1174346191603032064,2019-09-18,15:35:25,repbrianbabin,3,0,3
"This #ConstitutionDay, I stood w/ several Gold Star moms to remember those who have paid the ultimate price defending our freedom. #GoldStarFamilies will always hold a special place in my heart. Thanks to them, the memories of those we've lost in combat will NEVER be forgotten. pic.twitter.com/xeSLLPR0em",1174090043822096385,2019-09-17,22:37:34,repbrianbabin,5,2,16
We had a fantastic turn out at the U.S. Service Academy & ROTC Forum that @TXRandy14 and I hosted on Saturday. Thanks to those who attended and hope many of your questions were answered. Having a role in selecting our future military leaders is one of my great honors in Congress! pic.twitter.com/5miDyUTIzH,1174073017531547653,2019-09-17,21:29:55,repbrianbabin,0,0,3
"During the Republican retreat this past weekend, I heard a moving testimony from former Dallas Cowboys running back, Herschel Walker. Herschel’s not only an outstanding athlete, but also a fine Christian, American patriot & role model for our youth. I was glad to meet him! pic.twitter.com/sVGAdq8TEb",1173648099153240065,2019-09-16,17:21:26,repbrianbabin,2,1,12
"REMINDER: Tomorrow, @TXRandy14 and I will be hosting a U.S. Service Academy and ROTC Forum at Hardin-Jefferson High School. I hope those interested will be able to attend. You can find more info on the flyer below! #TX36 #TX14 https://twitter.com/RepBrianBabin/status/1167529162388779008 …",1172540328957620224,2019-09-13,15:59:33,repbrianbabin,1,3,3
"The passage of #HR1941, #HR205 & #HR1146 show Democrats would rather rely on Russia & the Middle East for our energy needs instead of using the resources right here in the U.S. These bills threaten our national security, strong economy & weaken America’s industrial independence.",1172228336451510276,2019-09-12,19:19:49,repbrianbabin,4,7,15
"While often drowned out by partisan rhetoric, Congress IS actually capable of working together to prevent mass violence in all of our communities. The TAPS Act is a great example of that w/ 140 equally bipartisan cosponsors. Read my @USATODAY op-ed below. https://bit.ly/2mdTACi ",1172217842915262467,2019-09-12,18:38:07,repbrianbabin,4,2,4
"It’s interesting how great news like this doesn’t get much attention. As our economy continues to flourish, millions are heading back into the workforce. Americans from all backgrounds and walks of life are benefiting from pro-growth Conservative policies. https://bit.ly/2mdo4Er ",1172189207693070337,2019-09-12,16:44:19,repbrianbabin,5,4,7
"Today, we remember the thousands of lives lost on September 11 – may we #NeverForget. pic.twitter.com/wiOt4v1tvi",1171846875076616192,2019-09-11,18:04:01,repbrianbabin,3,1,4
