tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Just since 2010, Buffalo and Western New York have seen historic preservation investment involved in more than 100 projects, totaling nearly $750 million in completed work. These investments help revitalize the region while maintaining our historic identity.",1134569466677878784,2019-05-31,21:16:54,repbrianhiggins,1,2,6
"Historic Preservation Month lets us reflect on our history and how it can drive new economic activity & urban regeneration.
Take a look at some of the projects in WNY made possible with Historic and New Markets Tax Credits #ThisPlaceMatters @savingplaces http://bit.ly/2yAJCwO ",1134569462760443904,2019-05-31,21:16:53,repbrianhiggins,1,3,5
"New report confirms what we have repeatedly said, that the #GOPTaxlaw would not, is not, and will not even remotely pay for itself. https://twitter.com/WaysMeansCmte/status/1134482921438556161 …",1134537301076381697,2019-05-31,19:09:05,repbrianhiggins,3,5,8
"If you don't receive our newsletter, sign up to get important updates and more here: https://higgins.house.gov/contact/newsletter …",1134489723383287809,2019-05-31,16:00:02,repbrianhiggins,0,0,1
Check out our most recent newsletter reflecting on the Memorial Day weekend:  https://higginsforms.house.gov/news/email/show.aspx?ID=32FI7CNMWEBEI …,1134489721634271233,2019-05-31,16:00:02,repbrianhiggins,1,1,3
"Joined local leaders and community members today at the Northland Workforce Training Center for a labor roundtable discussion and engaged on issues including fair trade, workplace rights, and job creation. pic.twitter.com/PpS9T2vdYZ",1134193020608352256,2019-05-30,20:21:03,repbrianhiggins,1,1,4
"This is good news. Whatever your politics, increasing access to voting to more people is good for our communities, our country and our democracy. https://buffalonews.com/2019/05/30/erie-county-elections-board-proposes-37-early-voting-sites/ …",1134142844246081536,2019-05-30,17:01:40,repbrianhiggins,1,3,15
"After 2 yrs, 100s of indictments and 30+ convictions, one thing is clear: the President was not exonerated. The stated instances of obstruction in the report warrant further investigation. POTUS must stop stonewalling & Congressional committees must complete this investigation pic.twitter.com/QpMNyrKIrA",1133821786775269378,2019-05-29,19:45:54,repbrianhiggins,18,7,39
A $4 million federal grant will allow @bestselfwny to expand access to supportive services at ClubWest site #mentalhealthmatters https://twitter.com/BfloBizFirst/status/1133599029206626304 …,1133737236132958209,2019-05-29,14:09:55,repbrianhiggins,0,2,2
"The @niagarashuttle is rolling into its 4th season.  The free hop on/hop off shuttle, a @FindYourNiagara project, connects people to destinations in Niagara Falls and throughout the greater Niagara region. pic.twitter.com/PlonYz6CUQ",1133728562685632512,2019-05-29,13:35:27,repbrianhiggins,1,6,10
Members of the @914ARW Honor Guard present a flag flown over the @USCapitol to the family of fallen soldier Pvt Norman Wyatt during a #MemorialDay ceremony hosted by the Jesse Clipper @AmericanLegion #430 Auxiliary pic.twitter.com/ZvIkwOJZCl,1133169362142158849,2019-05-28,00:33:23,repbrianhiggins,0,1,3
"Private Norman Wyatt lost his life while serving in the @USArmy during the Vietnam War.  This #MemorialDay we paid tribute with the Jesse Clipper @AmericanLegion Auxiliary by presenting the Wyatt family, including Councilman @RashWyatt , with Pvt Wyatt's military service medals. pic.twitter.com/Ux16laVyzu",1133167588752732161,2019-05-28,00:26:21,repbrianhiggins,0,2,7
Joined @SenKennedy at the West Side Rowing Club for a #MemorialDay dedication of a plaque honoring members who made the ultimate sacrifice during WWI & WWII pic.twitter.com/b0kErDMVFy,1133155955582152706,2019-05-27,23:40:07,repbrianhiggins,0,3,9
This #MemorialDay we honor and remember all servicemembers who made the ultimate sacrifice on behalf of our country. pic.twitter.com/MkmxTrYYzC,1133009971690520576,2019-05-27,14:00:02,repbrianhiggins,1,2,6
"The @maidofthemist is open for it’s 134th season, sailing this year under the American flag.  This is the first time since 1885 the US flag has been flown on a boat below #NiagaraFalls 🇺🇸 pic.twitter.com/lsdlrgz68x",1132327027577634816,2019-05-25,16:46:15,repbrianhiggins,0,7,34
"It wasn't long ago that people had a hard time finding the Outer Harbor.  Today we open Lakeside Complex, the latest in a string of parks and public destinations along the @BufWaterfront pic.twitter.com/sk7FrkS8aX",1132020504796311552,2019-05-24,20:28:14,repbrianhiggins,8,4,37
The McKinley High School JROTC led a solemn #MemorialDay ceremony to remember the great sacrifices of generations of fallen servicemembers pic.twitter.com/eoJCAGU0hk,1131973395707498506,2019-05-24,17:21:03,repbrianhiggins,0,1,2
".@WaysMeansCmte is moving forward on a top priority, seeking comment on bipartisan legislation to increase the government's leverage to bring down prescription drug costs to help consumers. Submit your comments here: https://waysandmeans.house.gov/solicitation-feedback-draft-medicare-part-d-legislation …",1131946884896108545,2019-05-24,15:35:42,repbrianhiggins,1,1,1
"Back at South Park High @Buffalo_School w/ @SenKennedy & @CMChrisScanlon last night where 123 alumni were posthumously honored with the NYS Conspicuous Service Cross, a #MemorialDay tribute made possible through the efforts of fellow SPHS alumnus Matthew Parsons pic.twitter.com/xgNAl8MRgn",1131934572344684546,2019-05-24,14:46:47,repbrianhiggins,0,3,5
"Back at my alma mater, South Park High School for #MemorialDay events including the dedication of a plaque, donated by @AmericanLegion Posts #64 and #721, paying tribute to Vietnam War era students who paid the ultimate sacrifice. pic.twitter.com/5UVjVNS933",1131707498820460545,2019-05-23,23:44:28,repbrianhiggins,0,3,14
Veteran suicide rates remain high and we owe it to our servicemembers to provide them with adequate support as they transition home. This week the House passed legislation aimed at better serving the men and women who serve this nation. https://higgins.house.gov/media-center/press-releases/higgins-announces-approval-of-bills-supporting-veterans …,1131656190788808706,2019-05-23,20:20:35,repbrianhiggins,0,0,3
ICYMI: This week the House passed legislation fixing a tax hike that the 2017 GOP tax law had caused Gold Star Families on the benefits they receive. More info here: https://higgins.house.gov/media-center/press-releases/higgins-announces-approval-of-fix-for-gold-star-families …,1131641653935169541,2019-05-23,19:22:49,repbrianhiggins,0,0,3
"Yesterday the @WaysMeansCmte held a hearing about enforcement provisions in the #newNAFTA deal. The new deal, like the old one, currently doesn't go far enough to protect & improve worker rights, prevent environmental degradation, & would continue the outsourcing of American jobs pic.twitter.com/2YGzmczwTP",1131630652573519872,2019-05-23,18:39:06,repbrianhiggins,0,0,6
"The #GOPTaxLaw brought many unintended consequences that Congress is now trying to fix, including a significant increase in tax rates for #GoldStar families. Today Congress will pass the #SECUREAct so families that have already given so much are not asked to give even more. pic.twitter.com/NtWAge5iNa",1131581681943666688,2019-05-23,15:24:31,repbrianhiggins,2,12,24
Today we will pass the #SECUREAct as we fight to restore the promise of a secure retirement to the millions of Americans who have earned it through decades of hard work. pic.twitter.com/ZnVSlNNbMG,1131577732209496064,2019-05-23,15:08:49,repbrianhiggins,0,2,5
"The @CFPB exists to protect consumers from being taken advantage of by predatory financial institutions. This administration has gutted the bureau, and this week we'll vote on HR1500 to put #ConsumersFirst and give CFPB back the power to look out for average Americans. pic.twitter.com/aRALcOVqya",1131311784252661760,2019-05-22,21:32:02,repbrianhiggins,0,0,3
"Great to see Air Traffic Controllers visiting the Hill including those who staff towers at the @BUFAirport and @ROCAirport.  We are grateful for your focused & unwavering commitment to protecting airline passengers each day, especially during the gov't shutdown #NATCAinWashington pic.twitter.com/O8CTJQwrv8",1131218249931198464,2019-05-22,15:20:22,repbrianhiggins,0,2,11
I took to the House floor today to call for approval of legislation that will fix a provision in the new GOP tax law that increased taxes on benefits for families of fallen service members. pic.twitter.com/EifReMP0S4,1130940631382151168,2019-05-21,20:57:13,repbrianhiggins,3,3,23
Reminding @ASTCT advocates in a packed room to not let up on members of Congress when calling on continued funding for cancer research and access to immunotherapy #ASTCTHillDay19 pic.twitter.com/HwGrBcKUHS,1130880935304597504,2019-05-21,17:00:00,repbrianhiggins,0,5,11
"On this day 100 years ago, the House of Representatives took the first step in passing the 19th Amendment, granting women the right to vote. New York went on to ratify the amendment on June 16th, and the Constitution was amended in August of 1920. #WomensVote100 pic.twitter.com/3hHiTQZ0yb",1130874844403425281,2019-05-21,16:35:48,repbrianhiggins,0,2,7
It's Election Day in school districts across Erie and Niagara Counties.  Don't forget to cast your vote in these important elections that shape our children's future.  #VOTE pic.twitter.com/HX7MkVG8em,1130833240980369409,2019-05-21,13:50:29,repbrianhiggins,0,1,1
SSgt Janet Smith served our country in the @USArmy for over 20 years and continues to be one of Western New York's strongest advocates for our veterans.  Read her story in @theBuffaloNews: https://buffalonews.com/2019/05/20/retired-army-staff-sergeant-now-volunteers-to-help-other-veterans/ …,1130545808015855617,2019-05-20,18:48:19,repbrianhiggins,1,3,18
Congrats to @LeadershipNia's Leaders of the Year pic.twitter.com/esb1bO2jNO,1129505185104109570,2019-05-17,21:53:15,repbrianhiggins,0,0,2
"Canada is our closest ally & a great trading partner.  Last year's decision by the Administration to add tariffs to Canadian steel & aluminum was a bad one, costing the US economy and hurting communities like WNY.  We are glad to see an agreement is in place to remove them. pic.twitter.com/1Nw46u6jZq",1129466793398079491,2019-05-17,19:20:42,repbrianhiggins,1,0,9
"This is a big deal, and long overdue. I was very proud to support  the #EqualityAct https://twitter.com/HRC/status/1129420097355997184 …",1129427693823582210,2019-05-17,16:45:20,repbrianhiggins,3,8,26
The rapid growth of prescription drug prices is unreasonable and making necessary medications unaffordable. Last night we voted on a package of bills aimed at lowering Rx drug costs for consumers. #ProtectOurCare  https://higgins.house.gov/media-center/press-releases/higgins-announces-approval-of-bill-package-addressing-prescription-drug … pic.twitter.com/El6JRtoxis,1129396316298199041,2019-05-17,14:40:39,repbrianhiggins,2,2,3
"Being a Letter Carrier in Western New York is no easy task.  Thanks to the dedicated men and women of @NALC_National Branch 3 who deliver every day.  It was great to visit with you in Washington, DC pic.twitter.com/VAUs6DFgRQ",1129382084190068739,2019-05-17,13:44:06,repbrianhiggins,1,4,10
Great to catch up with several @BNARwny members in Washington for #NARLegislative meetings this week.  Your work is supporting a growing WNY economy. pic.twitter.com/koHQ1UYmMg,1129048500363288577,2019-05-16,15:38:33,repbrianhiggins,1,4,5
"#OTD in 2016 we celebrated completion of the @RoswellPark Clinical Sciences Center, expanding opportunities to serve cancer fighters and survivors. The building was funded with federal New Markets Tax Credits and donations from a generous WNY.  #TBT #NMTC pic.twitter.com/2tgith0olJ",1129027036952059905,2019-05-16,14:13:16,repbrianhiggins,0,5,8
The progress on #climatechange is not proportional to the problem. Aggressive tactics need to be taken now to solve this crisis. Remarks from today's @WaysMeansCmte hearing: pic.twitter.com/CaSxRigqXi,1128776094298050563,2019-05-15,21:36:07,repbrianhiggins,2,2,5
"For more than 40 years, Blue Water Navy veterans haven't received the health benefits they earned from serving in Vietnam. This week, the House passed a bill to finally right that wrong. More details here: https://higgins.house.gov/media-center/press-releases/higgins-announces-house-passage-of-legislation-providing-assistance-to …",1128769741521346560,2019-05-15,21:10:52,repbrianhiggins,1,2,5
"With flight safety in the forefront, the @3407Families are again on the Hill this week for this @TransportDems hearing and another in @SenateCommerce.  The flying public is safer today thanks to their continued unwavering advocacy. https://twitter.com/TransportDems/status/1128631045912498176 …",1128672725021728768,2019-05-15,14:45:22,repbrianhiggins,1,3,2
How we deal with #ClimateChange today will determine everything about the world around us tomorrow. Listen as we lead this important discussion in the @WaysMeansCmte https://twitter.com/WaysMeansCmte/status/1128646215992655873 …,1128666293194903552,2019-05-15,14:19:48,repbrianhiggins,1,5,7
