tweet,id,date,time,username,replies_count,retweets_count,likes_count
"During this busy travel season, let's not forget the hardworking air traffic controllers who make it their job to get us there safely.  Visited the @BufAirport tower this week to meet with the team directing flights at the Buffalo Niagara Airport. @NATCA pic.twitter.com/d7zfMj7sDh",1199733912416800770,2019-11-27,16:57:09,repbrianhiggins,1,4,21
"We also had the privilege of presenting Roger Dearmyer, Vietnam Veteran of the 4th Infantry Division who was was wounded by the enemy in action On April 17, 1967, with a full set of the medals he earned exactly 52 years ago this week, including the Purple Heart and many others. pic.twitter.com/z7GWLejd0g",1199391450913529861,2019-11-26,18:16:20,repbrianhiggins,1,0,6
"A couple of months ago I was approached by @MOPH_HQ Chapter 187 Vice Commander & Vietnam @USArmy veteran Russ Ward with the idea to create a Purple Heart Flag to be flown with the American Flag at government buildings. Today, we're proud to officially announce that legislation. pic.twitter.com/z7yL0TsT8K",1199391438699716610,2019-11-26,18:16:17,repbrianhiggins,1,0,6
"Honored to join @MOPH_HQ Chapter 187 in Depew to announce our new bill H.R. 5237, the Purple Heart Flag Act, officially designating a Purple Heart flag which would be publicly displayed at federal facilities on certain days. Read the bill here:  http://higgins.house.gov/sites/higgins.house.gov/files/HIGGIN_018_xml.pdf … pic.twitter.com/cYv8wtbzIP",1199391424246165504,2019-11-26,18:16:13,repbrianhiggins,1,1,6
Frank discussion with @WestSenecaCSD's newly created Students Demand Action group about ways to #EndGunViolence including House action on background check legislation. We applaud the efforts of these students to step up and be part of the solution. #HR8 #HR1112 #EnoughIsEnough pic.twitter.com/6g8qjriCGJ,1199098500543332352,2019-11-25,22:52:15,repbrianhiggins,2,8,25
To learn more about AmeriCorps opportunities with Mission:Ignite go to: https://www.missionignite.org/iylamericorps ,1199033025788628993,2019-11-25,18:32:04,repbrianhiggins,0,0,2
"STEM employment has grown 79% since 1990, & STEM workers earn about 25% more annually than those with the same level of college experience. This project will not just build STEM skills but also provide experience & education awards for student loan repayment to AmeriCorps members pic.twitter.com/GenbhoXONc",1199033021040648192,2019-11-25,18:32:03,repbrianhiggins,1,2,6
"Proud to announce a $1M federal grant from @NationalService to Mission:Ignite to work with @AmeriCorps in expanding STEM skills among WNY youth. Through its Ignite Your Life program, AmeriCorps members will train young people in the skills that meet the needs of today’s economy. pic.twitter.com/VQkTZqhlQx",1199033008541622272,2019-11-25,18:32:00,repbrianhiggins,4,5,14
Joined @BUFAirport @SenKennedy @CPeoplesStokes & @LtGovHochulNY to mark a major milestone in the Terminal Enhancement Project as @TheIronworkers Local 6 carries out a topping out ceremony for the east side terminal expansion. #BUFup pic.twitter.com/iC9E95fyGt,1197999624289574913,2019-11-22,22:05:42,repbrianhiggins,2,2,21
"Joined today's exciting groundbreaking ceremony for @AlbrightKnox's AK360 Campus Development and Expansion Project, which will double the number of works that the museum, originally built in 1905, can display. When reopened in 2022, it will be known as the Buffalo AKG Art Museum. pic.twitter.com/LdfFFFmBo1",1197934225363738624,2019-11-22,17:45:50,repbrianhiggins,1,1,16
"The @BLS_gov reports that workplace violence in healthcare and social service jobs have increased by 80% over the last decade. Today the House approved HR 1309, supported by @wnycosh, providing added protections for workers.",1197583252762091520,2019-11-21,18:31:12,repbrianhiggins,1,3,6
"With a 5-year #PancreaticCancer survival rate of just 9%, the need to do better is urgent. Researchers at @RoswellPark & elsewhere are making strides in overcoming resistance to treatment, still robust funding is needed to save lives. @PanCan #WPCD #WorldPancreaticCancerDay pic.twitter.com/0K1q98Cas1",1197535868971565057,2019-11-21,15:22:54,repbrianhiggins,6,19,63
"This morning's #ImpeachmentHearing includes testimony from Dr. Fiona Hill, a former National Security Council expert on Russia, and David Holmes, an official with the US Embassy in Ukraine.  Watch LIVE now via @HouseIntel: https://youtu.be/C8XjYjVsDXE ",1197520385505411072,2019-11-21,14:21:23,repbrianhiggins,0,1,2
Projects led by @BuffaloState targeted toward efforts on Buffalo's West Side https://twitter.com/news4buffalo/status/1196877050415656966 …,1197233394524000256,2019-11-20,19:20:59,repbrianhiggins,1,0,6
