tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Today is Small Business Saturday, a day to celebrate and show our support for the businesses in #FL18 that make our community so special. Tag your favorite small business to show your appreciation! pic.twitter.com/ZTv0ZEc9c0",1200791598902083585,2019-11-30,15:00:01,repbrianmast,4,3,13
"Great news! → @POTUS has signed the PACT Act into law making animal cruelty a federal crime. I’m hopeful this will help crack down on the terrible abuse of animals, and I’m glad Congress was able to come together to get this done. Read more here: https://abcnews.go.com/Politics/president-trump-sign-animal-cruelty-bill-law-making/story?id=67295654 …",1199719530844561409,2019-11-27,16:00:00,repbrianmast,4,3,24
"Mark Cunningham was an inspiration to me, my family and everyone in our community. We will continue fighting - in Mark’s memory - to help those battling glioblastoma, and we won’t stop until we find a cure! https://www.wptv.com/news/region-st-lucie-county/mark-cunningham-local-man-passes-away-after-an-inspiring-fight-against-glioblastoma-wife-still-pushing-for-answers-for-dozens-of-families …",1199372241751937024,2019-11-26,17:00:00,repbrianmast,0,1,9
Did you see this? → The U.S. Bureau of Land Management is accepting public comments on how to best utilize the Jupiter Inlet Lighthouse Outstanding Natural Area. Learn more here! ⤵️ https://www.palmbeachpost.com/news/20191122/new-feds-give-update-on-jupiter-lighthouse-plans-seek-more-public-input …,1199043827580977152,2019-11-25,19:15:00,repbrianmast,3,3,8
This is ridiculous: Speaker Pelosi approved another “continuing resolution” because they haven’t spent the time needed to reach an agreement on government funding. That means ANOTHER delay for Everglades restoration funding. This needs to stop! PEOPLE must come before POLITICS! pic.twitter.com/7BGKqdq4ib,1198269980397068288,2019-11-23,16:00:00,repbrianmast,39,8,59
"I’ve been fighting hard to make sure every military rapist is held accountable for their crime. I’m hopeful that the Supreme Court’s decision to hear Harmony Allen’s case will result in justice victims of this terrible miscarriage of justice. Read more:
 https://www.floridadaily.com/brian-masts-harmonys-law-to-keep-rapists-in-the-military-in-jail-gains-momentum-thanks-to-supreme-court/ …",1197945339543740417,2019-11-22,18:30:00,repbrianmast,11,4,20
"Combating the opioid crisis starts right in our community. If you or a loved one are battling addiction, please know that you're not alone. I teamed up w/ Facebook this morning on a PSA to help #StopOpioidSilence, remove the stigma & ensure we get help for those who need it most. pic.twitter.com/cgCEPwZNR2",1197635802475294720,2019-11-21,22:00:00,repbrianmast,6,2,15
ICYMI → The Supreme Court has agreed to hear Harmony Allen’s case! This is an incredibly important step in the fight to right this massive miscarriage of justice for Harmony and every victim of military sexual assault. pic.twitter.com/OYFRcjjgpG,1197537653807288321,2019-11-21,15:30:00,repbrianmast,2,3,12
"The Supreme Court’s decision to hear arguments for Harmony Allen’s case is the right one, and I’m hopeful that they will finally right this injustice so that the United States can hold military members who commit rape accountable. Read more: https://cbs12.com/news/local/supreme-court-to-hear-military-rape-case-involving-port-st-lucie-veteran …",1197280961135669249,2019-11-20,22:30:00,repbrianmast,5,3,10
"We need to do more to improve boating safety and ensure channel markers are visible at all times. This can save lives, and I will keep working with the Coast Guard to get it done. pic.twitter.com/zdnqz0t6GT",1197235663944466434,2019-11-20,19:30:00,repbrianmast,13,0,27
"Last week we lost our good friend Mark Cunningham. Sadly, Mark passed away after a 3-year long battle with glioblastoma. Please join me in praying for the Cunningham family & all those fighting this horrible disease! In Mark’s memory, we will keep fighting for answers & a cure! pic.twitter.com/4FTiJ4V1T7",1197190174972792832,2019-11-20,16:29:15,repbrianmast,1,1,12
I’m working with the Coast Guard to improve visibility of channel markers to help prevent boating accidents. Watch now: pic.twitter.com/uLVT6um0Ol,1196899699124400128,2019-11-19,21:15:00,repbrianmast,3,4,17
"Don’t miss out! → The Florida Department of Environmental Protection is accepting public comments on water quality standards until Friday!
 https://www.wlrn.org/post/florida-reviews-water-quality-limits-every-3-years-public-has-until-friday-chime#:~:targetText=Floridians%20have%20until%20Friday%20to,the%20federal%20Clean%20Water%20Act ….",1196845849264971776,2019-11-19,17:41:01,repbrianmast,1,5,6
"We need to come together and have a real conversation about making airline travel more accessible to individuals with disabilities. The airline industry has come up short for those living in a wheelchair or on prosthetics, and that needs to change. Watch now: pic.twitter.com/DBJTo2euY9",1196533536825708544,2019-11-18,21:00:00,repbrianmast,0,5,20
Did you see this? → Last week the House passed 16 different pieces of legislation to help veterans and their families. Check it out: https://mast.house.gov/blog?ID=9CEB0B63-75A9-4F48-B9EE-0403C8860B4D …,1196485003129053184,2019-11-18,17:47:09,repbrianmast,6,2,12
Nothing makes me happier than catching up with some of the brothers and sisters I served with overseas. These EOD technicians put their lives on the line every day to keep their fellow soldiers and our country safe - and I couldn’t be more proud! pic.twitter.com/yQx39hg5Qq,1196167373729873920,2019-11-17,20:45:00,repbrianmast,4,1,30
"Harmful algal blooms endanger public health, hurt businesses & decimate our waterways. While we've made great progress this year to prevent toxic discharges from Lake O through operational change, I’m working with @RepStephMurphy to find more long-term solutions to combat HABs. pic.twitter.com/e8xb93BSz6",1196103200698335233,2019-11-17,16:30:00,repbrianmast,7,9,24
Terrorist organizations like the Palestinian Islamic Jihad preach death & destruction to Israel & the values we hold dear in the US. Our Israeli allies are right to defend themselves from the constant threat of terror & we must continue to stand w/ them! https://www.bbc.com/news/world-middle-east-50386164 …,1195801211393302530,2019-11-16,20:30:00,repbrianmast,22,30,114
"When somebody decides to put on the uniform and serve their country, they are making a decision to put life as they know it on hold and sacrifice for our nation. This week the House passed a total of 16 different pieces of legislation to help these veterans and their families.⤵️ pic.twitter.com/OUOmpKobue",1195733265380003840,2019-11-16,16:00:00,repbrianmast,10,7,57
"Great news: the Supreme Court has agreed to take up Harmony Allen's case -->  https://www.cnn.com/2019/11/15/politics/supreme-court-military-rape-case/index.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+rss%2Fcnn_latest+%28RSS%3A+CNN+-+Most+Recent%29 …

Harmony’s rapist was set free because of a court ruling that directly contradicts Congress’ intent.  The fight for justice continues!! Read more here -->  https://mast.house.gov/harmony ",1195434526337572864,2019-11-15,20:12:55,repbrianmast,4,7,12
"In the wake of the devastating boating accident in Martin County a couple weeks ago, I asked the Coast Guard what changes can be made to improve visibility of channel markers and ensure a tragedy like this never happens again. Watch here: pic.twitter.com/LYiNR9ZS2C",1195408023449198592,2019-11-15,18:27:37,repbrianmast,3,6,24
"This is great news! Thank you to Senator Rubio for helping us advance our South Florida Clean Coastal Waters Act through the Senate. Together, we can get this signed into law to help combat harmful algal blooms!
 https://www.floridadaily.com/marco-rubio-gets-two-environmental-bills-through-senate-commerce-committee/ …",1195121734627672064,2019-11-14,23:30:00,repbrianmast,4,6,27
This week the House passed the Protect the G.I. Bill Act to make it easier for veterans to transition into civilian life and achieve their educational goals. Read more here: https://connectingvets.radio.com/articles/gi-bill-changes-pass-house-vote …,1195087759993712643,2019-11-14,21:15:00,repbrianmast,1,11,29
"My parents taught me it was rude to put your feet up on the table, but I’ve got a point to make...

I speak from experience when I say that the airline industry is coming up short when it comes to making air travel accessible to people with disabilities. Here are my thoughts: pic.twitter.com/LojNiCz93F",1195057287704072192,2019-11-14,19:13:55,repbrianmast,3,11,36
Thank you to the Salvation Army for never giving up on those who served and helping us find new ways to combat veteran homelessness! pic.twitter.com/gHkeNUWP3j,1194633448607977476,2019-11-13,15:09:44,repbrianmast,4,2,17
Thank you to the students of Felix A. Williams Elementary for letting me share my morning with you! pic.twitter.com/9Lih9psdhX,1194408282510770177,2019-11-13,00:15:00,repbrianmast,1,4,22
"Veterans Day is always a special day for me because I get to spend it with so many of my brothers and sisters in arms all across our community. Thank you to everyone who joined me this weekend in recognizing the service, sacrifice and commitment of our neighbors! pic.twitter.com/Sl0jmd4l68",1194375007897636865,2019-11-12,22:02:46,repbrianmast,2,3,25
"It was great seeing so many friendly faces at the Veterans Day Parade in honor of those who served. Our entire community is grateful for your service and sacrifice, today and every day! pic.twitter.com/G6rmQskEjj",1194011921059602434,2019-11-11,22:00:00,repbrianmast,3,3,34
"To all who have once served, there is no equal thanks that can be given. To all who have returned from overseas, welcome home. May you all have a God blessed Veterans Day! pic.twitter.com/Mwz2gUr8rp",1193951524080308225,2019-11-11,18:00:00,repbrianmast,8,6,64
"This Veterans Day, please join me in recognizing those who put on the uniform & dedicated their life to serving our country. By swearing the oath & donning the uniform, every service member is united in their choice to put service before self. https://www.riponsociety.org/article/every-service-member-is-united-in-their-choice-to-put-service-before-self/ …",1193906224913207296,2019-11-11,15:00:00,repbrianmast,3,9,38
"Today the @USMC celebrates its 244th year of service to America. Thank you to every Marine - past, present and future - for everything you do to keep our country safe. Semper Fi! pic.twitter.com/lwKNNmnbrF",1193558940082036737,2019-11-10,16:00:01,repbrianmast,2,4,22
Thank you to all those who participated in the Paychecks For Patriots job fair for your commitment to helping those who served! pic.twitter.com/5DYIzX6tB3,1193256946318499840,2019-11-09,20:00:00,repbrianmast,3,3,18
Thank you to the doctors and staff of St. Mary’s Medical Center in West Palm Beach for giving me an update on your efforts to keep our kids healthy! pic.twitter.com/I1bGpWQMS0,1193181451006513152,2019-11-09,15:00:00,repbrianmast,4,4,14
"I spoke with students from Treasure Coast Classical Academy this morning about the importance of honoring those who keep our country safe. As we look toward Veterans Day, we are reminded of the servicemembers living in our community who have all sacrificed so much for our nation. pic.twitter.com/zTanyDF502",1192902108296732672,2019-11-08,20:30:00,repbrianmast,3,2,12
"It’s been 50+ years since the last American has stepped foot on the moon. With the help of local companies like Smith Interconnect, I’m confident we can reach NASA’s goal of landing the first female astronaut on the moon by 2024 as a part of the Artemis lunar exploration program. pic.twitter.com/X9j4vJnzon",1192822314234261504,2019-11-08,15:12:55,repbrianmast,4,4,11
"I joined Governor DeSantis this week as he launched a new website to help increase transparency when it comes to our waterways, including Lake Okeechobee and the St. Lucie River. You can check it out here! →  http://protectingfloridatogether.gov ",1192539720024113153,2019-11-07,20:30:00,repbrianmast,14,8,29
