tweet,id,date,time,username,replies_count,retweets_count,likes_count
Amy and I are praying for the entire Duvall family. Bonnie will be deeply missed by many. https://twitter.com/FarmBureau/status/1218737959056351233 …,1218980702542278659,2020-01-19,19:37:01,repbuddycarter,0,3,6
"Two BIG wins for American workers this week!
 
- China agrees to purchase an additional $200 billion in US goods over the next 2 yrs in historic trade agreement secured by @realDonaldTrump
 
- Senate approved the #USMCA, estimated to create nearly 180,000 new jobs here in America",1217891378132406273,2020-01-16,19:28:26,repbuddycarter,11,14,31
"Throughout the entire impeachment process, House Dems decried the urgency of impeaching @realDonaldTrump then let it sit on the Speaker's desk for a month.

Since day one, the Dem's impeachment sham has been based on political games and emotions instead of fact. It's shameful. https://twitter.com/HouseGOP/status/1217575899857596417 …",1217578187930075137,2020-01-15,22:43:56,repbuddycarter,26,16,46
"Thank you for your support for our ports, @SenatorLoeffler! https://twitter.com/SenatorLoeffler/status/1217446115420835841 …",1217476920037793793,2020-01-15,16:01:32,repbuddycarter,4,6,16
Thank you for calling this attack what it is - terrorism. https://twitter.com/NBCNews/status/1216811973226258434 …,1216828926695219206,2020-01-13,21:06:38,repbuddycarter,3,7,18
"Dems just passed a non-binding messaging resolution to rebuke @realDonaldTrump for eliminating a terrorist with American blood on his hands. We should show the world we are united and stand strong against the leading state sponsor of terrorism. Instead, Dems continue to divide.",1215418869088686081,2020-01-09,23:43:34,repbuddycarter,34,34,93
THANK YOU to our brave law enforcement officers who risk their lives to keep our communities safe. #LawEnforcementAppreciationDay pic.twitter.com/Fd4n6tTt2i,1215302076428955648,2020-01-09,15:59:28,repbuddycarter,0,5,18
"""For far too long, all the way back to 1979 to be exact, nations have tolerated Iran's destructive and destabilizing behavior in the Middle East and beyond. Those days are over."" -@realDonaldTrump",1214951160240574464,2020-01-08,16:45:03,repbuddycarter,9,13,43
Congratulations Senator @kloeffler! I look forward to working together for Georgians. https://twitter.com/kloeffler/status/1214332813660565504 …,1214337450245591041,2020-01-07,00:06:24,repbuddycarter,1,4,11
".@DrPhilRoe is a champion for our veterans and has worked tirelessly to improve America's health care system. I'm grateful to have had the opportunity to work with him at the helm of the Doctors Caucus.

Phil, you will be missed! https://twitter.com/DrPhilRoe/status/1213128243836018688 …",1213199594882060289,2020-01-03,20:44:58,repbuddycarter,6,2,2
"There is no question about it, Soleimani was a terrorist with American blood on his hands. 

While Iran chanted 'Death to America,' previous administrations cowered. Instead, @realDonaldTrump is using a decisive and tactical strategy against escalating Iranian aggression.",1213123241562267648,2020-01-03,15:41:34,repbuddycarter,27,26,80
Great to have our next Senator in Savannah today! @kloeffler pic.twitter.com/PQ3lkUwPS1,1212820472590716928,2020-01-02,19:38:28,repbuddycarter,7,5,24
"On January 2, 1788, Georgia became the fourth state to ratify the U.S. Constitution. Happy birthday to our great state!",1212810824261263361,2020-01-02,19:00:08,repbuddycarter,5,7,28
