tweet,id,date,time,username,replies_count,retweets_count,likes_count
"We deserve better from the President than to hold American families and the economy hostage for political gain, especially this time of year. For my part, I will keep fighting to protect American families in the days to come.",1076212950506057730,2018-12-21,20:28:57,repcardenas,7,0,8
"Trump is willing to hurt working families for his own vanity. He promised a wall and that the American people will not have to pay for it, and now he is trying to shut down the government if he doesn’t get to spend five billion American tax-payer dollars to build his wall.",1076212769630941185,2018-12-21,20:28:14,repcardenas,4,1,5
"This week, I reported to the floor of the House of Representatives and voted to respect the U.S. economy and keep the U.S. government open.",1076212366973587461,2018-12-21,20:26:38,repcardenas,1,0,7
A seven-year-old died while in @CBP custody. Why did it take days for Congress to to be notified? #JusticeforJakelin https://www.pbs.org/newshour/nation/watch-live-border-patrol-commissioner-testifies-on-trumps-immigration-policies …,1075129018821869568,2018-12-18,20:41:47,repcardenas,41,0,5
"We can prevent needless jail time for our youth. Investing in our children is one of the most important things we can do as legislators, and I am proud Congress has taken the crucial step of passing the Juvenile Justice and Delinquency Prevention Act: https://cardenas.house.gov/media-center/press-releases/statement-passage-juvenile-justice-and-delinquency-prevention-act …",1073711707531460609,2018-12-14,22:49:54,repcardenas,1,2,4
"It's not too late, but the deadline is coming soon! https://twitter.com/CoveredCA/status/1073628689974255616 …",1073693953696915458,2018-12-14,21:39:21,repcardenas,2,2,0
This is why Congress needs to exercise oversight of this administration — the public deserves to know that every possible step is being taken to ensure the safety of children as soon as they enter the custody of the United States. https://www.washingtonpost.com/world/national-security/7-year-old-migrant-girl-taken-into-border-patrol-custody-dies-of-dehydration-exhaustion/2018/12/13/8909e356-ff03-11e8-862a-b6a6f3ce8199_story.html …,1073664482570846209,2018-12-14,19:42:15,repcardenas,2,2,6
"California residents, if you have questions about #GettingCovered, a certified Health Care Enroller @CoveredCA will get in touch with you in less time than it takes to order pizza. It's not too late, but the deadline is coming soon!  http://tinyurl.com/GetCoveredContact … #OpenEnrollment",1072537883893006336,2018-12-11,17:05:32,repcardenas,0,3,1
"School meals for poor children. 

Support for hard-working families. 

We must #ProtectSNAP to make sure we have healthy communities across the Valley, California and this great nation.",1072171131422023681,2018-12-10,16:48:12,repcardenas,1,2,8
"As more and more of President Trump’s associates face the legal consequences of their actions, the risk of him interfering in this process increases. We need to protect the Mueller investigation and we need to do it now. https://twitter.com/mkraju/status/1071172617325985794 …",1071175709249425409,2018-12-07,22:52:45,repcardenas,1,5,11
"Today marks the 77th anniversary of the day that will live in infamy. The attack on Pearl Harbor changed the course of history, and we honor the service members we lost that day and the lives we lost throughout WWII. pic.twitter.com/uu6p8aQq3y",1071167338320420864,2018-12-07,22:19:29,repcardenas,0,1,6
"Some want to spend billions of Americans' hard-earned dollars to build a wall instead of investing in our nation’s infrastructure, healthcare, and programs that will benefit the American people. We can do better. #NoWall pic.twitter.com/rmDPdEqAjj",1070434049116815360,2018-12-05,21:45:39,repcardenas,8,9,18
It's not too late to #GetCovered in the San Fernando Valley  http://bit.ly/2y4DSLZ  https://twitter.com/CoveredCA/status/1070042104963858432 …,1070049853906939904,2018-12-04,20:19:00,repcardenas,0,1,1
"Americans called for a Congress that works #ForThePeople – not another #GOPShutdown. Americans want lawmakers to do their jobs, not sit at home!",1070039445171253254,2018-12-04,19:37:38,repcardenas,0,0,5
#HappyHanukkah to all the Jewish families in the Valley! https://twitter.com/ladailynews/status/1068505712077221890 …,1069372974665539584,2018-12-02,23:29:19,repcardenas,0,3,8
"We have benefited from his life of true love of family, public service and unselfish humility. May George H.W. Bush Rest in Peace. 🙏🏾🕊",1068958167491665925,2018-12-01,20:01:02,repcardenas,0,1,5
His willingness to change his mind and do what is best for the benefit of all others is extremely rare and is a noble trait of character that is lost in the hearts and minds of too many public servants.,1068958165914591234,2018-12-01,20:01:01,repcardenas,1,0,6
Our Country and the World is a better place for the life of George H.W. Bush. He followed through with thoughtfulness in his beliefs. https://www.latimes.com/local/obituaries/la-me-george-hw-bush-20181130-story.html …,1068958163825766401,2018-12-01,20:01:01,repcardenas,1,1,7
