tweet,id,date,time,username,replies_count,retweets_count,likes_count
"#ClimateChange is real, and the spread of misinformation does nothing but speed up the process. We must act for our children and our grandchildren. In the coming Congress, we will work hard to make up for lost time. Read more here:   https://www.globalchange.gov/nca4  #ClimateFriday",1068589054311178241,2018-11-30,19:34:18,repcardenas,1,5,11
.@Amazon's Jeff Bezos gives $5 million to San Fernando Valley-based nonprofit to house homeless families: https://www.dailynews.com/2018/11/20/amazons-bezos-gives-5-million-to-san-fernando-valley-based-nonprofit-to-house-homeless-families/amp/ …,1068254605044264961,2018-11-29,21:25:19,repcardenas,1,5,18
It seems the only time Trump trusts his own staff is when they’re locking up children in detention centers. Climate Change is REAL and we must come together to stop it. #GreenLatinos https://twitter.com/NBCNews/status/1067151924292653062 …,1067462401484836866,2018-11-27,16:57:23,repcardenas,2,9,27
"Trump had majorities in both chambers of Congress and still failed to offer a solution. What we need from both parties are good laws and a clear process, and I will continue to support comprehensive immigration reform now in the new Congress.",1067174218557730817,2018-11-26,21:52:15,repcardenas,0,1,5
"Trump loves chaos and confusion at the border, because to him it justifies the actions of a tyrant: the child detention centers, the teargassing of families, the xenophobia. It doesn’t matter that seeking asylum is legal, what matters for Trump is that confusion & fear reign.",1067174103348641794,2018-11-26,21:51:48,repcardenas,1,2,15
"Across the San Fernando Valley and across America, small businesses drive our economy. This #SmallBusinessSaturday, don't miss the opportunity to support local businesses. #ShopSmall pic.twitter.com/iMQPke6w3N",1066375895785517057,2018-11-24,17:00:00,repcardenas,2,0,8
"Today, I am thankful for Californians coming together to support the families affected by wildfires. It is so inspiring to see a community rally to help those in need. #HappyThankgiving https://www.abc10.com/article/news/local/wildfires/order-up-volunteers-plan-15000-thanksgiving-meals-for-camp-fire-survivors/103-616260639 …",1065670905802776577,2018-11-22,18:18:37,repcardenas,0,10,15
"I strongly support Chairman Grassley’s efforts in the Senate to outlaw this practice, as it reflects bills I’ve pushed for years. We can fix this problem if we do it together.",1063552303171543040,2018-11-16,22:00:03,repcardenas,0,3,6
Solitary confinement is a cruel punishment that does NOT belong as an option for at-risk kids in our juvenile justice system.,1063552300390727680,2018-11-16,22:00:02,repcardenas,1,4,9
"Our firefighters are exhausted and overworked, yet they are still risking their lives to save our homes. If we are thankful for the hard work they do — and we are — then the very least we can do is listen to them and provide them the resources they need to get the job done safely",1063257765878091776,2018-11-16,02:29:40,repcardenas,0,0,4
"The wildfires across California have been devastating, but it’s important now more than ever to listen to our first responders if they offer guidance for protecting our homes and our lives. pic.twitter.com/dwcxSXWryF",1063257762472357888,2018-11-16,02:29:39,repcardenas,1,0,3
"Middle-class families working hard to find quality jobs and fight healthcare costs, but rather than address this Trump would rather spend untold millions on a border stunt the Pentagon says we don't need. https://www.cnbc.com/2018/11/05/trump-border-deployments-could-cost-220-million-pentagon-sees-no-caravan-threat.html?fbclid=IwAR08vU4x-FUGYi0Q1Qj35eF7VOwic5ANOsSgwlIeotjj_scKEFF-irH9rAE …",1063145882651107329,2018-11-15,19:05:05,repcardenas,0,3,3
Open Enrollment for healthcare is HAPPENING NOW and won’t last long. Don’t miss your chance to #GetCovered. https://twitter.com/CoveredCA/status/1054774967915569152 …,1063137060813455361,2018-11-15,18:30:02,repcardenas,0,4,5
Our democracy is under threat. Here’s how Democrats plan on protecting it for years to come. #ForThePeople https://goo.gl/Vr7fg1 ,1062830040746991616,2018-11-14,22:10:02,repcardenas,2,1,2
"It was an honor to host my annual Veterans Day Forum and attend the San Fernando Valley’s Veterans Day Parade this past Sunday. On the 100th Armistice Day, we celebrated  the memory of Private Opha May Johnson, who was the first known woman to enlist in the U.S. Marine Corps. pic.twitter.com/yOeXXXMSVR",1062810747196137472,2018-11-14,20:53:22,repcardenas,1,1,15
"Thank you for your service, and for protecting American values at home and abroad. #Veterans #VeteransDay pic.twitter.com/wr9pqJwbOS",1062153069658624000,2018-11-13,01:20:00,repcardenas,1,1,9
"The sacrifice of American Veterans has impacted the life of each and every one of us, whether we know it or not. For this reason we cannot leave our Veterans behind. #VeteransDay",1061659864227868672,2018-11-11,16:40:10,repcardenas,0,3,7
We are with you. #TreeofLife pic.twitter.com/HJPGX4fbZZ,1058482089706864640,2018-11-02,22:12:50,repcardenas,0,2,12
Sign up today! https://twitter.com/CoveredCA/status/1054774967915569152 …,1058100863623946240,2018-11-01,20:57:59,repcardenas,0,1,3
