tweet,id,date,time,username,replies_count,retweets_count,likes_count
Congratulations to my good friend Curt Castagna on being named the new chairman of the National Air Transportation Association. Curt’s expertise and unique perspective will be invaluable to the board. Wishing you the best in your new role leading NATA.,1144712122234019840,2019-06-28,21:00:12,repcardenas,1,0,4
"The Van Nuys Airport has been an integral part the San Fernando Valley economy and for the past 3 decades, Ms. Margheritis has successfully managed the airport and has been a shining example for the  aviation community.",1144666043325079556,2019-06-28,17:57:06,repcardenas,0,0,8
"Congratulations to this year’s NATA Airport Executive Partnership Award recipient, Flora Margheritis, on this great achievement! I am pleased that Ms. Margetitis’s work and leadership is being recognized in the aviation community.",1144666042414850048,2019-06-28,17:57:06,repcardenas,1,0,6
What's happening at the border goes against our fundamental values as Americans. The very values that made us a beacon of hope for the world. We cannot allow the humanitarian crisis at our border to continue. WE MUST ACT NOW pic.twitter.com/c0fle492zd,1144326426486870016,2019-06-27,19:27:35,repcardenas,3,3,32
Including a citizenship question on the 2020 census would hurt all Americans. I am pleased with @SCOTUS's decision to not allow this question to appear on the census. Every American should be counted regardless of his or her documentation status. https://www.cnn.com/videos/politics/2019/06/27/supreme-court-blocks-census-case-nr-vpx.cnn …,1144319868017303553,2019-06-27,19:01:31,repcardenas,6,7,22
Had a great time at the #CongressionalBaseballGame last night with my wonderful family and team! pic.twitter.com/sF6ZOG2j5i,1144229288927010816,2019-06-27,13:01:35,repcardenas,0,2,11
Blessed to have my amazing team cheering me on at today’s #CongressionalBaseballGame pic.twitter.com/pQCpwoNkoN,1144013993482358785,2019-06-26,22:46:05,repcardenas,0,5,17
"4 years ago, @SCOTUS ruled that #LGBTQ Americans have a constitutional right to marry. We’ve come a long way in the fight for LGBTQ rights that's why I’m proud to cosponsor @RepDelBene’s resolution marking June 26 #LGBTQEqualityDay to commemerate these wins. pic.twitter.com/60WZNcGjXG",1143948987151659008,2019-06-26,18:27:46,repcardenas,0,7,10
"Last night, the House approved critical humanitarian funding to help  with the life-threatening situation at the border. We did our job, now  it’s time for the Senate to do the same. I urge the Senate to quickly  approve the House-led bill. We cannot wait. Children are dying. https://twitter.com/AP/status/1143701311478730752 …",1143928758929375233,2019-06-26,17:07:23,repcardenas,2,18,41
"The Trump Administration has threatened massive, nationwide ICE raids and is targeting 10 cities including Los Angeles. Regardless of your immigration status, you have rights. Here is some information you should be aware of: https://oag.ca.gov/immigrant/rights …",1143621933692608512,2019-06-25,20:48:11,repcardenas,1,1,5
Nearly HALF of all calls placed to cell phones this year will be scam calls and the American people are sick and tired of them. These scam calls put our personal information at risk. I’m proud to support the #StopBadRobocalls Act to put an end to the illegal and unwanted calls.,1143618920009613313,2019-06-25,20:36:12,repcardenas,1,3,23
"Voting is one of the most sacred rights of our democracy, but 6 years ago @SCOTUS struck down a critical part of the #VotingRightsAct and since then, we've seen an increase in voter discrimination and suppression. I will continue fighting to ensure every vote counts #ForThePeople pic.twitter.com/2xLPLLgUCL",1143528667622121477,2019-06-25,14:37:34,repcardenas,0,14,20
"It’s been weeks since Congress approved emergency funding for Puerto Rico and Trump’s administration has not yet given them $600 million in nutrition aid that they desperately need. This is unacceptable. @SecretarySonny, why the delay? https://twitter.com/washingtonpost/status/1143200381574553606 …",1143282100759605249,2019-06-24,22:17:48,repcardenas,2,3,12
"7 years ago, President Obama announced #DACA. Today, Hundreds of thousands of young Americans are living in fear because President Trump threatens their legal status. #ProtectDreamers pic.twitter.com/oGlRU1dYtt",1142153462324445184,2019-06-21,19:33:00,repcardenas,1,5,12
This is happening right here at home. Just heartbreaking. https://twitter.com/AP/status/1141794128801468416 …,1141812972701880320,2019-06-20,21:00:01,repcardenas,14,22,53
The fact that the best women's soccer team in the WORLD gets paid less than their male counterparts is just wrong. It's time we pass the #PaycheckFairnessAct. https://www.nytimes.com/2019/06/10/magazine/womens-soccer-inequality-pay.html?smtyp=cur&smid=tw-nytimes …,1141807794959585280,2019-06-20,20:39:26,repcardenas,1,6,28
