tweet,id,date,time,username,replies_count,retweets_count,likes_count
All Americans stand with the people of Venezuela during this difficult time.  https://crist.house.gov/news/documentsingle.aspx?DocumentID=1693 … pic.twitter.com/yj2sNV2sk9,1123357611842310146,2019-04-30,22:45:00,repcharliecrist,3,4,15
"#MuellerReport confirms at least one Florida County was hacked in the 2016 election. Our democracy and our freedoms are only as safe as the security of our elections. Russia knows it, and it needs to be a top priority in 2020. https://techcrunch.com/2019/04/18/russia-hackers-florida-elections/ …",1123222063550955520,2019-04-30,13:46:23,repcharliecrist,16,42,75
Investing in our infrastructure is an investment in a better tomorrow #ForThePeople. My op-ed with @RepTedLieu and @CongressmanRaja calls for bipartisanship in prioritizing the future of our country. https://thehill.com/blogs/congress-blog/lawmaker-news/441153-our-future-depends-on-american-infrastructure-built-for-the?rnd=1556554976 …,1122987674430779393,2019-04-29,22:15:00,repcharliecrist,2,27,66
CDC reports measles hit a 25 year high after being virtually eliminated in 2000. Don’t put your loved ones and the larger community at risk. #VaccinesWork https://www.washingtonpost.com/health/2019/04/29/us-officials-say-measles-cases-hit-year-record/?noredirect=on&utm_term=.8f0e35b50807 …,1122939859717455872,2019-04-29,19:05:00,repcharliecrist,2,4,18
The future is bright for Pinellas! Had the pleasure of meeting Thyago when I visited Head Start High Point Center in 2018 & just weeks ago my staff was wowed by his intelligence when his family stopped by the DC office for a tour! Keep up the great work! pic.twitter.com/Sd9cNuHlem,1122904627392012290,2019-04-29,16:45:00,repcharliecrist,4,1,24
"Good news for Florida’s environment and economy, but until offshore drilling is banned once and for all, we are still in the fight! #ProtectOurCoast https://www.nytimes.com/2019/04/25/climate/offshore-drilling-delay.html …",1121855212233293825,2019-04-26,19:15:00,repcharliecrist,1,9,25
Over 5 million Floridians voted in support of #Amendment4 and the right to vote. The people want Democracy – not a new poll tax. The amendment is self-executing. Why is the legislature even getting involved? https://tinyurl.com/y5nusepk ,1121473953011204100,2019-04-25,18:00:01,repcharliecrist,5,12,30
It's #NationalParkWeek! Step outside and enjoy the beautiful green and blue spaces Pinellas has to offer! Celebrate and #FindYourPark @NatlParkService.  https://prks.org/2Ui3tiw ,1121085138069282817,2019-04-24,16:15:00,repcharliecrist,1,2,16
"GREAT OPPORTUNITY for @my_pcs students  – Cecil B. Keene Summer Enrichment Program at @spcnews trains students from 8th -11th grade for future jobs in healthcare, #STEM, art, even drones! Best of all? It’s FREE. Program starts June 3 - apply below! https://www.spcollege.edu/friends-partners/community-resources/college-preparation/pre-college-success-programs/cecil-b-keene-summer-enrichment-program …",1120728637253324800,2019-04-23,16:38:23,repcharliecrist,1,1,8
"Celebrating Earth Day with @FCVoters, Mayor @Kriseman & @StPeteFL, & Commissioner Janet Long and @PinellasCoNews - highlighting the importance of conservation programs like the #LWCF that protect our green and blue spaces. God made us stewards of the Earth! pic.twitter.com/5N7gzbtEsC",1120365421952155652,2019-04-22,16:35:06,repcharliecrist,6,8,36
