tweet,id,date,time,username,replies_count,retweets_count,likes_count,tdatetime
Special Counsel Mueller had one job: to investigate Russian interference in the 2016 presidential election. He did just that. He found no collusion or interference between Russia and the Trump Campaign. It is now time for us to move on as a nation.,1133816706185478144,2019-05-29,19:25:42,repchrisstewart,2877,291,954,2019-05-29 19:25:42
Today we remember & honor the brave men and women who paid the ultimate sacrifice in the service of our great nation. We are forever grateful. #MemorialDay pic.twitter.com/u2QwHv81bc,1133025026486231040,2019-05-27,14:59:51,repchrisstewart,16,6,31,2019-05-27 14:59:51
Good news! The Senate just passed the Anti-Robocall TRACED Act. 97-1. House leadership should bring this up for a vote. This is the strongest bill we'll have ever passed to stop #robocalls. https://twitter.com/RepChrisStewart/status/1129157096853909505 …,1131633152437432321,2019-05-23,18:49:02,repchrisstewart,22,29,56,2019-05-23 18:49:02
"ICYMI: ""I don't know about the elites, but I'll go with the wealthy.""- CBO Deputy Director confirming that only the wealthiest Americans would be able to afford additional services beyond what a public plan covers, leaving the poor behind. #MedicareforAll https://www.youtube.com/watch?v=rMoJiRETgNs&fbclid=IwAR21JJ0VtDrP2Q9hULgpYVnF32d0CwjEYB04_smpy7kr59XAFY_aIFRr3cc …",1131312462341517312,2019-05-22,21:34:44,repchrisstewart,15,14,9,2019-05-22 21:34:44
I’ve had numerous briefings from the intelligence community re the situation with Iran. Iran’s hostile activities are solely responsible for the escalating tensions. I'm grateful for @POTUS who dares to stand firm when our interests or the security of our allies are threatened.,1131282569868267521,2019-05-22,19:35:57,repchrisstewart,47,4,16,2019-05-22 19:35:57
It eliminates private insurance and the ability to tailor your plan to meet you & your family’s specific needs. #MedicareForAll @housebudgetGOP,1131220131244367874,2019-05-22,15:27:50,repchrisstewart,19,2,8,2019-05-22 15:27:50
"#MedicareForAll creates a one-size-fits-all system that eliminates choice. Patients would be compelled to have the health care that the government chooses. One single plan does NOT 
fit all. @housebudgetGOP",1131220129151365120,2019-05-22,15:27:50,repchrisstewart,75,22,54,2019-05-22 15:27:50
"As an elected official, I am grateful for the women who have exercised their right to vote and feel blessed to represent you.",1130887398819336194,2019-05-21,17:25:41,repchrisstewart,18,1,11,2019-05-21 17:25:41
"24 years before women got the right to vote, Martha Hughes Cannon became the 1st female state senator in the U.S. She advocated for women’s rights based on equality arguing that “one of the principal reasons why women should vote is that all men & women are created free & equal.”",1130887397183545345,2019-05-21,17:25:41,repchrisstewart,3,1,12,2019-05-21 17:25:41
Emmeline B. Wells fought for women’s suffrage in Utah many years before the passage of the 19th amendment. Her persistence and conviction in the movement led to the inclusion of a female suffrage clause in the Utah Constitution in 1896. #suffragesisters,1130887395807768578,2019-05-21,17:25:40,repchrisstewart,2,0,1,2019-05-21 17:25:40
"Today I wear a yellow rose to commemorate the 100th anniversary of the 19th Amendment passing the House, guaranteeing women the right to vote. I am proud that Utah women were among the first to pave the way for the women’s suffrage movement in the U.S.  #WomensVote100 pic.twitter.com/vNj9LIe2DA",1130887390866956288,2019-05-21,17:25:39,repchrisstewart,15,3,35,2019-05-21 17:25:39
"This issue is a top priority for me because it affects so many of my rural constituents. If we don’t find solutions for the overpopulation of wild horses right now, we will have to spend even more time & money rehabilitating the destroyed ranges of the West. https://twitter.com/STGnews/status/1129493442105528320 …",1129512827293716480,2019-05-17,22:23:38,repchrisstewart,44,10,17,2019-05-17 22:23:38
God bless the law enforcement officers who continuously put their lives on the line to protect their communities. We are grateful for you! #NationalPoliceWeek pic.twitter.com/8aE9BX4GCW,1129447687483535361,2019-05-17,18:04:47,repchrisstewart,10,1,19,2019-05-17 18:04:47
My Democratic colleagues are not allowing a single amendment to #HR5. I’m disappointed that we could not work in a bipartisan manner to protect both religious freedom and the LGBTQ community. pic.twitter.com/7YBYSH1cqZ,1129403948773859328,2019-05-17,15:10:59,repchrisstewart,39,16,35,2019-05-17 15:10:59
* @RepDavidKustoff #autocorrect,1129180628266758151,2019-05-17,00:23:35,repchrisstewart,3,0,1,2019-05-17 00:23:35
"Today I cosponsored the TRACED Act. This bill will help put an end to the annoying & infuriating #Robocalls we all get everyday. It requires call verification, gives the FCC more time to fine violators, & increases the penalties to $10,000. Thank you @RepDavidKistoff for leading!",1129157096853909505,2019-05-16,22:50:05,repchrisstewart,15,5,63,2019-05-16 22:50:05
HAPPENING NOW: Joining @GrahamLedger on @OANN. Tune in now!,1129095344657244160,2019-05-16,18:44:42,repchrisstewart,7,0,3,2019-05-16 18:44:42
WATCH LIVE: The House Intelligence Committee open hearing discussing China’s emerging digital authoritarianism and global influence operations targeting the U.S. & its partners. https://www.youtube.com/watch?v=yO9tTxfRs0c …,1129018389777801217,2019-05-16,13:38:54,repchrisstewart,7,2,4,2019-05-16 13:38:54
I urge my Democratic colleagues to support our motion & support one of our country’s most critical partners in the Middle East and to take a stand against the anti-Semitic BDS movement.,1128684880144076800,2019-05-15,15:33:40,repchrisstewart,2,2,6,2019-05-15 15:33:40
"The House GOP motion, if we get the support of enough sensible Democrats, will force a vote on this critical bill.",1128684879569465350,2019-05-15,15:33:39,repchrisstewart,1,0,4,2019-05-15 15:33:39
"This measure already passed the Senate with a bipartisan 77-23 vote, but has stalled in the House because Nancy Pelosi will not allow a vote, appeasing radical left wing voices in her party.",1128684878751588354,2019-05-15,15:33:39,repchrisstewart,3,0,1,2019-05-15 15:33:39
"Today, House Republicans will file a motion to force a vote on a bill to combat the anti-Semitic Boycott, Divest, and Sanction (BDS) movement, punish those who enable Assad's war crimes, and reauthorize military assistance to Israel & Jordan.",1128684878009184257,2019-05-15,15:33:39,repchrisstewart,4,2,11,2019-05-15 15:33:39
May we all take a moment today to honor the law enforcement officers who gave their life in the line of duty. These brave men & women made the ultimate sacrifice in serving & protecting their communities. We are forever indebted to them & their families. #PeaceOfficersMemorialDay,1128669734327787520,2019-05-15,14:33:28,repchrisstewart,1,6,29,2019-05-15 14:33:28
HAPPENING NOW: Joining @wolfblitzer on @CNNSitRoom. Tune in now!,1128404186440269826,2019-05-14,20:58:17,repchrisstewart,45,0,5,2019-05-14 20:58:17
"1. The Equality Act (#HR5):  If this legislation was really about equality, it would protect religious freedom.  

2. MORE Health Education Act (#HR987): Seven bills smashed into one, including a poison pill which would ban short-term insurance coverage.",1128293764257275904,2019-05-14,13:39:30,repchrisstewart,6,3,6,2019-05-14 13:39:30
Another week full of missed opportunities. Two prime examples of Dems lacing legislation with their own agenda rather than jumping at the chance to pass bi-partisan legislation:,1128293763485437952,2019-05-14,13:39:30,repchrisstewart,18,4,10,2019-05-14 13:39:30
Anyone else find #robocalls extremely annoying? Thank you @AjitPaiFCC for your efforts to crack down on this matter. https://twitter.com/AjitPaiFCC/status/1127985340801667073 …,1128004445483126785,2019-05-13,18:29:51,repchrisstewart,17,3,19,2019-05-13 18:29:51
The Rabbi Michoel Ber Weissmandl Congressional Gold Medal Act of 2019 (H.R. 929) recognizes Rabbi Weissmandl for his acts of valor during WWII. His bravery helped save hundreds of lives.,1127987728942018561,2019-05-13,17:23:26,repchrisstewart,2,1,8,2019-05-13 17:23:26
"We’ve seen an alarming increase in the amount of hateful attacks against the Jewish community this past year. In an effort to educate the nation about heroes of the Holocaust, who rose up against hate and anti-semitism, I have cosponsored H.R. 929.",1127987728166064130,2019-05-13,17:23:26,repchrisstewart,27,4,17,2019-05-13 17:23:26
"This #MothersDay, I am especially thankful for my own mother and incredible wife. Grateful for their unconditional love and the example they are to me and my kids. #HappyMothersDay",1127586128327053312,2019-05-12,14:47:37,repchrisstewart,6,1,27,2019-05-12 14:47:37
In honor of #TeacherAppreciationWeek I’m happy to announce that I will cosponsor the Christa McAuliffe Commemorative Coin Act. We lost this amazing teacher 30 years ago in the Space Shuttle Challenger accident. This is a great way to honor her memory.,1126956710000824320,2019-05-10,21:06:32,repchrisstewart,14,3,21,2019-05-10 21:06:32
"Before the first #TranscontinentalRailroad, it took months to travel from coast to coast. The railroad dramatically decreased travel time into days. The sudden ease of transporting products and people made the U.S. an economic powerhouse. #Spike150",1126908118665957378,2019-05-10,17:53:27,repchrisstewart,5,4,12,2019-05-10 17:53:27
"#OnThisDay we celebrate the 150th anniversary of the completion of the first #TranscontinentalRailroad.  This significant event not only transformed travel entirely, but is a perfect example of what man's ingenuity can accomplish. #Spike150 https://twitter.com/USNatArchives/status/1126542872105377792 …",1126839179789385728,2019-05-10,13:19:30,repchrisstewart,8,6,23,2019-05-10 13:19:30
Thanks to the amazing individuals at @afspnational who worked hand-in-hand with my staff to make this a possibility.,1126241939387555842,2019-05-08,21:46:17,repchrisstewart,1,0,5,2019-05-08 21:46:17
Suicide is truly a crisis that is especially evident in Utah. This funding is critical in engaging our states and building a stronger network to reverse this tragic trend and potentially save thousands of lives. http://stewart.house.gov/media-center/press-releases/stewart-secures-critical-funding-for-national-suicide-prevention …,1126241938452172801,2019-05-08,21:46:17,repchrisstewart,10,1,10,2019-05-08 21:46:17
"#TravelMatters in Utah. Each year, millions come from around the world to experience Utah’s world class National Parks and beautiful landscape. in Utah alone, our beautiful backyard has created 85,980 jobs and a $9.1 billion industry. #nttw19 pic.twitter.com/y03JIZ2ymY",1125865924110835712,2019-05-07,20:52:08,repchrisstewart,10,4,14,2019-05-07 20:52:08
When did he first realize that conspiracy/collusion did not occur? Why did he not investigate or provide information on DOJ/Intelligence assets being run as spies into the Trump campaign? The American people deserve answers.,1125540764891713536,2019-05-06,23:20:04,repchrisstewart,34,12,21,2019-05-06 23:20:04
I believe Robert Mueller should testify—publicly—before Congress. There’s lots of questions we would like to ask him. Why didn’t he investigate the authenticity and reliability of the Steele Dossier?,1125540763381661697,2019-05-06,23:20:04,repchrisstewart,39,17,40,2019-05-06 23:20:04
"It was a pleasure meeting with @kellie_holm_may, Utah's #NTOY19. Congratulations on this great honor. Teachers have the ability to make an impact on their students' lives. I can still remember some of the teachers who made a difference in my own life. Thank you for all you do! pic.twitter.com/IFwfbDgglj",1124009411037552641,2019-05-02,17:55:01,repchrisstewart,4,3,11,2019-05-02 17:55:01
Truly heartbreaking. No parent should ever receive this horrific news. Praying that Mackenzie’s friends and family feel peace during this unbearable time. https://www.foxnews.com/us/arrest-made-in-disappearance-of-university-of-utah-student-mackenzie-lueck …,1144669685880803328,2019-06-28,18:11:34,repchrisstewart,7,4,19,2019-06-28 18:11:34
We successfully forced House Democrats to bring up the bipartisan funding bill to address security and the humanitarian crisis on the border. I just voted in favor.,1144362749822033921,2019-06-27,21:51:55,repchrisstewart,34,2,26,2019-06-27 21:51:55
"The difficulties individuals face on their journey, especially the children, are heart breaking. As a member of the Appropriations Committee, I've voted many times to support keeping children with their parents whenever possible. I am pro families. I am pro legal immigration. pic.twitter.com/BmyJlLMDeK",1143988512326393856,2019-06-26,21:04:50,repchrisstewart,34,4,33,2019-06-26 21:04:50
"I don't think we have a single crisis at the border, I think we have THREE crises. humanitarian, national security, and political here in Washington. I think frankly, the political crisis may be the more difficult to fix. pic.twitter.com/ak6dUSL4HG",1143985777069711361,2019-06-26,20:53:58,repchrisstewart,30,29,183,2019-06-26 20:53:58
HAPPENING NOW: Joining @BoydMatheson on @kslnewsradio. Tune in now! https://kslnewsradio.com/listen/ ,1143617444352802818,2019-06-25,20:30:20,repchrisstewart,3,1,3,2019-06-25 20:30:20
"@USCBO forecasts $80 trillion in new deficits over the next 30 yrs. Many on the other side refuse to even acknowledge that our deficit matters. Our national debt has to be addressed, starting with mandatory spending. It’s time for Washington to wake up & fix our spending problem! pic.twitter.com/EQTggsAB78",1143606502038691840,2019-06-25,19:46:51,repchrisstewart,2,0,0,2019-06-25 19:46:51
"@UUtah student #MacKenzieLueck has been missing since last Monday. I can't begin to comprehend how her parents are feeling. My heart is with them during this difficult time. If you know anything about her disappearance, please contact @slcpd. Praying for her safe return home! https://twitter.com/KUTV2News/status/1143168400237182978 …",1143178453392547840,2019-06-24,15:25:57,repchrisstewart,1,2,3,2019-06-24 15:25:57
"There's no question in my mind that we have to do something. This is the third strike that Iran has initiated in a week. We can't just ignore that, but on the other hand we want our response to be proportional, we want it to be measured. https://www.deseretnews.com/article/900076494/iran-military-strike-mike-lee-chris-stewart-utah.html …",1142446088466644992,2019-06-22,14:55:47,repchrisstewart,27,1,15,2019-06-22 14:55:47
"As a former Air Force pilot & member of the Intel Committee, what we’re seeing now is very common. It's the give & take of deliberation & exploring all the options. It's adjusting the plan when new info becomes available. It's how important national security decisions are made.",1142096042260934656,2019-06-21,15:44:50,repchrisstewart,15,1,12,2019-06-21 15:44:50
"Neither the US nor the International Community can ignore Iran's aggression. As one of the world's most violent state sponsors of terrorism, this falls into a pattern we've seen from them before. I appreciate @realDonaldTrump commitment to a meaningful but proportionate response.",1142083630212276229,2019-06-21,14:55:30,repchrisstewart,34,2,17,2019-06-21 14:55:30
Many of my children have served missions. Nothing makes a parent's heart drop more than hearing news like this. I'm glad that everyone is safe. https://twitter.com/KSLcom/status/1142068608979226625 …,1142080388816392193,2019-06-21,14:42:38,repchrisstewart,6,1,10,2019-06-21 14:42:38
"My amendment, which will save 200 war dogs this year, passed the House. These incredible military dogs have faithfully served our country & are each credited for saving hundreds of U.S. Military lives. It is up to us to make sure they return safely home. https://stewart.house.gov/media-center/press-releases/stewart-amendment-to-save-retired-war-dogs-passes-the-house …",1141779335453523968,2019-06-20,18:46:21,repchrisstewart,12,8,40,2019-06-20 18:46:21
"In today's @housebudgetGOP hearing, we discussed how the government alone can’t alleviate poverty. Anti-poverty efforts are most successful when they're spearheaded by our neighbors. Utah's charitable values and culture of service set an example for the rest of the nation. pic.twitter.com/uiT3ggfkFX",1141473704020512768,2019-06-19,22:31:53,repchrisstewart,20,6,19,2019-06-19 22:31:53
"Today we celebrate the amazing fathers & father figures in our lives. I’m especially grateful for my own dad & the many life lessons he taught me. I strive to be more like him each day, especially as I raise my own kids. Being a father is one of my greatest joys! #HappyFathersDay",1140295512916201472,2019-06-16,16:30:10,repchrisstewart,60,4,33,2019-06-16 16:30:10
"These changes are critical for Utah, the Forest Service, & our natural resources. This will have a big impact on reducing catastrophic fires which have an enormous impact on Utah. It is unavoidably obvious that we need more active management of our forests to reduce fire risks. https://twitter.com/westerncaucus/status/1139255218317799425 …",1139257261610721287,2019-06-13,19:44:32,repchrisstewart,193,2,19,2019-06-13 19:44:32
