tweet,id,date,time,username,replies_count,retweets_count,likes_count
The countdown is on! Let’s go Vols!! 🏈 https://twitter.com/Vol_Football/status/1167119722745225217 …,1167807157410172928,2019-08-31,14:31:37,repchuck,2,0,2
.@RepShimkus was a great advocate for the nuclear industry and nuclear cleanup. I will miss his partnership in Congress and wish him the best in his next chapter.,1167587843918766080,2019-08-31,00:00:09,repchuck,1,0,0
"Enjoyed my visit to @Midway_HS yesterday with State Representative @KentCalfee. We stopped by several classrooms and I even got to practice ""selfie"" skills with the students📸. Thank you to @Midway_HS Principal Scott Mason for investing in our next generation of leaders📚👨‍🎓👩‍🎓 pic.twitter.com/IOBqSucMB4",1167553244970831874,2019-08-30,21:42:40,repchuck,3,2,18
Had a great time speaking with the Homeschool Group of Morgan County and answering their questions about @POTUS and what life in Washington is really like. I also appreciated the invite to play some🏀 with them! pic.twitter.com/jtWSWrNf6u,1167247090541584385,2019-08-30,01:26:07,repchuck,5,2,5
"There are challenges ahead, but the local officials I met with today are committed to tackling them head-on and I thank them for their dedication and passion.",1167243453132169216,2019-08-30,01:11:40,repchuck,0,0,3
.@TheSecretCounty executive Brian Langley is leading by example uniting law enforcement from police officers to public defenders to make the Morgan County community a better place. Our roundtable discussion covered topics ranging from prison overcrowding to the opioid epidemic. pic.twitter.com/YYMP3OwBey,1167243448480608263,2019-08-30,01:11:39,repchuck,2,1,2
Always happen to support our men and women in uniform 🇺🇸 thank you for a great evening! https://twitter.com/utc_rotc/status/1166675371808493568 …,1167086617187823616,2019-08-29,14:48:27,repchuck,1,0,0
"While Democrats continue to paint the picture of economic gloom the truth is businesses are thriving under @POTUS pro-growth policies. I toured the @amazon fulfillment center in Chattanooga which hired 1,000+ workers this summer. Our economy continues to boom & #TN03 is proof. pic.twitter.com/V4BXLuoeT3",1166832195903926274,2019-08-28,21:57:28,repchuck,5,2,4
"The situation at @UTChattanooga seems to be resolved. Very grateful for the rapid response of law enforcement & caution exercised by the decision to remain on campus for the time being. Most importantly, I am thankful that students & faculty are safe. https://www.timesfreepress.com/news/breakingnews/story/2019/aug/28/utc-authorities-searching-man-reportedly-seen-carrying-rifle-toward-campus/502265/ …",1166779049269764097,2019-08-28,18:26:17,repchuck,1,3,5
"I am aware of the situation at @UTChattanooga. Please listen to local law enforcement, faculty, and campus police. Thank you to @ChattanoogaPD for your quick response.
 
I will continue to monitor the situation. Stay safe. https://twitter.com/UTChattanooga/status/1166733923516370945 …",1166746196288921606,2019-08-28,16:15:44,repchuck,2,1,7
Enjoyed giving the keynote address at the United Council on Welfare Fraud’s 47th annual training conference. This forum is critical to establishing channels of communication between lawmakers & those affected by welfare programs. Thank you to everyone who attended! pic.twitter.com/T6YW3iEbca,1166430305936429057,2019-08-27,19:20:30,repchuck,0,1,0
Thank you for having me! https://twitter.com/CMSHawks/status/1166096300678483968 …,1166096842561662977,2019-08-26,21:15:26,repchuck,0,0,4
"Good to see TVA engaging w/ the local community to increase transparency & address issues facing the TN valley. Shortly after, @TVAnews approved its FY20 budget providing a path forward for the development of #TN03 & a plan for continued growth & investment in our region. https://twitter.com/TVAnews/status/1164262989026996227 …",1166095466393718785,2019-08-26,21:09:58,repchuck,0,0,3
Minnie Ann Dickey Jones and Alvah McSwain – trailblazers in the Civil Rights Movement and incredible Americans.,1166078490887753729,2019-08-26,20:02:31,repchuck,0,0,2
"Decades later, it was an honor to commemorate the bravery of Maurice Soles, Anna Theresser Caswell, Alfred Williams, Regina Turner Smith, William R. Latham, Gail Ann Epps Upton, Ronald Gordon ""Poochie"" Hayden, JoAnn Crozier Allen Boyce, Robert Thacker, Bobby Cain,",1166078399619764230,2019-08-26,20:02:09,repchuck,1,0,2
The Clinton 12 not only changed Tennessee but changed our nation. They did not succumb to violence but rose above it. pic.twitter.com/p6ghgPisJe,1166078396545347586,2019-08-26,20:02:09,repchuck,2,5,27
Let’s play ball ⚾️ pic.twitter.com/RbzAyGFRIz,1165076644496908289,2019-08-24,01:41:32,repchuck,0,0,2
"Happy to be with @EPB_Chattanooga’s director of community & environmental stewardship Elizabeth Hammit & @TVAnews’s director of origination and renewables Chris Hansen
to throw the first pitch at the @ChattLookouts first carbon-neutral baseball game. pic.twitter.com/lSTmlLAPj7",1165076633423925249,2019-08-24,01:41:30,repchuck,5,0,18
"If you are going to a @cchstnofficial football game, please be sure to wear orange to show your support. #TeamJack",1164983604771991553,2019-08-23,19:31:50,repchuck,0,1,4
I am praying for Jack and the Price family. The recent outpouring of support from the East Tennessee community shows that they are not in this alone. May God give them strength as we all continue to pray. https://www.wvlt.tv/video?vid=557750402 …,1164983601089392640,2019-08-23,19:31:49,repchuck,2,1,4
"Rich in history, I encourage all East Tennesseans to take advantage of the opportunity to tour this vessel and take a moment to appreciate the courage and sacrifice of the Greatest Generation.🇺🇸

Details on tours and tickets ➡️  http://bit.ly/2MyfhJ0  pic.twitter.com/pLFfy8yi9N",1164582896285433856,2019-08-22,16:59:34,repchuck,1,1,1
It was a privilege to be with Captain Bob Kubota of the LST-325 to welcome this iconic WWII ship to Chattanooga for the week.,1164582091222331394,2019-08-22,16:56:22,repchuck,1,0,0
#TN is known as the Volunteer State and for good reason: volunteering for military service has long been a proud tradition. Honoring our service members is part of our heritage & the groundbreaking ceremony for the Bradley County Veterans Home was a reminder of just that. pic.twitter.com/wFKyz5tfob,1164258898808848386,2019-08-21,19:32:07,repchuck,2,0,4
"Next, Congress should pass the Fix the Immigration Loopholes Act  — which I have co-sponsored —  to build on this effort and address the crisis at our southern border.",1164248808894750720,2019-08-21,18:52:01,repchuck,1,0,0
"Addressing the decades-old Flores agreement is a pivotal step to restoring integrity to our asylum process, combatting the rampant rise of human trafficking, and ensuring that bad actors do not impede the immigration process for credible asylum seekers.",1164248807976112135,2019-08-21,18:52:01,repchuck,3,0,1
"That is not lawful immigration, but manipulation of our system at the expense of innocent minors for a profit.",1164248807221186564,2019-08-21,18:52:00,repchuck,3,0,0
"This incentivized smugglers and human traffickers to fraudulently present themselves as families by exploiting migrant children, to which they had no relation, and using them as pawns in family asylum claims.",1164248806256496642,2019-08-21,18:52:00,repchuck,2,0,0
"Until now, the Flores Settlement Agreement required that family unit aliens be released after 20 days.",1164248805526650882,2019-08-21,18:52:00,repchuck,2,0,0
"By issuing the Flores final rule, border security personnel will be able to keep families together through the duration of their immigration proceedings while maintaining humanitarian care and housing standards.",1164248804520005633,2019-08-21,18:52:00,repchuck,2,0,0
".@DHSMcAleenan and @SecAzar took appropriate action to terminate the Flores Settlement Agreement, a fundamental flaw in our immigration system that has been exploited by bad actors and fueled our immigration crisis.",1164247637924728840,2019-08-21,18:47:22,repchuck,2,0,0
"It was great to be with you, Judge. SSG Romesha is a patriot who we should all admire. https://twitter.com/JudgePhilyaw/status/1164213661147246592 …",1164237235715227649,2019-08-21,18:06:02,repchuck,0,0,2
".@BASFCorporation employs about 150 people in Hamilton County. It was great to speak with local representatives to discuss sustainable chemical programs and how these programs, and the products they create, are important to the East Tennessee community. pic.twitter.com/2zjziXzkG6",1164199786721005571,2019-08-21,15:37:13,repchuck,1,0,3
"At @clevelandrotary, I spoke about the rebirth of the manufacturing industry & its impact in #TN03. An updated trade deal w/ Canada & Mexico will further benefit the manufacturing industry. I implore @SpeakerPelosi to bring the #USMCA up for a vote. #USMCAnow pic.twitter.com/i8gZCt5UNX",1163938404024889345,2019-08-20,22:18:35,repchuck,1,1,8
Excited to be with you! https://twitter.com/clevelandrotary/status/1163771133335875585 …,1163806179237224449,2019-08-20,13:33:10,repchuck,1,0,4
"This program provides law enforcement officers with updated equipment, data collection methods, and resources to ensure they can keep our communities safe. I was proud to support this funding and am always proud to stand behind our men and women in blue. pic.twitter.com/6hBbQIr8eK",1163540764657369088,2019-08-19,19:58:30,repchuck,4,8,45
"At a recent @scottcountytn law enforcement roundtable, we discussed the @HouseAppropsGOP FY20 CJS bill which includes funding for the Edward Byrne Memorial Justice Assistance Grant (JAG) Program.",1163540412369395717,2019-08-19,19:57:06,repchuck,1,0,1
Aeromedical services save lives and I am proud to see their mission expanding in Tennessee. pic.twitter.com/sOaJJwxQT5,1162435693341224966,2019-08-16,18:47:20,repchuck,2,0,4
"Opened in 2016, the LifeStar base at Rockwood Airport is a partnership between @utmedicalcenter & Cumberland, Morgan & Roane Counties designed to meet the growing need for air emergency response in rural communities.",1162435433730650113,2019-08-16,18:46:19,repchuck,1,0,4
"Thankful that there were no serious injuries and praying for a full recovery for all involved. Great work from @CarterTNSheriff, Elizabethton Fire Chief, and first responders who provided excellent emergency care. https://twitter.com/NBCNews/status/1162107026652180480 …",1162117446402285569,2019-08-15,21:42:44,repchuck,0,0,1
Great to visit with the legendary @DocPunchESPN and @RustyWallace and the talented team from the Rusty Wallace Auto Group this week. Thanks for taking the time to speak with me! pic.twitter.com/4aAFrA8jhW,1162110240764104704,2019-08-15,21:14:07,repchuck,0,0,1
"🚨 Attention all #TN03 middle & high school students🚨

Don't forget to register for the 2019 Congressional App Challenge to show off your skills in coding and computer science🖱️🖥️

Register online before Septemeber 10th - more info:  http://bit.ly/2Txgz83  pic.twitter.com/dIxKjJzm3p",1161658724416655364,2019-08-14,15:19:57,repchuck,0,7,4
".@ORNL is the most diverse, strongest, and productive national lab in America. A great read by @dflessner1  highlighting the historical significance and modern expansion of East Tennessee’s Secret City⬇️ http://bit.ly/2MhYdqx ",1161643878434463745,2019-08-14,14:20:57,repchuck,0,0,2
It was a packed house at Scott High School in Huntsville this afternoon. Thank you to all the students who asked questions and to Principal Melissa Rector for the warm welcome! pic.twitter.com/Pi2mgpaM64,1161375897682882561,2019-08-13,20:36:05,repchuck,0,4,25
"When Tennessee gave up regulatory authority – or primacy – over coal mining to the federal government, rural communities like Campbell County were hit hard. At the Campbell County Rotary Club, I spoke about how I worked to return primacy to the state & bring back jobs to  #TN03. pic.twitter.com/XddJzHCxUl",1161358045030559744,2019-08-13,19:25:09,repchuck,1,0,0
"I met w/ Director of Monroe County Economic Development Richard Kirkland, Monroe County Mayor Mitch Ingram, Vonore Mayor Bob Lovingood & Executive Director of the Tellico Reservoir Development Agency Bryan Hall to discuss how we can work together to strengthen local communities. pic.twitter.com/rGGyLX2o09",1159945025238765570,2019-08-09,21:50:19,repchuck,2,3,4
"A big thanks to Koppers Industry Plant Manager Brian Stanfill, Crescent Sock Company President Kathy Allen & Owner Sandra Boyd & Yamaha Jet Boat Manufacturing Operations Manager Ed Malle for the insightful tours & firsthand look at the growing industries in #TN03! pic.twitter.com/ngePJrj4di",1159940649363415043,2019-08-09,21:32:56,repchuck,0,0,0
"As students & faculty begin to head back to school, I hope everyone has a safe, fun, & educational year ahead. There are few gifts as valuable as education & I am thankful to have such excellent teachers & bright students in #TN03. 

My message 📚📝:
 https://www.wrcbtv.com/clip/14884394/us-congressman-chuck-fleischmann-welcomes-students …",1159467905882476550,2019-08-08,14:14:25,repchuck,0,0,5
"Exciting day up north w/ the ribbon cutting ceremony for the new Materials & Chemistry Laboratory Inc. (MCLinc) building in Oak Ridge. At nearly 30,000 sq ft this facility is expected to allow the applied research company to double their workforce in the coming years. Congrats! pic.twitter.com/e9VpeDAswr",1159464350073151495,2019-08-08,14:00:17,repchuck,0,1,2
The minds at @NIH provide world class research that saves lives. Proud to support their critical mission with continued funding for investment in FY18 and for years to come. https://twitter.com/NIH/status/1159101894880460800 …,1159243589572018177,2019-08-07,23:23:04,repchuck,1,0,3
It was my pleasure! Thank you for all you do for the Clinton community. https://twitter.com/JimmyMa25109692/status/1159115723358253057 …,1159135582964072448,2019-08-07,16:13:53,repchuck,0,0,4
Covered a variety of topics live on @WYSHradio with my friend Ron Meredith. Hearing what is on the minds of constituents in #TN03 is incredibly valuable and I will take your questions and concerns back with me and work to address them Washington. pic.twitter.com/HgHrO43cdz,1159132556203298817,2019-08-07,16:01:51,repchuck,0,0,1
For nearly 70 years Hixson Kiwanis Club has been an integral part of the East Tennessee community. Thank you for the invitation to speak today; it is always great to visit! pic.twitter.com/Z04kGqzNDK,1158855518741585923,2019-08-06,21:41:00,repchuck,0,1,2
"Enjoyed speaking with @DennisHPowers, Pamela Walden, and Pastor Michael Dent from the LaFollette Church of God about issues in the community and happenings in Washington. pic.twitter.com/9AyO6LBP3c",1158799251826249728,2019-08-06,17:57:25,repchuck,0,0,0
The impact of our educators extends long beyond the classroom. It was wonderful to address a room full of staff from @CampbellPublic Schools & members of the Board of Education as well as Director of Campbell County Schools @Jenn_Fields1. pic.twitter.com/7qbIgdFDgb,1158792768149426183,2019-08-06,17:31:39,repchuck,0,4,10
"Great news for #TN03!

Robust investment and job expansion continues to make Chattanooga a great place to live and work ⬇️ https://twitter.com/dflessner1/status/1158750432258330624 …",1158755072853123073,2019-08-06,15:01:52,repchuck,0,0,2
"I concluded the day visiting with Director of Union County Schools, Dr. Jimmy Carter to ensure that we are doing all we can to prepare our next generation for success. pic.twitter.com/PROPuBoY3x",1158738100098621442,2019-08-06,13:54:26,repchuck,0,0,2
"Next, I spoke with local leaders and first responders at the 911 center to thank them for their swift efforts in times of emergency. pic.twitter.com/EceqJZPuUj",1158737892769968129,2019-08-06,13:53:36,repchuck,0,0,4
"I joined @DennisHPowers to award a grant from the TN Housing Development Agency to well deserving folks. Then, I was humbled to meet w/ the family of H.E. “Smiley” Richardson & present them w/ a congressional certificate in honor of his legacy of service to Maynardville. pic.twitter.com/ydXHRHQdeg",1158737233588957184,2019-08-06,13:50:59,repchuck,2,0,4
Happy 229th birthday to the brave men and women of the @USCG! Thank you for your tireless work to keep our homeland safe and secure - you represent the best of America. 🇺🇸🛥🌊 #CG229 #HBDCoastGuard pic.twitter.com/nOQjx7UUvv,1158102612513894402,2019-08-04,19:49:13,repchuck,0,0,6
"Heartbroken for the people of El Paso, TX & Dayton, OH. We are stronger than those who seek to divide us w/ cowardly actions & we will continue to pray & lift up all who are hurting. Please join me in honoring the victims of these tragedies & asking for peace for their families.",1158048322751533058,2019-08-04,16:13:30,repchuck,39,6,25
"July Jobs Report:

✅ .@USDOL reports 164,000 jobs added
✅ wages increased 3.2% 
✅ record-high labor force

The American economy continues to boom under @realDonaldTrump's leadership. https://cnb.cx/2T42i2j ",1157358025725960192,2019-08-02,18:30:30,repchuck,31,25,87
Thrilled to hear that the Senate voted to confirm Bill Kilbride to the @TVAnews Board of Directors. I know Bill will bring an abundance of knowledge and expertise to the TVA Board given his track record of success and leadership. My full statement: http://bit.ly/2OAJGbx ,1157034238371385344,2019-08-01,21:03:53,repchuck,1,0,4
"While there are many issues that Congress can’t seem to find common ground on these days, ending the stream of robocalls is one. With the passage of the Stopping Bad Robocalls Act, Congress is taking action to hang up on fraudulent callers. Learn more⬇️ https://twitter.com/HouseCommerce/status/1156945403868340224 …",1156974276672720899,2019-08-01,17:05:37,repchuck,2,1,5
