tweet,id,date,time,username,replies_count,retweets_count,likes_count
"DYK: International automakers operate 30 manufacturing facilities in 12 states & build 60+ different models in the US? 8 of them are produced in #TN including @VW Atlas & Passat which are built at Volkswagen Chattanooga.

ICYMI: I highlighted the integral role of automakers🚗⤵️ pic.twitter.com/3fsfMplkvx",1178709240745205763,2019-09-30,16:32:37,repchuck,3,2,5
Wishing all Jewish families in East Tennessee and across the nation a peaceful and prosperous year! #ShanahTovah pic.twitter.com/pWI0WFSX8G,1178425874477125633,2019-09-29,21:46:37,repchuck,5,2,6
"33 years ago today, you became my wife. 33 years later, I look back on the memories we have made and the life we have built together with great happiness. Happy anniversary to my lovely wife. pic.twitter.com/BcwCn4T5GE",1177618758325678081,2019-09-27,16:19:25,repchuck,8,3,59
"This means supporting all of our law enforcement officers from sheriffs to @ICEgov & @CBP. Thank you, Sheriff, for risking your life every day & thank you to our men & women in uniform in East Tennessee, at the #southernborder & across our nation. We support you. 🇺🇸 pic.twitter.com/VohnG63k2l",1177341879865753605,2019-09-26,21:59:12,repchuck,1,3,9
"To fix our broken immigration system we need to implement an “all of the above” approach including building the wall, more border security personnel, increased technology & strengthening bonds between local & federal officials.",1177341872332771335,2019-09-26,21:59:10,repchuck,2,2,6
I have no doubt @McMinnTN is in good hands under the leadership of Sheriff Joe Guy. Sheriff Guy is in D.C. to discuss our immigration crisis w/ @POTUS & sheriffs from across the nation. We sat down to talk about how illegal drugs & undocumented aliens are impacting #TN03. pic.twitter.com/HBS6IJTQhP,1177341321029345281,2019-09-26,21:56:59,repchuck,3,8,24
"Rather than using taxpayer dollars for these theatrics, we should have been using the funds to #BuildTheWall and secure our border.",1177262044585877504,2019-09-26,16:41:58,repchuck,8,7,18
"Democrats are playing a dangerous game of telephone with this whistleblower complaint. A “he said, she said” document is a laughable excuse for factual evidence, and I hope the American people know what they are watching on TV today is nothing more than a liberal soap opera.",1177262043801489409,2019-09-26,16:41:58,repchuck,21,18,72
"Meet Jesse, East Tennessee's newest resident who spent the last 10 years serving our nation abroad. Welcome to #TN03, Jesse! We are lucky to have you. pic.twitter.com/GFMpcUycpG",1176968672855953408,2019-09-25,21:16:13,repchuck,7,1,16
"Speaker Pelosi: Focused on taking down @realDonaldTrump at any cost.

@POTUS: Focused on securing better trade deals for hardworking Americans.

The contrast couldn't be any more clear. https://www.foxbusiness.com/politics/us-japan-trade-deal-on-track?fbclid=IwAR1czabjlYpX5olwwTcVQtuIm9H4fdi-QMwRLHb8AqRJX1LCANK9A0REB9w …",1176932505565442049,2019-09-25,18:52:30,repchuck,1832,8797,30738
Reading the transcript & getting the facts. Democrats have hinged their political capital & the integrity of their party on a transcript that lacks the quid pro quo they have been searching for. It's not there. The time for showboating is over. Let’s get back to legislating. pic.twitter.com/ZhNZkJrWuB,1176882549223809024,2019-09-25,15:33:59,repchuck,141,128,340
"When the Mueller report didn’t placate their far-left base, their narrative quickly turned and here we are today. It is sad, it is not good governance, and it is dividing our country.",1176618916791103488,2019-09-24,22:06:24,repchuck,8,4,13
