tweet,id,date,time,username,replies_count,retweets_count,likes_count
During #BlackHistoryMonth we celebrate brave leaders like Edna M. Griffin whose courageous efforts led to the 1949 Iowa Supreme Court ruling that made it illegal to deny service based on race in Iowa. pic.twitter.com/98PK7oIo01,1101151232855625728,2019-02-28,16:04:46,repcindyaxne,0,5,36
"The Ensuring Lasting Smiles Act would close a coverage gap by requiring insurance companies and health plans cover serious dental and oral procedures needed to treat congenital anomalies, or birth defects. https://axne.house.gov/media/press-releases/axne-sponsors-bipartisan-bill-ensure-coverage-children-born-birth-defects-0 …",1100855921352282116,2019-02-27,20:31:19,repcindyaxne,1,3,20
"There’s nothing ‘cosmetic’ about ensuring children suffering from genetic disorders can chew, swallow and speak. I’m proud to join @SenJoniErnst in this bipartisan effort to ensure Iowa children suffering from birth defects can get the care they need at an affordable price.",1100855920538591234,2019-02-27,20:31:19,repcindyaxne,2,3,16
"Meet Alli Steele and Amelia & Lucas Ward from Dallas County. They suffer from a rare genetic disorder that prevents the development of teeth. Insurance plans can deny coverage for medically necessary procedures to treat birth defects, calling it 'cosmetic'  https://axne.house.gov/media/press-releases/axne-sponsors-bipartisan-bill-ensure-coverage-children-born-birth-defects-0 … pic.twitter.com/IgyHdLiRP6",1100855917686468608,2019-02-27,20:31:18,repcindyaxne,2,1,20
.@USDA Under Secretary Bill Northey and I worked together at the State of Iowa when he was Iowa’s Secretary of Agriculture. Looking forward to working with him again to help Iowa farmers and our renewable energy sector. pic.twitter.com/hjYUyOMhvj – at U.S. Department of Agriculture (USDA) Jamie L. Whitten Building,1100774668678717446,2019-02-27,15:08:27,repcindyaxne,4,7,66
Last stop of the day: The Hub Grind in Council Bluffs. Talked with folks about how we can lower our national debt. pic.twitter.com/0DmS5dRIrf,1099445572308791296,2019-02-23,23:07:05,repcindyaxne,9,4,43
"Nishna Productions Group Home provides residential care at 21 different locations for individuals with physical and intellectual disabilities in Southwest Iowa. Spoke with the Executive Director, Sherri at their Malvern site about their work placement services. pic.twitter.com/s5GVXQ51yy",1099422077973680129,2019-02-23,21:33:44,repcindyaxne,1,0,7
"The Grape Community Hospital in Hamburg is the only hospital on I-29 between Council Bluffs and St. Joe, Missouri. We need to make sure we’re providing our rural health care facilities with the resources they need to serve our communities. pic.twitter.com/KUWe0wv7J3",1099390312139624448,2019-02-23,19:27:30,repcindyaxne,1,1,21
"Continuing my rural health care tour today. The Shenandoah Medical Center serves over 1,200 Iowans in the region a week and over 2,000 surgeries a year. pic.twitter.com/RAY8Ifp8lL – at Shenandoah Medical Center",1099369693637275649,2019-02-23,18:05:34,repcindyaxne,1,2,24
"Federal grants can help communities like Red Oak with programs to improve education, increase access to affordable housing and child care. Talking with constituents about my bill to streamline the process to make it easier and cheaper for Iowans to access federal grant funding. pic.twitter.com/vMyEMEqM0a",1099345420310982656,2019-02-23,16:29:07,repcindyaxne,0,1,14
I’ll be at the Rainbow Café in Red Oak from 10-11am today. If you’re in Montgomery County come by and say hi before the snow starts!  https://www.facebook.com/events/693018057780197/?ti=icl …,1099322070914289665,2019-02-23,14:56:20,repcindyaxne,2,2,7
Had to say a quick thank you to the folks who keep our kids fed and full at Edmunds Elementary. pic.twitter.com/ttWX42LWux,1099082253689327618,2019-02-22,23:03:23,repcindyaxne,1,2,33
I sent both my boys to coding camp because I know how important it is for our kids to have these technological skills in our evolving digital economy. We need to make sure that every child in Iowa has the opportunity to learn computer science and STEM education. pic.twitter.com/8TfD3LR9Ee,1099022602855768064,2019-02-22,19:06:22,repcindyaxne,2,5,48
"Thank you @Google for choosing Edmunds Elementary to roll out the CS First Program! We need to make sure we’re providing kids w/ the skills they need for good-paying jobs. That starts w/ encouraging students, particularly young girls, to get excited abt computer science early on. pic.twitter.com/Zw6uXHLmjz",1099011551850315777,2019-02-22,18:22:27,repcindyaxne,0,4,27
"Heard from constituents at Smokey Row in Des Moines about ending homelessness in the community, supporting early education, and helping our entrepreneurs access capital. pic.twitter.com/Rd4bCHAPNY",1098966213055709184,2019-02-22,15:22:17,repcindyaxne,3,2,21
See you soon DSM! https://twitter.com/RepCindyAxne/status/1098686698739941376 …,1098942666040066049,2019-02-22,13:48:43,repcindyaxne,2,2,29
"Medicare Advantage provides comprehensive, affordable health care services to over 100,000 seniors in Iowa. I’m committed to protecting this vital program. Honored to be a recipient of the 2019 Medicare Advantage Champion Award. pic.twitter.com/VOv4P4xfJI",1098716441929494528,2019-02-21,22:49:47,repcindyaxne,7,6,41
Back home in Des Moines this week. Had a great conversation with health care professionals about how we can lower costs and expand coverage. Looking forward to working on these issues to help hardworking Iowa families. pic.twitter.com/3xYxbYdzp1,1098714341367529472,2019-02-21,22:41:26,repcindyaxne,2,3,32
I'll be at Smokey Row in Des Moines tomorrow from 8:30-9:30am to catch up with constituents! Come swing by and say hi!  https://www.facebook.com/events/1174292252735806/ …,1098686698739941376,2019-02-21,20:51:36,repcindyaxne,1,1,13
The President’s decision to issue a national emergency sets a dangerous precedent and is a misuse of the emergency power delegated by Congress.,1098016698018512897,2019-02-20,00:29:15,repcindyaxne,11,10,106
"Great to chat with folks in Warren County this weekend during one of my ""Connect w/ Your Congresswoman"" events. Spoke w/ @kniakrls about how supporting our agriculture industry is a top concern for the community and one of my top priorities in Congress. https://www.kniakrls.com/2019/02/18/congresswoman-cindy-axne-visits-warren-county/ …",1097912260264189953,2019-02-19,17:34:15,repcindyaxne,1,3,19
It was great to talk with people in Lacona about problems and challenges they’re facing in their communities and what I can do back in Washington to better help our farmers. pic.twitter.com/x06fPbqriT,1096922601828597762,2019-02-17,00:01:42,repcindyaxne,1,1,26
"Connecting with folks in St. Charles over issues like lowering the cost of insulin, providing grants to our rural communities and how we can be better stewards of our environment. pic.twitter.com/LuCgNy0IyA",1096796717012475904,2019-02-16,15:41:29,repcindyaxne,5,4,49
Thank you @AGIowa for leading this charge in Iowa. I'm working in Congress to close federal loopholes that make it easier for fraudsters to target veterans. Looking forward to working w/ @AGIowa to better protect the men & women who have served our country  https://axne.house.gov/media/press-releases/axne-applauds-iowa-ag-settling-veteran-fraud-case … https://twitter.com/AGIowa/status/1096453793661755392 …,1096475900835708928,2019-02-15,18:26:40,repcindyaxne,0,3,22
"Tonight I voted for the bipartisan, bicameral deal to keep the government open and strengthen our border security. I strongly urge the President to sign this deal. It’s time to move our country forward.",1096242286269263872,2019-02-15,02:58:22,repcindyaxne,12,2,79
Remembering the victims of the Parkland and Northern Illinois massacres today and the unimaginable grief their family and friends have experienced because of senseless gun violence. pic.twitter.com/G83syBXEqC,1096191124312674306,2019-02-14,23:35:04,repcindyaxne,3,2,23
"Great to meet Iowa’s 4-H Healthy Living Ambassadors. Talked abt nutrition & health policy and empowering youth to be leaders in their communities. As a 4-H alumna, it was great to reflect on the experiences I had, the skills I gained, and the positive impacts 4-H has on our youth pic.twitter.com/FdF4SOq5K1",1096167948354498562,2019-02-14,22:02:59,repcindyaxne,1,5,45
To all the men and women who have served our country: Happy Valentines Day from first graders at Jackson Elementary! pic.twitter.com/8Io1ryfuiA,1096094673406447619,2019-02-14,17:11:49,repcindyaxne,0,3,23
Unfortunately I couldn’t be there in person because I’m in DC making sure we keep the gov’t open. But so glad my team back in Des Moines was able to join students at Jackson Elementary in making Valentines for veterans! pic.twitter.com/Yfoad03WQ4,1096093448128614401,2019-02-14,17:06:57,repcindyaxne,0,0,16
