tweet,id,date,time,username,replies_count,retweets_count,likes_count
"The #NCA4 found that, globally, 16 of the last 17 years were the warmest on record. It's past time for Congress to #ActOnClimate to protect the health and wealth of the American people. #ClimateFriday pic.twitter.com/nGykQi3zYf",1068583377845067776,2018-11-30,19:11:45,repcleaver,1,6,19
Congratulations to my friend Jim @Clyburn on being elected House Majority Whip for the 116th Congress! https://twitter.com/HouseDemocrats/status/1067885275261603840 …,1068271618181480449,2018-11-29,22:32:55,repcleaver,0,2,13
The sign in front of the United Methodist Building says it all... pic.twitter.com/j1HAl4i8qW,1068253401232883712,2018-11-29,21:20:32,repcleaver,2,26,100
Do you trust these people or @realDonaldTrump's gut? I know whose wisdom I'm going to lean on. https://twitter.com/neiltyson/status/1067986658899877888 …,1068231778052304897,2018-11-29,19:54:37,repcleaver,1,30,102
"As Democrats take control of the House, it is imperative that we work to address the systemic racial biases within American housing markets. I look forward to working with members from both sides of the aisle to confront this issue.",1068215780486057984,2018-11-29,18:51:03,repcleaver,0,2,11
"It cannot be understated how detrimental the devaluation of homeownership in black neighborhoods has been to these communities as a whole. That's less money for businesses, for schools, for infrastructure, for so many things that are critical to a thriving community.",1068215779672420352,2018-11-29,18:51:03,repcleaver,2,3,11
"In Kansas City, we are doing better than the national average, however, the average devaluation of homes in majority black neighborhoods is still 20.3%. Here are some further statistics showing the issues that arise with the devaluation of homes among the KC neighborhoods: pic.twitter.com/7PC9MLZKcx",1068215776350478336,2018-11-29,18:51:02,repcleaver,2,0,5
"Analysis found that metro areas with greater devaluation of black neighborhoods are more segregated & less likely to provide upward mobility for black children who grow up in them. African Americans aren't just losing $, we're missing out on same opportunities provided to others.",1068215775650025473,2018-11-29,18:51:02,repcleaver,1,0,3
"""Homes of similar quality in neighborhoods with similar amenities are worth 23% less in majority black neighborhoods, compared to those with very few or no black residents.""

Meaning the differences in home & neighborhood quality cannot explain the differences in home value.",1068215775058632704,2018-11-29,18:51:01,repcleaver,1,0,3
"Researchers found that ""owner-occupied homes in black neighborhoods are undervalued by $48,000 per home on average, amounting to $156 billion in cumulative losses.""

That is $156 BILLION that Black Americans are being shorted strictly due to racial biases.",1068215773578043392,2018-11-29,18:51:01,repcleaver,1,1,3
"Yesterday, @BrookingsInst released a report on the devaluation of homeownership in black neighborhoods across the United States. It reveals the persistent institutional racism that continues to prevail in American housing markets. https://www.brookings.edu/research/devaluation-of-assets-in-black-neighborhoods/ …",1068215772714057728,2018-11-29,18:51:01,repcleaver,2,8,15
"I was happy to speak with @TeamCavuto yesterday, regarding the formal nomination of @NancyPelosi for Speaker of the House. In case you missed it, you can find our talk here: https://video.foxnews.com/v/5972799609001/#sp=show-clips …",1068200438909014017,2018-11-29,17:50:05,repcleaver,1,2,3
"The White House spokeswoman made many false or misleading comments about the recent #ClimateChange report yesterday. Here is a good thread that completely debunks those false claims. 
It's real, it's happening now, and we must admit its reality to confront the issue. https://twitter.com/KHayhoe/status/1067450865303330818 …",1067914856832081920,2018-11-28,22:55:17,repcleaver,1,15,50
About to chat with @TeamCavuto on @FoxBusiness pic.twitter.com/chmeOjBhki,1067897775227060225,2018-11-28,21:47:24,repcleaver,0,0,6
Congratulations to my good friend @RepKarenBass on her election to be Chair of the @OfficialCBC! I look forward to progressing the goals of the caucus under your leadership. https://twitter.com/TheBlackCaucus/status/1067839301193478144 …,1067876509707321346,2018-11-28,20:22:54,repcleaver,1,3,17
Thomas Farr has spent a lifetime suppressing the voting rights of minorities. He is unworthy of a position on the federal bench and I urge the Senate to reject his confirmation. https://www.politico.com/story/2018/11/28/senate-vote-trump-jude-nominee-1023362 …,1067850259949395970,2018-11-28,18:38:36,repcleaver,4,16,34
