tweet,id,date,time,username,replies_count,retweets_count,likes_count
"The Opportunity Zone program was meant to revitalize underserved communities, not enrich the friends of political elites. If the allegations of impropriety prove to be true, it would be a perverse violation of public trust and a violation of federal law. IG must investigate.",1190007158613663745,2019-10-31,20:46:30,repcleaver,3,1,6
"Today, @RepRonKind, @SenBooker, and I sent a letter to the Treasury IG demanding an investigation into reports of impropriety by senior officials when implementing the Opportunity Zones tax incentive program. https://cleaver.house.gov/media-center/press-releases/cleaver-kind-and-booker-to-treasury-department-ig-investigate-reports-of …",1190007157904879617,2019-10-31,20:46:30,repcleaver,1,1,9
"I fear for what the impeachment of this President might do to an already deeply divided nation, but I fear more the notion that any President can be above the law. As the inquiry moves forward, we must reject blind partisanship and continue to follow the facts.",1189936841107091456,2019-10-31,16:07:05,repcleaver,11,5,34
"However, when I came to Congress, I also swore an oath to defend the constitution and the rule of law. As evidence of the President’s misconduct continues to mount, it is clear Congress must continue the impeachment inquiry and why I voted for that today.",1189936840440270848,2019-10-31,16:07:05,repcleaver,8,5,29
"When I came to Congress, the last thing on my mind was the impeachment of the President of this country. Anyone who is joyful over the potential impeachment of President Trump is extraordinarily engaged in wrong-headed thinking. https://www.nytimes.com/2019/10/31/us/politics/house-impeachment-vote.html?action=click&module=Top%20Stories&pgtype=Homepage …",1189936839567773697,2019-10-31,16:07:05,repcleaver,12,6,28
"Friendly reminder: @HouseDemocrats have passed over 200 bills #ForThePeople while the @SenateGOP CONTINUES to delay and block American progress.

When will the Senate Majority Leader do his job? pic.twitter.com/dZNuAkpeeh",1189274434760298497,2019-10-29,20:14:55,repcleaver,16,25,45
"Calling all budding tech enthusiasts, coders, engineers, and innovators! This is your last chance to submit your apps for the @CongressionalAC! https://www.congressionalappchallenge.us/ ",1189245033054121989,2019-10-29,18:18:05,repcleaver,1,4,3
"This is an issue that will impact every American and every industry in our economy. If we continue our failure to address this crisis, the economic consequences will be devastating across the nation. That’s why we need #ClimateActionNow",1189230453884145666,2019-10-29,17:20:09,repcleaver,3,1,6
"Just last month, I held a hearing on the macroeconomic effects of #ClimateChange, and the warnings we heard from experts were similarly alarming. Labor force displacement, rising sea levels, & decreased crop yields are just a few byproducts of a rapidly warming planet.",1189230453125013504,2019-10-29,17:20:09,repcleaver,3,3,5
"“A set of assumptions & practices in economics has led economists both to underestimate the economic impact of many climate risks & to miss some of them entirely.”
 
#ClimateChange already costs taxpayers billions, & we may be underestimating future costs. https://www.nytimes.com/2019/10/23/opinion/climate-change-costs.html?smtyp=cur&smid=tw-nytimes …",1189230452185423872,2019-10-29,17:20:09,repcleaver,2,7,11
"It’s clear that the GOP cannot defend the substance of the testimony, so they are attacking the character of a man who has dedicated his life to serving our nation. It’s a sad display of partisanship and harmful for the country and the constitution we swear an oath to uphold.",1189209499414028289,2019-10-29,15:56:53,repcleaver,3,7,13
