tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Too many can't afford the medicine they need to live. Last month, the House passed bold legislation that will #LowerDrugCosts for all Americans. I join fellow North Texan @RepVeasey in urging the Senate to act and bring real relief to the American people. https://www.dallasweekly.com/articles/commentary-the-senate-must-act-and-join-the-house-in-lowe%C2%ADing-perscription-drug-prices-for-all-americans/ …",1218941329037807616,2020-01-19,17:00:34,repcolinallred,1,3,7
"Hey N. Texas students: @dartmedia is accepting submissions for their student art contest. If you want to see your art on a DART vehicle or in an art exhibit, share your artistic talents by submitting a piece by Feb. 28. Visit their website to learn more:  https://www.dart.org/transiteducation/posters2020.asp …",1218578941486735362,2020-01-18,17:00:34,repcolinallred,0,5,10
Mr. Repp’s story is one of incredible perseverance during one of the darkest times in history. North Texas is grateful for his service to our country and his work w/ @dhhrm_org. He'll be remembered as someone who represented the best of our community. https://www.dallasnews.com/news/commentary/2020/01/15/dallas-has-lost-a-vital-human-story-of-the-holocaust-with-the-death-of-south-dallas-shopkeeper-jack-repp/ …,1218224750117511168,2020-01-17,17:33:08,repcolinallred,0,1,6
"Trade with Mexico and Canada is vital to our North Texas economy and supports thousands of jobs right here in our community. I was proud to vote for the USMCA in the House last month, and I applaud the Senate for passing it with a big bipartisan majority. https://www.washingtonpost.com/us-policy/2020/01/16/senate-approves-new-usmca-trade-deal-with-canada-mexico/ …",1217929597167308801,2020-01-16,22:00:18,repcolinallred,2,3,13
One of the best ways to stay up to date on my work in Congress for #TX32 is to subscribe to my newsletter. You'll be notified of events like town halls and hear about my work on issues like lowering the cost of health care and investing in infrastructure.  https://allred.house.gov/contact/newsletter … pic.twitter.com/vBNILhX6Jd,1217861727045419010,2020-01-16,17:30:37,repcolinallred,1,2,2
"Today, my office is hosting mobile office hours in Wylie. Stop by the Rita & Truett Smith Public Library from 2:30 PM - 4:30 PM to learn how we can assist with federal agencies or answer questions you may have about constituent services. RSVP:  https://www.eventbrite.com/e/rep-colin-allreds-mobile-office-hours-wylie-tickets-88681531849 … pic.twitter.com/9k32eV1lia",1217824028595052545,2020-01-16,15:00:49,repcolinallred,0,1,3
"Last year, I traveled to Afghanistan to visit our troops. There, I met a young captain training the Afghanistan military and working to degrade Taliban and ISIS elements. With every decision we make, Congress must ensure that we are serving him, as well as he serves our nation. pic.twitter.com/FsxPMPcEfX",1217601105888043011,2020-01-16,00:15:00,repcolinallred,3,2,23
"Discrimination against older workers has no place in our North Texas community. Age discrimination should be treated as seriously as any type of discrimination, which is why I voted to pass a bipartisan proposal to restore strong workplace protections for older workers. #POWADA pic.twitter.com/cee1CxBKAN",1217582297966358540,2020-01-15,23:00:16,repcolinallred,1,1,12
"As a member of the Transportation Committee, I know the importance of engaging with local officials & experts to ensure our transportation system is working for Texans. I was glad to meet w/ @TXDOT's Dallas District Engineer Mo Bur this week to discuss priorities in North Texas. pic.twitter.com/DCTbCl62Ki",1217550455426908167,2020-01-15,20:53:44,repcolinallred,4,9,29
"When America strays from our values on the global stage, it makes the world less safe. As a member of @HouseForeign, I will fight for those values, and now, more than ever, it is important that Congress exercise its constitutional duty to provide oversight of U.S. foreign policy. pic.twitter.com/cJ0fnGLgHz",1217219843683835906,2020-01-14,23:00:00,repcolinallred,7,5,28
"It's so important to share our gratitude to veterans for their sacrifices. That's why I'm collecting Valentine's Day greetings to be distributed to North Texas vets. If you would like to participate, please mail or drop off your greetings at my district office in Richardson. pic.twitter.com/vHVdcnVdVB",1217194780771471360,2020-01-14,21:20:24,repcolinallred,0,4,7
"On Thursday, my office is hosting mobile office hours in Wylie. Stop by the Rita & Truett Smith Public Library from 2:30 PM - 4:30 PM to learn how we can assist with federal agencies or answer questions you may have about constituent services. RSVP:  https://www.eventbrite.com/e/rep-colin-allreds-mobile-office-hours-wylie-tickets-88681531849 … pic.twitter.com/RKRMtMWjjs",1217151007282663427,2020-01-14,18:26:28,repcolinallred,0,3,1
"Thank you all for stopping by! It is great to meet with North Texans in Washington, and I'm always so inspired to see young folks getting involved. https://twitter.com/utleydaniel/status/1216800369059213312 …",1216810710363201538,2020-01-13,19:54:15,repcolinallred,0,3,16
"The first wave of Korean immigrants arrived in the US over a century ago, and Korean Americans have made many contributions to our nation. Diversity is our strength and I join North Texans celebrating #KoreanAmericanDay and the rich culture and history of the Korean community. pic.twitter.com/1lHWGRFMyQ",1216740533739180033,2020-01-13,15:15:23,repcolinallred,6,30,129
Making travel as seamless as possible is important and @DFWAirport's expansion of non-stop flights will help North Texans have access to more and more places across the country. This is just another reason why our airports are the best in the world! https://www.dallasnews.com/business/airlines/2020/01/10/dfw-now-flies-non-stop-to-more-us-destinations-than-any-other-airport/ …,1216390663950028800,2020-01-12,16:05:08,repcolinallred,2,4,9
"Our region is expanding, and this is a once in a generation opportunity to lead the nation w/ a high-speed rail project connecting N. Texas & Houston. This innovative project will create jobs and modernize our transport systems, changing how Texans travel. https://www.dallasnews.com/news/curious-texas/2020/01/08/what-do-you-want-to-know-about-the-bullet-train-planned-from-dallas-to-houston-ask-curious-texas/ …",1216118857208934400,2020-01-11,22:05:04,repcolinallred,4,6,30
I am very saddened by this news. I was just in Afghanistan visiting service members and I was honored to meet many who sacrifice and serve our nation in hostile regions. Aly and I send our deepest condolences to the families of these brave service members. https://www.fox4news.com/news/us-troops-killed-by-roadside-bomb-in-afghanistan …,1216109265087291392,2020-01-11,21:26:57,repcolinallred,0,4,8
"In this moment of peril for our nation, it is crucial that Congress reclaim our Constitutional role. The House took a step forward this week by voting to require Congressional approval before any further action against Iran.

Read my @dallasnews op-ed: https://www.dallasnews.com/opinion/commentary/2020/01/11/rep-allred-to-de-escalate-the-situation-with-iran-congress-must-assert-itself-on-foreign-policy/ …",1216023240956633089,2020-01-11,15:45:07,repcolinallred,13,12,22
"It’s always great to meet with North Texans visiting Washington, and I was thrilled to visit with Connor and Tammy from Garland this week! My office is always available to help North Texans planning trips to our nation’s capital.  https://allred.house.gov/services/tours-and-tickets … pic.twitter.com/cTjEQS0Dmk",1215770339919024128,2020-01-10,23:00:11,repcolinallred,1,4,23
"Stay safe, North Texas. Please take the necessary precautions and make sure you have a safety plan. https://twitter.com/jesus_jimz/status/1215723920101343238 …",1215758038881263624,2020-01-10,22:11:18,repcolinallred,1,2,9
Trade with Mexico and Canada is paramount to our economic success in North Texas. That’s why I fought for the USMCA’s passage in the House and I’m glad to see it making progress in the Senate. I look forward to it supporting good jobs in our region. https://www.cnbc.com/2020/01/07/senate-finance-committee-passes-trump-usmca-trade-deal.html …,1215653346960465921,2020-01-10,15:15:18,repcolinallred,0,1,10
"America can be a force for good. When we lead with our values, it makes us safer. But for too long Congress abdicated its war powers authority, which is why tonight I voted to reassert that authority and require Congressional approval for any further military action against Iran.",1215409469460488192,2020-01-09,23:06:13,repcolinallred,12,7,61
