tweet,id,date,time,username,replies_count,retweets_count,likes_count
"The men and women who served during the Vietnam War are often overlooked. As a partner of the @vietnamwar50th, I am committed to recognizing the service of Vietnam veterans today & every day.#PA17 #VietnamWarVeteransDay  https://tinyurl.com/y4mnvbqs  pic.twitter.com/4SJPH7dyME",1111650711236947969,2019-03-29,15:25:57,repconorlamb,0,1,12
Pittsburgh’s steel industry built our country & we are home to many proud @steelworkers. Today’s bipartisan #SteelHearing affirmed the importance of American-made steel and demonstrated the need to invest in our country’s aging infrastructure. #PA17 pic.twitter.com/lRoTXMKzel,1110959528860942336,2019-03-27,17:39:26,repconorlamb,2,4,19
PA has more than half a million manufacturing jobs that are critical to our economy. Today @HouseScience welcomed experts who are driving innovation in this sector and discussed the need to fill 3.5 million high-skilled jobs over the next 10 years. #PA17 pic.twitter.com/SXWCsWuydk,1110623693028450309,2019-03-26,19:24:57,repconorlamb,1,8,16
"SAVE THE DATE!  On Thursday, April 4 at 6pm I’m holding my next Town Hall at VFW Post 709 in Sharpsburg (1017 Main Street).  I’ll be there to listen to your concerns and to provide an update on my work in Washington. #PA17  https://tinyurl.com/yyu4vfyv  pic.twitter.com/rRq6C10vOy",1110285157536354306,2019-03-25,20:59:44,repconorlamb,2,3,16
"Thanks to everyone who came out to @cafekolache today in @BeaverCtyPa. If you missed us, don’t worry. Sign up for my newsletter to get updates on upcoming events throughout #PA17.  https://tinyurl.com/y45b8777  pic.twitter.com/FMrlWnhphB",1109564507456786433,2019-03-23,21:16:07,repconorlamb,0,1,21
A reminder that I’ll be @CafeKolache in Beaver tomorrow from 1-3pm for my next “Coffee with Conor.” Happy to answer any questions you may have or feel free to stop by just to say hello. #PA17  http://goo.gl/RH19ee  pic.twitter.com/YhggJ3WeUh,1109162423406247938,2019-03-22,18:38:23,repconorlamb,0,2,7
I’m committed to protecting and expanding #SocialSecurity for current and future generations. Thankful to the folks at the Center at the Mall in @BeaverCtyPA who talked with me about the #Secure2100 Act and then invited me to join their game. #PA17 pic.twitter.com/Q72zGuN14v,1108790837914333190,2019-03-21,18:01:50,repconorlamb,5,1,32
Need help with a service related to a federal agency such as @IRSNews or @SocialSecurity? My team will hold mobile office hours in the North Hills tomorrow @northlandlib from 10am-3pm to help answer questions & provide assistance. #PA17  https://goo.gl/GocgNB  pic.twitter.com/GVAxZh3Vbu,1108746034736492550,2019-03-21,15:03:48,repconorlamb,0,2,3
"Join me this Saturday, March 23 from 1-3pm at @CafeKolache in Beaver for my next “Coffee with Conor.” I look forward to hearing your ideas and answering your questions about the work I’m doing in Washington for #PA17.  https://goo.gl/RH19ee  pic.twitter.com/NciznKnyNv",1108375492195954688,2019-03-20,14:31:24,repconorlamb,0,4,5
"Took some tough questions from some of my most important constituents today @BeaverCtyPA Head Start, where investments in early learning are making a big difference every day.  #PA17 pic.twitter.com/ZIrHgH3wpU",1108115065817976832,2019-03-19,21:16:34,repconorlamb,0,5,49
"Engaging & important conversation with the Air Force JROTC cadets @PRSchools this morning. Thanks to Chief Mike Gasparetto, Principal Bowman & all the great teachers at Pine-Richland for cultivating America’s next generation of leaders. #PA17 pic.twitter.com/q2WoX2injK",1108024199371784194,2019-03-19,15:15:29,repconorlamb,0,1,10
We will hold mobile office hours on Wednesday from 10am-3pm at the Penn Hills Public Library.  Members of my team will be there to answer questions and assist with issues regarding federal agencies. #PA17 pic.twitter.com/SdCh7OMDSO,1107773073326071810,2019-03-18,22:37:36,repconorlamb,0,5,6
"The 2019 Congressional Art Competition is underway. This is a great opportunity for #PA17 high school students to showcase their talents & have their artwork displayed in the Capitol for a full year. For more information on how to participate, visit  https://goo.gl/vQxam3  pic.twitter.com/akrbjJxe3X",1107690498309963777,2019-03-18,17:09:29,repconorlamb,1,4,10
The annual Disability & Mental Health Summit tackles critical topics & issues that can bring more resources to families in #PA17. Thanks to @RepDanMiller  for hosting me & @USRepMikeDoyle @ Beth El Congregation today. pic.twitter.com/GgvS4yzrng,1106664762866307080,2019-03-15,21:13:34,repconorlamb,1,4,32
"Thanks to @CCAC & @PTC_edu for stepping in to assist students impacted by the sudden closure of the Art Institute of Pittsburgh. My office is available to help students and families with questions, including about federal financial aid. 412-344-5583 #PA17 https://goo.gl/wQzCS1 ",1106288790665076736,2019-03-14,20:19:36,repconorlamb,0,6,16
Great to hear from my friends @PghFireFighters in DC today for #IAFFLegCon about their federal policy priorities to protect and support professional fire fighters and emergency responders. #PA17 pic.twitter.com/9w2NcDgdxY,1105585357402320902,2019-03-12,21:44:24,repconorlamb,1,4,16
Yesterday @HouseScience welcomed @PittChancellor Gallagher to discuss how our region’s advanced manufacturing sector is helping the U.S. maintain leadership in science & technology. Always great when I get to work with our local leaders in Washington. #PA17 #H2P pic.twitter.com/G1jotYVfSp,1103693809307791362,2019-03-07,16:28:04,repconorlamb,2,6,47
"Great time talking w/constituents this morning at Uncommon Grounds in Aliquippa. As long as you have questions to ask & ideas to share, we’ll keep having as many coffees & town halls as we can. Thanks to Herb & crew for hosting us during their breakfast for local veterans. #PA17 pic.twitter.com/Oab40a2BL7",1101925224424058884,2019-03-02,19:20:20,repconorlamb,5,7,54
Don’t forget to join me tomorrow from 11a-1p at Uncommon Grounds in Aliquippa for my next “Coffee with Conor.” It’s been a busy week in Washington & I am happy to answer your questions or just hear your thoughts and opinions. #PA17  https://goo.gl/SmPeyX  pic.twitter.com/PN6BP3324i,1101496704271036424,2019-03-01,14:57:33,repconorlamb,0,2,7
