tweet,id,date,time,username,replies_count,retweets_count,likes_count
"He was inspiring, both in public and even more so in private. He brought moral clarity to everything he did, and his purpose was pure — to help those among us who needed it most. https://www.usatoday.com/story/opinion/2019/10/25/elijah-cummings-inspirational-legacy-passion-purpose-vision-column/4082900002/ …",1187814973654872066,2019-10-25,19:35:32,repcummings,1159,9118,45207
"Pain. Passion. Purpose.

Over the next few days, the staff of Congressman Elijah E. Cummings will use this account to reflect upon his life and legacy. 

May he rest in peace. 
-Staff https://twitter.com/OversightDems/status/1187416564565512193 …",1187422441464836097,2019-10-24,17:35:45,repcummings,2924,19739,108038
Read the full release: https://oversight.house.gov/news/press-releases/cummings-issues-statement-on-ruling-that-mazars-must-comply-with-oversight …,1182690836359897089,2019-10-11,16:14:03,repcummings,320,678,2132
"Today’s ruling is a fundamental & resounding victory for Congressional oversight, our Constitutional system of checks & balances, & the rule of law.

For far too long, the President has placed his personal interests over the interests of the American people. pic.twitter.com/j1Vdi5Tkmi",1182690834883534848,2019-10-11,16:14:03,repcummings,729,1569,5429
"The President is acting as if he is above the law.

What is else is he hiding from the American people?",1181915162397331456,2019-10-09,12:51:48,repcummings,384,1137,4265
"POTUS says he won’t cooperate with the impeachment inquiry because there was no House vote. 

On Friday, @RepAdamSchiff, @RepEliotEngel, and I addressed this baseless claim:  https://oversight.house.gov/sites/democrats.oversight.house.gov/files/documents/2019-10-04.EEC%20Engel%20Schiff%20to%20Mulvaney-WH%20re%20Subpoena.pdf …",1181915161554247680,2019-10-09,12:51:48,repcummings,336,1446,4204
"Last month, @Call_Me_Dutch, @RepSarbanes, & I sent a letter to @ICEgov requesting that ICE immediately stop using this predatory tactic.

Read our letter:  https://cummings.house.gov/media-center/press-releases/cummings-ruppersberger-sarbanes-demand-ice-cease-predatory-bait-and …",1181655825334571008,2019-10-08,19:41:17,repcummings,23,109,351
The use of bait & switch tactics to arrest immigrants attending marriage interviews as part of their lawful immigration process is wrong & cruelly separates families. https://twitter.com/baltimoresun/status/1181647951573241858 …,1181655823489097728,2019-10-08,19:41:17,repcummings,94,684,2060
"Asthma affects children & adults across my district, Maryland, & the entire nation. 

Today, @RepEliotEngel, @RepFredUpton, @RepPeteKing, & I introduced the Family Asthma Act to expand efforts to improve care for individuals with asthma. 

Our release:  https://cummings.house.gov/media-center/press-releases/bipartisan-members-house-asthma-and-allergy-caucus-introduce-family …",1181633770497216515,2019-10-08,18:13:39,repcummings,26,128,410
"Congratulations to @JohnsHopkins’ Dr. Gregg Semenza for winning the 2019 Nobel Prize for Physiology or Medicine!

Your work alongside Dr. William G. Kaelin Jr. and Peter J. Ratcliffe is remarkable and deserving of this high prize. https://twitter.com/baltimoresun/status/1181164381431881730 …",1181290847930896385,2019-10-07,19:31:00,repcummings,33,183,1228
"This is a grave and solemn moment for our country. #POTUS, from the WH lawn, is openly calling on foreign powers to smear his political rival.

I urge my GOP colleagues to join us and save our democracy.

History will commend us, and future generations will be the beneficiaries.",1180135661342474251,2019-10-04,15:00:42,repcummings,3418,16541,63597
