tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Congratulations on being elected the Caucus Leadership Representative, @RepRaskin! https://twitter.com/HouseDemocrats/status/1068243184612970496 …",1068333036738105345,2018-11-30,02:36:59,repdankildee,2,6,66
"I’m glad we have people like @RepCartwright, @RepDebDingell and @RepTedLieu as co-chairs of the @HouseDPCC who are focused on kitchen table issues affecting American families. Congratulations! https://twitter.com/HouseDemocrats/status/1068226340493697024 …",1068325039777488898,2018-11-30,02:05:12,repdankildee,1,1,12
.@RepCicilline has always stepped up and rolled up his sleeves to get things done for the American people. Glad he’ll lead the @HouseDPCC in the next Congress! https://twitter.com/HouseDemocrats/status/1068188623022026752 …,1068310941803192320,2018-11-30,01:09:11,repdankildee,0,3,8
We know #PFAS chemicals are harmful to human health. That’s why we should be doing everything we can to keep them from our waterways and environment. The state of Michigan must enforce water quality safeguards & be fully transparent with Michigan families. https://bit.ly/2E4R0Gw ,1068292154110459914,2018-11-29,23:54:32,repdankildee,1,10,10
"Congrats, @RepCheri! I know you’ll bring a Midwest work ethic to your new role as we fight for affordable health care, good paying jobs and fair wages for all Americans. https://twitter.com/HouseDemocrats/status/1068192479982379008 …",1068280624711122944,2018-11-29,23:08:43,repdankildee,0,0,13
Clean drinking water is a fundamental human right. We must prioritize making sure every American can drink the water coming out of their tap.  https://cnn.it/2E2OIYj ,1068270188402012160,2018-11-29,22:27:15,repdankildee,5,8,25
.@RepKClark is a champion for working families and I’ll know she’ll be an exceptional Vice Chair of the @HouseDemocrats. Congrats! https://twitter.com/HouseDemocrats/status/1067952429138944000 …,1068261544528658432,2018-11-29,21:52:54,repdankildee,2,1,12
"Congratulations, @RepBenRayLujan! Glad we will have you serving as Assistant Democratic Leader in the 116th Congress as a new Democratic majority gets ready to work for the American people. https://twitter.com/HouseDemocrats/status/1067892159846801409 …",1068250091079823360,2018-11-29,21:07:23,repdankildee,0,0,4
"Congratulations, @HaleyLive and @ColinAllredTX on being elected Co-Presidents of the freshman class! I know you will be great leaders to this new generation of lawmakers focused on expanding opportunity for every American. Excited to get to work with you both. https://twitter.com/HaleyLive/status/1067937017600851968 …",1068187715752140800,2018-11-29,16:59:32,repdankildee,2,6,43
"Always a privilege to sit down with Members of the Canadian Parliament to talk about America’s great friendship with Canada and how we can work together to protect the Great Lakes and support fair trade deals. Glad I got to talk to @SenatorMunson, @BrianMasseMP & @JohnMcKayLib! pic.twitter.com/jHGUFx55GI",1068146002207498240,2018-11-29,14:13:46,repdankildee,2,3,21
"The President must work with Democrats and Republicans in Congress on smart manufacturing and trade policies that support American workers. We need an economy that works for everyone, not just those at the top. pic.twitter.com/ENRacz1Crb",1067929992548491267,2018-11-28,23:55:26,repdankildee,12,8,29
"Looking forward to working with our new Majority Whip, Rep. @Clyburn! 

Jim is a visionary leader who fights for America's working families. We need more leaders like Jim who understand that we have a moral imperative to do as much good, for as many people, as we possibly can. https://twitter.com/WhipClyburn/status/1067893854156791808 …",1067894579159080961,2018-11-28,21:34:42,repdankildee,0,1,8
"Congrats, @WhipHoyer on being elected our new Majority Leader! Steny is laser-focused on creating good jobs here in America, and making sure workers have the skills they need to compete in a global economy. I look forward to working with him on these and other important issues! https://twitter.com/HouseDemocrats/status/1067879071651110913 …",1067889425882013696,2018-11-28,21:14:14,repdankildee,2,1,13
"Congratulations, @NancyPelosi! There is a lot of work to do in the 116th Congress, and a new Democratic majority must get to work on day one on the kitchen table issues that matter most to the American people. Proud to have you as our next Speaker. https://twitter.com/HouseDemocrats/status/1067873587426664448 …",1067876417436884995,2018-11-28,20:22:32,repdankildee,1,3,24
"Congratulations, @RepKarenBass! Looking forward to continuing to work with you.

Thank you to the @OfficialCBC for always keeping my hometown of Flint front and center as we push for justice for families and resources to aid in the city's recovery. https://twitter.com/TheBlackCaucus/status/1067839301193478144 …",1067872671097069568,2018-11-28,20:07:39,repdankildee,0,4,10
"Congratulations to @RepJeffries, the next Chairman of the @HouseDemocrats! I’m looking forward to working with Hakeem and our Democratic Majority to lower health care costs, clean up government, protect Social Security & Medicare and rebuild our infrastructure. #ForThePeople",1067827254028312576,2018-11-28,17:07:11,repdankildee,4,1,15
".@GM plant closures are symbolic of the Trump economy—stockholders and big corporations get tax breaks, while American workers get screwed. 

@RealDonaldTrump should roll up his sleeves and get to work with Democrats on actual policy that supports American workers. pic.twitter.com/drd9iSVPvS",1067562488831586305,2018-11-27,23:35:06,repdankildee,37,129,369
Our country has the best workers in the world. We just need sensible trade policies and corporations that sell products in America to invest in American workers. The economy is currently rigged against the everyday worker in favor of big corporations. https://bit.ly/2r6ujZT ,1067534583179161600,2018-11-27,21:44:13,repdankildee,3,13,25
Heartbreaking news. Thinking of the families of these brave service members killed in action defending our freedoms. https://bit.ly/2SgsoO2 ,1067524747842514948,2018-11-27,21:05:08,repdankildee,0,2,9
