tweet,id,date,time,username,replies_count,retweets_count,likes_count
"#200DaysofProgress:
✅cleaning up corruption
✅lowering health care costs
✅$15 minimum wage
✅equal pay for women 
✅protecting workers’ pensions 
✅background checks for gun sales
✅net neutrality
 https://wapo.st/2ykxKQ4 ",1155136776106926080,2019-07-27,15:24:03,repdankildee,14,8,25
"STARTING NOW: @WaysMeansCmte is working on a bill to protect Social Security & make the system strong for the future. Michiganders who work their entire lives & contribute every paycheck should be able to rely on Social Security when they retire.

Watch:  http://bit.ly/2Gtzprg ",1154392226979618817,2019-07-25,14:05:29,repdankildee,11,23,93
"Happy Birthday, @RepRashida! You are a true fighter who works every day to support Michiganders and I’m proud to serve with you in Congress.",1154152272852660224,2019-07-24,22:11:59,repdankildee,39,45,717
"Great news! The House just passed the #StopBadRobocalls Act I cosponsored to stop the onslaught of robocalls once and for all. This comprehensive bill requires every call to be verified, allows the blocking of spam calls and empowers @FCC to protect Americans from scammers. pic.twitter.com/PkjXaYFy1X",1154134069258702849,2019-07-24,20:59:39,repdankildee,8,11,41
"Every American who works hard and plays by the rules deserves to retire with dignity. That includes having their pension protected that they paid into their entire life. 

Today, the House is voting on the #ButchLewisAct to ensure workers can count on pensions they have earned. pic.twitter.com/ZQacIfz4tR",1154127284489674753,2019-07-24,20:32:41,repdankildee,2,9,40
"This week, the new Democratic majority tackles the pension crisis. We will vote on the #ButchLewisAct to protect 1.5 million failing pension plans and make sure every family retires with dignity. https://twitter.com/LeaderHoyer/status/1151136538043924483 …",1153704285278019584,2019-07-23,16:31:51,repdankildee,1,5,15
"Proud to join @SenKamalaHarris & @RepLawrence in introducing the Water Justice Act. With smart investments, we can secure clean drinking water for all. Learn more ⬇️ https://twitter.com/detroitnews/status/1153310478942244866 …",1153364397055729664,2019-07-22,18:01:15,repdankildee,11,86,304
"A great morning on the Grand Blanc @McDonalds rooftop with @PatandAJ, helping to support Whaley’s Children’s Center! Thanks to @WCRZFM for helping to support such an amazing local organization. pic.twitter.com/C7yKoPLDGW",1152188345340039169,2019-07-19,12:08:02,repdankildee,4,2,22
"Great news! The House just passed the #RaiseTheWageAct to give American workers a raise and boost our economy.
 
Michiganders are working harder than ever, but their wages have not kept up with rising costs. This bill would give 1,470,400 Michiganders a long-overdue raise. pic.twitter.com/j5ybvTTfSN",1151893568304422912,2019-07-18,16:36:42,repdankildee,6,4,25
"When we needed them, they were there for us. What kind of country are we if we fail to take care of our 9/11 heroes? The House has acted—Senate Republicans and Mitch McConnell should stop blocking this critical bill. #Renew911VCF https://twitter.com/thehill/status/1151547132954009600 …",1151850757135753221,2019-07-18,13:46:35,repdankildee,10,13,32
