tweet,id,date,time,username,replies_count,retweets_count,likes_count
Circa 2018.... https://twitter.com/thehill/status/1165297989566554113 …,1165301337581600768,2019-08-24,16:34:23,repdannydavis,5,0,4
Davis statement on Trump Administration proposed rules which would harm the environment and public health https://davis.house.gov/statements/davis-statement-on-trump-administration-proposed-rules-which-would-harm-the-environment-and-public-health/#.XVawXuNPGWA.twitter …,1162356400816828416,2019-08-16,13:32:16,repdannydavis,3,3,3
"Thank you @jewishaction @truahrabbis & everyone involved in this beautiful effort. #CloseTheCamps
In D.C., New York and beyond, Jews mark annual day of mourning by protesting Trump immigration policies https://wapo.st/2OPG9q3?tid=ss_tw …",1162356004509691906,2019-08-16,13:30:41,repdannydavis,2,6,14
"Relationship between our two nations.  I ask PM Netanyahu to reconsider his decision & invite Reps Omar, Tlaib & other Reps who may  accompany them to visit Israel to freely see for themselves conditions in Israel & Palestine & exchange views with the people of both nations.",1162091411401007104,2019-08-15,19:59:17,repdannydavis,3,6,8
"The reported decision by Israeli Prime Minister Netanyahu is unprecedented, dangerous, unacceptable and wrong. This decision is inconsistent and antithetical with the notions of democracy which the Prime Minister has repeatedly emphasized are a foundational feature of the...",1162090333863337984,2019-08-15,19:55:00,repdannydavis,10,16,31
Unbelievable... https://twitter.com/chicagotribune/status/1160669732187586563 …,1160679479980826625,2019-08-11,22:28:47,repdannydavis,3,1,9
The irony... https://twitter.com/jaketapper/status/1159541058453331968 …,1159567974103244800,2019-08-08,20:52:03,repdannydavis,0,2,2
That's a good idea.  I have a bill on bullets but this is def something to incorporate.,1159085693882253313,2019-08-07,12:55:38,repdannydavis,0,0,0
And yet said nothing when the veto pin removed the access of guns from those deemed as such. https://twitter.com/CBSNews/status/1158942091264892928 …,1159067424865628161,2019-08-07,11:43:03,repdannydavis,3,2,12
"""Hate begets hate; violence begets violence; toughness begets a greater toughness. We must meet the forces of hate with the power of love... ... Through violence you may murder the hater, but you do not murder hate."" https://twitter.com/keithedwards/status/1157740352838742016 …",1157828822600953856,2019-08-04,01:41:17,repdannydavis,2,3,13
Join me tonight in Maywood for a Town Hall Meeting.  #maywoodtalks pic.twitter.com/yJKnJfhwhg,1156956954067132416,2019-08-01,15:56:47,repdannydavis,2,0,4
