tweet,id,date,time,username,replies_count,retweets_count,likes_count
Last I check a Rep was in the Executive....nevermind.... https://twitter.com/thehill/status/1143617610556329984 …,1143623223365505024,2019-06-25,20:53:18,repdannydavis,0,1,2
@RepMikeQuigley #catchtheflight https://twitter.com/rollcall/status/1142167522562760704 …,1142205410637733888,2019-06-21,22:59:25,repdannydavis,0,0,2
"The Davis Docket June 17-21, 2019 Weekly Review https://davis.house.gov/enewsletters/the-davis-docket-june-1721-20192/#.XQ0ggGWNCjU.twitter …",1142135909309198337,2019-06-21,18:23:15,repdannydavis,0,1,1
Pitiful... https://twitter.com/thehill/status/1141721886407217153 …,1141821111560224770,2019-06-20,21:32:21,repdannydavis,1,1,10
"Thanks @rolandsmartin for sharing your story of the importance of the role of fatherhood and parenting.  ""We need to ensure we are paying attention to each other; children are watching at all times"" pic.twitter.com/ARwt2quTp1",1141790776424378374,2019-06-20,19:31:49,repdannydavis,2,7,14
@mattstuz I support funding of both,1141733914316345344,2019-06-20,15:45:52,repdannydavis,0,0,0
@EleanorNorton Join us today as we focus on fatherhood.... https://twitter.com/OfficialCCBMB/status/1141084927661883392 …,1141714192686358528,2019-06-20,14:27:30,repdannydavis,0,0,0
"It all matters, we cant jog in place... https://twitter.com/LynneHillman3/status/1141711535083065350 …",1141712808293392384,2019-06-20,14:22:00,repdannydavis,1,2,2
"Please read my statement of Congressman Danny K. Davis Committee on Ways and Means Markup of H.R. 3298, Child Care Quality and Access Act  https://davis.house.gov/statements/statement-of-congressman-danny-k-davis-committee-on-ways-and-means-markup-of-hr-3298-child-care-quality-and-access-act/#.XQuT1w3M2-8.twitter ….  This is a historic increase in funding ($1 billion) for child care.",1141710980671594497,2019-06-20,14:14:44,repdannydavis,1,8,7
Also tomorrow we will be looking at provisions in the tax-code to assist non custodial fathers in providing better pathways to parenting... https://twitter.com/OfficialCCBMB/status/1141084927661883392 …,1141474825141137408,2019-06-19,22:36:20,repdannydavis,0,2,1
Congrats...and well deserved!!!! https://twitter.com/smithsonian/status/1140622509215117312 …,1141457752595808257,2019-06-19,21:28:30,repdannydavis,0,1,4
Join us tomorrow to learn about several tax initiatives targeting working families.,1141445662887862278,2019-06-19,20:40:27,repdannydavis,1,1,1
"One of the biggest advocates for a Juneteenth National Day of Observance was the late Rev. Ronald (Doc) Myers, Sr, MD,  Founder & President of: The National Juneteenth Observance Foundation (NJOF)...Rest in Love... https://twitter.com/nowthisnews/status/1141408554345291776 …",1141437015042510848,2019-06-19,20:06:05,repdannydavis,7,116,305
Trade is up today...join us via the link below https://twitter.com/WaysMeansCmte/status/1141338593232736256 …,1141349029617573888,2019-06-19,14:16:28,repdannydavis,2,4,2
Amen... https://twitter.com/RepKarenBass/status/1141328023628783617 …,1141348877385252865,2019-06-19,14:15:52,repdannydavis,0,3,2
This is true and we will address this soon.... https://twitter.com/thehill/status/1141101303218745344 …,1141108500032098304,2019-06-18,22:20:41,repdannydavis,0,4,8
#HotTopicTuesday My office is working hard on planning ”Black Fatherhood: Understanding the Effect of Fathers who Care.” Partnering with my co-chair @EleanorNorton to host a forum where we will hear the testimonies of invited guests & organizations. You won’t want to miss it! pic.twitter.com/olW86TquKp,1141084599679893504,2019-06-18,20:45:43,repdannydavis,1,1,2
How the Creative Placemaking Tide Lifts All Community Boats  https://nextcity.org/features/view/how-the-creative-placemaking-tide-lifts-all-community-boats ….  Urban Agriculture can be a solution to safer and healthier communities.,1141075639711256576,2019-06-18,20:10:07,repdannydavis,0,1,1
