tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Following my request for FBI to release Orlando Pulse Shooting report, we’re glad they've agreed to finally make it publicly available. Our community continues to heal from our lost 49 souls.  Report is critical to learn exactly what happened that night https://www.orlandosentinel.com/news/pulse-orlando-nightclub-shooting/os-ne-pulse-fbi-report-20190228-story.html …",1101192534758510596,2019-02-28,18:48:54,repdarrensoto,0,12,9
Excited that US House just passed #HR1112 to end the Charleston loophole! This loophole allowed firearms to be  sold after 3 biz days even if a background check wasn’t complete. #EndGunViolence pic.twitter.com/sNDwiPQtKf,1101180553112551424,2019-02-28,18:01:17,repdarrensoto,4,8,18
Check out my @theledger Op-Ed about our proposal for a SunRail Phase 3 for Polk County. Our future mobility is at stake! https://www.theledger.com/opinion/20190228/polk-perspective-sunrail-phase-3-polks-path-to-future-mobility …,1101157842826989568,2019-02-28,16:31:02,repdarrensoto,0,2,3
Cohen sings like a bird yesterday on some very damaging allegations against Pres Trump. Very telling that  GOP colleagues attacked #Cohen as a liar rather than defend Trump. https://www.washingtonpost.com/politics/republican-focus-on-discrediting-cohen-leaves-little-time-to-defend-trump/2019/02/27/33d8f67c-3ace-11e9-aaae-69364b2ed137_story.html?utm_term=.17bf977f621a …,1101127737060790274,2019-02-28,14:31:25,repdarrensoto,1,2,3
"Today we take bipartisan action to protect our communities from future gun violence! Proud to support #HR8, a bill requiring universal background checks for all firearm sales, keeping guns out of hands of those who are already prohibited to possess them.
 #EndGunViolence",1100799896096043010,2019-02-27,16:48:41,repdarrensoto,2,10,21
"Today, @HouseDemocrats are voting on a #PublicLands package, the biggest conservation agreement passed in years! 🌎 It permanently reauthorizes #LWCF to protect millions of acres of lands from mining & saves taxpayers $9 million. pic.twitter.com/8LiixuKFzE",1100489085490286592,2019-02-26,20:13:38,repdarrensoto,1,9,22
I am co-introducing #HR4 today which restores the #VotingRightsAct,1100451678778736640,2019-02-26,17:45:00,repdarrensoto,0,0,1
"The Trump Admin owes Congress answers! 

We need to know how many families were separated & their plan to reunify every child with their loved ones. It’s time to end this cruel, government-sanctioned child abuse. #EndFamilySeparation https://www.cnn.com/2019/02/25/politics/family-separation-preview/index.html …",1100447560957943808,2019-02-26,17:28:38,repdarrensoto,1,10,22
In ⁦@EnergyCommerce⁩ Committee hearing about establishing internet privacy rights for all Americans! #ForThePeople pic.twitter.com/0S0QkMddEj,1100437218936737792,2019-02-26,16:47:32,repdarrensoto,0,6,14
"After devastating BP Gulf oil spill, Pres Obama enacted rules to make these wells safer. Now Pres Trump has handed out so many exceptions, he has endangered our coasts again and rendered these protections meaningless. Time for @NRDems to investigate! https://www.politico.com/states/florida/story/2019/02/25/exclusive-interior-hands-out-hundreds-of-offshore-drilling-safety-rule-waivers-871540 …",1100402385401331712,2019-02-26,14:29:07,repdarrensoto,0,0,9
Congress needs to pass #HurricaneMichael disaster relief now! https://twitter.com/SamanthaJoRoth/status/1098600074052014080 …,1099761282239086598,2019-02-24,20:01:36,repdarrensoto,1,2,8
