tweet,id,date,time,username,replies_count,retweets_count,likes_count
"I had a great time speaking w/ folks at the Oakland Centennial Celebration.  As always, it was a pleasure catching up w/ Oakland Mayor Chris Goodman, @FayetteCoMayor Skip Taylor, and State Senator Dolores Gresham.  Congrats again to the city of Oakland for 100 outstanding years! pic.twitter.com/SDhR2Txcmn",1145430186323783681,2019-06-30,20:33:32,repdavidkustoff,0,2,14
I had a wonderful time at the 4th of July Rolling Block Party in Germantown this morning. It was great to see so many West Tennesseans celebrating our country’s independence. pic.twitter.com/hOKyrURAtG,1145051968550952960,2019-06-29,19:30:37,repdavidkustoff,2,1,15
"Many thanks to our interns this summer, Grace, Alden, Weston, and Spencer. You all were great additions to our team. I can’t thank you enough for your hard work on behalf of #TN08. pic.twitter.com/V1Ztyc1sCj",1144613926837129218,2019-06-28,14:30:00,repdavidkustoff,1,4,34
"Great meeting with @Mayorbwbeasley, @theJasonGriggs, and students with the Union City Rotary Club. Thank you all for taking time out of your busy day to sit-down with me. pic.twitter.com/q926YV3Au4",1144305514588884996,2019-06-27,18:04:29,repdavidkustoff,2,0,12
"Law enforcement officers work around the clock to ensure our communities are safe. It's important we support them in their mission by offering resources to better address mental health, assist them in the fight against drug trafficking, & help those injured in the line of duty. pic.twitter.com/5xIofPaAUm",1143993585148280833,2019-06-26,21:24:59,repdavidkustoff,1,6,36
"Thank you to Dr. Allison Clark, Principal of @ACS_System, for stopping by my office before your Capitol tour. It is always great visiting with you! pic.twitter.com/PDELKKg1bm",1143936177843646464,2019-06-26,17:36:52,repdavidkustoff,1,2,25
Thank you @SenAlexander for highlighting @realDonaldTrump's work to reverse the alarming trend of rural hospital closures. This is great news for West Tennessee! https://twitter.com/SenAlexander/status/1143862781898317824 …,1143894117208023041,2019-06-26,14:49:44,repdavidkustoff,3,2,12
"Great day in D.C. meeting w/ West Tennesseans! Thank you to the Wright Family from Lake County, Olivia & Harrison-students from Shelby County w/ the Trent Lott Leadership Institute, @TNFarmers, Dr. Rosie Phillips from Memphis w/ the @APA, & members of @TVPPA for meeting w/ me. pic.twitter.com/J8TjyV36RI",1143649413878992896,2019-06-25,22:37:22,repdavidkustoff,1,3,24
"It was great to see Tierra Anderson, winner of the Congressional Art Competition, up in D.C. to celebrate her piece Lost in Thought. She has real talent & deserves this recognition. Through Tierra’s piece, W. TN & our art education is proudly represented in our nation’s capital. pic.twitter.com/jgYreB66vW",1143594407414947840,2019-06-25,18:58:48,repdavidkustoff,0,0,9
"17 times. That's how many times @HouseDemocrats have refused to bring legislation to the floor to address the humanitarian and security crisis on our border. That is unacceptable.

 https://republicans-homeland.house.gov/house-democrats-block-humanitarian-border-crisis-funding-for-17th-time/?fbclid=IwAR2E_PHLRUwqzlJSXot0aTPYUz5934tlcQkXqU53-BYgl7YkOU0vuexeZv8 …",1143166180678668288,2019-06-24,14:37:11,repdavidkustoff,7,6,22
"This week, I introduced another bipartisan bill to put an end to the endless stream of robocalls, and I spoke on the House floor to highlight the Democrat’s broken rules process. To learn more about my week, and my thoughts on the situation in #Iran watch the video below. pic.twitter.com/iwyJdlRVLO",1142439597646860289,2019-06-22,14:30:00,repdavidkustoff,5,2,19
Thank you to members of the @NationalFFA at Bradford High School for stopping by my office. I enjoyed meeting with all of you! pic.twitter.com/ZCif9oaaYN,1142157631131410432,2019-06-21,19:49:34,repdavidkustoff,1,0,8
Iran is the largest state sponsor of terror and has been for a long time. It is essential @realDonaldTrump continues to stand up and place maximum pressure on #Iran and its leaders to ensure their corrupt regime is restricted. I will continue to monitor this situation closely.,1141830584983072768,2019-06-20,22:10:00,repdavidkustoff,7,13,39
Thank you to Shannon Haynes and Faye Hollowell from West Tennessee for sitting down with me today. We had a productive discussion about the importance of healthcare education and training. pic.twitter.com/mLqRFNwWgB,1141820347337138176,2019-06-20,21:29:19,repdavidkustoff,1,1,12
"It was a great meeting w/ ppl from all over W. TN. Thank you to Christopher Armstrong & Vaughn Sutherland with @McKesson, students w/ @TNELECTRIC's Washington Youth Tour program, Shannon Hayes, Alexander Quesenerry w/ @HOPArx, & members from Tabernacle Missionary Baptist Church. pic.twitter.com/4AOlD6kltv",1141717797090803712,2019-06-20,14:41:49,repdavidkustoff,1,2,8
I worked across the aisle to introduce a bipartisan amendment to address the epidemic of Asian carp in the Mississippi & its tributaries. It's disappointing Dems on the Rules Committee chose to cut Republicans out of the Approps process & throw my amendment out at the last minute pic.twitter.com/daMLUSx3se,1141468635887747077,2019-06-19,22:11:44,repdavidkustoff,5,2,16
