tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Since day one, this impeachment inquiry has been a closed-door, one-sided process. Speaker Pelosi’s resolution still fails to give @realDonaldTrump the right to due process & continues to deny equal participation of @HouseGOP. This is why I voted no on the impeachment resolution. pic.twitter.com/1c8hzljV5d",1189946271563440128,2019-10-31,16:44:33,repdavidkustoff,21,20,52
"Thank you to Mo Myers-Special Agent in Charge of @FBIMemphis Division and Joseph Carrico-Special Agent in Charge of @FBIKnoxville Division for meeting with me today. Partnership between local, state, and federal law enforcement is vital, and I appreciate speaking with you both. pic.twitter.com/Mmsqosf0gI",1189662976808300545,2019-10-30,21:58:51,repdavidkustoff,1,1,12
"This morning, I joined my colleagues to assemble @the_USO care packages for deployed military service members. It is my hope that these packages bring comfort to those serving overseas, away from their families and friends, in order to protect our nation. pic.twitter.com/9oacdOCEgD",1189560237239484417,2019-10-30,15:10:36,repdavidkustoff,3,0,14
Proud to introduce the Rural Health Agenda with my colleague & friend @DrPhilRoe. It is vital that quality health care is accessible to rural communities across TN. Read below how our Rural Health Agenda will give underserved areas the care they deserve. https://kustoff.house.gov/media/press-releases/kustoff-and-roe-introduce-rural-health-agenda-bring-care-underserved …,1189295611167817730,2019-10-29,21:39:04,repdavidkustoff,2,2,13
"Great day meeting with Greg Adkins-CEO of the Beverage Association of Tennessee and Martin Williams-Vice President and CFO of Corinth Coca-Cola Bottling Group in Jackson, TN. I appreciate our visit. pic.twitter.com/4RtewZY5XG",1189272896167993356,2019-10-29,20:08:48,repdavidkustoff,0,0,9
"Today, on #NationalFirstRespondersDay, it is important we honor those who work day and night to keep us safe. To  firefighters, police officers, EMTs, and all those who are first on the scene in stressful situations, thank you for your service to our communities.",1188906036209635328,2019-10-28,19:51:02,repdavidkustoff,3,6,19
"As a reminder, @CongressionalAC submissions are due this Friday, November 1. For more information on rules and eligibility, visit the website below. https://www.congressionalappchallenge.us/students/rules/ ",1188839117653790720,2019-10-28,15:25:07,repdavidkustoff,0,0,5
Baghdadi’s defeat is a major victory for the U.S. and reinforces the commitment @realDonaldTrump has to defeating ISIS & all terrorist operations. Thank you to our military’s special operations force & everyone that was part of the mission. The world is now a safer place.,1188487287266598913,2019-10-27,16:07:04,repdavidkustoff,1,20,56
Happy #NationalTennesseeDay! Proud to be from the great state of Tennessee! pic.twitter.com/dhZKC8Sj9X,1188158655222472705,2019-10-26,18:21:12,repdavidkustoff,2,5,21
"Today is National Prescription Drug Take Back Day. #TakeBackDay provides an easy way to dispose of excess prescription drugs, while also raising awareness of the opioid crisis devastating families across our country.
To find a collection site click here:  https://takebackday.dea.gov/ ",1188115569092055042,2019-10-26,15:30:00,repdavidkustoff,0,1,11
"This week, I sent a letter to House Democratic Leadership requesting access to all materials related to the impeachment investigation. I also had the opportunity to question @SecretaryCarson and @stevenmnuchin1 about how opportunity zones benefit communities across our country. pic.twitter.com/lsknnvQDbj",1187756431346409472,2019-10-25,15:42:55,repdavidkustoff,8,13,37
"As a reminder, all students interested in applying to one of the five military service academies must submit their academy nomination packets by tomorrow, October 25 to my Memphis office. https://kustoff.house.gov/ ",1187387756156280832,2019-10-24,15:17:56,repdavidkustoff,1,3,6
"Today, in @FinancialCmte, I questioned @facebook CEO Mark Zuckerberg on Facebook’s new proposed currency, Libra. We need to encourage innovation, but it is also important that we ensure Libra is properly regulated before it is launched worldwide. Watch my full questioning below. pic.twitter.com/G4xWyI3EZw",1187111071947132932,2019-10-23,20:58:29,repdavidkustoff,4,3,10
"This week, I sent a letter to House Leadership requesting full access to all transcripts & materials related to the impeachment investigation of @realDonaldTrump. As a member of Congress, I should be able to read all information, especially if I am expected to take a vote on it. pic.twitter.com/8lly9dLLAR",1187030993108176897,2019-10-23,15:40:17,repdavidkustoff,76,87,284
Thank you to my two friends Duane and Shirl Miller from Collierville for stopping by my office this afternoon. It is always great to see some familiar faces up in Washington. pic.twitter.com/LS0qe85N4K,1186759266163662848,2019-10-22,21:40:32,repdavidkustoff,1,1,11
"Adam Schiff spread false claims about collusion, fabricated part of @realDonaldTrump's phone call, & deceived everyone about speaking to the whistleblower. Tonight, I plan to vote for @RepAndyBiggsAZ's resolution to condemn @RepAdamSchiff's attempts to mislead the American people pic.twitter.com/zPHSestIT5",1186389397702434816,2019-10-21,21:10:49,repdavidkustoff,522,3794,7751
"As a reminder, all students interested in applying to one of the five military service academies must submit their academy nomination packets by Friday, October 25 to my Memphis office.
 https://kustoff.house.gov ",1185933694143533058,2019-10-20,15:00:00,repdavidkustoff,2,3,12
"Had a great time this morning at the Bartlett Firefighters Pancake Breakfast. It was great to catch up with @MayorKMcdonald, Alderman @PaulaSedgwick, Alderman David Parsons, Alderman Emily Elliott, and Judge Tim Francavilla while there! pic.twitter.com/Ue375p2LEk",1185688546369294337,2019-10-19,22:45:53,repdavidkustoff,1,2,21
"This week, it seemed Democrats were trying to sneak this impeachment inquiry past the American people. There is no transparency in this process, and that is wrong. To learn more about my thoughts on this week in Washington, watch the video below. pic.twitter.com/z87cvLRzos",1185567122199629824,2019-10-19,14:43:23,repdavidkustoff,47,47,134
"Rural communities need rural broadband to support & improve access to healthcare, edu, small biz development, & boost economic opportunity. Thank you to @SecretarySonny for this investment & for ensuring the needs of communities in W TN are not forgotten.  https://kustoff.house.gov/media/press-releases/kustoff-applauds-285-million-usda-investment-rural-broadband-west-tennessee …",1185315223210774530,2019-10-18,22:02:25,repdavidkustoff,0,5,17
"I appreciate @SecretarySonny coming to West Tennessee today to highlight the important role agriculture plays in our economy, & announce the @USDA's first ReConnect broadband award to Forked Deer Electric Cooperative. This is great news for our rural communities here in West TN! pic.twitter.com/UckCSkbYdZ",1185276660733624320,2019-10-18,19:29:11,repdavidkustoff,0,5,22
