tweet,id,date,time,username,replies_count,retweets_count,likes_count,tdatetime
"And, NCI reflects the diversity of our country and world. More than 22 countries are represented on NCI's campus. There is a real fear that the President's erratic and racist behavior is pushing the world's best researchers to China and other countries. We can't let that happen.",1167838739051274243,2019-08-31,16:37:07,repdavidtrone,2,2,0,2019-08-31 16:37:07
"And, it's not just government jobs. The research conducted at NCI means real private sector jobs in our communities. NCI developed unituxin, an antibody that targets neuroblastoma, and it's now licensed to a Maryland company that is creating jobs and saving lives.",1167838738090790913,2019-08-31,16:37:07,repdavidtrone,1,0,1,2019-08-31 16:37:07
"When we increased funding in the last fiscal year, NCI purchased a machine to facilitate T cell therapy that saves 24 lives a year. More money for research = lives saved. It's as simple as that.",1167838737067335680,2019-08-31,16:37:06,repdavidtrone,1,0,0,2019-08-31 16:37:06
I am more convinced than ever that we need to double the budget for @NIH. We aren't funding life-saving research because of penny pinchers in Congress and that's a damn shame.,1167838735423201281,2019-08-31,16:37:06,repdavidtrone,1,1,2,2019-08-31 16:37:06
"One of the two Ebola antibodies was developed in Frederick at NCI.

The first blood test for AIDS was developed in Frederick at NCI.",1167837126471405568,2019-08-31,16:30:42,repdavidtrone,1,1,1,2019-08-31 16:30:42
"It was a special honor to spend some time with the researchers who are doing the scientific work no one else in the world can or is doing to cure cancer, HIV/AIDS, and other diseases. pic.twitter.com/ARtPZwNw2z",1167837122285527040,2019-08-31,16:30:41,repdavidtrone,1,1,3,2019-08-31 16:30:41
It is not hyperbole to say that the @theNCI and the @FredNatLab for Cancer Research have saved millions of lives in American and across the globe. It is a fact. pic.twitter.com/Qaua4NgDSM,1167837104514183168,2019-08-31,16:30:37,repdavidtrone,1,1,5,2019-08-31 16:30:37
"The team @Starbucks in Frederick has some great people with great values. Yesterday I learned about educational benefits, inclusive hiring practices, and the art of making a good cup of coffee from some of the best.

Thanks for having me #BehindtheBar! pic.twitter.com/Dn3fyQ6ZuF",1167471042694193152,2019-08-30,16:16:01,repdavidtrone,2,1,4,2019-08-30 16:16:01
"I got the chance to show off my coffee-making skills with the partners at @Starbucks, where after only a few attempts my drinks had what they described as ""microfoam.""

Thanks @HennyDooms for being a fantastic teacher! pic.twitter.com/036RM3e9n2",1167471028496478209,2019-08-30,16:15:58,repdavidtrone,3,4,18,2019-08-30 16:15:58
I have the pleasure of having the Honorable Congressdog Ina working out of my DC office today. Come by and say hello! pic.twitter.com/aOPHa6Eqgz,1167463105179336706,2019-08-30,15:44:29,repdavidtrone,6,2,18,2019-08-30 15:44:29
