tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Last week, the President signed the STOIC Act into law. Here is the journey of how my first bill became law. Mental health does not discriminate -- this bipartisan legislation will deliver more resources to our officers in crisis. pic.twitter.com/bms8fQ4Akp",1156647894205837313,2019-07-31,19:28:42,repdean,4,6,25
"Yesterday, my office hosted a discussion on disability and employment – the second in my office’s Diversity and Inclusion roundtable series. These local leaders and roundtables will influence my work on the @FSCDems subcommittee on Diversity and Inclusion. pic.twitter.com/U3LHgcFMZs",1156279694523871237,2019-07-30,19:05:36,repdean,1,5,22
"Today, as we begin the six week district work period, I want to reflect on my office's hard work to serve and represent you in Washington. I look forward to continuing to serve #ForThePeople. Thank you all for your support over the past 200 Days of progress. pic.twitter.com/GplzqxVstZ",1155923249198489600,2019-07-29,19:29:13,repdean,8,27,95
"Devastated by the horrific shooting at the Gilroy Garlic Festival. 

My heart goes out to the victims (including a six-year-old child), & their families.
 
We, and especially our children, should not live in fear. We MUST end the senseless gun violence epidemic. 

#EnoughIsEnough",1155877158474133505,2019-07-29,16:26:04,repdean,3,6,57
"Peace activist Peter Biar Ajak has been detained for one year. He was held for nearly 8 months without charge and then sentenced to 2 years in prison simply for giving a phone interview with Voice of America. South Sudan must release him immediately. 

#FreePeterBiar",1155497780787462146,2019-07-28,15:18:33,repdean,3,13,44
Gritty is always welcome in our office. Can’t wait to see him at our next team meeting!,1154740238037770240,2019-07-26,13:08:21,repdean,0,4,30
"On #nationalinternday, I want to thank these butt kicking women for their work this summer! Our office is better because of you. pic.twitter.com/wwqx4hSGZT",1154554665364623361,2019-07-26,00:50:57,repdean,10,10,123
No student should have to face financial barriers in order to attend college– this is why @RepAndyLevin and I have re-introduced the America’s College Promise Act to provide two years of tuition-free access to community or technical college programs. https://dean.house.gov/media/press-releases/reps-dean-and-levin-introduce-bill-provide-two-years-free-community-college-and …,1154508895198617600,2019-07-25,21:49:05,repdean,2,9,23
The robocall epidemic is out of control. Americans everywhere are being plagued by these calls that invade their privacy. The #StopBadRobocalls Act will protect Americans from these dangerous scammers. Time is up for robocalls. pic.twitter.com/i0us4PNVnu,1154463981265965056,2019-07-25,18:50:36,repdean,3,10,58
"Mr. President, you may not be interested in protecting our American Democracy - but we are. And you will be held accountable for your part in this un-American display. https://twitter.com/hardball/status/1154165882052124672 …",1154167939190394880,2019-07-24,23:14:14,repdean,31,74,240
"I just voted for the “Stopping Bad Robocalls Act,” which will end the epidemic of robocalls. This legislation outlaws tactics used by scammers & enforces tougher penalties. The 47 billion unwanted robocalls plaguing the American people need to stop.

#StopBadRobocalls pic.twitter.com/8EWKdn73zv",1154141190658363392,2019-07-24,21:27:57,repdean,1,12,58
"Director Mueller made it clear today:

His report does not exonerate the President. It details entirely unacceptable obstruction and corruption. 

Mueller did his job. Now, Congress will do ours. https://twitter.com/CBSNews/status/1154013007627849729 …",1154112258798170113,2019-07-24,19:32:59,repdean,28,96,305
"The Mueller Report did not exonerate the President. It is now our constitutional obligation to hold him accountable. 

#MuellerTestimony pic.twitter.com/1AnXeLiM8z",1154061653190893571,2019-07-24,16:11:54,repdean,56,213,650
"I will be asking Mr. Mueller questions next. 

#MuellerTestimony",1154058289417773058,2019-07-24,15:58:32,repdean,36,7,134
"There has been obstruction. There has been interference. Mueller’s testimony deserves the attention of every American.

#MuellerTestimony pic.twitter.com/yHauKSGcSp",1154032799101403136,2019-07-24,14:17:14,repdean,29,65,244
"Getting ready to listen to Mr. Mueller’s testimony. Check it out live here: 

👉 https://www.youtube.com/watch?v=g58MjV528Ws …
#MuellerHearings",1154006268576751616,2019-07-24,12:31:49,repdean,2,4,16
"The #MuellerReport says this about the President and his campaign:

⚠️100+ contacts with Russian officials
⚠️37 indictments 
⚠️10-11 instances of obstruction 

Tomorrow, we discuss this with Mr. Mueller. We must protect our Democracy and rule of law.

#MuellerTestimony pic.twitter.com/pcuyESSi6E",1153805691808649216,2019-07-23,23:14:48,repdean,7,63,140
"The 9/11 Victims Fund bill has passed the Senate – finally bringing emotional and financial relief to first responders and their families. This bill is in honor of Detective Alvarez and the other brave Americans who sacrificed to protect our nation.

#911VCF
#NeverForget https://twitter.com/cnnbrk/status/1153755437587718145 …",1153776319928459264,2019-07-23,21:18:05,repdean,3,14,79
Appearing on ⁦@CNN⁩ with ⁦@brikeilarcnn⁩ to discuss Mr. Mueller’s testimony tomorrow. Tune in. pic.twitter.com/58Pa4wj4EM,1153714343990763521,2019-07-23,17:11:49,repdean,8,4,32
