tweet,id,date,time,username,replies_count,retweets_count,likes_count
"You are an American treasure, @repjohnlewis, and we need your wisdom and inspiration more than ever in these times. You have our love, prayers and support as you take on yet another difficult fight. pic.twitter.com/wbkT8yTlse",1211439253789593600,2019-12-30,00:10:00,repdeanphillips,4,23,220
"A special thanks to the preschoolers of St. David's Center and @nhacademymn for helping spread a little cheer. These holiday cards were a welcome touch of home for our brave men and women in uniform. #MN03
 https://twitter.com/nhacademymn/status/1206946969605869568 … pic.twitter.com/IOMQ48Vne3",1210309773066981376,2019-12-26,21:21:51,repdeanphillips,1,3,23
"Today, I returned from spending my holiday week visiting our outstanding troops in Kuwait, Bahrain, and Qatar. As we spend time with our loved ones this holiday season, may we all reflect on their sacrifice and honor them with acts of service in our own communities. #MN03 pic.twitter.com/S8SbDA3bCI",1210309737830666240,2019-12-26,21:21:42,repdeanphillips,9,21,173
"President Trump just signed the 2020 NDAA, and our Liberian neighbors on DED finally have a pathway to citizenship. To our extraordinary Liberian community in #MN03, thank you for your friendship and tireless advocacy. Here's to a well-earned celebration. https://kstp.com/news/minnesotas-liberian-community-praises-legislation-that-provides-pathway-to-citizenship-december-18-2019-/5583719/ …",1208197416517873665,2019-12-21,01:28:05,repdeanphillips,5,10,79
"And since I'm a man of my word, I also delivered a 25-pound Pearson's Salted Nut Roll to my friend @RepBryanSteil. 
 https://twitter.com/RepDeanPhillips/status/1172249105562767371?s=20 … pic.twitter.com/E7fGK5t4X1",1208158816774377472,2019-12-20,22:54:43,repdeanphillips,4,0,39
"It's a quiet afternoon on Capitol Hill, so I took some time to drop off holiday treats for the extraordinary committee and member staff who support the work of Congress each and every day. pic.twitter.com/4dG3fIIFOn",1208158806548582400,2019-12-20,22:54:40,repdeanphillips,9,10,114
"It was so wonderful to meet you both! Thank you for sharing your time and story, we have work to do.",1208093045071187970,2019-12-20,18:33:21,repdeanphillips,0,0,2
Read my full statement: https://phillips.house.gov/media/press-releases/phillips-reaffirms-commitment-strong-environmental-protections-bwca …,1208063471243472898,2019-12-20,16:35:50,repdeanphillips,6,10,27
"I urge the Administration to complete and publish the study of the potential impact of the Twin Metals mine on our treasured national forest lands, and stand with @BettyMcCollum04 and thousands of my constituents in the mission to preserve the #BWCA for generations to come. 🛶 https://twitter.com/MinnPost/status/1207013593868361730 …",1208063469930635264,2019-12-20,16:35:50,repdeanphillips,23,50,178
"I'm on a mission to make the tax code more equitable for Minnesotans. Today, House Republicans and Democrats came together to repeal the 2017 cap on SALT deductions, provide relief to hardworking American families, and reduce the deficit at the same time.

 https://twitter.com/RepDeanPhillips/status/1205157210575253504 … pic.twitter.com/MVkW6mRCZj",1207795164548403200,2019-12-19,22:49:41,repdeanphillips,7,12,47
