tweet,id,date,time,username,replies_count,retweets_count,likes_count
"For years I've been arguing the Fed should do more to boost wages. Today's interest rate cut is welcome news, and I commend Chair Powell.

I'm glad to see the Fed asking itself the question I've been asking all along: ""When does America get a raise?"" pic.twitter.com/IxsWOjlpi2",1156703758656638977,2019-07-31,23:10:41,repdennyheck,3,6,14
"Dorothy Olsen's spirit of adventure led her to fly WWII fighter planes across the US during the war, and it took her all the way to the age of 103, before she was laid to rest this week in Tacoma. Thank you, Dorothy. Your story lives on. https://www.thenewstribune.com/news/local/article233173076.html …",1156615929100455938,2019-07-31,17:21:41,repdennyheck,1,4,20
Tune in to @MSNBC today at 4:30pm PT to see me on @Hardball with Chris Matthews. https://twitter.com/hardball/status/1156322554732318721 …,1156332224435957760,2019-07-30,22:34:20,repdennyheck,4,9,42
"Dr. Schoonover's testimony before our committee showed that my legislation to help the intelligence community coordinate on climate threats without political interference was important. Now, his op-ed shows that it is essential. https://www.nytimes.com/2019/07/30/opinion/trump-climate-change.html …",1156321481342750720,2019-07-30,21:51:39,repdennyheck,1,10,19
Honored to join American soccer legend @mPinoe on the field at Cheney Stadium in Tacoma before today’s @ReignFC game against Chicago. #BeBold pic.twitter.com/mFyFMvPVJB,1155578464147247104,2019-07-28,20:39:10,repdennyheck,18,28,296
"After considerable reflection and prayerful consideration, I have decided to support a formal impeachment inquiry. My statement: https://dennyheck.house.gov/media-center/press-releases/statement-rep-denny-heck-supports-an-impeachment-inquiry …",1155554856310071297,2019-07-28,19:05:21,repdennyheck,2406,7123,32025
Earlier this week I announced that I was co-sponsoring the Stopping Bad Robocalls Act to curb the 145 million robocalls placed every day throughout the country. I'm happy to report that the bill passed the House by a vote of 429-3. pic.twitter.com/7g5QGDFB3m,1154457745069957120,2019-07-25,18:25:49,repdennyheck,17,33,182
It should also call us to action. The House passed H.R. 1 and the SAFE Act to protect our democracy from foreign interference. Now it's the Senate's turn to act.,1154443276222717952,2019-07-25,17:28:20,repdennyheck,15,19,77
"This warning from Robert Mueller — that the Russians are continually working to meddle in our elections and undermine our democracy — should concern us all, regardless of which side of the aisle we sit on.",1154443275052429312,2019-07-25,17:28:19,repdennyheck,15,31,111
"""It wasn't a single attempt. They're doing it as we sit here."" https://www.nytimes.com/2019/07/24/opinion/robert-mueller-report-testimony.html …",1154443273865445376,2019-07-25,17:28:19,repdennyheck,9,30,114
I am discouraged to hear that Attorney General Barr is reinstating the federal use of the death penalty. My own journey on capital punishment has led me in the opposite direction of where AG Barr wants to take us. pic.twitter.com/6nTrj0khlJ,1154431291795869696,2019-07-25,16:40:42,repdennyheck,22,21,96
"""Greed corrupts -- and it is a terrible foundation for developing American foreign policy."" pic.twitter.com/cBZvHqn2hZ",1154108334775160832,2019-07-24,19:17:23,repdennyheck,53,44,122
There was no fiercer advocate for the City of Destiny than Karen Vialle. She loved Tacoma and always put Tacoma's families—and its children—first. She will be dearly missed. https://www.thenewstribune.com/news/local/education/article232956237.html?fbclid=IwAR1cjqzzEFO134OvcfiLVJmlEI692VsOejbtsjH1Gk5YyRpTYQ5W2F4-lgE …,1153814295886479362,2019-07-23,23:48:59,repdennyheck,5,2,22
"Most of us have received calls from scammers. Often, these calls target seniors and low-income households. That makes them especially dangerous, and that's why I'm cosponsoring the Stopping Bad Robocalls Act. pic.twitter.com/WO84gptt2T",1153436304207765511,2019-07-22,22:46:59,repdennyheck,14,9,58
"Last night the House voted to keep my climate security legislation in the Intelligence Authorization Act (IAA). Then the IAA passed the House, 397-31.

Climate change is already causing national security threats. Let's make sure we're ready. pic.twitter.com/wTt408D0Iw",1151989224691757056,2019-07-18,22:56:48,repdennyheck,10,13,71
"I'm proud to be a cosponsor of the #RaiseTheWage Act, which just passed the House moments ago. If enacted, this bill will result in a raise for up to 33 million American workers. pic.twitter.com/5B8NV1Bsh6",1151887772346671105,2019-07-18,16:13:40,repdennyheck,8,5,30
"The House is getting ready to vote on the #RaiseTheWage Act. The bill:
✅gradually raises the minimum wage to $15 by 2025
✅gives up to 33 million Americans a raise, including 20 million women
✅lifts at least 1.3 million Americans out of poverty, including 600,000 children pic.twitter.com/qAjy5rBDhN",1151863623062609921,2019-07-18,14:37:42,repdennyheck,14,14,32
The Olympia Tumwater Foundation and the City of Tumwater have done great work to share Eva’s story with our community. Learn more about her legacy:  https://www.youtube.com/watch?v=_npAKx6vWJg … pic.twitter.com/VgOpOL81WO,1151629917156728832,2019-07-17,23:09:03,repdennyheck,5,1,13
"Minutes ago, the House passed my bill to designate the Tumwater Post Office for Eva G. Hewitt.

Eva was the city’s first woman postmaster and served in that position during a pivotal period of Tumwater history. This bill is a fitting tribute to honor her life and legacy. pic.twitter.com/DsQxi3agjT",1151600776478961664,2019-07-17,21:13:15,repdennyheck,21,7,73
"Gifting my friend & @FSCDems colleague @RepPressley local artwork inspired by her shero Shirley Chisholm.

Created in Tacoma by artist collab @deadfeminists, this print also hangs in my Lacey district office.

“The one thing you’ve got going: your one vote.” -Rep. Chisholm pic.twitter.com/HR4ZKGc3fl",1151577156440547329,2019-07-17,19:39:24,repdennyheck,6,23,140
"We can shore up the Affordable Care Act, increase access to care, and lower premiums. But the Trump administration is sabotaging the ACA by attacking it in court. If they succeed, millions of Americans will lose coverage -- 565,000 in Washington state alone. #ProtectOurCare pic.twitter.com/af7loXFLZ1",1151182890132283393,2019-07-16,17:32:43,repdennyheck,15,11,22
"I try to be positive on Twitter, but the president has gone too far with the border camps. Congress is acting to implement standards of care for people in U.S. custody, but the ultimate referendum on President Trump's policies will be by the American people on November 3, 2020. pic.twitter.com/iTgz0nivIL",1150830584807272449,2019-07-15,18:12:47,repdennyheck,45,14,81
"The situation now is heartbreaking. This is not who we are, and we must fix it.",1150211910643736577,2019-07-14,01:14:24,repdennyheck,9,6,35
"Then we need to address the root causes of the problem at the border by fixing our immigration system, providing responsible aid to address the flow of people northward toward our border, and returning the immigration debate to one of informed and humane discourse.",1150211909976756225,2019-07-14,01:14:23,repdennyheck,4,5,33
"We need to make sure every child in our care has all of their basic needs met, and we need to do that now. That's why I'm cosponsoring The Humanitarian Standards for Individuals in Customs and Border Protection Custody Act. https://youtu.be/nMxAvqznsgs ",1150211908659752960,2019-07-14,01:14:23,repdennyheck,27,23,99
And Powell isn't the only Fed Chair to share his thoughts on the reasons we're missing millions of homes. https://www.youtube.com/watch?v=42Dhw7H6kvc …,1149423647091822593,2019-07-11,21:02:07,repdennyheck,0,0,0
There's interest from both chambers in Powell's views on the housing crisis. It's an incredibly important topic and I'm glad @SenTinaSmith is focusing on it. https://www.youtube.com/watch?v=TnBNuPPAFz0 …,1149423384033464320,2019-07-11,21:01:04,repdennyheck,1,0,0
"When does America get a raise? We have to address stagnant wage growth in order to truly grow our economy, and yesterday I asked the Chair of the Federal Reserve to do just that. pic.twitter.com/CHGcc6bcOG",1149386740609761280,2019-07-11,18:35:28,repdennyheck,5,4,22
Have questions about VA benefits & local services for veterans and transitioning service members? Get answers at the VA’s Economic Investment Initiative in Olympia on August 6-8. https://www.thurstontalk.com/2019/07/10/spscc-to-host-3-day-va-event-economic-investment-initiative/ …,1149077584195588096,2019-07-10,22:06:59,repdennyheck,1,3,7
I’m proud to serve in a body that voted to defend this landmark law on Day 1 of this session. We will keep defending the ACA. We will keep working to lower the cost of health care for all Americans. We will keep pushing forward #ForThePeople.,1148693414013218818,2019-07-09,20:40:26,repdennyheck,7,3,20
"The #ACA extended quality health care coverage to more than 565,000 Washingtonians and strengthened health care consumer protections for millions more. That progress could be reversed if Republican AGs and the Trump Administration succeed in this case. https://www.cnn.com/2019/07/08/politics/affordable-care-act-court/index.html …",1148693220584558594,2019-07-09,20:39:40,repdennyheck,7,9,19
"Happy Pride Fest, Tacoma! https://twitter.com/CityofTacoma/status/1148679136782798848 …",1148690029239263232,2019-07-09,20:26:59,repdennyheck,1,1,9
"Inspiring. Curious. Dedicated. Compassionate.

Those words describe the group of young @ICLeaders I met with recently during the Institute for Community Leadership’s 2019 Civic Engagement Tour. Our future is in great hands with these students! Thank you for having me. #GetCivic pic.twitter.com/I5Y9qNSSzp",1148617380857360384,2019-07-09,15:38:18,repdennyheck,1,3,6
