tweet,id,date,time,username,replies_count,retweets_count,likes_count
Honored to fly the transgender pride flag outside the office this week to show my commitment to the equality of all Americans under the law. To the transgender folks in my neck of the woods and across the country – I stand with you. #TransVisibilityWeek pic.twitter.com/F7Va1PaCKb,1112421300159635458,2019-03-31,18:28:00,repderekkilmer,11,18,130
I was able to honor a Citizen of the Century in Hugh McMillan. Thanks to the Lions Club and the local fire commissioners for inviting me to participate. pic.twitter.com/s5nHrOzCgF,1112408625530765313,2019-03-31,17:37:38,repderekkilmer,1,3,20
There are some people who do so much for so many that they deserve special recognition. Hugh McMillan is one of those people. Saturday night I attended the Key Peninsula Lions Club Citizen of the Year dinner and - in addition to honoring the nominees for Citizen of the Year ...,1112408613778325504,2019-03-31,17:37:35,repderekkilmer,1,2,15
"It was a privilege to honor our Vietnam veterans in Gig Harbor yesterday with Mayor Kuhn and Councilmember @derekmyoung. On behalf of this community and a grateful nation, thank you for your service. #VietnamVeteransDay pic.twitter.com/fYwk3gkVTd",1111992725744697344,2019-03-30,14:05:00,repderekkilmer,2,0,34
I'll fight to share Taylor's story and I'll fight to stop the senseless cuts the Administration is proposing so people like Taylor can get the healthcare they deserve.,1111736930260140032,2019-03-29,21:08:33,repderekkilmer,1,0,10
"But she's thankful to be alive. Thanks to the Medicaid expansion and funding, she can see specialists to navigate cancer and paralyzed vocal chords.",1111736929723338753,2019-03-29,21:08:33,repderekkilmer,1,0,2
"Sitting with her wife, her niece, and great nephew, Taylor shared the story of cancer and countless surgeries. She told me of her dream job as a JAG officer in the U.S. Marine Corps and how her health and hours-long doctors appointments have dashed those dreams.",1111736929123475456,2019-03-29,21:08:33,repderekkilmer,1,0,0
"""If it weren't for Medicaid, I wouldn't be here. I wouldn't be alive."" That was the message Taylor shared with me this morning at Community Health Care's Hilltop Regional Health Center. pic.twitter.com/WoXlFgj747",1111736923570294784,2019-03-29,21:08:32,repderekkilmer,1,0,9
"Tomorrow at Gig Harbor City Hall, Pierce County Councilman @DerekMYoung, Gig Harbor Mayor Kit Kuhn, & I will host a Commemoration of National Vietnam Veterans Day. We'll be honoring Vietnam veterans & their families at a commemoration and pinning ceremony https://kilmer.house.gov/news/press-releases/friday-in-gig-harbor-wa_representative-derek-kilmer-to-host-commemoration-of-national-vietnam-veterans-day …",1111420203336900608,2019-03-29,00:10:00,repderekkilmer,1,4,15
"This bill creates a strong incentive for experts to focus on developing innovative solutions to this serious challenge.

Read more here: https://kilmer.house.gov/news/press-releases/kilmer-herrera-beutler-bonamici-young-introduce-bipartisan-bill-to-fight-ocean-acidification …",1111344027687964672,2019-03-28,19:07:18,repderekkilmer,3,0,15
"There are generations of folks in our coastal communities who have worked in fishing and shellfish growing, but that’s endangered if we don’t maintain a healthy Pacific Ocean.",1111344026895241217,2019-03-28,19:07:18,repderekkilmer,3,0,16
"We know that changing ocean chemistry threatens entire livelihoods and industries in Washington state. So today, I introduced the bipartisan Ocean Acidification Innovation Act.",1111344026333167623,2019-03-28,19:07:18,repderekkilmer,3,3,30
"Happy Opening Day, @Mariners!! #TrueToTheBlue #OpeningDay https://twitter.com/Mariners/status/1111093550601527296 …",1111280418806996993,2019-03-28,14:54:33,repderekkilmer,0,1,7
"WHAT: Vietnam Veterans Day Commemoration and Pinning Event
WHEN: Friday, March 29, 2019, at 5:30 pm
WHERE: Gig Harbor City Hall, 3510 Grandview St, Gig Harbor, WA 98335

To RSVP and for more information:  https://bit.ly/2TDLY71 ",1111064724517646337,2019-03-28,00:37:27,repderekkilmer,0,0,5
"This Friday at Gig Harbor City Hall, Pierce County Councilman Derek Young, Gig Harbor Mayor Kit Kuhn, and I will host a Commemoration of National Vietnam Veterans Day. We'll be honoring Vietnam veterans and their families at a commemoration and pinning ceremony. Please join us!",1111064724014272512,2019-03-28,00:37:27,repderekkilmer,1,5,30
Today at 2pm: the Select Committee on the Modernization of Congress (@ModernizeCmte) will hold a hearing to examine congressional reforms of the past and their effect on today’s Congress. Tune in! #ModernizeCongress  https://www.youtube.com/watch?v=WnAR1vXyL5s …,1110915069158797315,2019-03-27,14:42:46,repderekkilmer,1,8,15
I asked what he is personally doing to ensure we are making strong federal investments and remaining a global leader in this space. See how he responded:  https://www.facebook.com/derek.kilmer/videos/2164140686986556/ … @AppropsDems,1110704085970362368,2019-03-27,00:44:24,repderekkilmer,1,1,12
"This Administration's proposed budget cuts would not only halt our efforts to develop clean energy and meet our carbon reduction goals, but would also hamper our understanding of the effects of extreme weather and climate change.",1110704085215277062,2019-03-27,00:44:24,repderekkilmer,2,3,16
"Today during a subcommittee hearing of the House Appropriations Committee, I challenged Energy Secretary Rick Perry to ensure the United States becomes a global leader in developing cost-competitive, clean energy technology.",1110704084548546560,2019-03-27,00:44:24,repderekkilmer,3,5,27
"Great job, Zale! Thank you for volunteering and serving your community. http://www.thedailyworld.com/life/monte-crew-picks-firefighter-of-the-year/ …",1110649648950243330,2019-03-26,21:08:05,repderekkilmer,0,1,7
"Tomorrow at 2:00pm ET, the Select Committee on the Modernization of Congress will hold it's next hearing: Congressional Reforms of the Past and Their Effect on Today’s Congress. #ModernizeCongress https://modernizecongress.house.gov/committee-activity/hearings/congressional-reforms-past-and-their-effect-today-s-congress …",1110551643974705158,2019-03-26,14:38:39,repderekkilmer,0,4,10
"I had a great discussion with the folks at SAFE Boats last week. The vessels they are producing help keep our country safe and secure. Keep doing the great work you are doing, and consider me a partner. https://www.kitsapsun.com/story/news/2019/03/21/representative-derek-kilmer-visits-bremerton-safe-boats/3239305002/ …",1110359463599337472,2019-03-26,01:55:00,repderekkilmer,0,0,5
"Librarian of Congress Carla Hayden named these recordings as aural treasures worthy of preservation because of their cultural, historic and aesthetic importance to the nation’s recorded sound heritage. I agree! @librarycongress https://www.loc.gov/item/prn-19-018/new-national-recording-registry-class-is-superfly/2019-03-20/ …",1110246485097099265,2019-03-25,18:26:04,repderekkilmer,0,0,3
His recordings helped to memorialize some of the last remaining speakers of many of these dialects. Jacobs documented 23 unique languages used by Native Americans throughout the Pacific Northwest in the early twentieth century.,1110246484132409349,2019-03-25,18:26:03,repderekkilmer,1,0,8
Fantastic to see the collection of recordings from Melville Jacobs inducted into the National Recording Registry of the Library of Congress last week.,1110246483465564167,2019-03-25,18:26:03,repderekkilmer,1,0,5
Thank you to the Kitsap Community & Agricultural Alliance for inviting me to talk about the importance of local agriculture. It was great hearing about your accomplishments from 2018 and discussing future projects KCAA will be taking on in 2019 and beyond. Consider me a partner! pic.twitter.com/HjSiNT84DI,1109997531323400196,2019-03-25,01:56:48,repderekkilmer,0,1,5
"I will continue to look for ways to help our students get ahead so after graduation they are ready to join the workforce, start a business, or teach the next generation!",1109916824584552448,2019-03-24,20:36:06,repderekkilmer,1,0,8
I had a great conversation with the Olympic College Student Government leadership team this week. We talked about the many challenges college students face - like rising student debt and college affordability - but also about the opportunities ahead! pic.twitter.com/ziMUsP5FWo,1109916821472329728,2019-03-24,20:36:06,repderekkilmer,1,1,5
"I am encouraged to see that Robert Mueller has finished his report. Now, the report should be made public to the fullest extent of the law.",1109858519631704065,2019-03-24,16:44:25,repderekkilmer,15,11,92
Fantastic catching up with John of Peninsula Subaru this week. It was great to get a tour and learn more about the updates coming to your facility. Thanks for all the work you do to create jobs and for being an awesome community partner! pic.twitter.com/Kw2McWqjcD,1109510770084274178,2019-03-23,17:42:35,repderekkilmer,1,0,10
Did you know that 84% of kids who attend a Boys & Girls Club regularly report that they believe they can make a difference in their community? That gives me hope! That’s why I attended a dinner in Bremerton to support the amazing work to ensure that all kids have a great future! pic.twitter.com/OvdlqaGqGE,1109464646262685696,2019-03-23,14:39:19,repderekkilmer,2,4,34
"Great to join the Port Orchard Bay Street Association this week for a conversation about economic development, technology, and how Congress can be a better partner. Folks across Port Orchard are working on number of great projects! Can't wait to see you all again soon. pic.twitter.com/fWF3IS0mia",1109265849188339712,2019-03-23,01:29:22,repderekkilmer,3,1,10
"Five years later, we remember the victims of the Oso landslide. Our heart goes out today to the families affected and the entire Snohomish County community. https://www.seattletimes.com/seattle-news/five-years-after-deadly-oso-landslide-relatives-of-victims-say-memorial-is-form-of-healing/ …",1109181522878390273,2019-03-22,19:54:17,repderekkilmer,1,1,14
