tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Climate change is real & requires bold action. That's why I helped secure $56M for NOAA’s Climate Research Cooperative Institutes to support cutting-edge research on climate, ocean, & fishery science & directs addt'l funds for enhancing coastal resiliency. https://www.nytimes.com/2020/01/13/climate/ocean-temperatures-climate-change.html …",1218971757069131776,2020-01-19,19:01:28,repderekkilmer,1,5,20
Thoughtful words about an extraordinary person. https://www.kitsapsun.com/story/opinion/columnists/2020/01/17/david-nelson-larry-robertsons-vision-wouldnt-denied/4506107002/ …,1218669920508174343,2020-01-18,23:02:05,repderekkilmer,2,1,2
Bremerton was blessed to have someone working so passionately to strengthen the community. https://www.kitsapsun.com/story/news/2020/01/17/bishop-larry-robertson-who-founded-emmanuel-apostolic-church-has-died/4505902002/ …,1218624964162736128,2020-01-18,20:03:27,repderekkilmer,1,2,5
"My heart aches in hearing the news of the passing of my friend Larry Robertson, pastor of Bremerton’s Emmanuel Apostolic Church. pic.twitter.com/NqreAUQtam",1218307206623498241,2020-01-17,23:00:47,repderekkilmer,1,4,12
"The U.S. Census Bureau is hiring local Census Takers across the region. You can make a difference, help ensure everyone in your community is counted, and earn extra income for doing it. Apply online  http://2020census.gov/jobs . #ApplyToday #2020CensusJobs https://www.thenewstribune.com/news/business/article239244118.html …",1218269633578504192,2020-01-17,20:31:29,repderekkilmer,0,1,2
Enjoyed the opportunity to sit-down with Washington Wheat Growers this week in DC and talk about the important role that our farmers and wheat families play in Washington state's economy! Thanks for stopping by - and consider me a partner. pic.twitter.com/42GsBdV4fd,1218245217373032451,2020-01-17,18:54:28,repderekkilmer,2,5,18
Next Wednesday (1/22) I’ll be hosting a Congressional Pinning Ceremony for Veterans of the Vietnam Period at AMVETS in Tacoma to say THANK YOU to our veterans on behalf of a grateful community and nation. I hope you can join. For more information & RSVP: https://www.eventbrite.com/e/congressional-pinning-ceremony-for-veterans-of-the-vietnam-period-tacoma-tickets-88948211495 …,1218013262941511680,2020-01-17,03:32:46,repderekkilmer,3,3,6
"Today, the House took bipartisan action to reverse a @BetsyDeVosEd rule that denies relief to students who have been defrauded and misled by predatory, for-profit colleges. The federal government should be helping  these students move forward with their lives. Why it matters ⬇️ pic.twitter.com/N8xLmFHkFK",1217915180325244929,2020-01-16,21:03:01,repderekkilmer,11,2,56
".@SteveGleason has been such a critical champion for battling ALS. He deserved the Congressional Gold Medal that he received today and I was proud to watch the ceremony with fellow Washingtonians. Thanks, Senator @PattyMurray, for your inspiring words honoring him. pic.twitter.com/q4Fiv42SUT",1217641385731469318,2020-01-16,02:55:03,repderekkilmer,5,4,33
DYK in 2018 an @AARP survey found 3/5 workers age 45+ had seen or experienced age discrimination in the workplace? The House passed the Protecting Older Workers Against Discrimination Act - a bipartisan bill I co-sponsor to help restore workplace protections for older workers ⬇️ pic.twitter.com/gwZGLGiAz5,1217584318035505154,2020-01-15,23:08:17,repderekkilmer,4,0,17
