tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Today, @SpeakerPelosi and @HouseDemocrats voted again to stop @realDonaldTrump in his efforts to secure our border.  I am proud to stand with President Trump in defending American sovereignty.  Thank you @POTUS for putting our national security first. https://twitter.com/politico/status/1177600918159802373 …",1177634083964440583,2019-09-27,17:20:19,repdlamborn,54,35,80
"Democrats have placed the wellbeing of illegal immigrants over our own veterans. Vets need updated health screening technology, but yet Democrats overwhelmingly voted to prioritize this service for illegals. The failure by House Dems to support our veterans is dishonorable.",1177338272311390212,2019-09-26,21:44:52,repdlamborn,31,18,37
"It is obvious that @SpeakerPelosi and @RepAdamSchiff are grasping at straws for *anything*, however benign, to appease the far left and unjustly attempt to impeach @realDonaldTrump!",1177244407428526080,2019-09-26,15:31:53,repdlamborn,32,11,27
Acting Director of National Intelligence Maguire is an honorable public servant with decades of experience serving the nation.  It is despicable to see @HouseDemocrats attack him in their attempt to politicize the Intelligence Community.,1177244406581252101,2019-09-26,15:31:53,repdlamborn,19,15,31
"This morning at 7:15am MT/ 9:15am ET, I will be joining @JimmyLakey to talk about @SpeakerPelosi and the @HouseDemocrat’s premature impeachment announcement- and why the Left refuses to accept the 2016 election results! Tune in here: https://600kcol.iheart.com/featured/kcol-morning-s-with-jimmy-lakey/ …",1177205915642028034,2019-09-26,12:58:56,repdlamborn,22,5,10
"We must investigate the potentially criminal activity of Vice President @JoeBiden & his son Hunter. Last year, Biden bragged about threatening to withhold $1B of aid, bullying Ukraine to fire the prosecutor investigating his son. We must get to the bottom of this! pic.twitter.com/IXWny2A1y6",1176908956645462016,2019-09-25,17:18:55,repdlamborn,107,256,386
"After reading the transcript, it is clear that unlike the Obama Administration who threatened and withheld lethal arms from Ukraine, @POTUS did nothing wrong. There were absolutely zero threats to withhold aid. Once again, Dems jump to conclusions before reading the facts.",1176873707614199810,2019-09-25,14:58:51,repdlamborn,61,43,114
"Tomorrow, House Democrats will continue playing politics by bring a partisan resolution to the floor that presents unverified and inappropriate claims as facts in their continued agenda of harassing the Trump Administration.",1176657824828596225,2019-09-25,00:41:01,repdlamborn,63,16,44
"Hey @SpeakerPelosi, although you might not like the results of the 2016 election, @realDonaldTrump is the duly elected president. Dems have perused baseless accusation after baseless accusation leading to a partisan witch hunt that is tearing apart the nation.",1176640374493917186,2019-09-24,23:31:40,repdlamborn,103,46,113
Thank you @RealDonaldTrump for defending religious freedom and standing with religious minorities including Pastor Youcef who is being persecuted by the oppressive Iranian regime. https://twitter.com/VP/status/1176182625502998529 …,1176233178580865024,2019-09-23,20:33:37,repdlamborn,35,31,96
"Remembering the American heroes who never made it home, and those who are still missing. Their commitment to service, courage, and sacrifice will never be forgotten. #POWMIARecognitionDay pic.twitter.com/Mw8eHCUziM",1175056025520500738,2019-09-20,14:36:02,repdlamborn,13,3,10
We all owe a debt of gratitude to the heroes who sacrifice for our freedom. Immortalizing their heroism is the least we can do. Proud to vote to pass the #PurpleHeartCoinAct today to raise the $ needed to honor Purple Heart recipients – at no cost to the taxpayer. @RepSeanMaloney pic.twitter.com/8zwoQ53rD1,1174822363755511809,2019-09-19,23:07:33,repdlamborn,1,5,5
"I will continue working with my colleagues on both sides of the aisle- hammering out- in a timely fashion, the FY20 NDAA. https://twitter.com/colo_politics/status/1174710863388766210 …",1174727125804429312,2019-09-19,16:49:06,repdlamborn,4,2,8
This morning I join my colleagues on both sides of the aisle for the FY20 National Defense Authorization Act “pass the gavel” meeting. It is an honor to serve (again) as a conferee and work on resolving the differences between the House and Senate versions of the NDAA! pic.twitter.com/WzZnMADyOK,1174721775654977542,2019-09-19,16:27:51,repdlamborn,0,1,7
Thank you @realDonaldTrump! The nation should not be held hostage by the California CARtel! https://twitter.com/realDonaldTrump/status/1174342163141812224 …,1174359223771324416,2019-09-18,16:27:12,repdlamborn,44,8,25
"Happy 72nd to the @usairforce! Colorado's 5th Congressional District is home to the United States @AF_Academy, @PeteAFB, & @SchrieverAFB. So many great Americans have served and continue to serve in this highly-respected branch. Thank you for keeping us safe! #AirForceBirthday pic.twitter.com/c02LOIkt2s",1174356397930287104,2019-09-18,16:15:58,repdlamborn,1,2,9
I will continue the fight to uphold the Constitution and preserve and protect the fundamental rights granted to us by our Maker. Socialism doesn't stand a chance. #AppealToHeaven pic.twitter.com/sGxMKqgAsf,1173987581303934976,2019-09-17,15:50:25,repdlamborn,15,6,18
"It is #ConstitutionDay! We were a new kind of government- formed by reason & history, rather than accident & force. Our Constitution represents the highest ideals of humankind- it's timeless & addresses the good & bad within human nature.",1173987571069849601,2019-09-17,15:50:23,repdlamborn,7,6,28
