tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Yesterday, I visited Victory Riding Academy where I met Tony and Jodee Barnes and their horse, Freedom! Using horses, they provide animal assisted therapy for first responders, military service members, veterans, and their families. I admire their passion to give back to others. pic.twitter.com/nW6p5tCjUc",1145438118838853633,2019-06-30,21:05:03,repdonbacon,7,4,26
We also thank the officers’ families for accepting the speech on behalf of a few of the officers who are no longer with us. pic.twitter.com/oIOeBztCOR,1145349521100201985,2019-06-30,15:13:00,repdonbacon,4,1,15
"We must always remember the selfless service and sacrifice of Deputy Sheriff Clarence Cooper, Officer Paul Briese Sr., Officer Robert Wondra, Detective Matthew Eisasser, Deputy Sheriff David Wintle, and Chief Les Johnson.",1145349514443862016,2019-06-30,15:12:58,repdonbacon,2,2,9
"In March, I gave a speech on the House floor recognizing and honoring six officers from NE02. Yesterday, I presented each of their families a formal copy of the speech.",1145349512812224512,2019-06-30,15:12:58,repdonbacon,5,3,10
It’s bad to rationalize violence against our fellow citizens. We can debate and make our views known without beating someone up. https://twitter.com/ad1220/status/1145318635600265216 …,1145326559248752642,2019-06-30,13:41:45,repdonbacon,37,3,32
I wouldn’t try to rationalize violence. We can disagree and make our views known without beating someone up.,1145326050517430273,2019-06-30,13:39:44,repdonbacon,8,0,7
"See my previous post about how @MrAndyNgo ended in the ER. Shame on Antifa. Though they say they're antifascists, their tactics are fascists. Violence to make political point is wrong and the left must reject it. https://twitter.com/MrAndyNgo/status/1145116276605329408 …",1145129617122050048,2019-06-30,00:39:10,repdonbacon,65,16,64
"A big welcome to Air Force Captain Geneva Giaimo who is visiting D.C. this week. Her father and I served together and are great friends! We thank her for her service in the world's best AF, and I appreciate my friendship with her father, Col. Craig ""Crox"" Croxton. pic.twitter.com/QxAKGxGf2W",1145076994708824067,2019-06-29,21:10:04,repdonbacon,6,2,16
"ICYMI: In May, I addressed the graduating class of 2019 at Boys Town and spoke on five important things: remember your moral compass, aim high, don't forget the Golden Rule, live a balanced life, and grow intellectually. Watch my full speech here: http://ow.ly/MnFj50uMydm ",1145017864216354819,2019-06-29,17:15:06,repdonbacon,19,2,10
"As a co-chair of the CCFY, I’ve cosponsored legislation to provide equity to children already adopted by U.S. citizens, improve HUD transparency and homeless assistance data, and protect faith-based child welfare providers from unfair government discrimination. pic.twitter.com/sPeQv4Zciy",1144991472967651328,2019-06-29,15:30:14,repdonbacon,8,5,11
ICYMI: Offutt Air Force Base is one of Nebraska’s largest employers and a vital part of our economy with an economic impact of $2.7 billion. The recovery from this spring’s devastating flood is important. Watch Part 3 of Chronicle Operation: Recovery! https://www.ketv.com/article/chronicle-operation-recovery-part-3/28183915 …,1144961278894641152,2019-06-29,13:30:15,repdonbacon,0,2,6
"Their program, Operation Freedom, helps veterans transition into the workforce once they're out of the military. Thanks to Marvin Fielder for discussing the program and showing us the training facilities. We're thankful for Werner's contribution to Nebraska and our veterans! pic.twitter.com/2kr8dNvRj8",1144730097511010304,2019-06-28,22:11:37,repdonbacon,4,2,13
"Today, @RepBrianMast and I met with youth from #NE02's Congressional Youth Advisory Academy. For four weeks, they learned about Congress and ways to become more involved in the community. Today they participated in a service project at Food Bank for the Heartland. We're NE proud! pic.twitter.com/26wFpi769C",1144728449447337992,2019-06-28,22:05:05,repdonbacon,4,3,12
I grew up on a farm!,1144683482444193794,2019-06-28,19:06:24,repdonbacon,2,1,3
"As member of the Agriculture Committee, it’s important that all trade deals include agriculture—our nation's competitive advantage. Our farmers and manufacturers produce the best cost and quality anywhere in the world. https://www.reuters.com/article/us-usa-trade-eu/no-u-s-eu-trade-deal-without-agriculture-u-s-official-idUSKCN1TS2SH …",1144654213621923842,2019-06-28,17:10:05,repdonbacon,8,3,8
"This week, our office invited Ms. Adrian Foster from @SBAgov to speak with women small business owners in #NE02, and discuss federal contracting and the many resources available through the Small Business Administration to support and grow our diverse local economy. pic.twitter.com/17kyIiZepQ",1144622765405872128,2019-06-28,15:05:07,repdonbacon,3,2,2
"ICYMI: Offutt Air Force Base is one of Nebraska’s largest employers and a vital part of our economy with an economic impact of $2.7 billion. The recovery from this spring's devastating flood is important. Watch Part 2 of Chronicle Operation: Recovery!
 https://www.ketv.com/article/chronicle-operation-recovery-part-2/28183930 …",1144597585820291072,2019-06-28,13:25:04,repdonbacon,4,2,11
You’re correct... I never was good cooking with shake and bake.,1144397455045419008,2019-06-28,00:09:49,repdonbacon,4,0,0
"ICYMI: Offutt Air Force Base is one of Nebraska’s largest employers and a vital part of our economy with an economic impact of $2.7 billion. The recovery from this spring's devastating flood is important. Watch Part 1 of Chronicle Operation: Recovery!
 https://www.ketv.com/article/chronicle-operation-recovery-part-1/28183940 …",1144396251594670080,2019-06-28,00:05:02,repdonbacon,4,4,7
"Today, Reps. Bacon (R-NE), Cisneros (D-CA), Moulton (D-MA), and Taylor (R-TX) introduced bipartisan legislation amending the United States Code to criminalize lynching and provide for enhanced sentencing under existing federal hate crime statutes.
 https://bacon.house.gov/media/press-releases/reps-bacon-cisneros-moulton-taylor-introduce-bipartisan-bill-criminalize … pic.twitter.com/Qk9jJ5dYu8",1144372841414045697,2019-06-27,22:32:01,repdonbacon,5,5,10
My mom use to make shake and bake! You are good!,1144370933894909953,2019-06-27,22:24:26,repdonbacon,1,0,1
I did vote to increase NIH funding. Thank you.,1144370743293173761,2019-06-27,22:23:41,repdonbacon,1,0,2
The Problem Solvers Caucus showed how we can come together for the good of the American people! Our country will be better off because of it.,1144359829760294914,2019-06-27,21:40:19,repdonbacon,4,1,11
Our support showed that bipartisan solutions in Congress are needed to move our country forward. I am thankful that the House Majority recognized this and brought the bill to the floor so we could provide desperately needed resources for humanitarian aid and for security.,1144359828862750720,2019-06-27,21:40:19,repdonbacon,4,3,12
"As a member of the bipartisan Problem Solvers Caucus, I am pleased that our 23 Democrats and 23 Republicans came together to endorse the Senate Border Supplemental Bill.",1144359827839291398,2019-06-27,21:40:18,repdonbacon,9,3,17
Thank you for visiting and sharing your important perspective. I agree that @NIH plays a vital role in finding cures and improved treatments. We’ve increased NIH’s funding the last 2 years and support for this mission has large bipartisan support. https://twitter.com/CFFNebraska/status/1144334667467956224 …,1144358863401050114,2019-06-27,21:36:28,repdonbacon,3,2,7
"I'm grateful to be a co-chair of the Congressional Caucus on Foster Youth and co-lead several bills that provide outreach and mentoring programs to foster youth and families, enact safeguards in the home-study process and give foster and homeless youth tools they need to succeed. pic.twitter.com/DIa6ZaG5k6",1144330848960991232,2019-06-27,19:45:09,repdonbacon,4,1,7
Calling all middle and high school students in #NE02! Sign up today for the #CongressionalAppChallenge to showcase your innovative and technological skills by creating an app! pic.twitter.com/EW36VTYrOV,1144299376099176451,2019-06-27,17:40:05,repdonbacon,2,2,5
We are lined up asking House Leadership to let us vote on the bipartisan Senate-passed emergency supplemental funding bill. It passed overwhelmingly in the Senate with 84 votes. #LetUsVote,1144275634232942594,2019-06-27,16:05:45,repdonbacon,37,32,94
"The House needs to pass a bipartisan border bill similar to the Senate version or remove ""poison pills."" DHS and border humanitarian needs compel us to take action and not wait until after July 4th recess. http://ow.ly/89kn50uOgIX ",1144262889341165568,2019-06-27,15:15:06,repdonbacon,13,5,11
"Congrats to Omaha native, Mary Aumen for earning the Congressional Award Gold Medal! She performed 400 hours of volunteer service, studied piano and plant life, elevated physical conditioning, and learned about the Magna Carta. Mary is a great role model and citizen. pic.twitter.com/7OkTifXRd7",1144240244402937859,2019-06-27,13:45:07,repdonbacon,1,7,14
I’ll be voting for the more bipartisan Senate bill... it represents our district’s values the best.,1144233255413198850,2019-06-27,13:17:21,repdonbacon,2,0,1
"Grateful to speak at Americans For Prosperity's Bipartisan Trade Event. Free trade means growth, innovation, and opportunity. As a member of the bipartisan Problem Solvers Caucus, it's important to come together and recognize America's agribusiness needs to improve our economy. pic.twitter.com/6qwcZRuzoD",1144036388469391366,2019-06-27,00:15:04,repdonbacon,18,2,14
Great turnout at the Nebraska Breakfast this morning. Even @GitRDoneLarry made an appearance! pic.twitter.com/X4oM8onLEw,1143996120785465344,2019-06-26,21:35:04,repdonbacon,5,2,17
"I support the Senate version instead, and House Democrats are handcuffing the President's ability to secure the border and enforce the law.
 https://www.omaha.com/news/nation/house-approves-funding-for-migrants-held-at-border-midlands-lawmakers/article_f97ea06a-3d2b-59f4-8208-8a8bd0d48427.html …",1143957793134845953,2019-06-26,19:02:46,repdonbacon,43,4,21
"Thank you @USDA Assistant Secretary Ken Barbic for visiting today! With flood recovery and frequent rains this Spring, it is important for Nebraskans to stay aware of USDA’s policies and programs designed to provide aid and relief. pic.twitter.com/Cm9nRFYkWW",1143928184330752000,2019-06-26,17:05:06,repdonbacon,5,2,8
