tweet,id,date,time,username,replies_count,retweets_count,likes_count
"11 people killed in Virginia today, and six more injured at least, and the news keeps getting worse. My heart goes out to their families, and my thanks to those putting themselves at risk to provide safety. This such a dark day. We have to do more to stop these shootings. https://twitter.com/CBSEveningNews/status/1134596496681312257 …",1134599203617935360,2019-05-31,23:15:04,repdonbeyer,16,58,205
"Workers getting ready for the weekend on a Friday afternoon in Virginia Beach. This is so awful and so tragic, and I fear that our society is becoming numb to these incidents. We have to do more to stop gun violence. https://twitter.com/BrettHNews/status/1134567029413953538 …",1134575298798923776,2019-05-31,21:40:05,repdonbeyer,2,23,51
"Recent Trump Administration acts:

- Banned transgender Americans from military service
- Opposed the Equality Act
- Blocked citizenship for children of same-sex couples
- Allowed anti-trans discrimination in homeless shelters
- Ended healthcare protections for transgender people https://twitter.com/realDonaldTrump/status/1134538166919204865 …",1134544517569421312,2019-05-31,19:37:46,repdonbeyer,16,175,259
"Trump's economic advisers said ""no"" and his nativism adviser Stephen Miller said ""yes"" and lo and behold Miller won and Trump announced new tariffs on Mexico via tweet. Just a terrible, erratic way to run a country; it will hurt our economy and endanger trade agreements. https://twitter.com/dandrezner/status/1134506036944150528 …",1134509102997151751,2019-05-31,17:17:02,repdonbeyer,9,59,145
Barr overruled Mueller and then held a press conference at which he lied to the press and the American people about Mueller's investigation and findings. https://twitter.com/jimsciutto/status/1134441924381818881 …,1134451954531414017,2019-05-31,13:29:57,repdonbeyer,22,128,263
The White House’s actions on trade today are frankly bewildering. If Trump wants to prevent USMCA from being ratified this is a great way to do it. https://twitter.com/realDonaldTrump/status/1134240653926232064 …,1134243632410701825,2019-05-30,23:42:09,repdonbeyer,17,66,183
"Blindsiding Congress by trying to force us to act before anyone is ready isn't the process we were promised.

This news also hit just as Trump threatened Mexico with new tariffs over his draconian immigration demands. It suggests that he doesn't really want to pass a new NAFTA. https://twitter.com/byrdinator/status/1134190935229771776 …",1134217270836772864,2019-05-30,21:57:24,repdonbeyer,2,13,35
"""Facts are facts."" 

For facts on environmental impacts of natural gas, you can read @UCSUSA:  https://www.ucsusa.org/clean-energy/coal-and-other-fossil-fuels/environmental-impacts-of-natural-gas …

For facts on health effects of natural gas, you can read NIH:  https://toxtown.nlm.nih.gov/chemicals-and-contaminants/natural-gas …

For awful, embarrassing slogans, read Trump Administration propaganda. https://twitter.com/FERChatterjee/status/1134161002541568000 …",1134169655466168321,2019-05-30,18:48:12,repdonbeyer,1,10,25
"Thank you @NRDems for welcoming me back to my old Committee to participate in a deeply important hearing on the alarming new UN report on biodiversity.

This exchange I had with Dr. @jwmalcom makes a key point: protecting species is good for our planet AND our economy. pic.twitter.com/j0VG4xZLs6",1134157862828216320,2019-05-30,18:01:20,repdonbeyer,0,17,30
"Hi @SecretaryPerry, please stop this. It is very stupid and embarrasses you, the Department of @Energy, and most importantly the United States. https://twitter.com/bjlefebvre/status/1133733821084520448 …",1134099563508326401,2019-05-30,14:09:41,repdonbeyer,8,42,108
"I would strongly suggest that @WhiteHouse staff sit the President down and read the United States Constitution to him as soon as possible, since he has proven beyond a doubt that he has no idea what it says. Here is a helpful transcript at the US Archives:  https://www.archives.gov/founding-docs/constitution-transcript … https://twitter.com/ABCPolitics/status/1134082996179427328 …",1134092409015545858,2019-05-30,13:41:15,repdonbeyer,25,66,147
"After years of denying US intelligence and agreeing with Putin’s propaganda, Trump finally admits that Russia helped him win the election. https://twitter.com/realDonaldTrump/status/1134066371510378501 …",1134085663995965442,2019-05-30,13:14:27,repdonbeyer,38,177,462
"This is a lie. It’s a lie that the President has repeated many times, the White House has repeated many times, and @GOP has repeated many times.

If the facts were on their side, they wouldn’t have to lie. They wouldn’t be trying to hide details of the report or block testimony. https://twitter.com/GOP/status/1133814850029793281 …",1133836038818979840,2019-05-29,20:42:31,repdonbeyer,8,39,123
Thoughts and prayers. https://twitter.com/thedailybeast/status/1133815293158023169 …,1133815769274490886,2019-05-29,19:21:59,repdonbeyer,12,44,321
"Special Counsel Mueller says his investigation lacked confidence that Trump did not commit a crime.

Hundreds of former prosecutors say Trump would have been charged and prosecuted if he were a private citizen.
 https://www.washingtonpost.com/world/national-security/trump-would-have-been-charged-with-obstruction-were-he-not-president-hundreds-of-former-federal-prosecutors-assert/2019/05/06/e4946a1a-7006-11e9-9f06-5fc2ee80027a_story.html?utm_term=.cf23bf80cac1 …

Congress must act to hold Trump accountable. https://twitter.com/atrupar/status/1133757374966239233 …",1133783789207982080,2019-05-29,17:14:54,repdonbeyer,21,109,354
"Special Counsel Mueller makes it clear that his investigation did not ""exonerate"" Trump, and directly contradicts Barr's public statements.

Barr should resign, and Congress should open an impeachment inquiry into the President's potentially criminal acts.  https://beyer.house.gov/news/documentsingle.aspx?DocumentID=4350 … https://twitter.com/ABC/status/1133752835105910784 …",1133755579283984385,2019-05-29,15:22:48,repdonbeyer,26,102,284
"My office is in contact with @wmata to request additional bus service at Potomac Yards. 

Riders can submit direct feedback to @Metrorailinfo here:  http://wmata.custhelp.com/app/home  and please don't hesitate to contact my offices directly with concerns and questions
 https://beyer.house.gov/  https://twitter.com/adrienAK/status/1133717940900171778 …",1133740308536147968,2019-05-29,14:22:08,repdonbeyer,3,7,25
I can’t think of many ways to make the point that you are unfit for office more clearly than declaring you have nothing against a man credibly accused of child molestation and sexual assault. https://twitter.com/realDonaldTrump/status/1133699631857262593 …,1133701153856921602,2019-05-29,11:46:32,repdonbeyer,27,191,719
