tweet,id,date,time,username,replies_count,retweets_count,likes_count
"In the #NewYear, I hope Speaker Pelosi realizes she's not the sole arbiter of how the House or Senate conduct their business. pic.twitter.com/gjXAsRoTTl",1212054890471723008,2019-12-31,16:56:19,repdougcollins,763,2567,9706
"Our country has given us the greatest freedoms in the world—the freedom of speech, the freedom to worship. 

By uniting to stand against anti-Semitism and acts of hatred, we protect the freedoms we cherish. pic.twitter.com/QivrJtG6vI",1211699514219909120,2019-12-30,17:24:11,repdougcollins,289,1873,6421
".@repjohnlewis is a hero to Georgians and all Americans, including me. My respect and prayers are with this fighter as he faces a new battle.",1211457079648694272,2019-12-30,01:20:50,repdougcollins,136,394,2653
"My heart goes out to the victims of the horrendous attack in #Monsey. 

The rising tide of anti-Semitism across the U.S. and the world is alarming. We must stand together to condemn this horrific violence.",1211325171572846592,2019-12-29,16:36:40,repdougcollins,342,1713,7627
Speaker Pelosi has made one thing clear: This #ShamImpeachment was never about duty or obligation—it was about harassing a president whom Democrats despise. Holding the articles of impeachment is just further proof that she cares about nothing other than the 2020 election.,1210658869338365952,2019-12-27,20:29:02,repdougcollins,2069,8823,25887
"Christmas is a time of hope, a time of new beginnings, and a time to come together.

Most importantly, it's a time to reflect on God's love and all that He has done for us.

Wishing you and your family many blessings this season. Merry Christmas! pic.twitter.com/MoWBt96R8I",1209805994940874752,2019-12-25,12:00:00,repdougcollins,2257,6562,31414
Speaker Pelosi holding these articles only further proves what we've known all along: This #ShamImpeachment is purely partisan. pic.twitter.com/4AXNwqJvw6,1209188217813123075,2019-12-23,19:05:11,repdougcollins,1041,4599,14935
Look forward to joining @foxandfriends this morning at 7:15am. Tune in!,1209080505095905280,2019-12-23,11:57:10,repdougcollins,321,458,3163
"Newsflash: The American people see through the sham process that Democrats began.

They knew the outcome was rigged as soon as Democrats told the American people they would overturn the 2016 election to prevent losing in 2020. https://twitter.com/thehill/status/1208190597733011456 …",1208374887787749376,2019-12-21,13:13:18,repdougcollins,1946,3962,11773
"House Democrats are desperate to remove @realDonaldTrump from office even though he’s delivering big wins for this country. 

The American people see through this #ShamImpeachment. pic.twitter.com/yQUggSmw9t",1208109778721034240,2019-12-20,19:39:51,repdougcollins,728,2782,8083
"The real abuse of power comes from House Democrats. During this #ShamImpeachment, they:

❌ Broke every House rule that stood in their way
❌ Denied due process 
❌ Sidelined the courts 

Now they’re demanding control over Senate trial procedures!",1208080091709874178,2019-12-20,17:41:53,repdougcollins,1696,6359,16608
"From day one, Democrats have hoped @realDonaldTrump would fail. Time after time, he’s kept his promises.
 
The economy is booming.
Our military is stronger.
 
Unlike House Democrats, he’s going to keep working for the American people. pic.twitter.com/f1L2vVXvma",1207709199226023936,2019-12-19,17:08:05,repdougcollins,1259,4320,12253
"Where the law ends, tyranny begins. Democrats broke their own rules to declare a president guilty of crimes they couldn't prove and their articles didn't allege.

Tonight, Democrats shamed an institution they claim to love and failed a country they claim to serve. pic.twitter.com/Zb7IUeYOj0",1207489106080612355,2019-12-19,02:33:31,repdougcollins,2657,10216,25081
Today’s vote reveals Democrats’ disregard for the Constitutional protections due to all citizens — including President @realDonaldTrump. That disregard threatens the liberties of every American. pic.twitter.com/SZD1D2kK6W,1207481084990173185,2019-12-19,02:01:39,repdougcollins,552,1716,4155
"This #ShamImpeachment has brought dishonor upon the House.
 
Speaker Pelosi said impeachment had to be “compelling and overwhelming and bipartisan.”
 
It’s not bipartisan. It’s not compelling. It’s not overwhelming.
 
Abuse of power lies at the feet of House Democrats.",1207444006659117056,2019-12-18,23:34:19,repdougcollins,4330,13568,45274
"If the president obviously violated the bribery statute, as Democrats claim, then why didn’t they add it as an article of impeachment?
 
The reason: It didn’t happen. pic.twitter.com/hvqVhXwHSM",1207413764653490181,2019-12-18,21:34:08,repdougcollins,1499,6445,17479
"Democrats think that the accuser gets to determine what evidence is relevant to the defense of the accused. 

Americans understand due process, and they understand when it’s being trampled in the People’s House. pic.twitter.com/sg3KTWQqFs",1207382219116945408,2019-12-18,19:28:47,repdougcollins,1292,4136,10206
"We’re in the midst of what Alexander Hamilton called “the greatest danger”—the danger a partisan impeachment poses for our country.

Speaker Pelosi used to recognize that danger . . . pic.twitter.com/5D4Q6uzD9K",1207380153334153216,2019-12-18,19:20:35,repdougcollins,313,702,1729
"The Founders were concerned about a partisan impeachment in which the majority could do whatever they want, regardless of any facts.
 
That is what this impeachment is. It’s partisan and baseless. pic.twitter.com/dgPbkWOVFk",1207363298947194880,2019-12-18,18:13:36,repdougcollins,952,2975,7282
"Democracy according to House Democrats: If a president doesn’t embrace the talking points of unelected staff, he should be impeached.

Why won’t Democrats accept the will of the voters who elected this president to lead our country? pic.twitter.com/1fi4W1TvMV",1207358277903945730,2019-12-18,17:53:39,repdougcollins,1451,2853,7811
"Today’s impeachment vote is going to be a lot of things, but today is not about:
 
Fairness
Truth
Facts pic.twitter.com/aE8LxlYVs2",1207356411451187201,2019-12-18,17:46:14,repdougcollins,833,2191,6571
"This impeachment is about nullifying the 2016 votes of millions of Americans.
 
Why? Democrats think it’s dangerous to let voters decide whether @realDonaldTrump stays in office in 2020. pic.twitter.com/JZxZcfhYRN",1207353836618289153,2019-12-18,17:36:00,repdougcollins,1243,3640,8613
"Democrats have trashed House Rules and decorum in an effort to achieve one purpose: To undo the 2016 election.

Don’t be mistaken. Democrats never had any intention of conducting a real investigation.

Their eyes are on winning 2020. pic.twitter.com/hmMT7eur0P",1207321967575080960,2019-12-18,15:29:22,repdougcollins,1449,2619,6791
"Hours before this #ShamImpeachment vote, the best Democrats can do to justify themselves is to dispense with the Fifth Amendment.

Democrats can't be trusted with the truth or, apparently, the Constitution. https://jonathanturley.org/2019/12/18/swalwell-failing-to-turn-over-documents-is-proof-of-guilt/ …",1207288812768055296,2019-12-18,13:17:37,repdougcollins,826,1957,4641
