tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Sunday at 7 AM, @WDASFM 105.3 will air my interview with @FrankieDarcell - we talked about news from DC like the Trump administration trying – again! – to repeal the ENTIRE Affordable Care Act & all its protections, and the #PaycheckFairnessAct the House passed this week.",1112125243571752960,2019-03-30,22:51:35,repdwightevans,1,7,7
"Before I left DC I met w/ the PA Association of Community Health Centers to discuss the importance of our community centers & why it’s critical we as a nation protect the ACA.
 
As your MoC, I’m doing everything I can to ensure no more harm will be done to each + every ☝🏾 of you. pic.twitter.com/obY2mbJwN0",1112075304963592192,2019-03-30,19:33:08,repdwightevans,2,3,16
We’ve learned that the Mueller Report is over 300 pages! I’m NOT satisfied with a 4-sentence summary from the Trump-appointed attorney general.  https://www.nytimes.com/2019/03/28/us/politics/mueller-report-length.html?smtyp=cur&smid=tw-nytimes … #ReleaseTheReport,1111707358198157313,2019-03-29,19:11:03,repdwightevans,5,10,48
"(2/2) This is a pattern with Trump.
 
He TALKS big about supporting our troops - but he’s also weakening our military readiness with his wasteful, unneeded wall & his fake emergency declaration: https://www.latimes.com/politics/la-na-pol-marine-corps-border-national-emergency-20190321-story.html …",1111383711214272512,2019-03-28,21:44:59,repdwightevans,1,5,9
"(1/2) I’m proud to display the transgender pride flag outside my office this #TransVisibilityWeek. Today I voted for a resolution standing w/the troops Trump will soon kick out of our military. He’s discriminating against qualified Americans, wasting tax $$ & making us less safe. pic.twitter.com/8hnfMUOpBu",1111383563444715521,2019-03-28,21:44:24,repdwightevans,8,30,178
I shouldn’t even have to say this...but @RepSusanWild knows what she’s talking about — unlike some in Washington. https://twitter.com/RepSusanWild/status/1111005014795997185 …,1111022389201170433,2019-03-27,21:49:14,repdwightevans,0,2,5
".@RepMovita & the people of PA deserved better than the sectarian, political prayer that opened #PaHouse session Monday. @RepDawkins’ prayer this week set a good, inclusive example.  https://www.washingtonpost.com/national/religion/democrats-muslim-lawmaker-decry-opening-prayer-as-divisive/2019/03/26/fe389460-502a-11e9-bdb7-44f948cc0605_story.html?utm_term=.37376d5ed8e5 …",1110982177800536066,2019-03-27,19:09:26,repdwightevans,0,3,10
The #GOPTaxLaw is correctly named the #GOPTaxScam because it doesn't work for hardworking constituents in Philly and doesn't work for the rest of Americans who are forced to make tough decisions on a day-to-day basis to simply survive.,1110969408745361408,2019-03-27,18:18:42,repdwightevans,0,4,6
I'm speaking now - watch live! https://twitter.com/RepDwightEvans/status/1110946483917021184 …,1110960271542177795,2019-03-27,17:42:24,repdwightevans,0,1,2
"PHL has a 26% poverty rate -- meaning 1/4 PHL'ians are struggling to put food on the kitchen table despite working 40+hrs/wk.

These hard-working families rely on the Earned Income Tax Credit & in 2017 the GOP was consistent w/ their policy goals: harming poor, innocent indivs.",1110950468245745664,2019-03-27,17:03:26,repdwightevans,0,3,14
"Today, I’m joining my @WaysMeansCmte colleagues to discuss the #GOPTaxScam.

Watch live HERE:  https://bit.ly/2UfmnWn ",1110946483917021184,2019-03-27,16:47:36,repdwightevans,0,1,2
"At this very moment, I’m gaveling in as chair of today’s @HouseSmallBiz hearing! pic.twitter.com/EVSmrevwbr – at Rayburn House Office Building",1110931192138862593,2019-03-27,15:46:50,repdwightevans,0,2,6
Click on the link below to subscribe to my e-newsletter and stay-up-to-date about the work I'm doing in Congress to move the city of Philadelphia forward>>>  https://evans.house.gov/contact/newsletter … pic.twitter.com/DqSawIWs7f,1110887894393253888,2019-03-27,12:54:47,repdwightevans,0,1,3
To my followers who have kids or know people who attend Temple University >>> https://twitter.com/ShainaFOX29/status/1110637774917566465 …,1110672610428358656,2019-03-26,22:39:20,repdwightevans,1,7,9
"When I tell people I represent parts of Philadelphia, they ask me about the @Eagles and @GrittyNHL.

But Philly is more than just sports: in fact, the @PHLschools music education program was just named among the nation's best by @NAMMFoundation 🙌🏿🙌🏿 https://patch.com/pennsylvania/philadelphia/philadelphia-among-nations-best-communities-music-education …",1110659102059958273,2019-03-26,21:45:39,repdwightevans,1,4,19
"My FIRST vote of this Congress was to protect people w/ pre-existing conditions & the health care of ALL Americans b/c I was elected to fight #ForThePeople.

In contrast, the Trump administration is openly trying – again - to repeal the #AffordableCareAct! https://www.philly.com/news/nation-world/trump-administration-court-repeal-obama-affordable-care-act-20190326.html …",1110601129639981057,2019-03-26,17:55:17,repdwightevans,0,4,6
"I welcome this $65 million investment in Philadelphia by @LDO_Helicopters & I appreciate the tour they gave me last week:
 https://northeasttimes.com/2019/03/22/ne-helicopter-manufacturer-to-create-new-pilot-training-facility/?mc_cid=d5fa321a4a&mc_eid=fb8b81b599 … pic.twitter.com/zW9RdB2Uqt",1110312491769303040,2019-03-25,22:48:21,repdwightevans,0,2,3
