tweet,id,date,time,username,replies_count,retweets_count,likes_count,tdatetime
"Great discussion with Randall Schriver, Asst Secretary of Defense for Indo-Pacific Security Affairs (also born at Tripler, lived in Ewa Beach and Makakilo), on working together on issues affecting Hawai’i and the Indo-Pacific especially through my new Pacific Islands Caucus. pic.twitter.com/TKT90ZWUX0",1154821786854461440,2019-07-26,18:32:24,repedcase,6,2,4,2019-07-26 18:32:24
Illegal vacation rentals and the online platforms on which they rely should not be able to hide their illegal conduct behind federal law. Here testifying before @EnergyCommerce on needed changes. pic.twitter.com/vsVtgm2niX,1154467254383403009,2019-07-25,19:03:37,repedcase,1,2,5,2019-07-25 19:03:37
Happy to co-found the first-ever Congressional Pacific Islands Caucus. Our country's and Hawaii's future lies in the Indo-Pacific and our Pacific Islands backyard is key to that. See my press release here:  https://bit.ly/32Rda8k  pic.twitter.com/Nzgf711AYh,1154422743263264768,2019-07-25,16:06:44,repedcase,3,8,22,2019-07-25 16:06:44
"Robocalls are at crisis levels, not only disrupting our normal communications but outright preying on too many. I'm on fully 8 proposals to curb robocalls. Finally got one passed today towards real fixes. pic.twitter.com/b7IkSB59JS",1154186893086662656,2019-07-25,00:29:33,repedcase,1,1,9,2019-07-25 00:29:33
Questioning head of Office of Science and Technology Policy @WHOSTP today in Appropriations on protection of scientific integrity amid disturbing reports of attempts to influence or suppress objective science for political ends. @AppropsDems pic.twitter.com/5hjXhaspcp,1154172845200744449,2019-07-24,23:33:44,repedcase,0,5,8,2019-07-24 23:33:44
"Meeting the press on Mueller's testimony, leaving no doubt that Russia interfered massively in our 2016 elections top to bottom and that at a bare minimum the Trump campaign turned a blind eye. #RetweetTheReport See the full testimony here:  https://cs.pn/2SwppCr  pic.twitter.com/SEGlpxn9kV",1154166913909559296,2019-07-24,23:10:10,repedcase,7,2,7,2019-07-24 23:10:10
"Joining my colleague, @RepBenMcAdams, as Co-Chairs of @HouseBlueDogs Task Force on Fiscal Responsibility and Government Reform in rolling out our blueprint and on the House floor to highlight this growing crisis and outline solutions. See our plan here: https://bit.ly/2GgZ9qC ",1151967669391908880,2019-07-18,21:31:09,repedcase,2,1,5,2019-07-18 21:31:09
"Accelerating federal budget deficits and debt are everyone’s concern, and restoring fiscal responsibility should be everyone’s goal. See my special order hour on this issue here:  https://bit.ly/2JC8viN .",1151967668729208835,2019-07-18,21:31:09,repedcase,4,3,15,2019-07-18 21:31:09
We cannot make the same mistakes as the dark chapters of our past in the interests of national security. See my press release here:  https://bit.ly/2XW2eCr .,1151628758715183104,2019-07-17,23:04:26,repedcase,1,1,5,2019-07-17 23:04:26
Gratified at full House adoption of my amendment to the FY20 Intelligence Authorization Act to ensure our intelligence community is not violating the civil rights of Chinese Americans or any other ethnic group in its invaluable efforts to counter accelerating espionage by China. pic.twitter.com/CvIbh5x5ou,1151628720496685059,2019-07-17,23:04:17,repedcase,2,2,7,2019-07-17 23:04:17
