tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Such an honor to be with many incredible Veterans and their families at the @BattleCreekVAMC on #VietnamVeteransDay. 

Thank you for your service - we will forever be grateful for what you did for our nation. 🇺🇸🇺🇸🇺🇸 pic.twitter.com/4bOYceD5wL",1111689994614263808,2019-03-29,18:02:03,repfredupton,4,1,9
"->>> On air with @RepDebDingell and @CandiceMiller on @wjrradio at 10:30 <<< -

Will be talking about the importance of bipartisanship and working together. 

📻 Listen live ➡️  http://www.wjr.com  pic.twitter.com/4oneG529PU",1111633193499877377,2019-03-29,14:16:21,repfredupton,1,0,1
"Today’s event will give us an opportunity to honor all those who served our great nation during the Vietnam War. 

Looking forward to it #MI06 🇺🇸🇺🇸🇺🇸 https://twitter.com/BattleCreekVAMC/status/1111398025321021441 …",1111613865262043136,2019-03-29,12:59:32,repfredupton,2,3,9
"🚨🚨🚨

What a huge win for Michigan - GREAT news for our Great Lakes. Protecting our natural resources is so important! 🇺🇸 👍 https://twitter.com/MikenzieFrost/status/1111416356908363777 …",1111423417876508676,2019-03-29,00:22:46,repfredupton,12,9,26
Looking forward to talking with you both at 10:30 - be sure to tune in to @wjrradio!  http://www.wjr.com/  https://twitter.com/RepDebDingell/status/1111350049018130433 …,1111373592443273216,2019-03-28,21:04:47,repfredupton,0,1,1
"The proposed cut to the Great Lakes Restoration Initiative is a non-starter. 

Today I joined a bipartisan group of colleagues to urge House Leaders to fully fund the GLRI, which works to protect, restore, and maintain the Great Lakes ecosystem.  https://debbiedingell.house.gov/media-center/press-releases/michigan-lawmakers-make-bipartisan-push-restore-funding-great-lakes … #MI06",1111321062531362816,2019-03-28,17:36:03,repfredupton,0,2,7
"I’ve voted for responsible plans that would‘ve repealed & replaced Obamacare - but always w/  replacement plans that protect those w/ pre-existing conditions, kids in school & Medicaid-expansion state recipients. We can’t just do away w/ the ACA w/ no replacement ready on day #1.",1111039011232116736,2019-03-27,22:55:17,repfredupton,11,6,40
"Agriculture is such an important part of Southwest Michigan’s economy. Productive meeting with members from the @MichFarmBureau on agricultural labor, trade, and environmental issues. Great discussions! #MI06 🇺🇸 pic.twitter.com/kBO1aRL9du",1111005933814059009,2019-03-27,20:43:50,repfredupton,0,3,5
Enjoyed talking with Michigan members from @AIPAC - maintaining a strong relationship between Israel and the United States is so important. Great to see you! 🇺🇸🇮🇱 pic.twitter.com/FZgdGyC2ni,1110646809720967172,2019-03-26,20:56:48,repfredupton,5,1,1
But the Constitution is clear that spending originates in the Congress. That’s why I voted to override the President’s veto. Using a national emergency and taking money without Congress’ sign-off is an end-around and sets an unfortunate precedent. pic.twitter.com/NKyGbreMH2,1110632376990949376,2019-03-26,19:59:27,repfredupton,13,2,12
"I have been a strong supporter of funding for border security and the wall. I voted for the Secure Fence Act of 2006, and in the last two years alone, I have voted four times to provide funding for the border wall. pic.twitter.com/tALkpLEneG",1110632370774908933,2019-03-26,19:59:26,repfredupton,3,1,1
"I have supported billions of dollars for border security. The issue is whether the President can take money appropriated for one purpose & spend it for something else - without Congress' consent. 

The Constitution is clear. Only Congress can initiate tax & spending decisions. pic.twitter.com/2qAc15kgsL",1110602131965444096,2019-03-26,17:59:16,repfredupton,13,8,29
"Talked with @1450WHTC this morning about the Mueller report.

We're ready to turn the page. It's time to start governing. pic.twitter.com/27n3h0X1TA",1110548772138991616,2019-03-26,14:27:14,repfredupton,6,1,1
