tweet,id,date,time,username,replies_count,retweets_count,likes_count
"As a member of the @LGBTEqCaucus - I will do everything I can to make sure transgender people #WontBeErased by violence, fear, or prejudice. This flag is a symbol of my commitment to preserve the right of every person to dignity and pride. #TransDayOfVisibility pic.twitter.com/iEEOmYzNax",1112358241705566210,2019-03-31,14:17:26,repgilcisneros,53,26,86
"#Onthisday we celebrate the legacy of civil rights and labor movement activist, Cesar Chavez. As a union leader and labor organizer, he dedicated his life to improving treatment, pay and working conditions for our farm workers. A cause that lives on. #CesarChavezDay #SiSePuede",1112353251565993984,2019-03-31,13:57:36,repgilcisneros,3,10,32
"I encouraged the @AppropsDems Subcommittee on Transportation, Housing, and Urban Development to reject cuts proposed in the President’s FY20 budget to CDBG, HUD-VASH and infrastructure projects and invest in #CA39. Watch here: https://www.youtube.com/watch?v=QlhXxfo2Reo#t=29m30s …",1111749877829009408,2019-03-29,22:00:00,repgilcisneros,4,3,6
Today we celebrate #VietnamWarVeteransDay - My father was in the @USArmy and served in the Vietnam War. His courage and service inspired me to join the @USNavy. We thank all our vets for their commitment and sacrifices. pic.twitter.com/v4T9cwvWhv,1111689479872487424,2019-03-29,18:00:00,repgilcisneros,1,3,13
"The Paris Climate Agreement was a huge breakthrough. Every major country pledged to cut carbon pollution. We need to stay in, too. Proud to be a cosponsor of #HR9 and take #ClimateActionNow. pic.twitter.com/woA7fQHxda",1111417688428027904,2019-03-29,00:00:00,repgilcisneros,8,10,32
Today my wife Jacki helped put together care pacakages for deployed military wives with the @USO - a bipartisan project with the Congressional Club. I'm incredibly proud that she volunteered to help our service members pic.twitter.com/OgwiMn6etk,1111387490265546752,2019-03-28,22:00:00,repgilcisneros,3,6,18
"Today I voted in support of our Transgender service members. As Lt. Commander Blake Dremmen told me, his transition helped him better serve because he was no longer hiding parts of his life. I stand with him & the entire LGBTQ community. https://www.youtube.com/watch?v=YyzSExtltts …",1111379939842912256,2019-03-28,21:30:00,repgilcisneros,3,7,29
So glad baseball is back. Go Dodgers! Championship season starts today! #OpeningDayLA #LABleedsBlue https://twitter.com/Dodgers/status/1111285137294020613 …,1111289859388424194,2019-03-28,15:32:03,repgilcisneros,2,1,8
I signed onto Energy Innovation & Carbon Dividend Act because it is simply the right thing to do. We must do everything in our power to combat climate change and reduce our carbon footprint. https://twitter.com/citizensclimate/status/1110913567035920384 …,1111045481696763905,2019-03-27,23:20:59,repgilcisneros,15,33,101
Our schools should be a safe place where our children can learn without the fear of being discriminated against. We cannot allow Betsy DeVos to undermine laws that protect students on the basis of sex or gender identity. No child should feel unwelcome. https://twitter.com/thehill/status/1110635053896421378 …,1110723109953437698,2019-03-27,02:00:00,repgilcisneros,5,7,32
"POTUS & his Admin has demonstrated time & time again that they are not looking out for the best interests of the American people. This should not be partisan or political, this fight is about protecting the care for those whose lives depend on it. https://www.politico.com/story/2019/03/25/trump-obamacare-justice-department-1236116 …",1110692912642301958,2019-03-27,00:00:00,repgilcisneros,4,3,8
I am deeply saddened by the news of Jeremy Richman's death. No father should have had to bear the burden he did after losing his daughter in Sandy Hook. My thoughts & prayers are with his loved ones during this difficult time. https://www.nytimes.com/2019/03/25/nyregion/sandy-hook-father.html …,1110662715666771969,2019-03-26,22:00:01,repgilcisneros,2,2,13
"The President's sabotage of the ACA undermines vital protections, leaving the millions of Americans with pre-existing conditions vulnerable to discriminatory health insurance & prescription drug costs. I will continue fighting to #ProtectOurCare for #CA39 and all Americans. pic.twitter.com/lHCxaYx3mU",1110625109235171329,2019-03-26,19:30:35,repgilcisneros,6,5,20
"The @USGLC delivered a letter to Congress today urging us to protect resources for the State Dept. & USAID to ensure our nation keeps pace with the growing threats we face. When America is a leader in promoting peace throughout the world, it makes us strong, prosperous, & safe. https://twitter.com/USGLC/status/1110544711859748864 …",1110585605526835200,2019-03-26,16:53:36,repgilcisneros,1,5,16
"The #SaveTheNet Act is clear and commonsense:
✔️Restore #NetNeutrality
✔️Empower the FCC to stop abusive corporate practices online
✔️Promote competition and innovation

I’m proud to cosponsor this bill to restore the free and open internet. pic.twitter.com/CtmwTuSNeJ",1110572120814186497,2019-03-26,16:00:01,repgilcisneros,3,11,21
"The #RightToOrganize has provided works with critical workplace safety, overtime protections, & pay equity. All workers benefit from strong workers’ rights. #1u pic.twitter.com/2DpYvTdvdK",1110557072209469445,2019-03-26,15:00:13,repgilcisneros,2,2,7
ICYMI: I am proud to have a team of hardworking government professionals on staff who also represent the diversity of #CA39 - Read about them here. https://cisneros.house.gov/media/press-releases/promoting-staff-diversity-rep-cisneros-office …,1110311476126978048,2019-03-25,22:44:19,repgilcisneros,1,2,16
Congratulations to the expansion of Sky Link Media . It was great to learn about how they'll better serve Chinese-American communities by providing viewers with more options to access international entertainment and content. pic.twitter.com/ngc7SXDnlz,1109877904052310016,2019-03-24,18:01:27,repgilcisneros,1,0,2
"We are about to go live, tune in to our Facebook page see our Affordable Care Act 9th Anniversary press conference in #CA39 at the St. Jude Neighborhood Health Center in Fullerton.  https://www.facebook.com/RepGilCisneros/ ",1109521947275091968,2019-03-23,18:27:00,repgilcisneros,3,2,8
"I hope the President keeps his word, because the American people have a right to know. #ReleaseTheReport",1109232077805969408,2019-03-22,23:15:10,repgilcisneros,5,10,29
The House of Representatives voted 420-0 to make the Mueller report public because we believe in transparency. The President has said he wants the report to be made public and he has the ability to make that happen.,1109232054401748993,2019-03-22,23:15:04,repgilcisneros,5,12,55
Allowing #Dreamers to work on the Hill can provide valuable insight & experience that needs to be included in the immigration debate. It's why I cosponsored the American Dream Act by @RepKirkpatrick - so that they can participate in the lawmaking process. https://www.rollcall.com/news/congress/obscure-legal-provision-prevents-dreamers-working-capitol-hill …,1109218910736445441,2019-03-22,22:22:51,repgilcisneros,3,5,14
Congrats to the @UCImbb team on continuing their March Madness dance...And thank you for making my bracket look good! #zotzotzot https://twitter.com/UCImbb/status/1109186344968814592 …,1109186828702224384,2019-03-22,20:15:22,repgilcisneros,1,2,16
Had a great tour of @mwdh2o on #WorldWaterDay and it was interesting to see how water travels from the source to your tap. We discussed important conservation programs and our water supply that flows through this treatment plant in #CA39 https://twitter.com/mwdh2o/status/1109161833733087232 …,1109181671994281984,2019-03-22,19:54:52,repgilcisneros,1,1,7
I wholeheartedly support the swift passage of #HR6 - the Dream and Promise Act. I stand alongside our #DACA #TPS & #DED recipients and will continue to fight hard in Congress to #ProtectTheDream.,1109096617532145664,2019-03-22,14:16:54,repgilcisneros,2,4,14
There are nearly 11K individuals eligible for protection under #HR6 in our district & they contribute more than $150M in taxes and hold more then $401M in spending power - here's the data.  https://dornsife.usc.edu/csii/map-dream-and-promise-act/ …,1109096616743460864,2019-03-22,14:16:54,repgilcisneros,1,6,9
Thank you to @SEIU @CHIRLA @AAAJ_LA #KRC #vietRISE & all the other advocacy groups who joined me for our #CA39 immigration roundtable. pic.twitter.com/uYPf8rSAZb,1109096607268696065,2019-03-22,14:16:51,repgilcisneros,3,4,11
"We must enact strong #NetNeutrality protections to put consumers back in control of their internet access, protect small businesses, and promote innovation. The #SaveTheNet Act does just that – no blocking, no throttling, and no paid prioritization. pic.twitter.com/zIoeYSpceN",1108790377320873984,2019-03-21,18:00:00,repgilcisneros,5,4,18
"Congratulations to Shirley Chen, the incoming President of the @areaa Tri-County. We look forward to working with you in #CA39 and applaud your organization's efforts to ensure sustainable home ownership opportunities in AAPI communities. pic.twitter.com/PZPxWG7aA2",1108784283093794816,2019-03-21,17:35:47,repgilcisneros,1,4,9
ICYMI: Read more on my support of #HR1 and how we can ensure the federal government works #ForThePeople https://medium.com/@RepGilCisneros/democrats-will-restore-the-promise-of-our-democracy-3a48f5847306 …,1108492324877815811,2019-03-20,22:15:39,repgilcisneros,2,7,13
