tweet,id,date,time,username,replies_count,retweets_count,likes_count
"We stopped by our community office hours event in Vevay this afternoon. It was a great opportunity to share with constituents some of the work we have been doing, including some infrastructure projects and support for rural broadband deployment. 🏗️🖥️🔌 #Vevay #IN06 pic.twitter.com/BAN8lP4n40",1156663909383843840,2019-07-31,20:32:20,repgregpence,1,4,14
"We had a strong lunch with Lawrenceburg Mayor Kelly Mollaun at Skyline Chili.There is a lot to be proud of in what Mayor Mollaun calls ""The Greatest Small City in America."" 🇺🇸 #Lawrenceburg #IN06 pic.twitter.com/NxEV6FoTIY",1156644944230191104,2019-07-31,19:16:58,repgregpence,0,1,10
"Our busy day continues with a stop at Hydrastar, a father/son owned business in Greendale that manufactures hydraulic braking systems for trailers (to improve safety standards). Another example of successful innovation and entrepreneurship in the 6th District. #Greendale #IN06 pic.twitter.com/brfy8ruj4W",1156607701998362625,2019-07-31,16:48:59,repgregpence,0,2,7
"Popped by our Community Offices Hours in Lawrenceburg. I had a great conversation with City Coordinator and the Redevelopment Director, Bryan Messmore, on infrastructure and economic development. 👷‍♀️🛣️🇺🇸 #Lawrenceburg #Indiana #Hoosiers #IN06 pic.twitter.com/STJsm8ue0s",1156586770261323776,2019-07-31,15:25:49,repgregpence,0,1,8
"Our busy day continues! We just toured East-Terra Plastics, a company on the leading edge of innovation when it comes to processing plastics. East-Terra is a shining example of the economic strength and vibrant workforce we have here in the 6th District. #IN06 ♻️🚛🇺🇸 pic.twitter.com/rN6WVXAB7u",1156306722845265921,2019-07-30,20:53:00,repgregpence,2,0,8
"It was great to spend some time at the Indiana Eastern Railroad HQ here in our District. Short line rail is important to our constituents, where it contributes to economic opportunity and business development. @TransportGOP 🚂🛤️🇺🇸 #Rail #Railroads #Hoosiers #Indiana #IN06 #IERR pic.twitter.com/4B7ZPpHufv",1156287282334326789,2019-07-30,19:35:45,repgregpence,0,2,7
We are looking for paid interns to join our team in DC this fall! This is an opportunity to experience the inner-workings of Capitol Hill and the legislative process. Indiana and 6th District residents preferred. Send resumes and cover letter to ➡️ IN06interns@mail.house.gov ⬅️ pic.twitter.com/93ZhvWHvMg,1156240258784256001,2019-07-30,16:28:54,repgregpence,2,3,9
"I'm proud to introduce legislation to designate October 23, 2019, as a national day of remembrance of the tragic 1983 terrorist bombing of the United States Marine Corps Barracks in Beirut, Lebanon. 🇺🇸 https://bit.ly/2Oq87Zh ",1155941945157357570,2019-07-29,20:43:30,repgregpence,0,3,11
"🚨REMINDER🚨 
COMMUNITY OFFICE HOURS DOUBLE-HEADER Wednesday, July 31
 
☕️Morning in Lawrenceburg
⏰10:00 am - Noon
📍Council Chambers, 230 Walnut St. #IN06
🌞Afternoon in Vevay
⏰1:30 pm - 3:00 pm
📍Switzerland County Technology and Education Center, 708 W Seminary St. #IN06 pic.twitter.com/Toaj0me86U",1155893520462471169,2019-07-29,17:31:05,repgregpence,1,1,7
"We enjoyed a great afternoon at the NTN driveshaft company picnic. Thank you for your commitment to your employees, and the entire community. ☀️😎🇺🇸 pic.twitter.com/tGWuyTyCcU",1155233260521381889,2019-07-27,21:47:27,repgregpence,2,5,26
The United States will continue to stand with Interim President @jguaido and the People of Venezuela in their quest for freedom and democracy. Maduro is on notice. 🇺🇸 pic.twitter.com/xmCEfq4c3H,1154936683219042310,2019-07-27,02:08:57,repgregpence,23,183,519
"🚨COMMUNITY OFFICE HOURS DOUBLE-HEADER🚨 
Wednesday, July 31st
 
☕️Morning in Lawrenceburg
⏰10:00 am - Noon
📍Council Chambers, 230 Walnut St. #IN06
🌞Afternoon in Vevay
⏰1:30 pm - 3:00 pm
📍Switzerland County Technology and Education Center, 708 W Seminary St. #IN06 pic.twitter.com/C0jn2cOQmP",1154767255139442688,2019-07-26,14:55:42,repgregpence,0,3,7
"In the spirit of #NationalInternDay, I want to recognize our two great interns. Thank you, Blake and Nathan, for your positive attitude, hard work, and commitment to serving the people of Indiana's 6th District. Sharp young minds with bright futures! 👍🇺🇸 pic.twitter.com/v30VWNL5VJ",1154543748874850304,2019-07-26,00:07:34,repgregpence,1,6,28
"Busy day on the Hill where we held a roundtable w/ railroad shippers. Farmers and businesses across Indiana depend on the nation’s freight rail to safely transport goods, and we want to ensure our rail network is efficient, while meeting the needs of shippers @TransportGOP 🚂🛤️🇺🇸 pic.twitter.com/EQpEahqVoL",1154473890510516225,2019-07-25,19:29:59,repgregpence,0,4,17
It was great to meet with my friends from the Indiana Soybean Alliance. @INSoybean #Hoosiers #Indiana #IN06 pic.twitter.com/Blt6HHmXuV,1154399176412864512,2019-07-25,14:33:06,repgregpence,2,4,13
"Real immigration reform cannot be achieved without a secure border, and @realdonaldtrump has been clear about this since day one. I’m proud to cosponsor #DollarsfortheWallAct  to allow public donations to #BuildtheWall. Let’s get it done! 🇺🇸",1154155440227397637,2019-07-24,22:24:34,repgregpence,3,6,29
"Instead of a partisan, political show, let's prioritize the issues that matter:

🛣️Upgrading our infrastructure
👩‍🔧Passing the #USMCA
💻Accelerating broadband deployment
🇺🇸Securing our border
⭐️Caring for veterans
... so much more

Let's get to work. (3/3) #Hoosiers #Indiana #IN06",1154059533767139328,2019-07-24,16:03:28,repgregpence,2,8,30
