tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Congratulations to Indiana’s own Sean Fannin on their winning #DoodleForGoogle submission! Sean's creativity and interpretation of this year's theme, ""when I grow up, I hope..."" stood out to @Google's guest judges, @JimmyFallon, @KermittheFrog and Mandy Manning. 🇺🇸 #Hoosier #IN06 pic.twitter.com/nDg6FwuxNy",1134518502319173632,2019-05-31,17:54:23,repgregpence,1,3,9
The @USDA is seeking applications for grants to make housing repairs for low- and very-low-income rural residents. The grants are being provided through USDA’s Housing Preservation Grant program. Click on link for more info >>  https://bit.ly/2rTu5UQ  << 🇺🇸 pic.twitter.com/oAb9adzs40,1134483693307871232,2019-05-31,15:36:04,repgregpence,0,3,8
"My number one priority is constituent services. Join us for Community Office Hours next Thursday in New Castle.

🗓️- Thursday, June 6th
⏰- 11:00 am - 1:00 pm
📍- 100 S. Main Street, New Castle, IN 

We look forward to seeing you there! pic.twitter.com/NDm1hdLQ0k",1134177989510475776,2019-05-30,19:21:19,repgregpence,2,5,7
"I am back in the District all week, but our Washington, D.C. staff was happy to meet with the Piatt family during their visit to Washington, D.C. #Hoosiers #Indiana #IN06 pic.twitter.com/OHuQ9ZtbS2",1134125563726237696,2019-05-30,15:53:00,repgregpence,2,5,7
"We visited Nucor Tubular Products in Madison where we met with folks to discuss a variety of issues, including workforce development, transportation and the USMCA. 🇺🇸 pic.twitter.com/RbFZOrEAMN",1133810523642978305,2019-05-29,19:01:08,repgregpence,1,4,6
"Our District work week continues here in Madison, where we caught up with constituents at Hinkle's Sandwich Shop and Family Restaurant. 🥪🍟🥤🇺🇸 pic.twitter.com/JrpIonQdeg",1133794436356481024,2019-05-29,17:57:13,repgregpence,3,2,10
"This morning we met with executives at the Madison Municipal Airport to discuss how they serve Southeast Indiana, and to hear their needs and concerns. 🛫🇺🇸 pic.twitter.com/WjnuWZrMnt",1133761401854545921,2019-05-29,15:45:57,repgregpence,0,5,12
"We toured Toyota's massive Columbus factory, where it employs hundreds of associates and contributes to the community through re-investment and economic development. Just another example of a major corporation recognizing the unmatched work ethic of Indiana's 6th District! 🇺🇸 pic.twitter.com/2j2upsLhi1",1133445231930744834,2019-05-28,18:49:36,repgregpence,0,5,26
Always good to have lunch with constituents. Great discussions and even better food! Thank you to Shorty's for hosting us. 🥪🥗🥤🇺🇸 pic.twitter.com/rNoh7Zo53V,1133408312354070529,2019-05-28,16:22:54,repgregpence,2,2,11
"We just visited with folks from Pruv Mobility, a private corporation developing smart infrastructure test beds for the future of mobility. Exciting to learn how Pruv is collaborating with Purdue and other Universities to advance discussions with mobility industry leaders! pic.twitter.com/9u9KTag9Uu",1133393885449850880,2019-05-28,15:25:34,repgregpence,0,2,10
"We honor America’s fallen heroes today. We remember those that gave the ultimate sacrifice, so that the rest of us may live free. #MemorialDay pic.twitter.com/HAOALiTvj1",1133055692103921671,2019-05-27,17:01:42,repgregpence,3,10,28
Great day at @IMS for the #Indy500 #ThisIsMay pic.twitter.com/ebjtXiquhO,1132733803326263296,2019-05-26,19:42:38,repgregpence,3,11,38
"100 years ago, the @Cummins Engine Company was incorporated, charting a course that would change the world and serve to make Indiana a manufacturing powerhouse. Today, with nearly 60,000 employees, Cummins remains a global power leader. 🇺🇸 pic.twitter.com/oB8iBYW0HA",1131964383863758848,2019-05-24,16:45:14,repgregpence,3,6,16
"Terrorists, and those who support them financially, must be held accountable for the 1983 Marine Barracks attack that took the lives of 241 American service members, including 220 Marines. 🇺🇸 @Eagle993 https://bit.ly/2WhdYmr ",1131637271030116352,2019-05-23,19:05:24,repgregpence,1,7,13
"It was great talking with Nate LaMar about how businesses in Indiana compete globally. In addition to his business experience, Lamar is a West Point graduate and member of our Academy Service Board. 🇺🇸 pic.twitter.com/MLlE3WTjZy",1131577848278540289,2019-05-23,15:09:17,repgregpence,1,3,19
TUNE IN @ 8:40 am this morning - I will be on the air with Bubba Bo on @Eagle993 WSCH-FM Radio! LISTEN LIVE >>  https://bit.ly/2QkD6TE  << 📻🇺🇸 pic.twitter.com/jh3Vhgirz4,1131534566915739649,2019-05-23,12:17:18,repgregpence,2,3,4
"The American people understand that the @realDonaldTrump Administration, along with Republicans in Congress, are looking out for the American working family. I will continue to work with my colleagues to deliver results for Hoosiers, and ALL Americans. 🇺🇸 https://cbsn.ws/2M03y6H ",1131310385649377280,2019-05-22,21:26:29,repgregpence,5,11,39
"Thank you to the Indiana State Society for a great event celebrating the #Indy500 out here in Washington, D.C. Thank you to my brother, Vice President Mike Pence, for stopping by and meeting our team. 🏎️🏁🇺🇸 @VP #Hoosiers pic.twitter.com/BqUvEP4Tuu",1131228699326636032,2019-05-22,16:01:53,repgregpence,3,9,18
"100 years ago, the House passed the #19thAmendment, guaranteeing women the right to vote. 100 years later, we commemorate this important moment in American history by wearing yellow roses, just as the courageous supporters of women's suffrage did in 1919. ☑️💯💛 #WomensVote100 pic.twitter.com/cxshhlGz6u",1130944871555112960,2019-05-21,21:14:03,repgregpence,2,6,32
"I was proud to join my Indiana House colleagues to honor Sen. Richard Lugar, who will be remembered as one of America's greatest senators.

Nice words from @RepLarryBucshon. Godspeed, Senator. 🇺🇸
@SusanWBrooks @RepWalorski @RepTrey @RepJimBaird @RepJimBanks pic.twitter.com/7Dh0eme09G",1130909481834078208,2019-05-21,18:53:26,repgregpence,10,9,43
I was proud to lead the Pledge of Allegiance on the Floor of the U.S. House of Representatives. Serving the people of the 6th District of Indiana in Congress is the honor of a lifetime. WATCH HERE >>  https://cs.pn/2YEIrZ4  << 🇺🇸 pic.twitter.com/wBYShBOWuc,1130854446030675971,2019-05-21,15:14:44,repgregpence,2,4,14
"It's time for Congress to do its job and pass the #USMCA. This agreement means more jobs, higher wages and increased innovation. Why is @SpeakerPelosi holding this up? Let's do whats right for Hoosiers, and ALL Americans. 🇺🇸 pic.twitter.com/reikyNSkn6",1130587314332360704,2019-05-20,21:33:15,repgregpence,117,909,3010
TUNE IN LIVE -- Today during the 2:00 pm hour on @CSPAN -- I’m honoring 100 years of @Cummins and its continued commitment to Indiana and the 6th District. WATCH HERE >>  https://cs.pn/2lhfq6F  << 🇺🇸 pic.twitter.com/2dn8wsOfah,1130516829951201286,2019-05-20,16:53:10,repgregpence,0,7,15
"Last week, St. Bartholomew School in Columbus (my 8th grade alma-mater), visited Washington, D.C. where we spent some time with them at the Capitol Building. Bright, curious young minds eager to learn! Thank you for visiting. It brought back some great memories 😀 #Indiana #IN06 pic.twitter.com/k1YJKLj1et",1130505311289270272,2019-05-20,16:07:24,repgregpence,2,6,24
"STATEMENT: We are monitoring last night's shooting near Muncie. Thank you law enforcement and first responders for such a swift response. Police have reported 7 injuries, with a suspect in custody. BSU says campus is safe. We will continue to monitor for updates.",1129827688972193799,2019-05-18,19:14:46,repgregpence,1,6,12
"A STRONG day at the track, where 36 drivers are competing for 33 spots ahead the #Indianapolis500. Always great to see Columbus-based @Cummins as a proud sponsor of the world's biggest motorsports event. This year marks the 103rd #Indy500! @IMS #Qualifying #ThisIsMay 🏎️⏲️🇺🇸 pic.twitter.com/NeJaLhBFDy",1129807147510972416,2019-05-18,17:53:09,repgregpence,1,4,17
"I'm proud to introduce the ""Our Obligation to Recognize American Heroes Act,"" or #OORAH Act. Our bill aims to bring a small amount of justice to the victims of the 1983 Beirut terrorist attacks, which killed 241 Americans, including 220 Marines @DCexaminer https://washex.am/2Qc0eUE ",1129513131733114880,2019-05-17,22:24:50,repgregpence,3,18,44
"It was great to meet with students, teachers and parents of Shenandoah Middle School (Henry County). Bright young students with great questions. Enjoy the rest of your stay in our nation's capitol! 🇺🇸 pic.twitter.com/JuqMgNIw0V",1129442391222607872,2019-05-17,17:43:44,repgregpence,1,1,15
"This is great news for Columbus! Cummins, operating in Indiana for 100 years, has provided good jobs and opportunity for its employees and the Columbus community. We look forward to the next 100 years! https://bit.ly/30jjaFo ",1129381933769744384,2019-05-17,13:43:30,repgregpence,1,9,37
"Terrorists, and those who support them financially, must be held accountable for the 1983 Marine Barracks attack that killed 241 American service members, including 220 Marines. My bill helps families obtain just a small amount of justice. 🇺🇸 @DailyCaller https://bit.ly/2VJe4n8 ",1129143018643230721,2019-05-16,21:54:08,repgregpence,3,6,27
"It was a privilege to fill-in for my friend @RepSamGraves today, and Chair the @TransportationGOP full committee hearing, to discuss the impact foreign investment has on American workers, taxpayers, and transit riders! 🇺🇸🏗️🚌🚃🚋 pic.twitter.com/FK3bZRL1WE",1129098768337514496,2019-05-16,18:58:18,repgregpence,1,4,16
"My wife's cousin, and his colleagues, stopped by our office this week as part of #NationalPoliceWeek2019. Always good to meet with law enforcement. Thank you for serving and protecting! #PoliceWeek #PoliceWeek2019 pic.twitter.com/Fy0yBJ0MOL",1129047019794894848,2019-05-16,15:32:40,repgregpence,1,5,20
"While we were in Indiana to pay our respects to Sen. Lugar, members of my hometown police department stopped by our DC office during #NationalPoliceWeek2019. Thank you to @Columbus_Police, and all law enforcement, for keeping our families and communities safe. #NationalPoliceWeek pic.twitter.com/AY2s76brHD",1128815374848405504,2019-05-16,00:12:12,repgregpence,1,4,19
"Sen. Richard Lugar will be remembered as one of America's greatest Senators, leaving his mark on domestic and global affairs throughout his six terms. My full statement below. #Lugar pic.twitter.com/yZp5VotspF",1128760176633364480,2019-05-15,20:32:52,repgregpence,0,3,13
Early morning breakfast with the Build Indiana Council—a coalition representing more than 500 companies statewide employing thousands of Hoosiers and supporting thousands of families. Thanks for helping BUILD Indiana! 👷‍♀️👷‍♂️🏗️🇺🇸 pic.twitter.com/wmf5p1CWOz,1128682417970188288,2019-05-15,15:23:53,repgregpence,0,2,6
"It was great to spend some time with fellow Hoosiers of the @LugarSeries, a development program for Republican Hoosier women who are leaders in their  fields and communities! Thanks for having us as we continue to pay respect to the organization's namesake, Sen. Richard Lugar. pic.twitter.com/jZQxX3YKXJ",1128384296857817088,2019-05-14,19:39:15,repgregpence,0,4,13
"Seven Hoosier Law Enforcement officers are being honored as a part of National Police Week in Washington, D.C. These seven heroes sacrificed their lives protecting our communities and our families. 🇺🇸 https://bit.ly/2Jku9t6 ",1128316093091729408,2019-05-14,15:08:14,repgregpence,0,4,10
"Thank you @TonyKatz for having us on @93WIBC Radio! 6th District Hoosiers sent me to Washington to get things done, and that's exactly what we are doing!
🇺🇸📻  https://bit.ly/2VxH6Gw ",1128014626791272448,2019-05-13,19:10:19,repgregpence,0,3,9
"This is National #PoliceWeek! We honor the men and women of law enforcement! Thank you for your commitment to keeping our communities, and families, safe. #PoliceWeek2019 pic.twitter.com/Tv8YJtlKBa",1127965301528829953,2019-05-13,15:54:19,repgregpence,3,10,24
