tweet,id,date,time,username,replies_count,retweets_count,likes_count,tdatetime
I was honored to celebrate Chanukah last night with the Chabad of Venice and North Port. It was wonderful to spend time with our Jewish Community in recognition of this special time! pic.twitter.com/osnKOodgsP,1211773257113845760,2019-12-30,22:17:12,repgregsteube,2,9,44,2019-12-30 22:17:12
Wishing you and yours a very Merry Christmas! pic.twitter.com/2D9yBhQpw3,1209858840092495872,2019-12-25,15:30:00,repgregsteube,39,162,992,2019-12-25 15:30:00
"There have been a lot of Social Security scams recently and I want to do my part to keep people informed. If you feel that you have been scammed, you can find more information and report the fraud here:  https://oig.ssa.gov/ ",1209126514584903680,2019-12-23,15:00:00,repgregsteube,4,17,35,2019-12-23 15:00:00
Hanukkah is a symbol of the dedication of the Jewish people to preserve their faith against great adversity. May this Hanukkah bring health and happiness to all those who celebrate. Happy Hanukkah. pic.twitter.com/P90zlfO5m2,1208771676512477184,2019-12-22,15:30:00,repgregsteube,5,12,48,2019-12-22 15:30:00
(3/3) The funds will come from assets that Iran laundered through American financial institutions. I’m proud to see this bill become law and these families receive restitution for these crimes.,1208405380960804865,2019-12-21,15:14:28,repgregsteube,1,6,20,2019-12-21 15:14:28
"(2/3) I was proud to cosponsor this bill that helps victims of the 1983 Marine Barracks attack in Beirut, Lebanon that was perpetrated by the Iranian regime receive financial compensation for their hardship.",1208405379635449862,2019-12-21,15:14:28,repgregsteube,2,9,26,2019-12-21 15:14:28
(1/3) I’m excited to see that the OORAH Act was included in the FY2020 NDAA that was signed by @RealDonaldTrump. https://www.whitehouse.gov/briefings-statements/remarks-president-trump-signing-ceremony-s-1790-national-defense-authorization-act-fiscal-year-2020/ …,1208405378398138368,2019-12-21,15:14:27,repgregsteube,2,15,29,2019-12-21 15:14:27
"It’s been 3 days since the House voted on Articles of Impeachment and @SpeakerPelosi still hasn’t sent the them to the Senate. She rushed through a sham impeachment inquiry with no facts or evidence because it supposedly couldn’t wait, yet here we are, waiting on her. Ridiculous.",1208399702955380736,2019-12-21,14:51:54,repgregsteube,75,229,869,2019-12-21 14:51:54
"In 2005, Congress passed the REAL-ID Act, which goes into effect on October 1, 2020. After that, anyone who wishes to fly in the United States will need a REAL-ID compliant ID. https://www.tsa.gov/real-id ",1208084652763697152,2019-12-20,18:00:01,repgregsteube,3,10,26,2019-12-20 18:00:01
"Gotta love government regulation! Don't worry @timburchett, I'll bring you some back from the Sunshine State! Merry Christmas to @TSA Agents @Reagan_Airport, enjoy your STEU-BEES honey! https://twitter.com/timburchett/status/1207806615950376965 …",1208058259158052864,2019-12-20,16:15:08,repgregsteube,3,6,24,2019-12-20 16:15:08
My statement the House of Representatives' vote on the United States Mexico Canada Agreement: https://steube.house.gov/media/press-releases/steube-statement-house-passage-usmca …,1207772927992762379,2019-12-19,21:21:20,repgregsteube,2,7,22,2019-12-19 21:21:20
"#USMCA is a vast improvement over NAFTA and improves the purchasing power of American families by reducing the price of goods and increasing the amount of exports, which will create more jobs.",1207729813345075201,2019-12-19,18:30:00,repgregsteube,6,12,43,2019-12-19 18:30:00
"Because of the leadership of @realDonaldTrump, #USMCA will grow our already-thriving economy even more! 

#USMCA is a significant step forward for our economy and is an important win for Florida.",1207728566558957574,2019-12-19,18:25:03,repgregsteube,7,11,66,2019-12-19 18:25:03
TUNE in NOW to @TuckerCarlson on @FoxNews as I talk about the House vote on #Impeachment! pic.twitter.com/5TVRZJ6cju,1207476584908804097,2019-12-19,01:43:46,repgregsteube,19,4,30,2019-12-19 01:43:46
My statement on the House of Representatives' vote on Articles of Impeachment for @realdonaldtrump: pic.twitter.com/Zb5TEPVBmm,1207474545772441601,2019-12-19,01:35:40,repgregsteube,41,125,290,2019-12-19 01:35:40
WATCH my speech on the House Floor against the Articles of Impeachment! pic.twitter.com/mqMdBMFxI8,1207444012854063104,2019-12-18,23:34:20,repgregsteube,32,116,257,2019-12-18 23:34:20
TUNE in NOW to @FoxBusiness as I join @EveningEdit to discuss the House vote on Articles of Impeachment! pic.twitter.com/sYyWW4Ncjh,1207438127700291585,2019-12-18,23:10:57,repgregsteube,8,3,28,2019-12-18 23:10:57
This #impeachment is nothing more than political posturing designed to undo the results of the 2016 election. The voters selected @RealDonaldTrump and will again in 2020!,1207435373304897536,2019-12-18,23:00:00,repgregsteube,37,31,90,2019-12-18 23:00:00
"Since day one of my swearing-in, Democrats have been trying to impeach @RealDonaldTrump. This #Impeachment is purely political and inappropriate. Democrats need to accept the results of the 2016 election and move on.",1207431848130793473,2019-12-18,22:46:00,repgregsteube,50,87,192,2019-12-18 22:46:00
"(2/2) Democrats ran a partisan investigation, refusing the rights of the minority, refusing the ability for the president’s counsel to call witnesses, refusing to allow the president’s counsel to cross examine fact witnesses, & refusing a minority hearing day just to name a few.",1207416287900717056,2019-12-18,21:44:10,repgregsteube,65,31,86,2019-12-18 21:44:10
"(1/2) The process that has ensued in the House over the last few weeks was anything but open, transparent, bipartisan, or equitable.  Abandoning all past historical due process afforded the minority AND the president.",1207416287099527169,2019-12-18,21:44:10,repgregsteube,73,83,207,2019-12-18 21:44:10
"(2/2) This is an attempt to impeach a duly elected president for asserting constitutionally based privileges that have been asserted on a bipartisan basis by administrations of both political parties, throughout our nation’s history.",1207416115346857984,2019-12-18,21:43:29,repgregsteube,40,17,59,2019-12-18 21:43:29
"(1/2) The second Article, Obstruction of Congress, again doesn’t exist in the Constitution as a basis for impeachment.",1207416114394910725,2019-12-18,21:43:29,repgregsteube,30,28,79,2019-12-18 21:43:29
"Unlike Presidents Nixon and Clinton who were tried for actual crimes, @realdonaldtrump is being impeached on vague phrases that appear nowhere in our Constitution.",1207416048863059969,2019-12-18,21:43:13,repgregsteube,88,394,988,2019-12-18 21:43:13
The first Article of Impeachment you crafted is fiction and is NOT an enumerated basis in the Constitution for #impeachment.,1207416016067842048,2019-12-18,21:43:05,repgregsteube,22,23,61,2019-12-18 21:43:05
"First, the Democrats went after the Russia collusion hoax, then obstruction of justice, then bribery, then quid pro quo. None of which are included in these Articles before us today.",1207415975613784065,2019-12-18,21:42:55,repgregsteube,13,21,53,2019-12-18 21:42:55
"(3/3) The first day of this Congress, on Day 1, a Democratic member of my class called for the impeachment of the president, long before a call to the Ukraine!",1207415939777646594,2019-12-18,21:42:47,repgregsteube,5,11,36,2019-12-18 21:42:47
"(2/3) 19 minutes after the inauguration, the Washington Post published a story headlined, “The Campaign to Impeach President Trump has begun.”",1207415939089731586,2019-12-18,21:42:47,repgregsteube,5,22,53,2019-12-18 21:42:47
(1/3) The campaign to impeach a duly elected president and overturn the will of 63 million American voters started 19 minutes after the @realdonaldtrump took the oath of office.,1207415938175381508,2019-12-18,21:42:47,repgregsteube,14,28,65,2019-12-18 21:42:47
This #impeachment charade did not start with a whistleblower complaint.,1207415842956304384,2019-12-18,21:42:24,repgregsteube,21,18,53,2019-12-18 21:42:24
"I was sent to Congress to address real issues facing my constituents, not to waste my time playing political games.  

We should have spent the year focusing on addressing real issues, not this impeachment charade.",1207408947591864321,2019-12-18,21:15:00,repgregsteube,11,20,82,2019-12-18 21:15:00
"Impeachment is supposed to be used cautiously to address serious crimes. Democrats rushed through #impeachment without even hearing evidence from the Minority, and they came to their conclusion based on second-hand hearsay evidence.

Disgraceful.",1207401397425184769,2019-12-18,20:45:00,repgregsteube,47,31,127,2019-12-18 20:45:00
There is bipartisan opposition to #impeachment. All Republicans in Congress and even some Democrats oppose it. This impeachment is a disgrace.,1207386297846775808,2019-12-18,19:45:00,repgregsteube,27,32,111,2019-12-18 19:45:00
The bottom line is this: The Democrats’ push for #impeachment is an attempt to undo the results of the 2016 election. Democrats need to accept the outcome and move on.,1207371198583062528,2019-12-18,18:45:00,repgregsteube,53,80,277,2019-12-18 18:45:00
(2/2) Every day we have wasted on #impeachment is a day we could have spent improving the country.,1207364129557798913,2019-12-18,18:16:54,repgregsteube,42,51,133,2019-12-18 18:16:54
"(1/2) Every day, constituents ask me when we are going to get a particular bill passed, and far too often I have to tell them that I simply don’t know because we have wasted so much time on an unnecessary #impeachment process.",1207364128848982017,2019-12-18,18:16:54,repgregsteube,43,47,172,2019-12-18 18:16:54
"Let me be clear: #impeachment is nothing more than a political vendetta. We could have spent the last several months working to fix problems facing everyday Americans, but instead, we wasted time on this charade.",1207351042125565952,2019-12-18,17:24:54,repgregsteube,106,195,643,2019-12-18 17:24:54
MUST READ: @realdonaldtrump has been denied any semblance of due process since the beginning of this sham impeachment inquiry. It is absurd that a sitting U.S. President has been treated in this way. https://twitter.com/WhiteHouse/status/1207072880825110530 …,1207084544937082881,2019-12-17,23:45:56,repgregsteube,60,157,344,2019-12-17 23:45:56
"Funding the government is important, but we have to stop this cycle of waiting until the last minute to pass funding bills that are bad for the American people.",1207067698548502535,2019-12-17,22:39:00,repgregsteube,5,13,47,2019-12-17 22:39:00
"Instead of having a normal budget process, we wasted a year on impeaching a duly elected president and now, we’re voting on a budget that does nothing to address our country’s debt.",1207052347538628611,2019-12-17,21:38:00,repgregsteube,19,22,78,2019-12-17 21:38:00
The budget bill proposed by House Democrats is loaded down with liberal agenda items and bad policies that will do nothing to address our country’s growing debt.,1207037248144719872,2019-12-17,20:38:00,repgregsteube,11,15,47,2019-12-17 20:38:00
My statement on the House of Representatives' vote on the FY2020 Consolidated Appropriations: pic.twitter.com/HHqZAopPCH,1207032278842593281,2019-12-17,20:18:15,repgregsteube,12,40,55,2019-12-17 20:18:15
It’s ridiculous that the House has wasted so much time on impeachment and now we’re having to rush to pass a bill and fund the government.,1207017213909180416,2019-12-17,19:18:23,repgregsteube,17,29,122,2019-12-17 19:18:23
"Happy Bill of Rights Day! Today, and every day, we are thankful for the first 10 Amendments to the United States Constitution and the rights they guarantee to all Americans. RETWEET with your favorite Amendment in the Bill of Rights. pic.twitter.com/4rFPxaDclT",1206234961394552833,2019-12-15,15:30:00,repgregsteube,20,26,75,2019-12-15 15:30:00
"The @TSA wants you to know about the ID changes coming on October 1, 2020. After the switch, everyone will need a REAL-ID-compliant ID to fly. https://www.tsa.gov/real-id ",1205865026457870342,2019-12-14,15:00:00,repgregsteube,4,6,12,2019-12-14 15:00:00
"(2/2) Regrettably, I was unable to attend due to the delayed vote on partisan Articles of Impeachment in the House Judiciary Committee. Learn more about this event and my commitment to these projects, on my website.  https://bit.ly/2Phlx8i  pic.twitter.com/Zmdh3ePM3A",1205602290893242369,2019-12-13,21:35:59,repgregsteube,5,4,13,2019-12-13 21:35:59
"(1/2) Today, my office hosted Army Corps of Engineers Jacksonville District Commander Colonel Andrew Kelly for an event to discuss beach erosion and shoreline protection on Manasota Key. Learn more here:  https://bit.ly/2Phlx8i  pic.twitter.com/M0tmGKuGKW",1205602243355054080,2019-12-13,21:35:48,repgregsteube,7,7,33,2019-12-13 21:35:48
"There have been a lot of reports of scammers who call claiming that they are from the Social Security Administration. Don’t fall for their tricks, please reported suspected fraud here:  https://oig.ssa.gov/ ",1205547938685939712,2019-12-13,18:00:01,repgregsteube,7,12,47,2019-12-13 18:00:01
"For a 5 minute vote in the Judiciary Committee, members were forced to stay in Washington. In my case, I was unable to attend an event addressing beach erosion and shoreline protection on Manasota Key with the Army Corps of Engineers and local constituents. This is unacceptable.",1205507496460390401,2019-12-13,15:19:19,repgregsteube,75,91,312,2019-12-13 15:19:19
My statement on the Judiciary Committee vote on Articles of Impeachment: https://steube.house.gov/media/press-releases/steube-statement-house-judiciary-committee-vote-articles-impeachment-president …,1205505549669941249,2019-12-13,15:11:34,repgregsteube,14,25,82,2019-12-13 15:11:34
My statement on Chairman Nadler’s decision to delay the final Judiciary Committee vote on Articles of Impeachment: pic.twitter.com/YyAvlhxMAm,1205503619166023688,2019-12-13,15:03:54,repgregsteube,13,18,68,2019-12-13 15:03:54
"Today, we celebrate the 383rd Birthday of the National Guard. On this day in 1636, the first militia regiments were organized in North America. Thank you to all those who have served or are serving in the National Guard! pic.twitter.com/nz2bAdqRBs",1205502638340689920,2019-12-13,15:00:00,repgregsteube,3,13,33,2019-12-13 15:00:00
"(2/2) We’ve heard a lot of outlandish things from the Democrats today, but as a veteran, I found it particularly appalling that Democrats have stooped to the level of accusing President Trump of causing casualties due to the delay of the aid. That is absurd and simply not true.",1205334928663207936,2019-12-13,03:53:35,repgregsteube,34,24,73,2019-12-13 03:53:35
"(1/2) Tonight, I joined @kilmeade on Tucker Carlson Tonight to give insight into the ongoing impeachment hearing in the House Judiciary Committee. pic.twitter.com/Lnk7o3PzQ1",1205334820735328257,2019-12-13,03:53:09,repgregsteube,30,58,158,2019-12-13 03:53:09
Congrats to Venice Elementary teacher Heather Young for being named @sarasotaschools Teacher of the Year! I’m proud to represent some of the finest teachers in Florida who work tirelessly to ensure that our students have access to the best education. https://bit.ly/2YG7YCo ,1205182858303815681,2019-12-12,17:49:19,repgregsteube,13,2,36,2019-12-12 17:49:19
"No collusion.
No obstruction.
No quid pro quo.
No treason.
No bribery.
No high crimes and misdemeanors.
 
No case for the Democrats. pic.twitter.com/CFGuHmUdkZ",1204969282364477440,2019-12-12,03:40:38,repgregsteube,351,1163,2671,2019-12-12 03:40:38
House Democrats are making themselves kings in a manner far worse and more obvious than what they are accusing the President of doing.,1204959772153434113,2019-12-12,03:02:51,repgregsteube,254,311,1903,2019-12-12 03:02:51
"(3/3) However, Democrats have now created a standard that if you do not give them what they want when they want it, they will impeach you for Obstruction of Congress.",1204959573771247617,2019-12-12,03:02:04,repgregsteube,29,38,85,2019-12-12 03:02:04
