tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Four days. Hundreds of miles. Eight town halls. 1,700 Oregonians. Check out my latest newsletter to learn more about my recent town hall meetings in Grants Pass, Medford, Klamath Falls, Bend, Madras, Prineville, Burns, and Ontario. https://iqconnect.lmhostediq.com/iqextranet/view_newsletter.aspx?id=145206&c=OR02GW …",1090639942353674240,2019-01-30,15:56:40,repgregwalden,14,4,33
"Now it’s time for Congress to come together with the president on long term, bipartisan solutions to secure our borders and thwart illegal immigration.",1088899204318224384,2019-01-25,20:39:35,repgregwalden,24,2,22
"I’m pleased that important work like forest management projects in our district will resume if this deal moves forward. I will continue to support efforts to reopen the government, put our federal employees back to work, and resume the vital services of government agencies.",1088899202711764992,2019-01-25,20:39:35,repgregwalden,2,1,16
This tentative agreement reached by Congressional leaders and President Trump is welcome news for federal employees and their families in Oregon who have been hurt by this partial shutdown.,1088899199847055362,2019-01-25,20:39:34,repgregwalden,5,2,25
Thanks to the residents of Malheur County for a productive and thoughtful conversation on the issues impacting our community at my town hall meeting in Ontario today. pic.twitter.com/0YbFb000lY,1087484766536949760,2019-01-21,22:59:07,repgregwalden,7,2,17
Thanks to the Cub Scouts of Pack 467 in Ontario for welcoming me to Malheur County for my 156th town hall meeting! pic.twitter.com/keK0yGIPjd – at Treasure Valley Community College,1087466756170346496,2019-01-21,21:47:33,repgregwalden,4,2,15
Good morning from Harney County where I am holding the first of two town hall meetings in eastern Oregon today. Thank you to everyone for joining our meeting in Burns on this #MartinLutherKingJrDay. pic.twitter.com/7EfBYq2vnL,1087397155315187728,2019-01-21,17:10:59,repgregwalden,8,2,19
On the road again...just east of Brothers on the way to Burns for town hall number 155 since 2012. pic.twitter.com/90IttrULDs,1087153991333494785,2019-01-21,01:04:44,repgregwalden,14,3,34
Heading to eastern Oregon now for town halls in Burns and Ontario tomorrow.,1087139009590001664,2019-01-21,00:05:12,repgregwalden,5,0,13
"Protecting our Second Amendment rights, reopening the federal government, securing our borders, and bringing bipartisanship back to Washington, D.C. were all part of a good discussion in Prineville for my second town hall of the day. pic.twitter.com/oTVvP5lD4N",1087139003382386689,2019-01-21,00:05:11,repgregwalden,22,4,27
Starting the day with a town hall meeting in Madras. Looking forward to a great discussion before heading to Prineville for another town hall this afternoon. pic.twitter.com/yJWiDuiYSc,1087066141820776448,2019-01-20,19:15:39,repgregwalden,17,5,25
Thanks to everyone who joined me in Bend for my 152nd town hall meeting. Heading to Madras and Prineville tomorrow for two more town hall meetings in central Oregon. pic.twitter.com/dzrjaH0lcx,1086777622305026048,2019-01-20,00:09:11,repgregwalden,9,3,29
"Underway here in Medford for my second town hall this morning. Providing a quick update on my recent work in Congress to combat the opioid crisis, improve forest management, and get Oregon veterans the care and support they deserve at the VA. pic.twitter.com/bsMGZY2m27",1086343242164056064,2019-01-18,19:23:06,repgregwalden,24,1,30
"At my town hall in Medford today, I was proud to present Nancy with a copy of the legislation we worked together to pass into law to fully fund community health centers like La Clinica for two years. Thank you for all you do for our community, Nancy.",1086341039252660224,2019-01-18,19:14:21,repgregwalden,1,0,5
Nancy Cavanaugh and her entire team at La Clinica in Medford do great work providing essential health care services to people in southern Oregon. pic.twitter.com/d8tcGahjp4,1086341034286579712,2019-01-18,19:14:20,repgregwalden,2,0,10
Thank you to everyone who joined my town hall in Grants Pass this morning for a productive and thoughtful discussion. On to Medford now for my second of three town halls today. pic.twitter.com/1chWVpkknp – at Grants Pass HS Performing Arts Center,1086316205248376832,2019-01-18,17:35:40,repgregwalden,12,3,20
