tweet,id,date,time,username,replies_count,retweets_count,likes_count
"ICYMI: This week I introduced a bipartisan bill that would keep Wisconsin’s lakes healthy, including the Great Lakes, by restricting the access of invasive species of fish.

Read more here -> https://bit.ly/2PXnkBg ",1068553745611468801,2018-11-30,17:14:00,repgrothman,4,1,1
I met with @SecAzar and @AllianceCBRN to discuss American preparedness to thwart pandemics and biological threats. pic.twitter.com/ph4UAW8d2j,1068213118780801024,2018-11-29,18:40:28,repgrothman,7,1,1
I had a great meeting with @NAIFA about ways the industry can help protect seniors rights and keep more money in their pockets. pic.twitter.com/bxvLb3Gvuh,1068181578235478017,2018-11-29,16:35:08,repgrothman,2,3,10
"I spoke on the House floor to recognize #NationalBibleWeek. Let us not forget the word of God and that his only son died for our salvation.
 
May God bless you and your family.
 
 https://cs.pn/2DTd8T0 ",1068143982486716416,2018-11-29,14:05:45,repgrothman,15,1,3
"Yesterday, I introduced H.R. 7170, a bipartisan bill that would keep Wisconsin’s lakes healthy, including the Great Lakes, by restricting the access of invasive species of fish. https://bit.ly/2PXnkBg ",1067912120724058112,2018-11-28,22:44:25,repgrothman,8,2,2
I was happy to see the Coast Guard Authorization Act pass the House last night. This bill will strengthen and support the U.S. Coast Guard in its critical mission to protect our waterways.,1067810982385393664,2018-11-28,16:02:31,repgrothman,0,1,0
"Congrats to Bookworm Gardens of #Sheboygan for being one of just 14 botanic gardens nationwide that will be featured in a special exhibit at the U.S. Botanic Garden in Washington, DC  in 2019!",1067493045766156288,2018-11-27,18:59:09,repgrothman,2,0,2
"Happy Thanksgiving to you and your family! This Thanksgiving, I want to extend my sincere thanks and appreciation for all that you do in our communities and throughout Wisconsin. May God bless you and your family on this wonderful & delicious holiday! pic.twitter.com/qgXehGv8DM",1065637780670332928,2018-11-22,16:07:00,repgrothman,3,1,4
"Yesterday, I stopped by the @FDLYMCA to discuss their Youth in Government program with their representatives. This program does a great job encouraging students in the community to engage in political discourse and find their voice. To learn more, visit  https://bit.ly/2Q7aRuf . pic.twitter.com/CZfemG7eBm",1065299847815852032,2018-11-21,17:44:10,repgrothman,3,3,2
INTERPOL must resist China’s bullying tactics to exclude Taiwan from the upcoming general assembly. Taiwan represents an important international partner and their inclusion will help contribute to the organization’s goal of global security.,1062826088366309377,2018-11-14,21:54:20,repgrothman,8,11,25
Great spending time with the people of #WI06 at the Shepherd of the Hills Chili Cook-Off and First English Lutheran Cookie Walk before heading back to Washington D.C. this week! pic.twitter.com/9u3tfbvzCW,1062401862052274176,2018-11-13,17:48:37,repgrothman,5,0,3
"Today, we celebrate the 100 year anniversary since the end of WWI. To those who fought in the Great War, you will always be remembered and cherished. pic.twitter.com/kpA5YqQQLV",1061706525016760321,2018-11-11,19:45:35,repgrothman,5,2,5
Please join me in honoring and remembering all the courageous men and women in our armed forces. Veterans Day is a constant reminder of the respect and gratitude we owe to them for protecting our great country. pic.twitter.com/fw9dd8OIdk,1061657997540315136,2018-11-11,16:32:45,repgrothman,4,2,3
"Republican leadership has helped bring manufacturing jobs back to Wisconsin. Over the past two years, manufacturing employment has increased over 5.5% in Wisconsin and year-over-year job growth in the industry is at its fastest pace since 1995. https://washex.am/2SxZIkC ",1059513748266868737,2018-11-05,18:32:17,repgrothman,12,1,2
"The October jobs report shattered expectations with 250,000 new jobs added to the economy last month. With the unemployment rate remaining at a 49 year low, this is the best labor environment our country has seen in several years. https://on.mktw.net/2QfbgYf ",1058408963656613890,2018-11-02,17:22:15,repgrothman,14,7,11
"Great visit yesterday to @theaxletech in Oshkosh. They manufacture components for heavy duty commercial and military vehicles. I had a great discussion with their representatives focusing on the skills gap, career technical education, and trade. pic.twitter.com/TXOapVWBOk",1058370524638834688,2018-11-02,14:49:31,repgrothman,4,2,5
I am honored to receive the Award for Manufacturing Legislative Excellence from @ShopFloorNAM! Manufacturing is so important to the well-being of the economy and #WI06. I will always stand by the men and women who work in the manufacturing industry.  https://bit.ly/2Ok1tyi ,1058057197287026692,2018-11-01,18:04:28,repgrothman,8,5,11
