tweet,id,date,time,username,replies_count,retweets_count,likes_count
"With hurricane season starting tomorrow, make sure you and your family are prepared. Benefit from Florida's hurricane sales-tax free holiday this week! #HurricaneSeason2019 #hurricaneprep https://www.tampabay.com/florida-politics/buzz/2019/05/10/floridas-hurricane-sales-tax-free-holiday-starts-may-31-heres-what-items-qualify/ …",1134481515092631552,2019-05-31,15:27:25,repgusbilirakis,1,6,9
"I enjoyed my Coffee with your Congressman event at the American House in Zephyrhills last week.  I provided a legislative update to the seniors who invited me, and listened to their ideas about how we can solve the problems facing our nation and community. pic.twitter.com/XN8Yzk4gjR",1134137615333122048,2019-05-30,16:40:53,repgusbilirakis,2,3,6
"This highlights our work to address the mental health needs of Vets and all Americans.  As noted, there is more to be done on this important issue. I will continue working to ensure those who are struggling get the help they need.  https://thehill.com/opinion/healthcare/445527-congress-makes-headway-to-improve-mental-health-care-for-veterans-but-is?fbclid=IwAR2W-MCeHTFh5-AW1MhZFX_cS89R1b-hFpHC27K9T_1iRXdCmNJhaZ5PAfA … #MentalHealthAwareness",1134122040598978561,2019-05-30,15:39:00,repgusbilirakis,1,13,9
My team visited Moffitt to gain insight about the challenges researchers face when trying to develop better treatments for cancer.  Great ideas about how to strengthen partnerships were shared. I'll continue to advocate for these ideas as we work together to find a cure. pic.twitter.com/JoFkjAuL6O,1134118086372712448,2019-05-30,15:23:17,repgusbilirakis,0,2,7
My team was honored to celebrate the 2019 Graduating Class of Pepin Academy.  Congratulations to each of these students and best wishes for continued success! pic.twitter.com/zFqMsB04vK,1134114281568526336,2019-05-30,15:08:10,repgusbilirakis,0,1,3
"This week, my team was able to help honor @pascoschools Superintendent @KurtSBrowning as he received the Soaring Eagle Award in recognition of his many years of distinguished service to our community. pic.twitter.com/3k5dc9oZJR",1133841546128875521,2019-05-29,21:04:25,repgusbilirakis,1,4,27
It is always a pleasure to help local law enforcement secure additional resources to help protect our community! https://twitter.com/PascoSheriff/status/1133478107988541442 …,1133756695543459840,2019-05-29,15:27:15,repgusbilirakis,2,4,5
I am so pleased to see that the new law I authored will help children like Charley gain access to affordable healthcare. https://www.floridatrend.com/article/26879/thousands-of-florida-children-have-no-health-insurance-a-new-infusion-of-money-aims-to-help …,1133435043211292675,2019-05-28,18:09:07,repgusbilirakis,0,13,8
"It is always a pleasure to meet with Cyrena and Maria, two champions fighting to find a cure for Alzheimer's.  We discussed next steps in our advocacy on behalf of patients and their families. pic.twitter.com/6iXIWr9Avy",1133429171332485120,2019-05-28,17:45:47,repgusbilirakis,1,11,26
"I want to ensure all Veterans are able to access care at VA facilities; however, current law prohibits the VA from making necessary improvements on land that isn’t owned or operated by the VA. I have filed bipartisan legislation to fix that problem. http://www.tbreporter.com/politics/bilirakis-proposes-federal-funding-local-veteran-related-projects/ …",1133418201189163009,2019-05-28,17:02:11,repgusbilirakis,2,19,14
ICYMI- I am proud my efforts to ensure this important local project moves forward have paid off. https://www.wtsp.com/article/news/local/tarpon-springs-anclote-river-dredging-is-back-on/67-ea9e8782-05df-46c2-8509-568a8dc70350 …,1133412018634076160,2019-05-28,16:37:37,repgusbilirakis,3,2,4
"@abcactionnews Protecting our children is our top priority, and this disease is preventable.  I was proud to work with a bipartisan group to author the VACCINES Act. It will improve vaccination rates, avoid the spread of dangerous diseases and save lives.  https://tinyurl.com/y3motcd2  https://twitter.com/TheDailyDisease/status/1133372384877142018 …",1133379132908285952,2019-05-28,14:26:57,repgusbilirakis,0,0,0
"Today, my team joined the men and women of SOCCENT at MacDill to honor the legacy of Navy Lt. Michael Murphy through participation in the MURPH Challenge. Lt. Murphy was killed in action in Afghanistan on 6-28-05. May his memory be eternal! #murphchallenge #airborne pic.twitter.com/dkCizn4ZDa",1131636688525111297,2019-05-23,19:03:05,repgusbilirakis,1,2,6
"In this week's Health Subcommittee hearing we examined current proposals for lowering prescription drug costs.  I know this is a priority for my constituents, and I'll continue to work collaboratively to achieve this goal, which will benefit all Americans.  https://youtu.be/JgEucIwZoJo ",1131626253629493248,2019-05-23,18:21:38,repgusbilirakis,3,12,12
"In this week's E & C Committee's legislative hearing, we discussed the LIFT America Act.  As we work on this important bill, I want to ensure we are adequately addressing our nation's infrastructure needs as it relates to public safety. https://youtu.be/r6lCRcj9s28 ",1131622260371017729,2019-05-23,18:05:46,repgusbilirakis,0,0,1
"This week, a bill I co-authored passed the House of Representatives. It will help our heroes transition from military service to civilian life.  I urge my Senate colleagues to expedite the bill's passage. https://youtu.be/e52Z01I_pGM ",1131617150026866690,2019-05-23,17:45:27,repgusbilirakis,3,5,14
The Greece-Cyprus-Israel partnership offers a new example of cooperation in an increasingly turbulent eastern Mediterranean region. Our bill will enable the U.S. to support this developing trilateral relationship through energy and defense cooperation and further its potential. https://twitter.com/HellenicLeaders/status/1131326678456836096 …,1131601382685986817,2019-05-23,16:42:48,repgusbilirakis,6,58,102
"As we celebrate this important milestone, we are mindful of the tireless sacrifices made in the fight to secure women's suffrage.  I'm proud more women than ever now serve in Congress, and remain committed to empowering women to take an active role in the political process. pic.twitter.com/iF0uuVfz3h",1130856305521045504,2019-05-21,15:22:08,repgusbilirakis,4,2,8
"The rise in military sexual assault cases is simply unacceptable. We must do everything in our power to protect the men and women who honorably serve our nation in uniform, which starts with creating a culture in which this heinous crime is not tolerated.  https://www.dailyrepublic.com/all-dr-news/wires/state-nation-world/sexual-assaults-in-the-military-are-on-the-rise-this-bill-would-authorize-congress-to-intervene/?fbclid=IwAR0QHQQqQCgEiA-0kYleN04bABIwfUV1zmnw41oWIoOBIk15Add_1rBvsgY …",1130855548239245313,2019-05-21,15:19:07,repgusbilirakis,2,3,6
My colleague and I have filed bipartisan legislation to reduce the cost of Rx drugs for low income seniors.  This is just the most recent example of my multi-faceted approach to lower drug costs for all Americans. https://www.counton2.com/news/local-news/rep-cunningham-bill-to-lower-drug-costs-for-low-income-families/2007223876 …,1130811980258992128,2019-05-21,12:26:00,repgusbilirakis,3,15,13
I will continue to advocate for policies that ensure access and quality service for Americans with hearing loss. https://twitter.com/Clear2Connect/status/1128714164967563266 …,1129804418063458316,2019-05-18,17:42:18,repgusbilirakis,3,10,9
"A special thank you to everyone who participated in my annual Veterans Resource Fair, earlier today.  Nearly two hundred Veterans received assistance and information about resources available to them within the community. pic.twitter.com/ap2uY8nwTX",1129803187970560002,2019-05-18,17:37:25,repgusbilirakis,2,3,13
It was an honor to receive an award from the Florida Farm Bureau for outstanding service. The agriculture industry is vital to our state's economy and I am pleased to continue fighting on behalf of our local farmers. pic.twitter.com/QFY58d8TAo,1128992610830491650,2019-05-16,11:56:28,repgusbilirakis,5,16,15
"My constituent, Patricia, was checking out the new transparency website that Medicare is hosting as a direct result of legislation I authored last Congress.  On this site, seniors are empowered to compare a procedure's cost in different settings. Visit 
 https://www.medicare.gov/procedure-price-lookup/ … pic.twitter.com/NKuCSwkOdH",1128762807565131778,2019-05-15,20:43:19,repgusbilirakis,1,1,6
"While I would certainly prefer that we fix the many issues plaguing NFIP, I am relieved that we passed a bill last night to extend this important program until September 30th. It ensures my constituents have continued access to affordable flood insurance. https://www.theadvocate.com/baton_rouge/news/politics/article_20ccdca6-768d-11e9-9962-fb2b5e4b9934.html?fbclid=IwAR17Mg99nEpVIyq1clm1-priL2ontNW7V3rItlaTu8Up5kRPON26s-OajC0 …",1128691414932520960,2019-05-15,15:59:38,repgusbilirakis,0,2,3
"My team has participated in several events as part of National Prevention Week.  Leaders are working to enhance resources for those struggling with addiction. ASAP's annual conference, ""Strengthening our Communities...Mental Health and Drug Prevention"" had over 450 participants. pic.twitter.com/LQtv9sKlQy",1128688460850716672,2019-05-15,15:47:53,repgusbilirakis,0,1,4
"FL's higher education system ranks #1 in the nation for the 3rd year in row. This sustained success helps attract companies seeking to employ high skill/high wage workers. With our prestigious schools, we can prepare students for the challenges of tomorrow. https://tinyurl.com/y62ktw97 ",1128683478776782848,2019-05-15,15:28:05,repgusbilirakis,1,2,8
Florida has set a new record with 35.7 million people visiting from Jan.-March of 2019. Tourism is vital to our economy and supports millions of jobs.  I'll continue to support policies and initiatives to help spur growth within this important sector of our economy.,1128675436874076160,2019-05-15,14:56:08,repgusbilirakis,1,3,8
This week is National Women's Health Week. Visit the website below to discover resources available to help you or the women in your life take proactive steps to improve health outcomes. https://www.fda.gov/consumers/women/womens-health-topics …,1128667209935597570,2019-05-15,14:23:27,repgusbilirakis,0,3,5
"This Police Week, we recognize the bravery, selflessness and heroism routinely displayed by those within the law enforcement community.  Thank you for your efforts to keep us safe!  We also remember those who gave the ultimate sacrifice while in the line of duty.  #NeverForgotten pic.twitter.com/zh3UHAnqbN",1128302679871111168,2019-05-14,14:14:56,repgusbilirakis,1,4,7
"All Veterans are invited to attend my annual Veterans' Resource Fair. Each year, I receive positive feedback from participants who are able to connect with available services in our community. I hope to see you there! pic.twitter.com/vu6zSuLGDw",1128293007726383104,2019-05-14,13:36:30,repgusbilirakis,0,6,10
We have to simplify the process and eliminate the penalties. https://twitter.com/AmSrAlliance/status/1127934030530404354 …,1127972605032579074,2019-05-13,16:23:20,repgusbilirakis,2,3,10
"In last week’s VA hearing, I challenged VA staff to put themselves in the shoes of Veterans who were harmed by the agency's delayed roll out of the Forever GI Bill. We must ensure full retroactive payment and make sure this never happens again. https://tinyurl.com/y55bkbz3 ",1127946327508172801,2019-05-13,14:38:55,repgusbilirakis,2,7,19
"We can tackle troubling teen suicide rates by working together.   Our bipartisan legislation will help achieve this important goal.  With better training, we can identify those at risk and get them the help they need. #MentalHealthAwarenessMonth
 http://www.sunshinestatenews.com/story/gus-bilirakis-backs-effort-increase-suicide-prevention-efforts …",1126865014579781632,2019-05-10,15:02:10,repgusbilirakis,1,3,6
"Vets deserve access to high quality healthcare, which includes dental care.  I've filed the VET CARE Act, which will expand access to dental care for our nation’s heroes, and could result in lower overall health care costs for the VA. Prevention is key! https://tinyurl.com/y3jvskcx ",1126860014956814336,2019-05-10,14:42:18,repgusbilirakis,2,3,4
Thank you to all the nurses who are on the front lines fighting to ensure a quality healthcare system for all.  #NursesWeek https://twitter.com/RNAction/status/1126515670785466368 …,1126859383277797377,2019-05-10,14:39:47,repgusbilirakis,0,3,7
It is a privilege.  This is about giving patient's access to the treatment options which work best for them. https://twitter.com/BTMPublicPolicy/status/1126581372255182848 …,1126858867470680064,2019-05-10,14:37:44,repgusbilirakis,2,1,14
We must work together to support our heroes and prevent suicide within the Veteran community.  Visit  http://www.BeThereforVeterans.com  to learn how you can help.  #BeThere ##GIBILL75 https://www.youtube.com/watch?v=fY34wFQ8ovU&feature=youtu.be&autoplay=1 …,1126514623660941313,2019-05-09,15:49:50,repgusbilirakis,2,2,7
I'm proud to join my colleagues in this bipartisan effort to improve school safety. With better screening and prevention training we can identify threats before they materialize and ensure those who are at risk get the mental health treatment they need. https://tinyurl.com/y52oxuz2 ,1126510488529932288,2019-05-09,15:33:24,repgusbilirakis,3,3,9
This week is National Travel and Tourism Week. Did you know that the travel industry is one of the top 10 largest employers of middle-class wage earners in the U.S.? I am proud to be leading the effort to boost travel to the U.S. by reauthorizing Brand USA. #TravelMatters pic.twitter.com/vlnFUgyoBq,1126135131075379201,2019-05-08,14:41:52,repgusbilirakis,0,1,8
A special thank you to our teachers for the positive impact they're making on the lives of children and on our entire community. Thank you for inspiring future generations and equipping them with the skills needed to reach their highest potential.  #TeacherAppreciationWeek pic.twitter.com/eU8Hk2b3Y3,1125781979063099393,2019-05-07,15:18:34,repgusbilirakis,1,0,3
I had a great discussion with several local nurses about their ideas for improving healthcare. They are on the front lines and have first hand knowledge about what is needed to improve patient care.  I appreciated the chance to learn from their experience. #NurseAppreciationWeek pic.twitter.com/it4t22rALC,1125769448235982848,2019-05-07,14:28:46,repgusbilirakis,1,1,12
"NOW, THEREFORE, I, DONALD J. TRUMP, President of the United States of America, by virtue of the authority vested in me by the Constitution and the laws of the United States, do hereby proclaim May 5 through May 11, 2019, as National Small Business Week.",1125765347741712384,2019-05-07,14:12:29,repgusbilirakis,0,0,0
"The pleasure was all mine.  As usual, I learned a great deal from our local nurses.  Happy Nurse Appreciation Week.  You are all a credit to your profession, and are making a positive impact on the lives of your patients. https://twitter.com/BayCare/status/1125522068215402497 …",1125764658726670336,2019-05-07,14:09:44,repgusbilirakis,0,1,3
"ICYMI- I am proud to be a part of this bi-partisan effort to simplify the program and make it more user-friendly for seniors.  760,000 Americans are currently paying this unfair penalty. http://www.tbreporter.com/health-and-medicine/bilirakis-seeks-prevent-medicare-late-enrollment-penalties/ …",1125764231780024320,2019-05-07,14:08:03,repgusbilirakis,0,7,5
"Today we kick off National Small Business Week.  Small businesses are the backbone of our economy.  They are the true job creators, and we must support pro-growth policies which enable them to innovate and expand job opportunities for all Americans. pic.twitter.com/ZTPvO4p7nc",1125462856735121409,2019-05-06,18:10:29,repgusbilirakis,2,1,5
@SheriffPinellas Once again Sheriff Gualtieri is at the forefront of keeping our community safe. I really appreciate his leadership on this important issue. http://www.tampabay.com/news/publicsafety/pinellas-sheriffs-office-is-among-first-to-launch-new-program-to-honor-immigration-detainer-20190506/?fbclid=IwAR3TIuQXRwyJdsJjZP0vheZqSbQWWkLdNTdRAB-9kGfU53jyMC2A5Gjskiw …,1125454959942696960,2019-05-06,17:39:07,repgusbilirakis,0,0,0
"ICYMI-We must do everything in our power to support the families of fallen service members. These brave men and women have paid the ultimate price in defense of our nation, and this is the least we can do to honor their sacrifice. https://tinyurl.com/yywka98y ",1125447545373769729,2019-05-06,17:09:39,repgusbilirakis,2,4,6
"I am a proud cosponsor of this bill, because even one homeless Veteran is one too many. #HR95 pic.twitter.com/u7Acmfj0Jl",1125442149200297984,2019-05-06,16:48:12,repgusbilirakis,1,3,11
"This week we examined proposals for reducing Rx drug prices. Legislation I authored is stimulating the development of generic Rx drugs, but we must continue attacking the problem from multiple angles. All options must be considered. https://youtu.be/wyk-QqFBZIU ",1124345333243367425,2019-05-03,16:09:51,repgusbilirakis,0,16,12
"More good news today about the strength of the U.S. economy: 

-Average hourly earnings are up 3.2% from last year 
-A whopping 263,000 jobs were added last month 
-Unemployment rate dropped to 3.6%, -lowest since 1969

We must continue to support pro-growth policies!",1124330531179593729,2019-05-03,15:11:02,repgusbilirakis,2,3,12
"It is my pleasure to help local law enforcement agencies acquire surplus government equipment from federal agencies, especially when those tools can help our community during times of crisis. https://twitter.com/PascoSheriff/status/1123633668080177154 …",1123670584934715392,2019-05-01,19:28:38,repgusbilirakis,2,14,20
"May is Mental Health Awareness Month.  Did you know nearly 60 million Americans cope with a mental health condition?  We must end the stigma associated w/ asking for help.  If you are struggling, you're not alone. Find your local chapter of NAMI for help.   https://www.nami.org/local ",1123643732958547968,2019-05-01,17:41:56,repgusbilirakis,2,84,123
I agree that we should focus on using domestic energy sources to help lower costs for U.S. consumers and create jobs. https://twitter.com/SteveScalise/status/1123573465804677122 …,1123632676307648519,2019-05-01,16:58:00,repgusbilirakis,2,2,13
