tweet,id,date,time,username,replies_count,retweets_count,likes_count
"The 2020 election is ours to lose if we don't apply the lessons learned from 2016. Democrats must come together and speak with one voice, especially after July 16, 2020. 
 https://s.amsu.ng/9MKCBuZZtwtN 
(Expires: Apr 1, 2019)",1112411793379467264,2019-03-31,17:50:13,repgwenmoore,34,5,15
That's right. https://twitter.com/ellenfrankman/status/1112345763756105729 …,1112385233633116160,2019-03-31,16:04:41,repgwenmoore,3,3,12
"Today is International Transgender Day of Visibility. And, I'm reminded of the wisdom shared by the great Booker T. Washington who said, ""I shall never permit myself to stoop so low as to…  https://www.instagram.com/p/Bvra-WpnkqJ/?utm_source=ig_twitter_share&igshid=1sxy2kklw6x97 …",1112382761694715904,2019-03-31,15:54:52,repgwenmoore,5,1,9
I had a great time being your guest! #MKE 💪🏾 https://twitter.com/jjoyce/status/1111691888128679936 …,1111791918864842757,2019-03-30,00:47:04,repgwenmoore,0,0,3
"Trump's thirst for hurting vulnerable people, especially women, won’t cease, but neither will our resolve to fight to restore funding to the services provided by Planned Parenthood. There's no justification for HHS to take away funding in Wisconsin in its Title X FY19 budget.",1111763150255329282,2019-03-29,22:52:45,repgwenmoore,431,41,124
"Mark Twain once said, ""Nothing so needs reforming than other people's habits."" America, the future is here, bright and ready to change our habits for the better. I'm delighted and hopeful…  https://www.instagram.com/p/Bvju--3nQRW/?utm_source=ig_twitter_share&igshid=1guu0svrmjzhn …",1111300881474113536,2019-03-28,16:15:51,repgwenmoore,18,6,7
"Just a reminder that International Transday is March 31st. It's a time dedicated to raising awareness of transgender individuals who still face discrimination, not just here in the US, but…  https://www.instagram.com/p/BvhthsPn-T8/?utm_source=ig_twitter_share&igshid=wntf4n2gju3t …",1111016186416816128,2019-03-27,21:24:35,repgwenmoore,2,3,8
With South Milwaukee Mayor Erik Brooks and his son in Statuary Hall. #MKE  https://www.instagram.com/p/BvhT9LAHSjn/?utm_source=ig_twitter_share&igshid=6uvw8dbclxhc …,1110959953160876032,2019-03-27,17:41:08,repgwenmoore,0,0,2
What a crew! Students from South Milwaukee Middle School. Thank you for visiting me in the Capitol today. I'm tremendously proud of you all. Keep striving. Keep reaching. Keep working…  https://www.instagram.com/p/BvhTeT1nQsq/?utm_source=ig_twitter_share&igshid=1ngqgbn3nip6h …,1110958896003338240,2019-03-27,17:36:56,repgwenmoore,0,1,8
"The Mueller report needs to see the light of day. Transparency and accountability matters. 
Congresswoman Gwen Moore Official Statement On The Release Of The Mueller Report  - http://gwenmoore.house.gov/news/documentsingle.aspx?DocumentID=3225 …",1110656532495110149,2019-03-26,21:35:27,repgwenmoore,7,8,20
