tweet,id,date,time,username,replies_count,retweets_count,likes_count
This victory been nearly 30 years in the making! @CJSomerset Mill Springs one signature away from becoming a National Park https://www.somerset-kentucky.com/news/local_news/mill-springs-one-signature-away-from-becoming-a-national-park/article_9fd6b8b7-5c16-5c14-a2aa-cf416226869a.html …,1101144562003783681,2019-02-28,15:38:16,rephalrogers,7,0,4
"SFOPS conducted an oversight hearing today w/ @USAID  Admin. Mark Green. We discussed USAID's focus on financial management, the crisis in Venezuela, countering Russian and Chinese influence around the world & much more. WATCH HERE: https://www.youtube.com/watch?v=J8KIKdwuEdY&feature=youtu.be …",1100862714379935744,2019-02-27,20:58:18,rephalrogers,3,2,3
Great news for Fishtrap Lake! I was proud to help secure the additional funding for the Army Corps to advance cleanup efforts at the lake. https://twitter.com/AppalachianNews/status/1100425942592352257 …,1100858605962694657,2019-02-27,20:41:59,rephalrogers,6,2,8
Nearly 30 years in the making...the Mill Springs Battlefield is one signature away from becoming a National Monument @msba1862 Learn more here:  https://halrogers.house.gov/press-releases?id=279EE741-70FD-49EA-B1B4-88D76D2478E4 … pic.twitter.com/tJT1BlmK3D,1100558792138346496,2019-02-27,00:50:38,rephalrogers,3,2,5
Honored to join @KYFB this morning for another wonderful event! https://twitter.com/KYFB/status/1100384745849057281 …,1100385118722711553,2019-02-26,13:20:31,rephalrogers,3,0,4
My prayers are with those impacted by flooding & rockslides across SEKY. My staff & I are working w/ local leaders & the Army Corps to track needs in our region. I applaud @GovMattBevin for declaring an emergency & I stand ready to support any request for federal assistance. https://twitter.com/GovMattBevin/status/1100151707739279360 …,1100156789117669378,2019-02-25,22:13:13,rephalrogers,4,4,12
"While the 2019 Consolidated Appropriations Act signed into law today addresses many of our nation's needs, I want to applaud this Congress for how it prevents, treats and enforces drug abuse issues that are plaguing countless families every day. Details @ https://halrogers.house.gov/press-releases?id=66092E4F-1DD3-4A62-B19F-32D88EF5883A …",1096533897201045504,2019-02-15,22:17:08,rephalrogers,1,1,3
"I applaud congressional approval of the comprehensive federal funding & border security pkg. It includes several critical wins for federal programs in Southern and Eastern Ky, including a 4th round of funding for the AML Pilot Program. Learn more: https://halrogers.house.gov/press-releases?id=566D5482-D2CB-4532-BB78-5C1D3382D282 …",1096234511287967744,2019-02-15,02:27:29,rephalrogers,1,1,8
"On this #ValentinesDay❤, I decided to speak up for our unborn and newborn children who deserve a chance to be loved. Click the link to learn about important proposed federal legislation that would protect the sanctity of life. https://halrogers.house.gov/press-releases?id=4B3D9E57-2311-49D3-B4C2-B74A02CDD9DA …",1096109108082737153,2019-02-14,18:09:10,rephalrogers,0,1,6
Mill Springs Battlefield is another step closer to receiving due recognition for its historical value. Sen. McConnell & I have diligently worked w/ the @msba1862 to bring this Civil War site into the NPS as a national monument & I look forward to supporting it in the House. https://twitter.com/McConnellPress/status/1095447378960764928 …,1095451319035482112,2019-02-12,22:35:21,rephalrogers,2,2,4
"@realDonaldTrump's SOTU address tonight is a good reminder that we live in the greatest country in the world, and there is more that unites us than divides us. 🇺🇸 Read my full statement at  http://halrogers.house.gov .",1093003445194362881,2019-02-06,04:28:23,rephalrogers,0,1,5
