tweet,id,date,time,username,replies_count,retweets_count,likes_count
"I join the family of Berta Caceres and COPINH in sounding the alarm: 6 months after the conviction of 7 material authors in the murder of #BertaCaceres, still no sentences. The state of Honduras must bring to justice the intellectual authors of her murder.  https://bit.ly/2Z0aL8w ",1134524926537469952,2019-05-31,18:19:55,rephankjohnson,4,7,11
"Ensuring that quality services are being delivered to our veterans is one of my greatest missions as a public servant. That’s why I’m proud to co-sponsor #HR95, the Homeless Veteran Families Act. #ForThePeople pic.twitter.com/kXNklSN3G5",1133766690242748417,2019-05-29,16:06:57,rephankjohnson,5,6,12
"BREAKING: In 72 hours, Missouri could become the first state in the country without a health center that provides safe, legal abortion. That’s unacceptable.  https://cbsn.ws/2WqNmiV  #StoptheBans",1133416710856466434,2019-05-28,16:56:16,rephankjohnson,3,13,11
Today we honor all the servicemen and women who made the ultimate sacrifice to our nation— may all our fallen heroes rest in peace. #MemorialDay pic.twitter.com/cI6HURrgko,1133007306831126528,2019-05-27,13:49:26,rephankjohnson,2,4,7
"The #DREAMandPromiseNow is vital legislation that would finally provide     permanent protections for DREAMers—the undocumented people who were     brought to this country as children, many of whom have lived here for most of their lives.",1131221563355860992,2019-05-22,15:33:32,rephankjohnson,3,24,32
"How does #InternationalBiodiversityDay affect you? Think about
this:

🌷 Plants create oxygen 

🐝 Bees pollinate fruit &
nuts

🌊 Coral reefs protect coastal
communities from weather

🌳 Trees absorb pollution

Can we live without them? #StopExtinction",1131198918371553280,2019-05-22,14:03:33,rephankjohnson,8,20,29
Standing with the women of my D.C. office on the centennial of the women suffragette movement. We thank the courageous women who have dedicated their lives to the fight for equality. #forthepeople #womensrightsarehumanrights pic.twitter.com/Liu9Z56rgp,1130971991148826624,2019-05-21,23:01:49,rephankjohnson,5,6,28
"100 years ago today, the House passed the #19thAmendment, finally recognizing women’s voices in our democracy. The #19thAmendment gave women the right to vote, but the fight is not over. House Democrats will ALWAYS fight for full gender equality. Women’s rights are human rights. pic.twitter.com/omZNlWiThx",1130903050883932161,2019-05-21,18:27:53,rephankjohnson,4,6,9
"Regulatory Rollbacks Defied Public Opinion to Reward Big
Corporations:  https://bit.ly/2JwdFxY  https://twitter.com/goodregs/status/1130837345471795203 …",1130845860127039489,2019-05-21,14:40:37,rephankjohnson,1,6,5
Well said .@AndrewGillum. That's why we must address this threat immediately! A good place to start is my Election Infrastructure & Security Promotion Act:  https://bit.ly/2xqfP8F  https://twitter.com/AndrewGillum/status/1129393937913921536 …,1129432259696705539,2019-05-17,17:03:29,rephankjohnson,6,1,8
.@HouseDemocrats are keeping their promise & fighting for the American people. That’s why I’m proud to vote for the #EqualityAct! On to the Senate! pic.twitter.com/6W4CK8p58y,1129420821552873472,2019-05-17,16:18:02,rephankjohnson,12,4,10
"Today, we honor the sacrifices of those who pushed us forward as a nation. 65 years later, #BrownvBoard still reminds us of the long road ahead toward racial equality and justice. pic.twitter.com/MozuoHKRbD",1129370948715589632,2019-05-17,12:59:51,rephankjohnson,3,4,5
Johnson Joins Colleagues to Reintroduce Bill to Stymie Trump Administration’s Efforts To Deputize Local Police as Immigration Agents: https://bit.ly/2Yw1lkY ,1128750024840699904,2019-05-15,19:52:31,rephankjohnson,8,2,3
Hundreds turn out for our annual Resources Fair at GPTC in Clarkston. #DemsAtWork #ForThePeople.  https://bit.ly/2Ea30Vl  pic.twitter.com/HYiifvlmVl,1128728934017839104,2019-05-15,18:28:43,rephankjohnson,1,1,1
"By passing the #EqualityAct, we can put an end to discrimination facing our #LGBTQ brothers & sisters across America. #HR5 pic.twitter.com/y4hXu8l5wO",1128714284979109893,2019-05-15,17:30:30,rephankjohnson,2,3,6
"We must:
-invest in our crumbling infrastructure
-increase opportunity for all Americans
-protect worker rights
#InfrastructureWeek pic.twitter.com/1iXfa7ym4m",1128368728717037568,2019-05-14,18:37:23,rephankjohnson,4,8,14
