tweet,id,date,time,username,replies_count,retweets_count,likes_count
The President’s invitation of Ukrainian interference in our elections to put his political interests ahead of our national security is the very attack on the Constitution that Members of Congress swore we would defend against. https://video.foxnews.com/v/6090405419001/#sp=show-clips …,1178708754436636675,2019-09-30,16:30:41,repharley,22,14,97
"Shana Tova to everyone celebrating #RoshHashana in Orange County and around the world! 

Kaira and I wish you a healthy and happy new year.",1178380544410898432,2019-09-29,18:46:29,repharley,7,12,61
".@hoaghealth Family Health Day brings together community health partners from across Orange County. 

We’re so fortunate to have an innovative and collaborative hospital in our backyard. pic.twitter.com/QZrxfAY7UD",1178000175610159105,2019-09-28,17:35:02,repharley,12,4,19
"This week, as a member of @HouseDemocrats, I:

🗸 Introduced a bill to expand health care for first responders
🗸 Moved my bill holding chemical companies accountable for #PFAS contamination to @EnergyCommerce 
🗸 Upheld my constitutional duty by calling for your impeachment https://twitter.com/realDonaldTrump/status/1177576649233195008 …",1177584877539074050,2019-09-27,14:04:47,repharley,20,63,260
We’re live! I’m calling for Congress to #ActOnPFAS https://twitter.com/RepHarley/status/1177277079332765697 …,1177306130382561286,2019-09-26,19:37:09,repharley,2,11,37
"HAPPENING TODAY: I'm holding a press conference to call for Congress to #ActOnPFAS at 3:30 pm EST. 

Watch live➡️  https://www.facebook.com/RepHarley/  pic.twitter.com/rUwHdisdvo",1177277079332765697,2019-09-26,17:41:43,repharley,1,3,14
"BREAKING: My bill, the #PFAS User Fee Act of 2019 has been forwarded to the full @EnergyCommerce committee. 

We are one step closer to holding toxic chemical manufactures accountable. https://twitter.com/EnergyCommerce/status/1177242121071448064 …",1177243268712714240,2019-09-26,15:27:22,repharley,3,10,46
"Thank you @TCANews for having me to discuss my work on @TransportDems, investing in infrastructure, and promoting alternative pathways to high paying jobs via apprenticeship programs. pic.twitter.com/GKRzKoo3Pn",1176909494628028416,2019-09-25,17:21:04,repharley,4,8,43
"Ice is melting. Sea levels are rising. Coasts are eroding. 

We need #ClimateActionNow 

Watch @NRDems fight for #OceanClimateAction ➡️  http://bit.ly/2ma9fmb  https://twitter.com/IPCC_CH/status/1176790706830086145 …",1176859582699921415,2019-09-25,14:02:44,repharley,9,9,29
"Thanks to all who have contacted my office in response to my impeachment position. 

However, I don't need your thanks. Protecting the Constitution is something ALL Members of Congress swore to do. 

I hope my colleagues on the other side of the aisle will uphold that oath.",1176596296779608065,2019-09-24,20:36:31,repharley,39,70,442
"I hereby support moving forward with pursuing Articles of Impeachment against the President of the United States.

Read my full statement:  https://rouda.house.gov/media/press-releases/rep-harley-rouda-statement-impeachment … pic.twitter.com/9YiTNEhHzg",1176572804554285056,2019-09-24,19:03:10,repharley,83,122,620
.@JohnWayneAir has received a $2.1 million grant to replace its existing shuttle bus fleet with electric models. This grant will reduce JWA’s carbon footprint and ensure Orange County continues to be a leader in implementing green technology. pic.twitter.com/qCWI2gQbU2,1176310584415072256,2019-09-24,01:41:12,repharley,10,19,95
"Thank you to the Harbor Mesa Lion’s Club for another incredible Fish Fry! Over the past 72 years, this event has raised 6 million dollars for the Costa Mesa community. pic.twitter.com/K5YcImsaPa",1175586705484722176,2019-09-22,01:44:46,repharley,3,2,38
