tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Join me on Friday, January 24th for “Coffee with Chrissy” at our West Chester office! I look forward to meeting you all. pic.twitter.com/reNPaanyxD",1217961465384198144,2020-01-17,00:06:56,rephoulahan,1,9,21
"January is Jobs Month in our office! Here's our weekly rundown:
📄 Sent the Articles of Impeachment to the Senate
✅ Passed bipartisan legislation to protect older workers from age discrimination 
🇺🇸 Empowering Veterans making the transition to civilian careers pic.twitter.com/s3sXzFs659",1217873493347524608,2020-01-16,18:17:22,rephoulahan,5,4,21
"This gets the Houlahan Seal of Approval™️.

One more fact check: Our 15th Town Hall will be held Thursday, January 23rd at 7:00pm at the Colonial Theatre in Phoenixville. Hope to see you there! pic.twitter.com/F97OLTjdGL",1217095057674768385,2020-01-14,14:44:08,rephoulahan,2,9,34
"I'm thrilled to invite our community to my first town hall of 2020 and fifteenth overall! At the State of the Sixth, we'll reflect back on 2019, discuss our priorities for 2020, and answer your questions. I look forward to seeing you there! Info below ⬇️ pic.twitter.com/72LHHyykNH",1216472922073772033,2020-01-12,21:32:00,rephoulahan,8,15,40
"I spoke to @jaketapper this morning about 
1) our duty to uphold the Constitution regardless of the politics and 
2) how we come together in 2020 pic.twitter.com/tW0pnMAPfC",1216418865112133637,2020-01-12,17:57:12,rephoulahan,14,9,70
"First Rundown of 2020:
🏛️ Voted on a historic War Powers Resolution
💰 Announced nearly $5 million in grant money to Head Start programs in Chester and Berks Counties
🌎Helped pass PFAS legislation to protect our communities from these harmful chemicals pic.twitter.com/FRRJ1swmHI",1215727767603552256,2020-01-10,20:11:01,rephoulahan,9,11,47
"Today, I took a vote that reasserted our Congressional authority and takes an important first step towards the aggressive pursuit of diplomacy in order to protect our servicemembers, diplomats, and civilians in the region and across the world. 7/7

END THREAD pic.twitter.com/830G7ZLos6",1215446857427705856,2020-01-10,01:34:47,rephoulahan,9,7,52
"I respect the President’s authority to defend our nation and respect his role as Commander-in-Chief. He does not, however, have the power to declare war. That authority lies solely with Congress. /6",1215446758697984002,2020-01-10,01:34:23,rephoulahan,4,6,38
"As a Member of Congress who sits on both the Armed Services and Foreign Affairs Committees, I will continue pushing for these answers. /5",1215446757640998913,2020-01-10,01:34:23,rephoulahan,2,0,15
The President and his Administration have a responsibility to explain to the American people what information precipitated this decision and the strategy going forward in a volatile region. /4,1215446756319735814,2020-01-10,01:34:23,rephoulahan,3,0,13
"Four days later, on January 7th, Iran launched ballistic missiles at the Ayn al-Asad airbase in Al Anbar Governorate, Western Iraq, and an airbase in Erbil, Iraqi Kurdistan, both of which housed United States and coalition forces. Thankfully, there were no casualties. /3",1215446755195736064,2020-01-10,01:34:23,rephoulahan,1,0,9
"On January 3rd, under the President’s orders, our military carried out a fatal attack on Qasem Soleimani. This was done, evidently, without notifying Congress or any of our allies. /2",1215446753576652800,2020-01-10,01:34:22,rephoulahan,5,0,9
"THREAD: 

Qaesm Soleimani had the blood of thousands on his hands. Under his leadership, the Iranian regime has supported terrorism around the world and consistently worked to undermine the national security of the United States and our allies. /1",1215446752037425153,2020-01-10,01:34:22,rephoulahan,7,5,29
"We are indebted to the brave men and women who work tirelessly to keep our community and Commonwealth safe. On this #LawEnforcementAppreciationDay, and every day, we thank our Law Enforcement officers and their families. https://twitter.com/PennsylvaniaGov/status/1215256910590627841 …",1215413793599164418,2020-01-09,23:23:24,rephoulahan,1,5,19
A big shout out to the PA Farm Show!  It’s a wonderful opportunity for our farming community to showcase their important contributions to #PA06. And I ❤️Gritty! pic.twitter.com/Sp8zVeDhJO,1215291136220200961,2020-01-09,15:16:00,rephoulahan,1,4,35
"I'm not 100% satisfied with the information the Administration shared with members of Congress today. The American people deserve to understand the underlying intelligence that has brought us to this point, and I will continue to ask for the facts. 2/2",1215067031793545216,2020-01-09,00:25:29,rephoulahan,15,16,61
"I spoke to Fox News about last night’s attack. Most importantly, I am grateful there were no casualties. But the Administration still has a responsibility to present to Congress and the American people its plan for de-escalation and diplomacy moving forward. /1 pic.twitter.com/UiDee9JB8w",1215066750401810432,2020-01-09,00:24:22,rephoulahan,12,12,83
"I stand with her in the fight to end gun violence, pass universal background checks, and build safer communities for everyone in Pennsylvania and across this country.",1214967503711019008,2020-01-08,17:50:00,rephoulahan,11,5,35
"9 years ago today, @GabbyGiffords was shot while meeting with her community at a local Safeway in Tucson. 6 people were killed & 12 more were injured. Her courage and her indefatigable efforts to prevent future tragedies and curb gun violence inspire us all. https://twitter.com/GabbyGiffords/status/1214892794675912705 …",1214967502310137857,2020-01-08,17:50:00,rephoulahan,11,22,83
"We are monitoring the attacks in Iraq and are keeping the servicemembers, diplomats, their families, and civilians in our hearts.",1214700943180288001,2020-01-08,00:10:47,rephoulahan,36,8,80
"Yesterday, I got to visit CCIU and witness firsthand some of the important work they do for children in our community. As a former educator, I know how critical these federal funds are, and it was my privilege to share the news with our fantastic Head Start programs. 2/2 pic.twitter.com/KipJoUjzQw",1214634524891648000,2020-01-07,19:46:52,rephoulahan,0,2,30
"I'm thrilled to announce Federal grants totaling $4,730,485 to the Head Start Programs at the Berks County Intermediate Unit and the Chester County Intermediate Unit. This money helps fund early childhood education, especially among English Language learners. /1",1214634519409635329,2020-01-07,19:46:50,rephoulahan,5,11,109
"As an engineer, I'm thrilled to congratulate Shrey & Lucas of Great Valley High School in Exton, PA for winning our 2019 @CongressionalAC! 

Principia ""provides an educational video game experience for learning about Isaac Newton's laws of gravity.” https://joanganzcooneycenter.org/2017/07/31/meet-the-winners-lucas-armand-and-shrey-pandya/ …",1214332381945106435,2020-01-06,23:46:15,rephoulahan,7,3,25
"I am sorry to hear of former Congressman Mike Fitzpatrick’s passing. My thoughts are with his family and loved ones, especially my friend @RepBrianFitz, today. https://www.theintell.com/news/20200106/former-bucks-congressman-mike-fitzpatrick-dead-at-56 …",1214208064842276864,2020-01-06,15:32:16,rephoulahan,0,11,23
The Congress and the American people deserve answers: it is imperative the President explain what precipitated this destabilizing decision in what is already an extremely volatile region and what strategy there is going forward. 5/5,1213171190996578309,2020-01-03,18:52:06,rephoulahan,16,2,38
"My immediate concern is for the safety and security of American servicemembers, diplomats, and civilians working in the region, and I will be asking the Administration for its plan to keep our personnel safe. /4",1213171190283538434,2020-01-03,18:52:06,rephoulahan,6,2,31
"This is a perilous moment, and our nation must prepare for what the Iranian regime has already threatened will be a violent retaliation. /3",1213171189637623809,2020-01-03,18:52:05,rephoulahan,4,1,21
Our President ordered this strike before appropriately consulting Congress and without making clear how this escalatory action aligns with a larger strategy to protect American national security interests and counter Iranian aggression. /2,1213171188836511744,2020-01-03,18:52:05,rephoulahan,8,2,27
"Qasem Soleimani had the blood of thousands on his hands. To be clear, the Iranian regime – in large part, under Soleimani’s leadership – has supported terrorism around the world and consistently worked to undermine the national security of the United States and our allies. /1",1213171188064804871,2020-01-03,18:52:05,rephoulahan,15,7,52
#HappyNewYear to everyone in Pennsylvania and across the world! pic.twitter.com/Ai18iPB2XK,1212237814806581253,2020-01-01,05:03:11,rephoulahan,1,3,38
"There is still work to be done, and I look forward to accomplishing even more for our community in 2020!

3/3",1212169854893142017,2020-01-01,00:33:09,rephoulahan,3,1,11
"Many of these efforts were bipartisan, and I’m committed to continue working with my colleagues on both sides of the aisle to deliver wins for the American people. 

It is an honor and privilege to serve you, the people of Pennsylvania. 

/2",1212169853789986816,2020-01-01,00:33:08,rephoulahan,1,1,14
"2019 Rundown:

🏥 Fought for accessible & affordable health care

💵 Voted to raise the minimum wage

🌎 Protected our planet and environment

‼️ Advanced gun safety legislation 

🇺🇸 Supported our troops & veterans

👨‍👩‍👧‍👦 Secured paid parental leave for ALL federal workers

/1",1212169845292314624,2020-01-01,00:33:06,rephoulahan,9,5,59
