tweet,id,date,time,username,replies_count,retweets_count,likes_count
You can feel the energy on the ground in Colorado in the fight for commonsense gun violence prevention. Thank you to @MomsDemand and @Everytown who have been working tirelessly on this issue. Our children cannot afford the Senate's inaction any longer. pic.twitter.com/RKyBhaZYl2,1167490452809031681,2019-08-30,17:33:09,repjasoncrow,13,35,172
"During my Lead Locally tours, I've heard about the struggle for access to fast, modern-day internet & been fighting to expand rural broadband service. Excited to share that this month, CO was awarded $179m to support improving affordable rural broadband! https://bit.ly/2LdOmze ",1167470075819020288,2019-08-30,16:12:11,repjasoncrow,0,0,6
"It was a fun day at work visiting @FreedomSvcDogs, a #CO06 non-profit that connects shelter dogs with those in need serving children, veterans with PTS, and others. Thank for having me and the work you do! pic.twitter.com/TAg3LgxrrP",1167241184076607488,2019-08-30,01:02:39,repjasoncrow,0,2,19
"Colorado has a proud aerospace tradition which is why the Colorado delegation & @GovofCO is calling on @usairforce to make Colorado the permanent home of @US_SpaceCom 🚀

Read our full letter here➡️ https://bit.ly/2LjpcPw ",1167216852034101251,2019-08-29,23:25:58,repjasoncrow,1,1,5
The re-establishment of the U.S. Space Command demonstrates the Department of Defense's commitment to maintaining a joint force that operates across all domains - now including the final frontier!,1167215154095955968,2019-08-29,23:19:13,repjasoncrow,5,0,11
"As a new office, we decided we were going to do more than just traditional town halls (though we do those too!) but also make sure we get out in the community and meet people where they are with Crow on Your Corners. Thanks to everyone who came by last Saturday! pic.twitter.com/EnohxT2A0t",1166788526622629889,2019-08-28,19:03:57,repjasoncrow,0,1,7
"Hey Brighton! My team will be at the Brighton Rec Center tomorrow from 9am - 12:30pm for Mobile Office Hours. Stop by, say hi, and let us know how we can help with any federal processes or paperwork!",1166774512546922497,2019-08-28,18:08:16,repjasoncrow,0,0,4
"Whether it’s wind, solar, or other renewable technologies, Colorado is leading on clean energy technology. Proud to be the first member of Congress to speak at the Energy Exchange summit to discuss the efforts I’m leading to make our military more resilient to climate change. pic.twitter.com/Vl2AmfTyLq",1166402272433266689,2019-08-27,17:29:07,repjasoncrow,1,0,11
"In the Army, I saw firsthand the limitations of our energy technology for the military and the challenges caused by extreme weather. That's why I've committed to making energy resiliency and alternative energy a priority for my work on the House Armed Services Committee.",1166402044556664832,2019-08-27,17:28:12,repjasoncrow,3,1,17
"Continually in awe of my friend @GabbyGiffords whose leadership has helped build a movement to fight gun violence.  

It's time for the Senate to do its job and hold a vote on gun violence prevention measures. Our kids cannot pay the price for inaction any longer. https://twitter.com/denverpost/status/1166258460763275265 …",1166388561303801856,2019-08-27,16:34:38,repjasoncrow,4,11,62
"Thanks to @TheChamberNWDC for a great discussion on how to help Colorado’s businesses grow! As a member of @HouseSmallBiz and Co-Chair of the New Dems Infrastructure Task Force, I’m working to ensure that the companies powering our economy have the tools they need to succeed. pic.twitter.com/Pyl8aggrtB",1166375568901910528,2019-08-27,15:43:00,repjasoncrow,2,0,2
"“It’s a false choice between the Second Amendment and responsible regulation and prevention,” Mr. Crow said in an interview. “I come at this from my frame as a lifetime hunter and gun owner"" https://www.nytimes.com/2019/08/13/us/politics/democrats-mcconnell-guns.html …",1165817712175669248,2019-08-26,02:46:17,repjasoncrow,15,12,41
"Thank you to Joe Garcia, Chancellor of the Colorado Community College System; Dr. Betsy Oudenhoven, President at @CCAurora; & your entire team for being an incredible partner at our job fair. 1,000+ people were able to connect with employers and attend workshops at @CCAurora! pic.twitter.com/WNigzCFCkL",1165660576049025025,2019-08-25,16:21:52,repjasoncrow,1,0,9
No better way to celebrate the National Parks Service’s 103rd birthday than with a hike! All of Colorado’s national parks are free this Sunday: https://www.thedenverchannel.com/lifestyle/discover-colorado/free-day-at-all-colorado-national-parks-this-sunday-to-celebrate-npss-103rd-birthday …,1165294925954441216,2019-08-24,16:08:55,repjasoncrow,2,3,27
"Looking forward to Crow on Your Corner today! I’ll be in Aurora in the early afternoon to talk about the important issues facing our community. Hope you can join!  RSVP -->
 https://www.facebook.com/events/616635938859291/ …",1165273893055037441,2019-08-24,14:45:20,repjasoncrow,0,0,5
"First responders deserve to know what’s happening in their communities. Aurora’s new notification system for the ICE facility is another great step to increase government transparency and local awareness. Thanks @AllisonHiltz for leading the charge!

 https://sentinelcolorado.com/news/metro/city-panel-oks-ordinance-requiring-aurora-geo-prison-to-report-disease-outbreaks-to-fire-chief/ …",1165018186259017728,2019-08-23,21:49:15,repjasoncrow,1,3,5
Becoming an American marks the end of a momentous process and the beginning of a new chapter of life. I was honored to help recognize and celebrate some of America’s newest citizens this month at the Asian Pacific Development Center pic.twitter.com/5V3CcMtIMB,1165017726533939200,2019-08-23,21:47:25,repjasoncrow,2,2,20
"At yesterday's job fair we hosted 60+ local employers and over 1,000 Coloradans. Thank you to everyone who helped make it a great event! pic.twitter.com/W9D4egzPRo",1164985659565780992,2019-08-23,19:40:00,repjasoncrow,0,0,5
"I never expected to end up in Congress. During college, I worked construction between national guard training and classes so I could afford tuition. Now, I’m grateful to be in a position where I can help my neighbors take the next step in their careers. pic.twitter.com/G8PgOVffKQ",1164985416086413312,2019-08-23,19:39:02,repjasoncrow,1,1,13
"Our 2nd stop was at @ArrowGlobal, an electronics distributor headquartered in Centennial. Fun fact: it’s the largest company by revenue in CO! We discussed fostering the next generation of the workforce through STEM education and keeping the region a high quality place to live. pic.twitter.com/fYYNlRVgBc",1164956614534692864,2019-08-23,17:44:35,repjasoncrow,0,1,6
"We’re in Centennial for my next Lead Locally! First stop is Dry Creek Station where nearly 20% of Centennial’s jobs are. One trend we heard was the increased desire to be near public transit, such as the light rail. Lesson: Good infrastructure helps build good jobs. pic.twitter.com/zYLTyBF1KS",1164948431359664129,2019-08-23,17:12:04,repjasoncrow,1,3,12
This is Example A for why we need campaign finance reform in America: pic.twitter.com/KqTb0ERNE2,1164609393998082048,2019-08-22,18:44:51,repjasoncrow,3,8,40
"Looking forward to hosting two more Crow on Your Corners this Saturday in Aurora. Come by, grab a cup of coffee, and sit down with me and my staff to discuss the issues most important to you. pic.twitter.com/RPAO6JU3Lr",1164576792788779009,2019-08-22,16:35:18,repjasoncrow,1,0,6
Love the scene at the job fair right now! Great to see so many folks connecting with employers about new job opportunities! pic.twitter.com/PUUGnaJAcH,1164259054895738886,2019-08-21,19:32:44,repjasoncrow,0,2,16
"It's a beautiful day and over at @CCAurora, employers, local services, and food trucks are all getting set up for this afternoon's job fair! See you soon! pic.twitter.com/ovPe1P7KtP",1164234391842951168,2019-08-21,17:54:44,repjasoncrow,0,1,7
"Grateful to have the endorsement of the Aurora City Council for my bill, the POD Act, to increase ICE facility transparency. Coloradans deserve to know what’s happening in their community. Proud that we’re continuing to build the bill’s momentum at home. 
 https://bit.ly/2ZhDghI ",1163962165352525824,2019-08-20,23:53:00,repjasoncrow,2,2,20
"Crow on Your Corner is a chance to sit down with me and my office staff to discuss issues and concerns in the community. Hope you can join us this weekend! 

 https://www.facebook.com/events/616635938859291/ …",1163932903329476608,2019-08-20,21:56:43,repjasoncrow,2,0,2
