tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Our office has helped constituents secure veterans benefits and receive social security checks. Tomorrow, my staff will be in Greenwood Village from 3 pm - 5 pm to assist you with processes for Medicare, Medicaid, passports, federal student loans & more. Come by in the afternoon! pic.twitter.com/H8HeJAI75t",1217953115720376327,2020-01-16,23:33:45,repjasoncrow,11,9,54
"While there is no map for the challenges we face, my oath to support and defend the Constitution has guided me, and will continue to guide me during this trial. It is the duty of Congress to protect the rule-of-law and hold the President accountable. Our democracy depends on it.",1217552325436416000,2020-01-15,21:01:10,repjasoncrow,71,64,399
I love our country and what it represents both at home and around the world. My time in military service taught me that our democracy exists because men & women stand up to fight for it. It’s a belief that drove me to serve my country in combat and led me to the halls of Congress,1217552324484378632,2020-01-15,21:01:09,repjasoncrow,32,56,373
"As an impeachment manager, I will approach the process with the dignity and seriousness that it deserves, and advocate for a full and fair trial. It’s my solemn responsibility to lay out the facts and give the Senate - and the American people - confidence in the process.",1217552323800653824,2020-01-15,21:01:09,repjasoncrow,348,351,2163
"Over the past few months, I’ve been talking with @KaseyCordell about my first year in Congress and how I approached this historic time in Washington. You can read the full profile here → https://www.5280.com/2019/12/inside-congressman-jason-crows-intense-first-year/ …",1217209896317390849,2020-01-14,22:20:28,repjasoncrow,29,19,93
"In Colorado, we understand the importance of protecting our environment and are making policies that reflect our values. This year, I’m bringing one of Colorado’s commonsense programs national with the SAVE Energy Act to promote energy efficiency and save taxpayer’s money! pic.twitter.com/RUIDEPmMJE",1217166251262402561,2020-01-14,19:27:02,repjasoncrow,7,21,83
"With the first full week of 2020 behind us, we’re taking a look back at our work last year. With over 250 community events and 17 bills, amendments, and resolutions, it was a busy year! Here’s a wrap up of some of our work in 2019: pic.twitter.com/fwCtnus4mr",1216827060141903872,2020-01-13,20:59:13,repjasoncrow,7,12,48
Passing the War Powers Resolution will help ensure that we have the necessary conversation before sending our troops into harm’s way. I refused to let the executive branch circumvent Congress’s solemn constitutional duty to authorize military force. https://www.coloradoindependent.com/2020/01/09/u-s-house-check-trump-military-iran/ …,1216746210062630912,2020-01-13,15:37:57,repjasoncrow,13,22,67
"Heartbroken for the victims injured in last night's shooting in Aurora and praying for their full recovery. While we're still learning all the details, we know the fear of gun violence all too well and we must stand together to build a safer community. https://www.thedenverchannel.com/news/local-news/5-people-including-3-juveniles-shot-at-apartment-in-aurora-police-say …",1216421842606612481,2020-01-12,18:09:01,repjasoncrow,11,21,51
"The PFAS Action Act helps -- 
✅ Limit human exposure to PFAS, the harmful man-made chemical
✅ Keep Coloradans at Buckley Air Force Base safe
✅ Stem the flow of PFAS contamination into the environment
✅ Identify health risk associated with PFAS pic.twitter.com/Vj2YvJJ5hX",1215729068643180547,2020-01-10,20:16:11,repjasoncrow,3,8,26
