tweet,id,date,time,username,replies_count,retweets_count,likes_count
Outstanding group! Thanks for coming by #SC03 https://twitter.com/scwgcap/status/1101151115050188800 …,1101195594662662145,2019-02-28,19:01:03,repjeffduncan,1,2,11
"Enjoyed meeting with @scwgcap, the South Carolina Wing of @CivilAirPatrol, this morning during their annual legislative day in Washington. Dedicated leaders doing great things for our state and nation - thank you! #SC03 pic.twitter.com/O9FVy5norc",1101141324856725504,2019-02-28,15:25:24,repjeffduncan,1,2,11
Great to see the folks with the National Grazing Lands Coalition this week in Washington. Thanks for coming by! #SC03 pic.twitter.com/5WocRwPZhI,1101109331913777154,2019-02-28,13:18:17,repjeffduncan,0,1,9
Thanks to @SCWaterNews & @ClemsonUniv for meeting with me to discuss water related issues in South Carolina! #SC03 pic.twitter.com/Z3okYkFiM2,1100881583261868035,2019-02-27,22:13:17,repjeffduncan,0,2,11
"HR 8 infringes on #2A, & any freedom-loving American should strongly oppose this reckless gun control effort. I will continue to fight for our Constitution. Protecting the rights of Americans, including the right to keep & bear arms, is critical to the preservation of liberty.",1100869328948338688,2019-02-27,21:24:35,repjeffduncan,11,10,29
Enjoyed meeting with the Piedmont Municipal Power Agency group to discuss SC energy issues impacting the Upstate. Thanks for coming by! #SC03 pic.twitter.com/b7GxQsdXYz,1100781968495529984,2019-02-27,15:37:27,repjeffduncan,3,0,4
Great seeing the folks with @SNAofSC yesterday in Washington! #SC03 pic.twitter.com/LfICM2v8ck,1100757739050070017,2019-02-27,14:01:10,repjeffduncan,0,0,4
NEW: The Left’s Next Target: Noncitizen Voting – Opposing the radical position on noncitizen voting is certainly a worthy effort for conservatives. https://twitter.com/NRO/status/1100513338549768193 …,1100514811559976963,2019-02-26,21:55:52,repjeffduncan,19,11,30
Go Tigers! #ALLIN https://twitter.com/henrymcmaster/status/1100508024022712322 …,1100510933129023490,2019-02-26,21:40:27,repjeffduncan,0,6,27
New estimated price tag for the Green New Deal’s socialist wish list & entire takeover of our economy - up to $93 trillion! This radical agenda is what Democrats are embracing. https://www.foxnews.com/politics/green-new-deal-would-cost-93-trillion-or-600g-per-household-study-says …,1100466703773904897,2019-02-26,18:44:42,repjeffduncan,13,8,15
Rejecting the barbarism of infanticide & supporting this bill should have been the easiest decision to ever make. Unbelievable to see this. https://www.nationalreview.com/corner/born-alive-bill-fails-to-pass-senate-vote/ …,1100403026358140928,2019-02-26,14:31:40,repjeffduncan,4,8,27
Thank you @POTUS @realDonaldTrump for continuing to protect the unborn and the conscience of America! #ProLife https://twitter.com/SBAList/status/1099010958863810560 …,1099034409599225862,2019-02-22,19:53:16,repjeffduncan,38,127,461
Thank you to the entire group in Abbeville including County Director David Garner & Abbeville City Manager Blake Stone for meeting with me. Great seeing everyone! #SC03 pic.twitter.com/7vJg0MbMhp,1098678984429264896,2019-02-21,20:20:57,repjeffduncan,5,3,14
