tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Q: Is healthcare a right or a privilege in America?

Republicans: Privilege (if you can’t afford it, let them eat cake).

House Dems: IT’S A RIGHT (and we can thank @BarackObama for getting this thing started #ForThePeople).",1156613560761495553,2019-07-31,17:12:16,repjeffries,62,163,737
"Partnered w/
@NewYorkStateAG Tish James at Bed Stuy town hall mtg last evening.

Homes are being stolen in our community through #DeedTheft.

It’s part of the cancer of displacement.

WE MUST 🛑 IT.

#ForThePeople pic.twitter.com/SmVLNxoVs2",1156566335641587714,2019-07-31,14:04:37,repjeffries,3,38,74
"Back in East New York this morning for another #CongressOnYourCorner event.

Government of the people. 

By the people. 

And #ForThePeople. 

🇺🇸 🇺🇸 🇺🇸 pic.twitter.com/UfSm2hdCE3",1156282317339529216,2019-07-30,19:16:01,repjeffries,24,38,216
"Looks like the California mass shooter is a white supremacist.

Is anyone surprised?

Words matter.

Birther-in-Chief needs to clean up his xenophobic act.

Or more Americans will die.",1156187680826417152,2019-07-30,12:59:58,repjeffries,1615,5144,17233
"Dear Mr. De Niro: 

Excellent Op-Ed in @WashingtonPost.

Thx for your authentic advocacy.

The HEAT you bring against the wannabe GOODFELLA in the Oval Office is much needed.

And for the record, you’re a Jeffries family favorite.

Best, Hakeem ✊🏾✊🏾 https://www.washingtonpost.com/outlook/2019/07/29/de-niro-mueller-didnt-play-me-playing-him-snl-thats-good/ …",1155928177346170880,2019-07-29,19:48:48,repjeffries,47,311,1056
"The distinguished gentleman from Baltimore @RepCummings is a good man.

Hardworking man.

A highly intelligent man.

So-called President is none of the above. 

And he is tearing America apart.",1155815998911651842,2019-07-29,12:23:02,repjeffries,1170,3631,16069
"12 people were shot in Brownsville last night.

One fatality.

The situation on the ground is not a theoretical exercise.

It’s deadly serious.

End. Gun. Violence.",1155591888222769153,2019-07-28,21:32:30,repjeffries,105,436,1666
"House Dems have been in the majority for just over 200 days.

We have passed more than 400 bills to make life better #ForThePeople.

Senate Republicans have done nothing but pass up the chance to govern. 

FACTS.",1155239041446678528,2019-07-27,22:10:25,repjeffries,462,4425,11145
"Agreed. 

✊🏾✊🏾✊🏾 https://twitter.com/RepJerryNadler/status/1154832957099712513 …",1154904385929064448,2019-07-27,00:00:37,repjeffries,211,659,3149
"Obstruction of Justice has three elements.

Obstructive Act + Official Proceeding + Corrupt Intent

Mueller acknowledged that all three elements have been met.

One + One + One = Three

Three = Obstruction of Justice. https://www.theatlantic.com/ideas/archive/2019/07/mueller-wont-say-it-but-trump-clearly-obstructed-justice/594634/ …",1154801226086830081,2019-07-26,17:10:42,repjeffries,261,1188,3318
