tweet,id,date,time,username,replies_count,retweets_count,likes_count
Today is Trans Day of Visibility when we celebrate trans and non-binary folks across the country. Let’s honor them by passing the #EqualityAct to enshrine everyone’s right to express gender in their own way! #TDOV,1112432170247827457,2019-03-31,19:11:12,repjerrynadler,164,812,2809
"Banning abortion before women know they are pregnant is absurd, unconstitutional, unscientific and cruel. We will fight these bans and protect every women’s constitutional rights wherever they live. https://apnews.com/05267096c99c4d8d91e80bb84c24168e?utm_campaign=SocialFlow&utm_source=Twitter&utm_medium=AP …",1111756976172744706,2019-03-29,22:28:13,repjerrynadler,2251,10919,41675
Read my response to AG Barr's latest letter here: pic.twitter.com/NmuFkWBE0N,1111731491904675840,2019-03-29,20:46:57,repjerrynadler,1418,4732,11466
Every single Democrat in the US House & Senate is supporting public financing of elections legislation at the federal level. Democrats in NYS can pass #FairElections by April 1. Let's get it done NY! Our letter to @NYGovCuomo @AndreaSCousins & @CarlHeastie  https://nadler.house.gov/uploadedfiles/03.29.18_signed_nys_fair_elections_letter.pdf …,1111680215649013760,2019-03-29,17:23:12,repjerrynadler,99,525,1334
Big congratulations to my Senior Advisor Robert Atterbury on receiving an Impact Award from the @GayCityNews.  A much deserved honor recognizing your hard work. pic.twitter.com/PMg4H4ld0m,1111432463685832711,2019-03-29,00:58:43,repjerrynadler,20,35,268
"It's astonishing that after years of “support our troops” demagoguery, @HouseGOP would choose to turn their backs on active duty service members & deny them medically prescribed care. Proud to vote for a resolution today to #ProtectTransTroops against the Trump Admin's cruel ban. pic.twitter.com/hdKhwUvv66",1111335086430044160,2019-03-28,18:31:46,repjerrynadler,188,1235,3375
"Being fairly paid for your work is a fundamental issue of fairness and freedom. I am proud to vote for the Paycheck Fairness Act, which gets us closer, at last, to fulfilling the promise of equal pay for equal work. pic.twitter.com/kLjtWHLF6z",1110992234323812357,2019-03-27,19:49:24,repjerrynadler,82,282,1186
"Last month, the House passed a bipartisan resolution to terminate the so-called ""national emergency"" declared by President Trump. I am more convinced than ever that his actions are not only unlawful; they are deeply irresponsible. I was proud to cast my vote to override his veto. pic.twitter.com/1DpUuv0f2w",1110662156842950657,2019-03-26,21:57:47,repjerrynadler,269,601,2320
"Trump's DOJ will now fight to overturn the entire #ACA law. Pre-existing condition protections, no limits on coverage, guaranteed benefits, coverage to age 26, Medicaid expansion - all gone, with no plan to replace it. That is Trump’s plan. https://www.politico.com/story/2019/03/25/trump-obamacare-justice-department-1236116 …",1110618724338491397,2019-03-26,19:05:12,repjerrynadler,137,297,461
Proud to announce that @HouseJudiciary will hold the first ever hearing on the #EqualityAct on April 2nd. It is far past time we expand our civil rights laws to explicitly protect LGBTQ individuals once and for all.,1110321992614510597,2019-03-25,23:26:06,repjerrynadler,317,1717,6466
"Before heading back to DC, I joined in the Commemoration of the 108 Anniversary of the Triangle Shirtwaist Factory Fire. 146 mostly young women immigrant workers were killed & from this tragedy the labor mvt was galvanized & NYS enacted historic labor & fire safety laws. pic.twitter.com/WLEktg7gbu",1110245441969496065,2019-03-25,18:21:55,repjerrynadler,89,191,637
"In light of the very concerning discrepancies and final decision making at the Justice Department following the Special Counsel report, where Mueller did not exonerate the President, we will be calling Attorney General Barr in to testify before @HouseJudiciary in the near future.",1109913142933573632,2019-03-24,20:21:29,repjerrynadler,16933,18618,65719
"Special Counsel Mueller worked for 22 months to determine the extent to which President Trump obstructed justice. Attorney General Barr took 2 days to tell the American people that while the President is not exonerated, there will be no action by DOJ.",1109909950418038786,2019-03-24,20:08:47,repjerrynadler,1646,3744,8459
There must be full transparency in what Special Counsel Mueller uncovered to not exonerate the President from wrongdoing. DOJ owes the public more than just a brief synopsis and decision not to go any further in their work.,1109908872117006339,2019-03-24,20:04:30,repjerrynadler,697,3132,8717
"But Special Counsel Mueller clearly and explicitly is not exonerating the President, and we must hear from AG Barr about his decision making and see all the underlying evidence for the American people to know all the facts.",1109906891767988224,2019-03-24,19:56:38,repjerrynadler,918,3254,8525
"Barr says that the President may have acted to obstruct justice, but that for an obstruction conviction, “the government would need to proved beyond a reasonable doubt that a person, acting with corrupt intent, engaged in obstructive conduct”.",1109906469179265026,2019-03-24,19:54:57,repjerrynadler,802,2402,5224
