tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Less than 2 weeks to go until the January 15th deadline to sign up for healthcare through @AccessHealthCT. It’s critical that families and businesses across eastern CT #getcovered! For more information, visit
 https://www.accesshealthct.com/AHCT/LandingPageCTHIX …",1078347891197034497,2018-12-27,17:52:26,repjoecourtney,0,4,7
"Now more than ever it is important for Congress to assert its constitutional role in ensuring our nation’s defense – and I will continue to work in a bipartisan way to strengthen our relationship with Australia, which is vital to our security at home and around the world.",1077980055362523137,2018-12-26,17:30:47,repjoecourtney,1,2,9
Recent events have left allies like Australia unsure of our commitment to our long standing alliances. That is why I helped lead a bipartisan letter of 21 members strongly affirming Congress’ continued commitment to the US-Australia alliance. pic.twitter.com/h6vtENYD1t,1077980052871098369,2018-12-26,17:30:47,repjoecourtney,3,5,11
"Wishing the families across eastern Connecticut a Merry Christmas and a happy holiday season. Hoping your days are filled with peace, joy, and loved ones. pic.twitter.com/BOTfMSkRCb",1077369312581742592,2018-12-25,01:03:55,repjoecourtney,2,2,23
GOP Senator Bob Corker nails it: shutdown is a farce. https://www.huffingtonpost.com/entry/shutdown-government-bob-corker-trump_us_5c1f996fe4b08aaf7a89d12e …,1076937573862395904,2018-12-23,20:28:20,repjoecourtney,2,2,8
The Senate failed to do its part and pass the #BlueWaterNavy Vietnam Veterans Act that passed in the House unanimously this year. Watch my full remarks on the dissapointing outcome in the Senate below. pic.twitter.com/sVq3CwAYje,1076165679706005505,2018-12-21,17:21:06,repjoecourtney,1,8,8
"Thank you #SecretaryMattis for your decades of diligent and principled service to our nation. While we did not always agree, I never doubted that you were a sure hand keeping our entire government focused on America's true national security interests.",1075903236048109568,2018-12-20,23:58:15,repjoecourtney,0,2,15
"I was honored to be a part of the launch of the Naval & Maritime Consortium at @UConn Avery Point last month, and am proud to work with partners like @UConn and @ThamesRiverIP to accomplish this important & exciting goal. pic.twitter.com/sQgBY58sNU",1075877518601871360,2018-12-20,22:16:03,repjoecourtney,0,1,6
"Our region is preparing for tremendous growth in submarine construction work in the coming years, and a robust supply chain will be a critical component for successful execution. https://bit.ly/2EGPOcp ",1075871561113063424,2018-12-20,21:52:23,repjoecourtney,1,1,6
"This week my office announced $62,100 in federal grant money to the Development Agency to the Naval & Maritime Consortium in #Groton, providing the network with the resources for establishing a framework that supports capital investment and job creation in eastern CT.",1075871147072344065,2018-12-20,21:50:44,repjoecourtney,1,1,6
This outrageous and flagrant violation of #Ukraine’s sovereignty and Russia’s international legal obligation can not stand. It is paramount that Russia return the Ukrainian vessels and release the detained sailors safely and expediently.,1075785912045449216,2018-12-20,16:12:03,repjoecourtney,0,2,7
"Last week, I met with the Ukrainian Ambassador to the US Valeriy Chaly as well as Commander of the Ukrainian Army Ihor Voronchenko to receive a briefing on Russia's seizure of 3 Ukrainian vessels & 24 sailors who remain in detention. pic.twitter.com/n9uQdV8lg6",1075785008256815106,2018-12-20,16:08:27,repjoecourtney,3,3,7
"PLEASE SHARE: Earlier this year, the IRS issued tax tips to assist farmers with the new tax law in place. Check out this quick and easy fact sheet on what’s new for farmers filing in 2019.  https://bit.ly/2LrvFYz  pic.twitter.com/sm7La0AjFo",1075547579755175937,2018-12-20,00:25:00,repjoecourtney,0,1,1
A reminder to eastern CT residents that the #OpenEnrollment deadline for @AccessHealthCT has been extended to January 15th! There is still time to #GetCoveredCT. Visit  https://bit.ly/2gvPsWA  to register.,1075527509473669120,2018-12-19,23:05:15,repjoecourtney,1,2,7
"Hemp farming is an exciting area of opportunity and potential for CT's agricultural sector, and with the passage of the #2018FarmBill, that potential can be realized. There's a lot folks don't know about hemp. To learn more, check out this useful tool: https://cnn.it/2PM3ELM ",1075119853143539712,2018-12-18,20:05:22,repjoecourtney,1,0,4
"The recent report released by the School Safety Commission, chaired by @BetsyDeVosED, is a missed opportunity to expand the use of comprehensive, evidence-based approaches to preventing violence in our children’s schools, and instead tears down critical civil rights protections. https://twitter.com/nprpolitics/status/1075084528627146753 …",1075098404219441153,2018-12-18,18:40:08,repjoecourtney,1,2,15
"On this day in 1948, Ensign Jimmy Carter became a grad of the 2nd district’s very own Naval sub base in Groton. To date, he's the only President that served in the submarine force, giving him unique perspective on the value of our undersea capabilities https://todayincthistory.com/2018/12/17/december-17-ensign-jimmy-carter-finishes-submarine-school-in-groton/ …",1074824565551968256,2018-12-18,00:32:00,repjoecourtney,1,7,24
"The sign up period for @AccessHealthCT has been extended through January 15th, and if you need coverage-- I urge you to visit their website or contact their staff to learn more about the options available to you and your family. 
 https://www.accesshealthct.com/AHCT/LandingPageCTHIX?fbclid=IwAR0Hvwcl3BNE5-x0f7jQUTYgPtSUzzr_cm4a4R4pxq4HhbN738MfOZBgaMA …",1074729954926039040,2018-12-17,18:16:03,repjoecourtney,1,1,1
"As this case moves forward on appeal, please know that I will continue to fight back against attempts to roll back protections for people with pre-existing conditions and dismantle a system that has extended coverage to millions of Americans.",1074710881693515776,2018-12-17,17:00:16,repjoecourtney,6,2,7
"While I am deeply troubled by the Texas judge's decision in this case, the most important thing for #Connecticut residents to know is that this does not impact your ability to get covered or your protections under the law at this time.",1074710772675158016,2018-12-17,16:59:50,repjoecourtney,1,3,4
"This past weekend, a judge in Texas issued a misguided ruling against the #AffordableCareAct that creates new confusion and uncertainty. It is important to know that the law still stands, and CT residents still have time to sign up for health insurance through @AccessHealthCT.",1074710699295862785,2018-12-17,16:59:32,repjoecourtney,4,3,8
"Today marks the one year anniversary of the @FCC vote to end #NetNeutrality. Since that vote, millions of Americans have voiced their support for restoring these critical protections, and it’s time for Congress to listen. pic.twitter.com/4QpYxuBl0C",1073744450449358848,2018-12-15,01:00:00,repjoecourtney,2,4,8
Over 90% of Americans support universal background checks. I am committed to continuing my work alongside my colleagues in Congress to make a safer America a reality for all of our children. #NewtownStrong,1073700229080342529,2018-12-14,22:04:17,repjoecourtney,0,1,9
"Since the devastating #Parkland shooting this past February, state legislatures have passed 69 gun violence prevention measures, yet Congress has remained silent. https://nyti.ms/2CeBCFh ",1073699894622347264,2018-12-14,22:02:57,repjoecourtney,1,2,9
"6 years ago, 26 lives were stolen in an act of violence that has irrevocably altered the Newtown community, our state, & our country. Our nation grieves for the families, friends, neighbors, educators, & children who experienced this horrific tragedy. #SandyHook",1073699212309749761,2018-12-14,22:00:15,repjoecourtney,1,7,19
"Tomorrow is the LAST day in this year’s #OpenEnrollment period. It’s imperative that you, your family and small businesses understand your health insurance plan options. December 15th is the deadline! It’s time to #GetCoveredCT pic.twitter.com/nQMcN8Dn0B",1073697944015126528,2018-12-14,21:55:12,repjoecourtney,0,0,0
"This bill now also maintains the status quo for nutritional assistance programs like #SNAP, that faced deep cuts in its original version, prioritizes substance use recovery programs within the Rural Development title, and expands land conservation programs.",1073311437093773312,2018-12-13,20:19:22,repjoecourtney,2,0,4
"#FarmBill2018 includes exciting areas of opportunity for our region, including the expansion of industrial hemp production, which I have long seen as a tremendous opportunity in our state's #ag sector.",1073311143597367301,2018-12-13,20:18:12,repjoecourtney,1,1,2
"Yesterday the House passed the #FarmBill2018, a 5-year authorization of critical #ag & nutrition programs that included many of the provisions I advocated for on behalf of eastern CT's #ag industry. https://www.courant.com/politics/hc-pol-mirror-congress-approves-farm-bill-20181213-story.html …",1073310767263428608,2018-12-13,20:16:42,repjoecourtney,1,0,6
"PLEASE SHARE: Starting on January 10th, 2019, homeowners will be able to start applying for #crumblingfoundations assistance from the captive. For more information on how to apply, visit  https://crumblingfoundations.org/?fbclid=IwAR0foq-6Inw2w7LMBHFvUW98QVtgHFDTlo6ZC-p95HwsnS3OaaUUBI4xP3Q …",1073007089625255937,2018-12-13,00:10:00,repjoecourtney,1,8,12
Only 3 days left in this year’s @AccessHealthCT #OpenEnrollment period. More than 85% of Americans who enrolled during last year's enrollment period received financial help to cover costs. See what your options are at https://courtney.house.gov/OpenEnrollment2019 …,1072944173802811392,2018-12-12,20:00:00,repjoecourtney,0,0,1
This week's comments by British PM @theresa_may suggesting an end to this historic peace agreement should be found troubling by all members of this Congress.,1072888157748772864,2018-12-12,16:17:24,repjoecourtney,0,1,3
"The #GoodFridayPeaceAccords, which have the active and supportive involvement of the US government and Congress, will go down in history as one of the greatest diplomatic successes of our time. pic.twitter.com/bfiMSEPlfC",1072886806797008896,2018-12-12,16:12:02,repjoecourtney,1,2,5
"Happy to highlight the tremendous success of #Norwich Native Travis Grillo and his thriving pickle business, Grillo’s pickles. From selling out of a cart in front of a Target to going national, Travis’s story epitomizes the American dream. Congrats! https://www.theday.com/food--drink/20181209/from-street-cart-to-national-brand-norwich-native-travis-grillo-has-developed-booming-pickle-business …",1072871194435629057,2018-12-12,15:10:00,repjoecourtney,0,0,3
"This week marks the 70-year anniversary of the UN Declared #HumanRightsDay. This commemoration offers an important opportunity to remember how far we have come as a global community in treating people of all creeds, races, and backgrounds with equal opportunity and respect. pic.twitter.com/LxzBBaTuxj",1072653509676359681,2018-12-12,00:45:00,repjoecourtney,0,1,3
The #addictionepidemic is a national crisis that requires the attention of every level of our government. CT-First is a step that will make meaningful change in our communities. @CHRhealth https://www.theday.com/article/20181208/NWS01/181209483 …,1072644701994582016,2018-12-12,00:10:00,repjoecourtney,2,2,5
"The American people have time and time again voiced their overwhelming support for Title II #NetNeutrality rules, and yet @FCC Chairman Pai continues to ignore their call. The message is clear: Americans want fair and equal access to the internet. https://www.huffingtonpost.com/entry/feds-probe-fake-messages-to-fcc-supporting-ending-net-neutrality_us_5c0c4ae1e4b0ab8cf693ec5c …",1072603077625171973,2018-12-11,21:24:36,repjoecourtney,0,4,14
"Only one week left in this year’s #OpenEnrollment period! It’s imperative that eastern CT residents explore their coverage options and choose the best plan for themselves and their families. For more information, visit my enrollment page.
 https://courtney.house.gov/OpenEnrollment2019 …",1071422908436598786,2018-12-08,15:15:02,repjoecourtney,0,11,6
"A huge congratulations to #Norwich’s own Ceil Vardar for taking the crown on #Chopped this season! An incredible feat for this local chef, and a proud moment for southeastern CT. Looking forward to my next meal at These Guys Brewery. https://www.theday.com/local-news/20181205/norwich-chef-wins-chopped-10000-prize …",1071197667139579904,2018-12-08,00:20:00,repjoecourtney,0,1,18
"Today marks a solemn day in history as we remember the lives lost 77 years ago when #PearlHarbor was attacked by Japanese forces. CT lost 18 brave men in the attack, and today serves as an important opportunity to honor their lives and sacrifice. https://www.courant.com/breaking-news/hc-pearl-harbor-dedication-20181207-story.html …",1071162487360405504,2018-12-07,22:00:12,repjoecourtney,0,2,7
"Approaching the holiday season, the IRS has reported a surge in email #PhishingScams, and it’s important to know how you can protect yourself. Scammers will use email or websites to solicit private & sensitive information by posing as the IRS. Learn more: https://www.irs.gov/newsroom/irs-sees-surge-in-email-phishing-scams-summit-partners-urge-taxpayers-dont-take-the-bait …",1070841570444894213,2018-12-07,00:45:00,repjoecourtney,0,4,3
"I signed the CRA discharge petition because I believe that consumers, not ISPs, should have control over their access to the internet. Without #NetNeutrality rules, ISPs can raise prices or force users into slow lanes. #NetNeutrality was working, and it’s time to restore it. pic.twitter.com/ecIPuDKiw4",1070802204158763008,2018-12-06,22:08:34,repjoecourtney,1,3,4
“A nuclear war can not be won and must never be fought.” Former Sec of State under #Reagan George Shultz and former president of the Soviet Union Mikhael Gorbachev remind us of our nation’s crucial role in global nuclear disarmament. https://www.washingtonpost.com/opinions/we-participated-in-inf-negotiations-abandoning-it-threatens-our-very-existence/2018/12/04/21c8bd20-f4cc-11e8-bc79-68604ed88993_story.html?utm_term=.6dc16bc5f388 …,1070800158223491072,2018-12-06,22:00:26,repjoecourtney,0,1,3
"Proud to join @CHRhealth for the announcement of #CTFirst, an initiative created to address the high need for behavioral mental health services and addiction treatment in our communities. https://www.courant.com/news/connecticut/hc-news-chr-substance-abuse-grant-20181203-story.html …",1070101695659679744,2018-12-04,23:45:00,repjoecourtney,0,3,7
Just returned from US Capitol rotunda after paying my respects to President George H.W. Bush. The solemn honors are deserving to a person and President who set an example for all of leadership and decency. #Remembering41 pic.twitter.com/FbSK2k7szd,1070074526107619328,2018-12-04,21:57:02,repjoecourtney,2,3,21
"George H.W. Bush, a son of Connecticut, carried on a tradition of civility in politics and service to others that is too often lost today. May #Bush41’s life and legacy guide us all in our commitment to those who we are elected to serve. https://www.courant.com/politics/hc-bush-connecticut-man-20181201-story.html …",1069649430700322824,2018-12-03,17:47:52,repjoecourtney,3,6,11
"It’s time to #GetCovered, CT! #OpenEnrollment ends on DECEMBER 15th. To learn more about your coverage options and how to enroll, visit my enrollment page here:  https://courtney.house.gov/OpenEnrollment2019 … pic.twitter.com/lDm9NLFf8H",1068897514588266497,2018-12-01,16:00:01,repjoecourtney,0,5,4
"From his roots in CT, to his time as a @usnavy pilot and as President, George HW Bush lived a life of service to his nation and to others. https://www.courant.com/nation-world/ct-george-hw-bush-dead-20181130-story.html …",1068869474105864194,2018-12-01,14:08:35,repjoecourtney,3,5,11
".@POTUS’s trade war is hurting US ag, and dairy farmers have already lost over $1 billion as a result. This week I sent a letter to @USDA urging more compensation for our farmers who have seen staggering losses as a result of this administration’s actions. https://ctmirror.org/2018/11/26/conn-dairy-farms-caught-trump-trade-war/ …",1068663468365090817,2018-12-01,00:30:00,repjoecourtney,0,2,9
