tweet,id,date,time,username,replies_count,retweets_count,likes_count
"It isn’t enough just to claim that this isn’t who we are. Under this policy, sick children will lose their lives in our nation’s name. That’s why we’re fighting to take that name back. https://twitter.com/sdooling/status/1166014333119344640 …",1167155734162890752,2019-08-29,19:23:06,repjoekennedy,85,651,1956
Not even those willing to die for this nation are spared his hate. https://twitter.com/halbritz/status/1166800554699427841 …,1166858799694655488,2019-08-28,23:43:11,repjoekennedy,1290,10970,33893
"So proud of my talented, thoughtful cousin, @tatertatiana, for writing a book about the future of our environment and how we can all do our part to fight for its survival. Can't wait to read it soon! https://twitter.com/JulFels/status/1166345358454272002 …",1166800192374550528,2019-08-28,19:50:18,repjoekennedy,12,71,316
"Niki Tsongas didn’t only fight for her neighbors in #MA3, she fought for the future of our Commonwealth & country. Renaming this bridge in her honor would be a well deserved recognition of an inspiring public servant! https://twitter.com/RepLoriTrahan/status/1166684398923767809 …",1166768559634206720,2019-08-28,17:44:36,repjoekennedy,5,32,157
Offshore wind could affordably power Massachusetts homes & businesses and create an American grown economic engine. But your Administration continues to stand in the way because fossil fuel lobbyists in your Cabinet tell you to. https://twitter.com/atrupar/status/1166014689756815361 …,1166748750196432897,2019-08-28,16:25:53,repjoekennedy,89,559,2013
"Before buying semi-autonomous lands and insulting trusted allies, President Trump should invest in Puerto Rico where American citizens are still scrambling to rebuild after his unique blend of incompetence & indifference left them without a federal government they could turn to. https://twitter.com/washingtonpost/status/1166042098128379910 …",1166709319578071042,2019-08-28,13:49:12,repjoekennedy,250,2073,8577
"Amazon fires are a direct result of human action and government inaction. When it comes to climate, if we put out flames but ignore what sparked them, we’ll never put out the fire. https://twitter.com/ABC/status/1164598393177563136 …",1164631042017435653,2019-08-22,20:10:52,repjoekennedy,97,853,2446
"Well over half a year later, today is the day when a black woman would make what her white male peers made last year. Every cent, every day that black women are asked to wait or sacrifice is an injustice & affront to our promise of lived equality. #BlackWomenCantWait https://twitter.com/dreaflynn/status/1164550637251698688 …",1164603646606270465,2019-08-22,18:22:01,repjoekennedy,23,168,586
Eugene Scalia was nominated to be our nation’s Secretary of Labor not despite his career of lifting corporations to crush workers but because of that record. That’s why he is uniquely unqualified for the job. White House should withdraw his nomination. http://kennedy.house.gov/newsroom/press-releases/kennedy-urges-trump-to-withdraw-scalia-labor-nomination …,1164590105056698376,2019-08-22,17:28:12,repjoekennedy,20,367,963
"So focused on demonizing migrants, refugees & asylum seekers, the Trump Admin is now ignoring the rule of law to keep families & kids locked up in overcrowded prisons. This isn’t just about our values & ideals as a nation, it’s about the health & lives of human beings. https://twitter.com/RAICESTEXAS/status/1164232686682214400 …",1164567369118826497,2019-08-22,15:57:52,repjoekennedy,104,894,2332
