tweet,id,date,time,username,replies_count,retweets_count,likes_count
"On #TransDayOfVisibility, we do more than promise to see & hear our trans neighbors, we promise them a country and a world where they are guaranteed lived and legal equality.",1112448219965988869,2019-03-31,20:14:58,repjoekennedy,55,735,3909
Tomorrow we're kicking off our fourth #Tour34 with a town hall in Franklin at Horace Mann Middle School at 11:00AM. Hope to see you there!  http://facebook.com/events/370997000170000/ …,1111724387386966016,2019-03-29,20:18:43,repjoekennedy,11,31,131
"But here’s the problem, the subjects in your laboratories are human beings whose health care has been taken away & @SecAzar admitted you’ve got no proof it makes them healthier. Transforming Medicaid is not the same thing as destroying it. https://twitter.com/SeemaCMS/status/1111028305715703808 …",1111394186257936384,2019-03-28,22:26:37,repjoekennedy,11,144,514
Tune into @NewDay to hear me talk about @SpecialOlympics funding & today’s vote on my resolution rejecting @realDonaldTrump’s transgender military ban.,1111229492436127744,2019-03-28,11:32:11,repjoekennedy,51,265,1497
"No evidence to support it. 
No studies to say they work. 
No explanation for thousands who lose coverage.
Argued despite legal experts who said work requirements were illegal. 
And the judge didn’t buy it. 
Stop trying to take away Americans' healthcare. https://twitter.com/rachanadixit/status/1111008617912823808 …",1111021631118495745,2019-03-27,21:46:13,repjoekennedy,47,1023,3528
"There cannot be economic justice in this country until equal work earns equal pay. As long as Latinas & black women earn nearly half as much of their white male peers, economic inequity will be the law of this land. That’s why we need to pass the #PaycheckFairnessAct today.",1111001012683370497,2019-03-27,20:24:17,repjoekennedy,49,299,1225
"Two days after the Trump Administration asked a judge to bankrupt patients with prescription drug costs, @EnergyCommerce Dems are debating legislation to bring those prices down & #ProtectOurCare.",1110977855561838593,2019-03-27,18:52:16,repjoekennedy,20,145,554
"Patients in Arkansas are replacing doctor appointments with prayers because HHS inundated them with onerous, misleading paperwork before taking their health care away. Still waiting on a response from @SecAzar on how this makes people healthier. https://twitter.com/Taniel/status/1110935337696722944 …",1110964761150320641,2019-03-27,18:00:14,repjoekennedy,57,668,1203
"To paraphrase Secretary DeVos, tax breaks for private jets take priority over @SpecialOlympics athletes in this Administration. But let me repeat: This. Will. Never. Happen. https://twitter.com/EricaLG/status/1110949604055543808 …",1110961771068698625,2019-03-27,17:48:21,repjoekennedy,235,2814,8532
This will never happen. Full stop. But the mere suggestion illustrates how little this Administration values the Americans and families they pledge to serve. https://twitter.com/JohnJHarwood/status/1110657885242118147 …,1110704694261878784,2019-03-27,00:46:49,repjoekennedy,820,6927,25658
"With @RepJohnKatko's partnership, we can pass our bipartisan Stabilize Medicaid and CHIP Coverage Act to strengthen health care programs that protect millions of Americans.",1110650346991505409,2019-03-26,21:10:52,repjoekennedy,11,116,570
Losing health care unexpectedly can leave patients vulnerable to illness and financial ruin. Guaranteed continuous coverage under Medicaid & CHIP will reduce life-threatening gaps that deny kids & families the treatment they deserve when they need it most. http://kennedy.house.gov/newsroom/press-releases/-kennedy-katko-introduce-bipartisan-bill-to-strengthen-medicaid-and-chip …,1110650345976410113,2019-03-26,21:10:52,repjoekennedy,34,291,903
"Just like last year and the year before, his efforts to rebuild a health care system that covers fewer Americans at higher costs will fail. (3/3)",1110619380201734144,2019-03-26,19:07:49,repjoekennedy,34,321,1382
He decided that patients should be segregated by their preexisting conditions. That low-income Americans aren’t worthy of health care. That seniors should watch their premiums skyrocket. That your out-of- pocket cost for prescription drugs should bankrupt you. (2/3),1110619379509723138,2019-03-26,19:07:49,repjoekennedy,24,401,1289
President Trump last night unilaterally decided that millions of the Americans he serves no longer deserve health care coverage. (1/3) https://twitter.com/nicholas_bagley/status/1110344361944989697 …,1110619378788130816,2019-03-26,19:07:48,repjoekennedy,136,1424,3278
 https://twitter.com/DaraSings/status/1107781492841811968 …,1110562080904658944,2019-03-26,15:20:07,repjoekennedy,4,31,127
 https://twitter.com/llmich/status/1107739643053776896 …,1110562080116101122,2019-03-26,15:20:07,repjoekennedy,3,24,115
 https://twitter.com/AlyssaKitlas/status/1107752584083898368 …,1110562079407329281,2019-03-26,15:20:07,repjoekennedy,1,6,48
 https://twitter.com/LBIgirl21/status/1107806191474888705 …,1110562078614536199,2019-03-26,15:20:07,repjoekennedy,1,9,44
 https://twitter.com/OtheFarm/status/1107855995399737346 …,1110562077914132480,2019-03-26,15:20:07,repjoekennedy,1,10,45
 https://twitter.com/colliverl76/status/1107807234132709376 …,1110562077247188995,2019-03-26,15:20:07,repjoekennedy,1,9,48
 https://twitter.com/krausing_tiger/status/1107811528634335232 …,1110562076387356672,2019-03-26,15:20:06,repjoekennedy,1,14,49
 https://twitter.com/jynx2u/status/1108441561258446848 …,1110562075573698560,2019-03-26,15:20:06,repjoekennedy,1,13,54
 https://twitter.com/melissainhisluv/status/1107977879374254082 …,1110562074747375618,2019-03-26,15:20:06,repjoekennedy,2,20,58
 https://twitter.com/CaroLynnie521/status/1107798301880000513 …,1110562073883348995,2019-03-26,15:20:06,repjoekennedy,3,16,51
 https://twitter.com/mamaliz1969/status/1107775593360359424 …,1110562073006825472,2019-03-26,15:20:06,repjoekennedy,1,17,51
 https://twitter.com/lisahibb64/status/1108192303347351553 …,1110562072226611202,2019-03-26,15:20:05,repjoekennedy,1,12,44
 https://twitter.com/Csi4Law/status/1108156359143550976 …,1110562071542935554,2019-03-26,15:20:05,repjoekennedy,1,15,50
 https://twitter.com/T1DMomma7/status/1108099470347116544 …,1110562070498545665,2019-03-26,15:20:05,repjoekennedy,1,18,50
 https://twitter.com/LeighMueller17/status/1108053069042860032 …,1110562069697478657,2019-03-26,15:20:05,repjoekennedy,1,13,46
 https://twitter.com/ASavinParker1/status/1108043907710021633 …,1110562068879589377,2019-03-26,15:20:05,repjoekennedy,2,17,46
